experimentID,instanceID,instanceType,wallTime,testOption,Average Page Latency,Output
1659897771-0,i-011725e14f5270c60,m5d.large,69.1095519065857, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1659897771-0,i-011725e14f5270c60,m5d.large,67.41176271438599, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1407,"['Average: 0.1407', '']"
1659897771-0,i-011725e14f5270c60,m5d.large,67.44525790214539, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1408,"['Average: 0.1408', '']"
1659897771-0,i-011725e14f5270c60,m5d.large,67.46882343292236, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1405,"['Average: 0.1405', '']"
1659897771-0,i-011725e14f5270c60,m5d.large,67.47197222709656, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1659897771-0,i-01ba28749b6f1d45d,m5d.large,69.49040579795837, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1361,"['Average: 0.1361', '']"
1659897771-0,i-01ba28749b6f1d45d,m5d.large,67.54876136779785, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1353,"['Average: 0.1353', '']"
1659897771-0,i-01ba28749b6f1d45d,m5d.large,67.71639227867126, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1364,"['Average: 0.1364', '']"
1659897771-0,i-01ba28749b6f1d45d,m5d.large,67.66553235054016, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1363,"['Average: 0.1363', '']"
1659897771-0,i-01ba28749b6f1d45d,m5d.large,67.63367414474487, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1352,"['Average: 0.1352', '']"
1659897771-0,i-02d17632ca5cf9304,m5d.large,69.25901079177856, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1659897771-0,i-02d17632ca5cf9304,m5d.large,67.46318006515503, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1429,"['Average: 0.1429', '']"
1659897771-0,i-02d17632ca5cf9304,m5d.large,67.43557024002075, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1424,"['Average: 0.1424', '']"
1659897771-0,i-02d17632ca5cf9304,m5d.large,67.44423460960388, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1423,"['Average: 0.1423', '']"
1659897771-0,i-02d17632ca5cf9304,m5d.large,67.35806393623352, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1408,"['Average: 0.1408', '']"
1659897771-0,i-03f8a1a38cb3e30da,m5d.large,69.41798758506775, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1397,"['Average: 0.1397', '']"
1659897771-0,i-03f8a1a38cb3e30da,m5d.large,67.4637439250946, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1395,"['Average: 0.1395', '']"
1659897771-0,i-03f8a1a38cb3e30da,m5d.large,67.44774842262268, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1397,"['Average: 0.1397', '']"
1659897771-0,i-03f8a1a38cb3e30da,m5d.large,67.41885089874268, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.14,"['Average: 0.14', '']"
1659897771-0,i-03f8a1a38cb3e30da,m5d.large,67.4976487159729, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1399,"['Average: 0.1399', '']"
1659897771-0,i-019aa1065e8cabbf6,m5d.large,68.93103098869324, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1378,"['Average: 0.1378', '']"
1659897771-0,i-019aa1065e8cabbf6,m5d.large,67.34176206588745, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1382,"['Average: 0.1382', '']"
1659897771-0,i-019aa1065e8cabbf6,m5d.large,67.32848286628723, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1379,"['Average: 0.1379', '']"
1659897771-0,i-019aa1065e8cabbf6,m5d.large,67.37188792228699, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1382,"['Average: 0.1382', '']"
1659897771-0,i-019aa1065e8cabbf6,m5d.large,67.34074234962463, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1381,"['Average: 0.1381', '']"
1659897771-0,i-0d97a1f2f2e0ae8cf,m5d.large,68.74764251708984, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1404,"['Average: 0.1404', '']"
1659897771-0,i-0d97a1f2f2e0ae8cf,m5d.large,67.40073895454407, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1414,"['Average: 0.1414', '']"
1659897771-0,i-0d97a1f2f2e0ae8cf,m5d.large,67.37993168830872, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1448,"['Average: 0.1448', '']"
1659897771-0,i-0d97a1f2f2e0ae8cf,m5d.large,67.40511345863342, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1423,"['Average: 0.1423', '']"
1659897771-0,i-0d97a1f2f2e0ae8cf,m5d.large,67.42660880088806, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1463,"['Average: 0.1463', '']"
1659897771-0,i-05e1c96d7290db54b,m5d.large,69.02638792991638, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1404,"['Average: 0.1404', '']"
1659897771-0,i-05e1c96d7290db54b,m5d.large,67.40135622024536, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1659897771-0,i-05e1c96d7290db54b,m5d.large,67.40860414505005, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1401,"['Average: 0.1401', '']"
1659897771-0,i-05e1c96d7290db54b,m5d.large,67.38644528388977, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1401,"['Average: 0.1401', '']"
1659897771-0,i-05e1c96d7290db54b,m5d.large,67.40415740013123, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.14,"['Average: 0.14', '']"
1659897771-0,i-064e64eed1e824a4a,m5d.large,68.80667281150818, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1405,"['Average: 0.1405', '']"
1659897771-0,i-064e64eed1e824a4a,m5d.large,67.40552854537964, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1659897771-0,i-064e64eed1e824a4a,m5d.large,67.40699338912964, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1401,"['Average: 0.1401', '']"
1659897771-0,i-064e64eed1e824a4a,m5d.large,67.40053033828735, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.141,"['Average: 0.141', '']"
1659897771-0,i-064e64eed1e824a4a,m5d.large,67.38564038276672, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1406,"['Average: 0.1406', '']"
1659897771-0,i-05e052cb7f4e218e9,m5d.large,70.63751769065857, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1395,"['Average: 0.1395', '']"
1659897771-0,i-05e052cb7f4e218e9,m5d.large,67.63682103157043, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.139,"['Average: 0.139', '']"
1659897771-0,i-05e052cb7f4e218e9,m5d.large,67.77115869522095, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1396,"['Average: 0.1396', '']"
1659897771-0,i-05e052cb7f4e218e9,m5d.large,67.540766954422, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1397,"['Average: 0.1397', '']"
1659897771-0,i-05e052cb7f4e218e9,m5d.large,67.68679976463318, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1389,"['Average: 0.1389', '']"
1659897771-0,i-08705868f1fc72cc2,m5d.large,69.18574023246765, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1354,"['Average: 0.1354', '']"
1659897771-0,i-08705868f1fc72cc2,m5d.large,67.46801829338074, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1356,"['Average: 0.1356', '']"
1659897771-0,i-08705868f1fc72cc2,m5d.large,67.50590300559998, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1367,"['Average: 0.1367', '']"
1659897771-0,i-08705868f1fc72cc2,m5d.large,67.51133227348328, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1377,"['Average: 0.1377', '']"
1659897771-0,i-08705868f1fc72cc2,m5d.large,67.52485346794128, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.137,"['Average: 0.137', '']"
1659897771-0,i-08f0a06308e7f2860,m5d.large,68.57468819618225, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1659897771-0,i-08f0a06308e7f2860,m5d.large,67.36968231201172, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1659897771-0,i-08f0a06308e7f2860,m5d.large,67.40219235420227, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1404,"['Average: 0.1404', '']"
1659897771-0,i-08f0a06308e7f2860,m5d.large,67.38579368591309, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1406,"['Average: 0.1406', '']"
1659897771-0,i-08f0a06308e7f2860,m5d.large,67.38057494163513, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1406,"['Average: 0.1406', '']"
1659897771-0,i-042d5298f21a91de5,m5d.large,68.58347153663635, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1413,"['Average: 0.1413', '']"
1659897771-0,i-042d5298f21a91de5,m5d.large,67.34522461891174, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1659897771-0,i-042d5298f21a91de5,m5d.large,67.35988807678223, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1401,"['Average: 0.1401', '']"
1659897771-0,i-042d5298f21a91de5,m5d.large,67.43882441520691, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.141,"['Average: 0.141', '']"
1659897771-0,i-042d5298f21a91de5,m5d.large,67.46057677268982, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1404,"['Average: 0.1404', '']"
1659897771-0,i-000222343cfcbd206,m5d.large,68.68477869033813, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1398,"['Average: 0.1398', '']"
1659897771-0,i-000222343cfcbd206,m5d.large,67.44345498085022, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1393,"['Average: 0.1393', '']"
1659897771-0,i-000222343cfcbd206,m5d.large,67.40343904495239, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1394,"['Average: 0.1394', '']"
1659897771-0,i-000222343cfcbd206,m5d.large,67.38638114929199, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1406,"['Average: 0.1406', '']"
1659897771-0,i-000222343cfcbd206,m5d.large,67.43059015274048, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1393,"['Average: 0.1393', '']"
1659897771-0,i-0b1512243ed39eb04,m5d.large,68.9983868598938, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1659897771-0,i-0b1512243ed39eb04,m5d.large,67.51619243621826, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1399,"['Average: 0.1399', '']"
1659897771-0,i-0b1512243ed39eb04,m5d.large,67.42057847976685, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1659897771-0,i-0b1512243ed39eb04,m5d.large,67.49132704734802, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1401,"['Average: 0.1401', '']"
1659897771-0,i-0b1512243ed39eb04,m5d.large,67.38542866706848, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1399,"['Average: 0.1399', '']"
1659897771-0,i-0286692f3c9fa4273,m5d.large,69.22230219841003, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.14,"['Average: 0.14', '']"
1659897771-0,i-0286692f3c9fa4273,m5d.large,67.29738306999207, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1421,"['Average: 0.1421', '']"
