experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1657899773-0,i-0d69a00ab17fa6bad,m5d.large,52.70597815513611, -w -m32 -e1 -x0 -d2,20296.364043,19778.108794,10085.617422,10093.211168,"['256 22147.592838', '512 22815.511755', '1024 20296.364043', '2048 21814.013038', '4096 22667.597653', '8192 23120.767848', '16384 23347.692062', '32768 22484.213526', '65536 20947.567170', '131072 20929.916914', '262144 20946.150709', '524288 20933.583703', '1048576 19778.108794', '2097152 18822.003200', '4194304 18705.710858', '8388608 18200.283519', '16777216 16862.589920', '33554432 11559.598051', '67108864 10217.180005', '134217728 9874.385015', '268435456 9847.476770', '536870912 9936.599311', '1073741824 10085.617422', '2147483648 10143.698014', '4294967296 10093.211168', '']",
1657899773-0,i-0d69a00ab17fa6bad,m5d.large,52.7120897769928, -w -m32 -e1 -x0 -d2,20285.629625,19825.911446,10115.167974,10090.045287,"['256 22147.942807', '512 22815.083125', '1024 20285.629625', '2048 21816.475488', '4096 22667.890211', '8192 23115.371784', '16384 23346.310468', '32768 22481.734004', '65536 20917.237854', '131072 20928.195057', '262144 20955.072312', '524288 20937.649942', '1048576 19825.911446', '2097152 18798.985345', '4194304 18786.407952', '8388608 18056.206169', '16777216 16541.735687', '33554432 11479.190895', '67108864 10181.841968', '134217728 9891.937741', '268435456 9822.844021', '536870912 9900.822600', '1073741824 10115.167974', '2147483648 10044.005222', '4294967296 10090.045287', '']",
1657899773-0,i-0d69a00ab17fa6bad,m5d.large,52.70080351829529, -w -m32 -e1 -x0 -d2,20298.647688,20051.513841,10091.494394,10088.291091,"['256 22146.716693', '512 22810.900177', '1024 20298.647688', '2048 21817.475994', '4096 22663.387430', '8192 23104.897761', '16384 23343.014099', '32768 22499.447679', '65536 20924.588440', '131072 20949.675375', '262144 20943.127106', '524288 20929.044566', '1048576 20051.513841', '2097152 18803.997256', '4194304 18766.660549', '8388608 18190.760200', '16777216 17014.111268', '33554432 11634.158098', '67108864 10219.036809', '134217728 9851.884263', '268435456 9833.778910', '536870912 9913.136803', '1073741824 10091.494394', '2147483648 10098.442749', '4294967296 10088.291091', '']",
1657899773-0,i-0d69a00ab17fa6bad,m5d.large,52.7184681892395, -w -m32 -e1 -x0 -d2,10243.203251,19985.199671,10095.387910,10047.684264,"['256 22143.948733', '512 22809.975304', '1024 20293.104507', '2048 21811.253657', '4096 22663.988343', '8192 23113.044629', '16384 23348.245286', '32768 22524.391826', '65536 20942.826685', '131072 20922.716966', '262144 20941.459901', '524288 20944.122916', '1048576 19985.199671', '2097152 18830.471264', '4194304 18789.384649', '8388608 18115.578140', '16777216 16961.459279', '33554432 11480.543342', '67108864 10243.203251', '134217728 9857.636892', '268435456 9821.804354', '536870912 9951.678857', '1073741824 10095.387910', '2147483648 10092.844138', '4294967296 10047.684264', '']",
1657899773-0,i-0d69a00ab17fa6bad,m5d.large,52.70819449424744, -w -m32 -e1 -x0 -d2,20289.308263,19850.741412,10128.819965,10086.592876,"['256 22141.912645', '512 22727.365995', '1024 20289.308263', '2048 21768.262092', '4096 22663.935628', '8192 23108.091978', '16384 23345.687658', '32768 22532.342229', '65536 20933.699965', '131072 20928.626713', '262144 20929.497784', '524288 20928.443324', '1048576 19850.741412', '2097152 18814.493860', '4194304 18793.151861', '8388608 18126.363055', '16777216 16845.495488', '33554432 11561.375874', '67108864 10281.547191', '134217728 9833.297790', '268435456 9821.496704', '536870912 9874.647141', '1073741824 10128.819965', '2147483648 10104.342269', '4294967296 10086.592876', '']",
1657899773-0,i-049fa985bc528a4fc,m5d.large,53.03619623184204, -w -m32 -e1 -x0 -d2,20274.721248,19781.902515,9475.361141,9444.929797,"['256 22126.422796', '512 22790.638495', '1024 20274.721248', '2048 21793.260446', '4096 22651.206223', '8192 23094.249658', '16384 23272.329089', '32768 22481.493723', '65536 20938.254801', '131072 20937.872754', '262144 20936.292479', '524288 20902.651777', '1048576 19781.902515', '2097152 18631.738884', '4194304 18635.919358', '8388608 17900.847291', '16777216 13781.503118', '33554432 9901.803166', '67108864 9359.650918', '134217728 9352.226469', '268435456 9347.294767', '536870912 9385.635140', '1073741824 9475.361141', '2147483648 9450.953556', '4294967296 9444.929797', '']",
1657899773-0,i-049fa985bc528a4fc,m5d.large,53.20902919769287, -w -m32 -e1 -x0 -d2,20270.057013,19967.922698,9211.437562,8722.750788,"['256 22070.708974', '512 22778.354386', '1024 20270.057013', '2048 21783.189814', '4096 22611.094853', '8192 23058.912330', '16384 23295.855263', '32768 22448.261170', '65536 20898.330578', '131072 20852.220201', '262144 20910.580239', '524288 20678.664808', '1048576 19967.922698', '2097152 18678.088212', '4194304 18612.172548', '8388608 17129.476424', '16777216 9823.830985', '33554432 9023.319808', '67108864 8575.959493', '134217728 8990.700810', '268435456 8754.522148', '536870912 9057.986196', '1073741824 9211.437562', '2147483648 8577.644964', '4294967296 8722.750788', '']",
1657899773-0,i-049fa985bc528a4fc,m5d.large,53.26471948623657, -w -m32 -e1 -x0 -d2,20211.862497,20097.254165,9004.122442,8894.303397,"['256 22075.987970', '512 22750.386458', '1024 20211.862497', '2048 21745.636420', '4096 22602.494965', '8192 23025.029932', '16384 23251.003490', '32768 22460.167879', '65536 20848.644756', '131072 20509.815805', '262144 20888.308634', '524288 20855.513397', '1048576 20097.254165', '2097152 18523.049634', '4194304 18522.763885', '8388608 15924.747825', '16777216 9544.641138', '33554432 8741.989960', '67108864 9026.137560', '134217728 9010.353477', '268435456 9095.937185', '536870912 9254.748353', '1073741824 9004.122442', '2147483648 9270.513128', '4294967296 8894.303397', '']",
1657899773-0,i-049fa985bc528a4fc,m5d.large,52.914769411087036, -w -m32 -e1 -x0 -d2,20221.339387,20060.965194,9195.179753,9215.119396,"['256 22079.889202', '512 22733.925598', '1024 20221.339387', '2048 21743.941268', '4096 22601.504854', '8192 23049.339109', '16384 23225.043469', '32768 22438.088024', '65536 20849.123713', '131072 20857.547143', '262144 20848.309799', '524288 20852.486858', '1048576 20060.965194', '2097152 18614.983343', '4194304 18564.727546', '8388608 15425.952332', '16777216 9570.067536', '33554432 9131.627891', '67108864 9025.820113', '134217728 9223.119556', '268435456 9197.296286', '536870912 9128.244777', '1073741824 9195.179753', '2147483648 9128.835141', '4294967296 9215.119396', '']",
1657899773-0,i-049fa985bc528a4fc,m5d.large,53.21068549156189, -w -m32 -e1 -x0 -d2,20243.821030,19980.401388,9312.570633,9257.012328,"['256 22065.069813', '512 22759.410325', '1024 20243.821030', '2048 21751.615520', '4096 22610.196638', '8192 23051.610354', '16384 23313.818214', '32768 22469.724040', '65536 20881.389683', '131072 20879.755370', '262144 20860.818709', '524288 20854.736936', '1048576 19980.401388', '2097152 18632.384458', '4194304 18520.378151', '8388608 16918.654556', '16777216 9940.128677', '33554432 8898.428327', '67108864 8956.655401', '134217728 9167.021973', '268435456 9164.846388', '536870912 9255.368334', '1073741824 9312.570633', '2147483648 9307.255464', '4294967296 9257.012328', '']",
