experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1657908088-0,i-01ee0a974d536251b,m5d.large,52.98899579048157, -w -m32 -e1 -x0 -d2,20264.325075,19451.297916,7672.212280,7775.503284,"['256 22113.600964', '512 22782.417939', '1024 20264.325075', '2048 21785.991726', '4096 22594.181331', '8192 23067.623417', '16384 23299.841520', '32768 22513.097194', '65536 20903.423712', '131072 20907.313146', '262144 20906.125144', '524288 20912.627091', '1048576 19451.297916', '2097152 18439.278824', '4194304 18331.177623', '8388608 13515.306516', '16777216 8396.642373', '33554432 7471.029750', '67108864 7556.187095', '134217728 7580.142304', '268435456 7531.378448', '536870912 7353.080259', '1073741824 7672.212280', '2147483648 7616.618604', '4294967296 7775.503284', '']",
1657908088-0,i-01ee0a974d536251b,m5d.large,53.24337673187256, -w -m32 -e1 -x0 -d2,20270.907901,20019.844197,7411.239770,7411.185710,"['256 22112.749368', '512 22781.595726', '1024 20270.907901', '2048 21787.893700', '4096 22636.438749', '8192 23090.962545', '16384 23314.372110', '32768 22489.236691', '65536 20917.821766', '131072 20922.049117', '262144 20922.036170', '524288 20913.472196', '1048576 20019.844197', '2097152 18537.849400', '4194304 18464.986117', '8388608 16438.563139', '16777216 8499.575125', '33554432 7522.217322', '67108864 7522.914315', '134217728 7328.683946', '268435456 7326.749541', '536870912 7156.702191', '1073741824 7411.239770', '2147483648 7587.213502', '4294967296 7411.185710', '']",
1657908088-0,i-01ee0a974d536251b,m5d.large,53.07072067260742, -w -m32 -e1 -x0 -d2,20269.327410,19815.129515,6730.112636,7332.460078,"['256 22117.070368', '512 22784.046210', '1024 20269.327410', '2048 21778.013380', '4096 22629.300685', '8192 23019.976352', '16384 23309.886134', '32768 22460.333321', '65536 20906.922877', '131072 20907.643969', '262144 20902.094822', '524288 20850.675037', '1048576 19815.129515', '2097152 18424.605601', '4194304 18216.908679', '8388608 13568.184598', '16777216 8240.371237', '33554432 7191.032786', '67108864 7288.890867', '134217728 6808.104677', '268435456 7303.217374', '536870912 7344.840219', '1073741824 6730.112636', '2147483648 7150.048217', '4294967296 7332.460078', '']",
1657908088-0,i-01ee0a974d536251b,m5d.large,53.09224271774292, -w -m32 -e1 -x0 -d2,20247.115542,19818.539633,7586.474008,7551.113787,"['256 22093.889880', '512 22754.946200', '1024 20247.115542', '2048 21761.325834', '4096 22604.408277', '8192 23065.988131', '16384 23287.137139', '32768 22475.540581', '65536 20879.421510', '131072 20902.458432', '262144 20893.965355', '524288 20908.430928', '1048576 19818.539633', '2097152 18505.695639', '4194304 18316.536810', '8388608 15841.027464', '16777216 9407.020696', '33554432 7567.329185', '67108864 7867.854443', '134217728 7363.430191', '268435456 7406.671003', '536870912 7414.153764', '1073741824 7586.474008', '2147483648 7595.321951', '4294967296 7551.113787', '']",
1657908088-0,i-01ee0a974d536251b,m5d.large,53.251776695251465, -w -m32 -e1 -x0 -d2,20209.700685,20021.926797,7499.006356,7306.939657,"['256 22104.928975', '512 22783.896679', '1024 20209.700685', '2048 21783.103382', '4096 22628.311130', '8192 23070.134875', '16384 23306.389157', '32768 22508.157801', '65536 20907.955939', '131072 20892.434015', '262144 20912.019148', '524288 20895.490714', '1048576 20021.926797', '2097152 18503.029650', '4194304 18455.631509', '8388608 16851.829605', '16777216 9972.115346', '33554432 7715.173728', '67108864 7540.012005', '134217728 7425.746878', '268435456 7770.966549', '536870912 7573.511663', '1073741824 7499.006356', '2147483648 7348.969035', '4294967296 7306.939657', '']",
1657908088-0,i-0572e2a7fc627877f,m5d.large,53.11862802505493, -w -m32 -e1 -x0 -d2,20302.252531,20250.178264,9365.667143,9356.578274,"['256 22149.140750', '512 22823.799280', '1024 20302.252531', '2048 21825.745889', '4096 22674.374756', '8192 23114.747860', '16384 23352.664173', '32768 22527.613865', '65536 20954.737426', '131072 20958.268329', '262144 20957.330176', '524288 20879.048953', '1048576 20250.178264', '2097152 18800.449076', '4194304 18714.973418', '8388608 15538.638033', '16777216 10813.274881', '33554432 9982.619545', '67108864 9630.771462', '134217728 9474.658759', '268435456 9215.073885', '536870912 9321.538374', '1073741824 9365.667143', '2147483648 9302.423618', '4294967296 9356.578274', '']",
1657908088-0,i-0572e2a7fc627877f,m5d.large,53.12458872795105, -w -m32 -e1 -x0 -d2,20303.250894,19884.437367,9297.787076,9374.340539,"['256 22145.106058', '512 22815.877956', '1024 20303.250894', '2048 21824.549351', '4096 22673.986082', '8192 23123.403241', '16384 23350.879790', '32768 22562.196997', '65536 20947.305827', '131072 20952.406813', '262144 20959.880603', '524288 20954.185331', '1048576 19884.437367', '2097152 18808.950922', '4194304 18782.583345', '8388608 15801.939970', '16777216 10770.176487', '33554432 9742.955117', '67108864 9547.159371', '134217728 9393.405972', '268435456 9380.465753', '536870912 9349.172143', '1073741824 9297.787076', '2147483648 9351.690474', '4294967296 9374.340539', '']",
1657908088-0,i-0572e2a7fc627877f,m5d.large,53.11311078071594, -w -m32 -e1 -x0 -d2,20297.039090,20298.998450,9405.965952,9392.441523,"['256 22150.606107', '512 22816.433504', '1024 20297.039090', '2048 21818.677148', '4096 22667.576874', '8192 23038.243282', '16384 23353.041233', '32768 22563.439955', '65536 20953.131767', '131072 20958.579854', '262144 20963.487296', '524288 20954.331966', '1048576 20298.998450', '2097152 18790.101822', '4194304 18683.741183', '8388608 15919.669909', '16777216 10660.016647', '33554432 9722.773212', '67108864 9348.169346', '134217728 9298.681023', '268435456 9384.643899', '536870912 9142.201294', '1073741824 9405.965952', '2147483648 9292.247171', '4294967296 9392.441523', '']",
1657908088-0,i-0572e2a7fc627877f,m5d.large,53.13850665092468, -w -m32 -e1 -x0 -d2,20301.338152,20070.032959,9376.291481,9306.168617,"['256 22147.896035', '512 22822.340084', '1024 20301.338152', '2048 21824.763025', '4096 22673.385940', '8192 23122.754006', '16384 23355.112792', '32768 22508.386160', '65536 20944.392331', '131072 20959.820491', '262144 20957.985034', '524288 20959.060162', '1048576 20070.032959', '2097152 18817.573454', '4194304 18734.144869', '8388608 15396.090208', '16777216 11070.312919', '33554432 9846.800365', '67108864 9575.288816', '134217728 9308.465290', '268435456 9342.447713', '536870912 9344.666695', '1073741824 9376.291481', '2147483648 9251.351266', '4294967296 9306.168617', '']",
1657908088-0,i-0572e2a7fc627877f,m5d.large,53.13569474220276, -w -m32 -e1 -x0 -d2,20298.059191,20344.650200,9403.075297,9231.656313,"['256 22147.440268', '512 22818.034933', '1024 20298.059191', '2048 21769.255635', '4096 22671.796819', '8192 23117.217866', '16384 23353.931465', '32768 22554.302318', '65536 20947.163164', '131072 20952.096676', '262144 20953.984418', '524288 20947.818573', '1048576 20344.650200', '2097152 18796.435286', '4194304 18686.761992', '8388608 15533.710955', '16777216 11070.291960', '33554432 10019.957357', '67108864 9365.515587', '134217728 9416.528936', '268435456 9360.482136', '536870912 9368.041947', '1073741824 9403.075297', '2147483648 9369.153497', '4294967296 9231.656313', '']",
