experimentID,instanceID,instanceType,wallTime,testOption,Average Page Latency,Output
1657909578-0,i-05d7a29bf8198a65b,m5d.large,69.60486555099487, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2281,"['Average: 0.2281', '']"
1657909578-0,i-05d7a29bf8198a65b,m5d.large,67.53863191604614, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1422,"['Average: 0.1422', '']"
1657909578-0,i-05d7a29bf8198a65b,m5d.large,67.53619980812073, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1413,"['Average: 0.1413', '']"
1657909578-0,i-05d7a29bf8198a65b,m5d.large,67.55491375923157, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1408,"['Average: 0.1408', '']"
1657909578-0,i-05d7a29bf8198a65b,m5d.large,67.53976941108704, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1412,"['Average: 0.1412', '']"
1657909578-0,i-0eebddd600e4b893b,m5d.large,69.56600332260132, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2349,"['Average: 0.2349', '']"
1657909578-0,i-0eebddd600e4b893b,m5d.large,67.82569217681885, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1361,"['Average: 0.1361', '']"
1657909578-0,i-0eebddd600e4b893b,m5d.large,67.61801481246948, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1437,"['Average: 0.1437', '']"
1657909578-0,i-0eebddd600e4b893b,m5d.large,67.54862308502197, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1428,"['Average: 0.1428', '']"
1657909578-0,i-0eebddd600e4b893b,m5d.large,67.538241147995, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1428,"['Average: 0.1428', '']"
1657909578-0,i-08c3fad6da7f6e0ab,m5d.large,69.2685751914978, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1715,"['Average: 0.1715', '']"
1657909578-0,i-08c3fad6da7f6e0ab,m5d.large,67.56673288345337, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1428,"['Average: 0.1428', '']"
1657909578-0,i-08c3fad6da7f6e0ab,m5d.large,67.47184872627258, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1424,"['Average: 0.1424', '']"
1657909578-0,i-08c3fad6da7f6e0ab,m5d.large,67.47088479995728, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1411,"['Average: 0.1411', '']"
1657909578-0,i-08c3fad6da7f6e0ab,m5d.large,67.53817248344421, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1413,"['Average: 0.1413', '']"
1657909578-0,i-0ed7673b32ecef34a,m5d.large,69.41338682174683, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1516,"['Average: 0.1516', '']"
1657909578-0,i-0ed7673b32ecef34a,m5d.large,67.54427814483643, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1407,"['Average: 0.1407', '']"
1657909578-0,i-0ed7673b32ecef34a,m5d.large,67.53907108306885, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.144,"['Average: 0.144', '']"
1657909578-0,i-0ed7673b32ecef34a,m5d.large,67.52853393554688, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1426,"['Average: 0.1426', '']"
1657909578-0,i-0ed7673b32ecef34a,m5d.large,67.63176584243774, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1409,"['Average: 0.1409', '']"
