experimentID,instanceID,instanceType,wallTime,testOption,Average Page Latency,Output
1657902738-0,i-001d518a6868d21c1,m5d.large,69.41210341453552, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1421,"['Average: 0.1421', '']"
1657902738-0,i-001d518a6868d21c1,m5d.large,67.5269296169281, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1399,"['Average: 0.1399', '']"
1657902738-0,i-001d518a6868d21c1,m5d.large,67.5158097743988, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.141,"['Average: 0.141', '']"
1657902738-0,i-001d518a6868d21c1,m5d.large,67.55576157569885, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1408,"['Average: 0.1408', '']"
1657902738-0,i-001d518a6868d21c1,m5d.large,67.54815530776978, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1406,"['Average: 0.1406', '']"
1657902738-0,i-03fd4b449a44b6b17,m5d.large,69.34640669822693, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1374,"['Average: 0.1374', '']"
1657902738-0,i-03fd4b449a44b6b17,m5d.large,67.60405540466309, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1382,"['Average: 0.1382', '']"
1657902738-0,i-03fd4b449a44b6b17,m5d.large,67.80402374267578, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1382,"['Average: 0.1382', '']"
1657902738-0,i-03fd4b449a44b6b17,m5d.large,67.69543147087097, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1372,"['Average: 0.1372', '']"
1657902738-0,i-03fd4b449a44b6b17,m5d.large,67.61549139022827, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1375,"['Average: 0.1375', '']"
1657902738-0,i-00a0799d62f3de8b2,m5d.large,69.08528566360474, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1384,"['Average: 0.1384', '']"
1657902738-0,i-00a0799d62f3de8b2,m5d.large,67.38493609428406, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1378,"['Average: 0.1378', '']"
1657902738-0,i-00a0799d62f3de8b2,m5d.large,67.36248779296875, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1406,"['Average: 0.1406', '']"
1657902738-0,i-00a0799d62f3de8b2,m5d.large,67.35147047042847, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1373,"['Average: 0.1373', '']"
1657902738-0,i-00a0799d62f3de8b2,m5d.large,67.38624882698059, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1415,"['Average: 0.1415', '']"
1657902738-0,i-09b34bfd9ea3434d1,m5d.large,68.71726679801941, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1396,"['Average: 0.1396', '']"
1657902738-0,i-09b34bfd9ea3434d1,m5d.large,67.32185053825378, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1399,"['Average: 0.1399', '']"
1657902738-0,i-09b34bfd9ea3434d1,m5d.large,67.28502178192139, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1657902738-0,i-09b34bfd9ea3434d1,m5d.large,67.33885335922241, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1407,"['Average: 0.1407', '']"
1657902738-0,i-09b34bfd9ea3434d1,m5d.large,67.42144751548767, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1657902738-0,i-0b5aaa21f3faf063b,m5d.large,69.14172101020813, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1657902738-0,i-0b5aaa21f3faf063b,m5d.large,67.43261766433716, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1419,"['Average: 0.1419', '']"
1657902738-0,i-0b5aaa21f3faf063b,m5d.large,67.47763800621033, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1433,"['Average: 0.1433', '']"
1657902738-0,i-0b5aaa21f3faf063b,m5d.large,67.4449417591095, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1408,"['Average: 0.1408', '']"
1657902738-0,i-0b5aaa21f3faf063b,m5d.large,67.46903371810913, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1411,"['Average: 0.1411', '']"
1657902738-0,i-06573df53c7c90899,m5d.large,69.09901881217957, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1324,"['Average: 0.1324', '']"
1657902738-0,i-06573df53c7c90899,m5d.large,67.43344259262085, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1318,"['Average: 0.1318', '']"
1657902738-0,i-06573df53c7c90899,m5d.large,67.4420223236084, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1324,"['Average: 0.1324', '']"
1657902738-0,i-06573df53c7c90899,m5d.large,67.39300632476807, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1332,"['Average: 0.1332', '']"
1657902738-0,i-06573df53c7c90899,m5d.large,67.45406460762024, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1319,"['Average: 0.1319', '']"
1657902738-0,i-0a32fe9dcf1ace788,m5d.large,69.30885052680969, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1384,"['Average: 0.1384', '']"
1657902738-0,i-0a32fe9dcf1ace788,m5d.large,67.54176425933838, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1393,"['Average: 0.1393', '']"
1657902738-0,i-0a32fe9dcf1ace788,m5d.large,67.4915566444397, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.138,"['Average: 0.138', '']"
1657902738-0,i-0a32fe9dcf1ace788,m5d.large,67.55143690109253, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1378,"['Average: 0.1378', '']"
1657902738-0,i-0a32fe9dcf1ace788,m5d.large,67.60126781463623, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1378,"['Average: 0.1378', '']"
1657902738-0,i-0f1025f68e535b86c,m5d.large,69.22676181793213, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1367,"['Average: 0.1367', '']"
1657902738-0,i-0f1025f68e535b86c,m5d.large,67.42968440055847, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.136,"['Average: 0.136', '']"
1657902738-0,i-0f1025f68e535b86c,m5d.large,67.35286784172058, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1372,"['Average: 0.1372', '']"
1657902738-0,i-0f1025f68e535b86c,m5d.large,67.35756158828735, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1374,"['Average: 0.1374', '']"
1657902738-0,i-0f1025f68e535b86c,m5d.large,67.3608934879303, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1369,"['Average: 0.1369', '']"
1657902738-0,i-0b8206cffa4d0c7fa,m5d.large,68.86913728713989, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1342,"['Average: 0.1342', '']"
1657902738-0,i-0b8206cffa4d0c7fa,m5d.large,67.36814332008362, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1335,"['Average: 0.1335', '']"
1657902738-0,i-0b8206cffa4d0c7fa,m5d.large,67.44016981124878, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1339,"['Average: 0.1339', '']"
1657902738-0,i-0b8206cffa4d0c7fa,m5d.large,67.48997712135315, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1374,"['Average: 0.1374', '']"
