experimentID,instanceID,instanceType,wallTime,startTime,endTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1660097828-0,i-0323092e2e1b6c89e,m5d.large,52.94555997848511,1660098302.291004,1660098355.236564, -w -m32 -e1 -x0 -d2,20255.271423,19916.183018,9605.004063,9688.425587,"['256 22143.214005', '512 22824.306759', '1024 20255.271423', '2048 21824.854280', '4096 22671.407115', '8192 23092.950662', '16384 23353.124112', '32768 22509.779898', '65536 20954.429768', '131072 20888.580112', '262144 20966.388540', '524288 20960.485850', '1048576 19916.183018', '2097152 18775.873212', '4194304 18753.070586', '8388608 17595.953797', '16777216 13834.214767', '33554432 10541.075464', '67108864 9880.340148', '134217728 9540.640280', '268435456 9502.541286', '536870912 9571.449925', '1073741824 9605.004063', '2147483648 9555.557081', '4294967296 9688.425587', '']",
1660097828-0,i-0323092e2e1b6c89e,m5d.large,52.92121624946594,1660098355.5095267,1660098408.430743, -w -m32 -e1 -x0 -d2,20302.139086,19884.066827,9617.295615,9702.418085,"['256 22145.822155', '512 22798.159518', '1024 20302.139086', '2048 21823.747296', '4096 22675.160454', '8192 23118.341131', '16384 23296.941387', '32768 22514.882334', '65536 20950.227241', '131072 20636.020676', '262144 20955.654017', '524288 20950.792060', '1048576 19884.066827', '2097152 18789.840342', '4194304 18729.569632', '8388608 17645.164057', '16777216 13128.580310', '33554432 10384.719581', '67108864 9889.630378', '134217728 9633.417838', '268435456 9485.284751', '536870912 9524.872622', '1073741824 9617.295615', '2147483648 9675.840463', '4294967296 9702.418085', '']",
1660097828-0,i-0323092e2e1b6c89e,m5d.large,52.92423939704895,1660098408.6810548,1660098461.6052942, -w -m32 -e1 -x0 -d2,20301.737899,20086.784060,9565.902507,9692.553156,"['256 22152.370914', '512 22822.895413', '1024 20301.737899', '2048 21822.844561', '4096 22669.837613', '8192 23116.949459', '16384 23353.646912', '32768 22558.530450', '65536 20955.110660', '131072 20913.883737', '262144 20960.377730', '524288 20960.138735', '1048576 20086.784060', '2097152 18739.790647', '4194304 18720.942579', '8388608 17664.789887', '16777216 13409.917508', '33554432 10401.550262', '67108864 9797.760154', '134217728 9568.536807', '268435456 9552.282243', '536870912 9557.185765', '1073741824 9565.902507', '2147483648 9633.168018', '4294967296 9692.553156', '']",
1660097828-0,i-0323092e2e1b6c89e,m5d.large,52.9236786365509,1660098461.873424,1660098514.7971027, -w -m32 -e1 -x0 -d2,20302.023449,19861.809950,9603.292323,9689.440756,"['256 22154.287179', '512 22821.067743', '1024 20302.023449', '2048 21823.726658', '4096 22668.625961', '8192 23120.252620', '16384 23350.707761', '32768 22564.722134', '65536 20947.492211', '131072 20958.663657', '262144 20963.472653', '524288 20959.427036', '1048576 19861.809950', '2097152 18782.520062', '4194304 18759.977912', '8388608 17609.292390', '16777216 13501.287772', '33554432 10425.425872', '67108864 9840.193259', '134217728 9579.361756', '268435456 9479.856124', '536870912 9568.949811', '1073741824 9603.292323', '2147483648 9579.466683', '4294967296 9689.440756', '']",
1660097828-0,i-0323092e2e1b6c89e,m5d.large,52.932942152023315,1660098515.0954862,1660098568.0284283, -w -m32 -e1 -x0 -d2,20301.355353,19891.438715,9591.230856,9681.378761,"['256 22151.703350', '512 22819.158390', '1024 20301.355353', '2048 21820.835443', '4096 22673.400467', '8192 23121.676230', '16384 23352.000914', '32768 22563.545571', '65536 20952.655018', '131072 20963.268923', '262144 20964.431961', '524288 20960.475877', '1048576 19891.438715', '2097152 18768.080000', '4194304 18730.753358', '8388608 17653.910462', '16777216 13200.100167', '33554432 10307.233504', '67108864 9868.059269', '134217728 9531.677234', '268435456 9533.258321', '536870912 9505.616621', '1073741824 9591.230856', '2147483648 9646.304971', '4294967296 9681.378761', '']",
1660097828-0,i-0463fdfa8a26d13fc,m5d.large,52.97406888008118,1660098301.4917216,1660098354.4657905, -w -m32 -e1 -x0 -d2,10246.430573,20056.684906,9489.767581,9572.533453,"['256 22143.025263', '512 22808.265095', '1024 20294.040556', '2048 21812.560020', '4096 22664.052299', '8192 23113.585612', '16384 23341.482064', '32768 22553.065241', '65536 20945.553542', '131072 20876.124097', '262144 20954.145562', '524288 20954.029629', '1048576 20056.684906', '2097152 18831.054649', '4194304 18799.991368', '8388608 17934.833915', '16777216 13228.680068', '33554432 10246.430573', '67108864 9720.965002', '134217728 9549.496370', '268435456 9482.554966', '536870912 9468.078687', '1073741824 9489.767581', '2147483648 9550.288922', '4294967296 9572.533453', '']",
1660097828-0,i-0463fdfa8a26d13fc,m5d.large,52.945902824401855,1660098354.733408,1660098407.6793108, -w -m32 -e1 -x0 -d2,20291.714548,19883.548644,9502.095481,9583.469245,"['256 22139.663805', '512 22801.705064', '1024 20291.714548', '2048 21811.256735', '4096 22662.327586', '8192 23111.851731', '16384 23339.350815', '32768 22556.166121', '65536 20944.636193', '131072 20953.280544', '262144 20957.741462', '524288 20950.939496', '1048576 19883.548644', '2097152 18739.399932', '4194304 18800.994098', '8388608 17945.332148', '16777216 13351.851624', '33554432 10320.676731', '67108864 9639.291363', '134217728 9463.902780', '268435456 9493.487185', '536870912 9467.085303', '1073741824 9502.095481', '2147483648 9559.712495', '4294967296 9583.469245', '']",
1660097828-0,i-0463fdfa8a26d13fc,m5d.large,52.958144664764404,1660098407.9668367,1660098460.9249814, -w -m32 -e1 -x0 -d2,20296.204797,19860.310211,9512.126736,9582.011800,"['256 22051.146035', '512 22813.516333', '1024 20296.204797', '2048 21817.040018', '4096 22666.722332', '8192 23105.503163', '16384 23342.596417', '32768 22510.934445', '65536 20948.098436', '131072 20953.697324', '262144 20953.955814', '524288 20951.908571', '1048576 19860.310211', '2097152 18823.032712', '4194304 18804.384938', '8388608 17911.675552', '16777216 13550.449813', '33554432 10261.781046', '67108864 9743.738922', '134217728 9533.307760', '268435456 9487.607276', '536870912 9468.501604', '1073741824 9512.126736', '2147483648 9559.253319', '4294967296 9582.011800', '']",
1660097828-0,i-0463fdfa8a26d13fc,m5d.large,52.96126842498779,1660098461.1765122,1660098514.1377807, -w -m32 -e1 -x0 -d2,20293.541344,20225.816983,9514.932979,9575.605620,"['256 22139.895560', '512 22812.919754', '1024 20293.541344', '2048 21811.426030', '4096 22614.218457', '8192 23111.976587', '16384 23342.187023', '32768 22558.070242', '65536 20939.241103', '131072 20952.877331', '262144 20953.906861', '524288 20951.550091', '1048576 20225.816983', '2097152 18816.515690', '4194304 18800.687135', '8388608 17871.652510', '16777216 13242.899750', '33554432 10300.006520', '67108864 9785.990530', '134217728 9530.863046', '268435456 9506.172163', '536870912 9470.392168', '1073741824 9514.932979', '2147483648 9544.445975', '4294967296 9575.605620', '']",
1660097828-0,i-0463fdfa8a26d13fc,m5d.large,52.96182346343994,1660098514.4302258,1660098567.3920493, -w -m32 -e1 -x0 -d2,20294.244727,20263.422966,9512.798316,9591.758221,"['256 22141.636340', '512 22813.383996', '1024 20294.244727', '2048 21815.678058', '4096 22662.067914', '8192 23084.422733', '16384 23343.158332', '32768 22478.211550', '65536 20945.963533', '131072 20955.826883', '262144 20959.595008', '524288 20955.635847', '1048576 20263.422966', '2097152 18813.156421', '4194304 18798.562306', '8388608 17882.842209', '16777216 13448.125712', '33554432 10271.230749', '67108864 9783.634669', '134217728 9614.853479', '268435456 9512.502245', '536870912 9477.293234', '1073741824 9512.798316', '2147483648 9530.820943', '4294967296 9591.758221', '']",
