experimentID,instanceID,instanceType,wallTime,testOption,Average Page Latency,Output
1660099982-0,i-0323092e2e1b6c89e,m5d.large,69.6543219089508, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.136,"['Average: 0.136', '']"
1660099982-0,i-0323092e2e1b6c89e,m5d.large,67.45370054244995, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1353,"['Average: 0.1353', '']"
1660099982-0,i-0323092e2e1b6c89e,m5d.large,67.4961769580841, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1356,"['Average: 0.1356', '']"
1660099982-0,i-0323092e2e1b6c89e,m5d.large,67.56603932380676, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1354,"['Average: 0.1354', '']"
1660099982-0,i-0323092e2e1b6c89e,m5d.large,67.47774314880371, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1356,"['Average: 0.1356', '']"
1660099982-0,i-0463fdfa8a26d13fc,m5d.large,69.32321906089783, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1382,"['Average: 0.1382', '']"
1660099982-0,i-0463fdfa8a26d13fc,m5d.large,67.44021844863892, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.138,"['Average: 0.138', '']"
1660099982-0,i-0463fdfa8a26d13fc,m5d.large,67.43243646621704, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1391,"['Average: 0.1391', '']"
1660099982-0,i-0463fdfa8a26d13fc,m5d.large,67.40868663787842, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1389,"['Average: 0.1389', '']"
1660099982-0,i-0463fdfa8a26d13fc,m5d.large,67.46943402290344, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1381,"['Average: 0.1381', '']"
1660099982-0,i-0a8c4e21f86d202f6,m5d.large,69.22478532791138, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.135,"['Average: 0.135', '']"
1660099982-0,i-0a8c4e21f86d202f6,m5d.large,67.39583325386047, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1351,"['Average: 0.1351', '']"
1660099982-0,i-0a8c4e21f86d202f6,m5d.large,67.40371298789978, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1346,"['Average: 0.1346', '']"
1660099982-0,i-0a8c4e21f86d202f6,m5d.large,67.39187264442444, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1351,"['Average: 0.1351', '']"
1660099982-0,i-0a8c4e21f86d202f6,m5d.large,67.42814373970032, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1358,"['Average: 0.1358', '']"
1660099982-0,i-0d2e72b44724d39bb,m5d.large,69.60860967636108, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.138,"['Average: 0.138', '']"
1660099982-0,i-0d2e72b44724d39bb,m5d.large,67.41982197761536, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1379,"['Average: 0.1379', '']"
1660099982-0,i-0d2e72b44724d39bb,m5d.large,67.4272346496582, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1376,"['Average: 0.1376', '']"
1660099982-0,i-0d2e72b44724d39bb,m5d.large,67.3963074684143, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.138,"['Average: 0.138', '']"
1660099982-0,i-0d2e72b44724d39bb,m5d.large,67.4134771823883, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1379,"['Average: 0.1379', '']"
1660099982-0,i-032083616cc67cd2a,m5d.large,69.62180161476135, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1396,"['Average: 0.1396', '']"
1660099982-0,i-032083616cc67cd2a,m5d.large,67.44043803215027, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1396,"['Average: 0.1396', '']"
1660099982-0,i-032083616cc67cd2a,m5d.large,67.43782114982605, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1401,"['Average: 0.1401', '']"
1660099982-0,i-032083616cc67cd2a,m5d.large,67.48972725868225, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1394,"['Average: 0.1394', '']"
1660099982-0,i-032083616cc67cd2a,m5d.large,67.47166562080383, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1398,"['Average: 0.1398', '']"
1660099982-0,i-05f4c2c6d373aa265,m5d.large,69.59237122535706, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1399,"['Average: 0.1399', '']"
1660099982-0,i-05f4c2c6d373aa265,m5d.large,67.4842369556427, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.141,"['Average: 0.141', '']"
1660099982-0,i-05f4c2c6d373aa265,m5d.large,67.39571952819824, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1372,"['Average: 0.1372', '']"
1660099982-0,i-05f4c2c6d373aa265,m5d.large,67.41655492782593, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1368,"['Average: 0.1368', '']"
1660099982-0,i-05f4c2c6d373aa265,m5d.large,67.41724276542664, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1366,"['Average: 0.1366', '']"
1660099982-0,i-05fe2280a85801029,m5d.large,69.36029624938965, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1356,"['Average: 0.1356', '']"
1660099982-0,i-05fe2280a85801029,m5d.large,67.54790544509888, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1359,"['Average: 0.1359', '']"
1660099982-0,i-05fe2280a85801029,m5d.large,67.49303388595581, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1359,"['Average: 0.1359', '']"
1660099982-0,i-05fe2280a85801029,m5d.large,67.4782943725586, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1358,"['Average: 0.1358', '']"
1660099982-0,i-05fe2280a85801029,m5d.large,67.50720191001892, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1365,"['Average: 0.1365', '']"
1660099982-0,i-06ad93ce3f2341b3c,m5d.large,69.4853880405426, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
