experimentID,instanceID,instanceType,wallTime,testOption,Average Page Latency,Output
1660143678-0,i-0edc041ef6cbd57ee,m5d.large,68.77192878723145, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1374,"['Average: 0.1374', '']"
1660143678-0,i-0edc041ef6cbd57ee,m5d.large,67.4517343044281, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1375,"['Average: 0.1375', '']"
1660143678-0,i-0edc041ef6cbd57ee,m5d.large,67.41799664497375, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1397,"['Average: 0.1397', '']"
1660143678-0,i-0edc041ef6cbd57ee,m5d.large,67.46710968017578, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1383,"['Average: 0.1383', '']"
1660143678-0,i-0edc041ef6cbd57ee,m5d.large,67.44390940666199, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1382,"['Average: 0.1382', '']"
1660143678-0,i-07420131001c007a8,m5d.large,69.32963919639587, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1660143678-0,i-07420131001c007a8,m5d.large,67.4501359462738, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1660143678-0,i-07420131001c007a8,m5d.large,67.50857520103455, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.141,"['Average: 0.141', '']"
1660143678-0,i-07420131001c007a8,m5d.large,67.4238634109497, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1408,"['Average: 0.1408', '']"
1660143678-0,i-07420131001c007a8,m5d.large,67.51709198951721, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1660143678-0,i-0ba68fc7bef239749,m5d.large,69.47153568267822, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1474,"['Average: 0.1474', '']"
1660143678-0,i-0ba68fc7bef239749,m5d.large,67.6584780216217, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1459,"['Average: 0.1459', '']"
1660143678-0,i-0ba68fc7bef239749,m5d.large,67.69174981117249, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1457,"['Average: 0.1457', '']"
1660143678-0,i-0ba68fc7bef239749,m5d.large,67.67190623283386, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1447,"['Average: 0.1447', '']"
1660143678-0,i-0ba68fc7bef239749,m5d.large,67.64165949821472, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1437,"['Average: 0.1437', '']"
1660143678-0,i-04dabedf54f434c86,m5d.large,69.14188885688782, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1354,"['Average: 0.1354', '']"
1660143678-0,i-04dabedf54f434c86,m5d.large,67.4581458568573, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1345,"['Average: 0.1345', '']"
1660143678-0,i-04dabedf54f434c86,m5d.large,67.4238874912262, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1339,"['Average: 0.1339', '']"
