experimentID,instanceID,instanceType,wallTime,startTime,endTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1660141321-0,i-0edc041ef6cbd57ee,m5d.large,53.998148918151855,1660141441.8803356,1660141495.8784845, -w -m32 -e1 -x0 -d2,10796.565100,11562.887606,8427.009286,8259.950989,"['256 18091.735587', '512 12303.464188', '1024 10796.565100', '2048 12478.575035', '4096 11949.038810', '8192 11645.687959', '16384 11486.530622', '32768 11205.586134', '65536 12507.617551', '131072 11544.431874', '262144 11643.979864', '524288 12271.483242', '1048576 11562.887606', '2097152 11198.842626', '4194304 11362.643918', '8388608 11451.514787', '16777216 10299.109791', '33554432 9009.739656', '67108864 8245.049373', '134217728 8140.351044', '268435456 8239.026403', '536870912 8205.039159', '1073741824 8427.009286', '2147483648 8299.022960', '4294967296 8259.950989', '']",
1660141321-0,i-0edc041ef6cbd57ee,m5d.large,53.476529359817505,1660141496.0931802,1660141549.5697095, -w -m32 -e1 -x0 -d2,12915.691662,12409.054359,8293.741622,8129.718604,"['256 11017.727768', '512 11552.698177', '1024 12915.691662', '2048 14564.241520', '4096 11681.777973', '8192 12819.817378', '16384 11338.901798', '32768 12840.234606', '65536 12860.762536', '131072 15793.992778', '262144 15972.819011', '524288 14997.315917', '1048576 12409.054359', '2097152 12106.485948', '4194304 11146.621482', '8388608 10999.035450', '16777216 10135.082536', '33554432 8732.505212', '67108864 8835.843572', '134217728 7966.939526', '268435456 8157.277050', '536870912 8185.924942', '1073741824 8293.741622', '2147483648 8279.083882', '4294967296 8129.718604', '']",
1660141321-0,i-0edc041ef6cbd57ee,m5d.large,53.440824031829834,1660141549.9309976,1660141603.3718216, -w -m32 -e1 -x0 -d2,11870.103654,19954.037182,9747.688887,9767.174938,"['256 11412.043948', '512 11601.624136', '1024 11870.103654', '2048 12007.429560', '4096 13279.583914', '8192 16108.606002', '16384 11266.348354', '32768 11177.578261', '65536 11382.915038', '131072 19865.991858', '262144 20955.452295', '524288 20954.777040', '1048576 19954.037182', '2097152 18730.338209', '4194304 18775.824351', '8388608 17998.783145', '16777216 14779.375870', '33554432 10503.711181', '67108864 9659.082265', '134217728 9550.980304', '268435456 9591.306511', '536870912 9687.235160', '1073741824 9747.688887', '2147483648 9829.049946', '4294967296 9767.174938', '']",
1660141321-0,i-0edc041ef6cbd57ee,m5d.large,52.866655588150024,1660141603.5201375,1660141656.3867931, -w -m32 -e1 -x0 -d2,20302.261941,20240.901152,9797.128800,9874.894026,"['256 22148.696086', '512 22816.998187', '1024 20302.261941', '2048 21822.920991', '4096 22670.659263', '8192 23121.154303', '16384 23345.834198', '32768 22504.306454', '65536 20951.600253', '131072 20956.126600', '262144 20960.215073', '524288 20949.296810', '1048576 20240.901152', '2097152 18799.652860', '4194304 18764.170413', '8388608 18020.223341', '16777216 15472.575487', '33554432 10853.758019', '67108864 9839.801635', '134217728 9702.707023', '268435456 9661.019462', '536870912 9674.177245', '1073741824 9797.128800', '2147483648 9913.445432', '4294967296 9874.894026', '']",
1660141321-0,i-0edc041ef6cbd57ee,m5d.large,52.87420845031738,1660141656.6613355,1660141709.535544, -w -m32 -e1 -x0 -d2,20273.718574,20148.936139,9939.835618,9811.520258,"['256 22152.989336', '512 22758.606417', '1024 20273.718574', '2048 21814.691980', '4096 22664.732637', '8192 23115.161735', '16384 23346.345204', '32768 22508.824230', '65536 20951.912806', '131072 20957.341837', '262144 20959.620758', '524288 20952.482195', '1048576 20148.936139', '2097152 18803.838301', '4194304 18792.715028', '8388608 18080.074962', '16777216 15309.930416', '33554432 10957.589398', '67108864 9883.869047', '134217728 9682.343321', '268435456 9673.943088', '536870912 9762.332976', '1073741824 9939.835618', '2147483648 9914.686928', '4294967296 9811.520258', '']",
1660141321-0,i-07420131001c007a8,m5d.large,53.342443227767944,1660141441.4326282,1660141494.7750714, -w -m32 -e1 -x0 -d2,10873.970238,13839.702305,8337.275933,8022.201591,"['256 11508.173278', '512 12116.501513', '1024 10873.970238', '2048 11388.266004', '4096 11729.006770', '8192 11740.559349', '16384 20051.673735', '32768 18501.686757', '65536 14216.060731', '131072 13046.044586', '262144 11267.333350', '524288 11274.334880', '1048576 13839.702305', '2097152 11627.354672', '4194304 11348.753156', '8388608 12512.169273', '16777216 10561.400386', '33554432 8410.168384', '67108864 7821.924788', '134217728 7975.415031', '268435456 8025.089266', '536870912 8031.002717', '1073741824 8337.275933', '2147483648 8109.070316', '4294967296 8022.201591', '']",
1660141321-0,i-07420131001c007a8,m5d.large,53.61543011665344,1660141494.996533,1660141548.611963, -w -m32 -e1 -x0 -d2,16603.662820,11433.130603,8712.647288,8184.751881,"['256 11008.045536', '512 11118.241810', '1024 16603.662820', '2048 12660.761007', '4096 12589.841708', '8192 16812.585751', '16384 12820.090411', '32768 11822.192235', '65536 11351.173513', '131072 11726.148207', '262144 11512.734176', '524288 14672.041218', '1048576 11433.130603', '2097152 11168.191157', '4194304 11134.546831', '8388608 12177.001645', '16777216 10441.220538', '33554432 8671.021103', '67108864 8311.983981', '134217728 8124.707924', '268435456 8217.454648', '536870912 8257.203366', '1073741824 8712.647288', '2147483648 8509.670449', '4294967296 8184.751881', '']",
1660141321-0,i-07420131001c007a8,m5d.large,53.35421299934387,1660141548.8898547,1660141602.2440677, -w -m32 -e1 -x0 -d2,13544.703453,10780.955846,7946.350365,8052.274187,"['256 11793.674795', '512 15095.642273', '1024 13544.703453', '2048 17366.668249', '4096 18749.727308', '8192 19186.324595', '16384 19290.033715', '32768 18785.264155', '65536 13969.659790', '131072 12809.389911', '262144 11343.151653', '524288 11252.316201', '1048576 10780.955846', '2097152 12284.469029', '4194304 11733.876094', '8388608 11472.951273', '16777216 10369.989931', '33554432 8752.403255', '67108864 8463.140103', '134217728 7918.115873', '268435456 7864.880860', '536870912 7888.160032', '1073741824 7946.350365', '2147483648 7922.943537', '4294967296 8052.274187', '']",
1660141321-0,i-07420131001c007a8,m5d.large,53.37475514411926,1660141602.6259313,1660141656.0006864, -w -m32 -e1 -x0 -d2,11709.639844,20105.724264,9693.762157,9667.581146,"['256 13205.154515', '512 16366.086816', '1024 11709.639844', '2048 11053.200763', '4096 11186.052147', '8192 22293.209271', '16384 23350.663896', '32768 22558.244282', '65536 20947.288911', '131072 20904.455567', '262144 20952.474528', '524288 20953.429262', '1048576 20105.724264', '2097152 18790.775763', '4194304 18774.619942', '8388608 18084.563831', '16777216 15823.938438', '33554432 11214.615579', '67108864 10005.656446', '134217728 9557.156232', '268435456 9505.219838', '536870912 9538.616622', '1073741824 9693.762157', '2147483648 9706.285712', '4294967296 9667.581146', '']",
1660141321-0,i-07420131001c007a8,m5d.large,52.96310043334961,1660141656.1621985,1660141709.125299, -w -m32 -e1 -x0 -d2,20298.522417,19840.141151,9788.247728,9738.320656,"['256 22157.548159', '512 22820.140306', '1024 20298.522417', '2048 21814.545686', '4096 22669.782521', '8192 23117.416114', '16384 23350.087097', '32768 22534.688927', '65536 20949.213752', '131072 20956.858107', '262144 20959.075780', '524288 20948.866277', '1048576 19840.141151', '2097152 18764.972409', '4194304 18766.827244', '8388608 18144.606483', '16777216 16455.266005', '33554432 11087.614031', '67108864 9962.707379', '134217728 9603.588520', '268435456 9539.394147', '536870912 9645.870660', '1073741824 9788.247728', '2147483648 9745.807942', '4294967296 9738.320656', '']",
