experimentID,instanceID,instanceType,wallTime,startTime,endTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1660101619-0,i-006657d1b39db8881,m5d.large,53.6746957302094,1660101722.15786,1660101775.83256, -w -m32 -e1 -x0 -d2,10835.772295,11177.170272,6790.705144,7195.54087,"['256 12980.583559', '512 15538.386020', '1024 10835.772295', '2048 11912.627256', '4096 11192.705449', '8192 11744.577608', '16384 11333.837154', '32768 12486.896199', '65536 11485.679038', '131072 11205.781813', '262144 11949.245105', '524288 11441.652887', '1048576 11177.170272', '2097152 11865.777225', '4194304 10737.170069', '8388608 9047.104327', '16777216 8052.138052', '33554432 7366.401689', '67108864 6964.576163', '134217728 6763.014665', '268435456 7429.479294', '536870912 6936.535083', '1073741824 6790.705144', '2147483648 6712.133528', '4294967296 7195.540870', '']",
1660101619-0,i-006657d1b39db8881,m5d.large,53.5267932415009,1660101776.05501,1660101829.58181, -w -m32 -e1 -x0 -d2,10889.918561,11320.141837,6814.850337,6149.948943,"['256 16206.758210', '512 14045.574801', '1024 10889.918561', '2048 11436.721544', '4096 11375.387043', '8192 11948.867418', '16384 11565.442728', '32768 11359.418957', '65536 11414.842649', '131072 11454.865396', '262144 12126.206259', '524288 11307.712125', '1048576 11320.141837', '2097152 11519.107775', '4194304 11166.761710', '8388608 8938.162671', '16777216 8084.422587', '33554432 7381.826401', '67108864 6994.948035', '134217728 6879.065973', '268435456 6827.174720', '536870912 6929.318411', '1073741824 6814.850337', '2147483648 6494.936439', '4294967296 6149.948943', '']",
1660101619-0,i-006657d1b39db8881,m5d.large,53.8930191993713,1660101829.84009,1660101883.73311, -w -m32 -e1 -x0 -d2,13871.716793,11383.340306,6679.422506,7014.552509,"['256 11141.538921', '512 12442.735704', '1024 13871.716793', '2048 10897.517527', '4096 11185.493972', '8192 12578.106696', '16384 10904.469298', '32768 11570.457228', '65536 11795.728294', '131072 11395.867140', '262144 11140.073370', '524288 11256.030243', '1048576 11383.340306', '2097152 11564.866945', '4194304 10785.611757', '8388608 8988.649379', '16777216 7808.946944', '33554432 7193.859190', '67108864 7025.196753', '134217728 6903.353319', '268435456 6912.814430', '536870912 6874.127165', '1073741824 6679.422506', '2147483648 6644.409966', '4294967296 7014.552509', '']",
1660101619-0,i-006657d1b39db8881,m5d.large,53.782897233963,1660101883.98223,1660101937.76513, -w -m32 -e1 -x0 -d2,11158.561442,11584.926255,6960.549241,6724.257296,"['256 15741.870981', '512 13522.383615', '1024 11158.561442', '2048 10848.247982', '4096 13675.047418', '8192 14051.195855', '16384 12763.815691', '32768 11695.285318', '65536 13026.363824', '131072 11818.254497', '262144 11529.499887', '524288 11526.369011', '1048576 11584.926255', '2097152 12100.760536', '4194304 10535.585703', '8388608 8653.756946', '16777216 7389.452678', '33554432 6789.861927', '67108864 6786.661814', '134217728 7143.955664', '268435456 6941.549288', '536870912 7022.313813', '1073741824 6960.549241', '2147483648 6582.471518', '4294967296 6724.257296', '']",
1660101619-0,i-006657d1b39db8881,m5d.large,53.7124948501587,1660101937.97676,1660101991.68925, -w -m32 -e1 -x0 -d2,12501.585971,11446.342202,6989.80036,6629.709027,"['256 15411.923322', '512 12162.405351', '1024 12501.585971', '2048 11361.390237', '4096 11254.941861', '8192 13399.026432', '16384 11294.812791', '32768 11235.524538', '65536 11126.480048', '131072 12616.715930', '262144 11334.389329', '524288 11212.506536', '1048576 11446.342202', '2097152 11451.837332', '4194304 10992.449411', '8388608 10583.996091', '16777216 7901.942131', '33554432 7328.263235', '67108864 6865.104559', '134217728 6861.703856', '268435456 6976.808226', '536870912 6884.557470', '1073741824 6989.800360', '2147483648 6726.950079', '4294967296 6629.709027', '']",
,,,,,,,,,,,,
1660101619-0,i-00b9e9036e7cd43dc,m5d.large,53.4654970169067,1660101722.30393,1660101775.76943, -w -m32 -e1 -x0 -d2,11371.23068,11546.427099,7065.089813,7835.743632,"['256 15477.023304', '512 11583.365814', '1024 11371.230680', '2048 10921.649054', '4096 11871.737129', '8192 11435.083713', '16384 11897.487418', '32768 11658.460360', '65536 11828.410870', '131072 11462.291060', '262144 11890.454961', '524288 12211.462963', '1048576 11546.427099', '2097152 11560.972284', '4194304 11327.130071', '8388608 9807.633963', '16777216 8492.316138', '33554432 8039.529701', '67108864 7622.050985', '134217728 7797.468379', '268435456 7799.451101', '536870912 7733.665195', '1073741824 7065.089813', '2147483648 7516.765076', '4294967296 7835.743632', '']",
1660101619-0,i-00b9e9036e7cd43dc,m5d.large,53.4822239875794,1660101775.97549,1660101829.45771, -w -m32 -e1 -x0 -d2,11702.936187,11226.71214,7689.384138,7676.474989,"['256 11253.866995', '512 12430.251141', '1024 11702.936187', '2048 11417.977853', '4096 15287.305985', '8192 20711.062945', '16384 14656.123887', '32768 11145.637929', '65536 11846.694759', '131072 11616.914961', '262144 12750.439030', '524288 14457.568919', '1048576 11226.712140', '2097152 11334.896875', '4194304 10990.503350', '8388608 10218.964881', '16777216 8285.272085', '33554432 7845.378329', '67108864 7599.103712', '134217728 7746.322223', '268435456 7690.384894', '536870912 7560.279704', '1073741824 7689.384138', '2147483648 7641.304244', '4294967296 7676.474989', '']",
1660101619-0,i-00b9e9036e7cd43dc,m5d.large,53.3790471553803,1660101829.81125,1660101883.1903, -w -m32 -e1 -x0 -d2,11078.123233,11398.541585,7665.730219,7805.640201,"['256 15643.676314', '512 12879.953740', '1024 11078.123233', '2048 14002.432967', '4096 11438.249370', '8192 11823.668471', '16384 11426.013706', '32768 11336.217113', '65536 11063.614287', '131072 13594.259117', '262144 11276.313278', '524288 11132.544243', '1048576 11398.541585', '2097152 11424.882534', '4194304 10815.474406', '8388608 9892.626586', '16777216 8476.173836', '33554432 7502.468475', '67108864 7296.937437', '134217728 7657.579593', '268435456 7720.078421', '536870912 7693.675816', '1073741824 7665.730219', '2147483648 7629.729614', '4294967296 7805.640201', '']",
1660101619-0,i-00b9e9036e7cd43dc,m5d.large,53.6278166770935,1660101883.46675,1660101937.09457, -w -m32 -e1 -x0 -d2,13343.948971,16212.802162,7760.519193,7903.949084,"['256 11857.624876', '512 11980.614121', '1024 13343.948971', '2048 11158.464075', '4096 11841.908084', '8192 11174.245217', '16384 12953.671980', '32768 11338.133593', '65536 11639.178775', '131072 11665.451762', '262144 12438.711784', '524288 18269.269154', '1048576 16212.802162', '2097152 12881.029767', '4194304 11909.472946', '8388608 9608.170623', '16777216 8585.841515', '33554432 8385.393574', '67108864 7977.025233', '134217728 7699.991968', '268435456 7762.041022', '536870912 7705.596238', '1073741824 7760.519193', '2147483648 7614.319756', '4294967296 7903.949084', '']",
1660101619-0,i-00b9e9036e7cd43dc,m5d.large,53.4127988815308,1660101937.32008,1660101990.73288, -w -m32 -e1 -x0 -d2,12034.848866,11204.274622,7622.056163,7972.376379,"['256 12130.951666', '512 11624.604323', '1024 12034.848866', '2048 10813.741343', '4096 13578.331249', '8192 11800.625520', '16384 11319.148512', '32768 11238.886677', '65536 13631.358118', '131072 11432.499144', '262144 12842.657988', '524288 12614.724087', '1048576 11204.274622', '2097152 11473.759419', '4194304 11282.270244', '8388608 10264.861180', '16777216 8497.096729', '33554432 8070.011555', '67108864 7854.867774', '134217728 7706.705143', '268435456 7635.993137', '536870912 7760.899992', '1073741824 7622.056163', '2147483648 7591.015992', '4294967296 7972.376379', '']",
,,,,,,,,,,,,
1660101619-0,i-01281cef4d878bc0a,m5d.large,53.6850175857544,1660101721.75837,1660101775.44338, -w -m32 -e1 -x0 -d2,10745.598021,12245.03146,8249.864312,8379.075422,"['256 10874.331928', '512 13707.636062', '1024 10745.598021', '2048 12069.258347', '4096 11443.575237', '8192 12088.658047', '16384 11466.396108', '32768 11583.061209', '65536 11663.035833', '131072 11165.266736', '262144 11212.181005', '524288 11351.921132', '1048576 12245.031460', '2097152 18249.710470', '4194304 12002.162573', '8388608 10099.341956', '16777216 8420.394468', '33554432 8210.849356', '67108864 8325.198319', '134217728 8126.597577', '268435456 8212.032154', '536870912 8298.468546', '1073741824 8249.864312', '2147483648 8171.525373', '4294967296 8379.075422', '']",
1660101619-0,i-01281cef4d878bc0a,m5d.large,53.3679614067078,1660101775.68085,1660101829.04881, -w -m32 -e1 -x0 -d2,10632.58855,11489.366394,8306.236654,7631.459653,"['256 12915.471093', '512 11839.447377', '1024 10632.588550', '2048 10907.450805', '4096 11848.052691', '8192 11947.354437', '16384 11316.348702', '32768 11292.830920', '65536 11754.983622', '131072 11312.880631', '262144 11576.190322', '524288 11050.320139', '1048576 11489.366394', '2097152 11286.678999', '4194304 12119.603487', '8388608 9308.655082', '16777216 8230.385963', '33554432 8233.808456', '67108864 8221.556351', '134217728 8130.235178', '268435456 8236.704453', '536870912 8215.946985', '1073741824 8306.236654', '2147483648 8198.700033', '4294967296 7631.459653', '']",
1660101619-0,i-01281cef4d878bc0a,m5d.large,53.9963607788086,1660101829.29489,1660101883.29125, -w -m32 -e1 -x0 -d2,10381.550189,11478.521469,8262.064381,8281.517986,"['256 11713.534652', '512 14157.806956', '1024 10381.550189', '2048 10958.936574', '4096 11048.568264', '8192 11729.674607', '16384 11819.063080', '32768 11657.035077', '65536 11406.935049', '131072 11560.636922', '262144 11284.195250', '524288 11471.946048', '1048576 11478.521469', '2097152 11136.178227', '4194304 14215.592192', '8388608 11607.424161', '16777216 8387.232535', '33554432 8187.122983', '67108864 8428.899231', '134217728 8421.526891', '268435456 8680.474183', '536870912 8262.701723', '1073741824 8262.064381', '2147483648 8325.709146', '4294967296 8281.517986', '']",
1660101619-0,i-01281cef4d878bc0a,m5d.large,53.9917180538177,1660101883.54114,1660101937.53286, -w -m32 -e1 -x0 -d2,10644.516535,11307.918769,8258.037657,8243.412786,"['256 11737.239388', '512 13616.417472', '1024 10644.516535', '2048 12073.303104', '4096 10909.447482', '8192 12889.812404', '16384 11567.996336', '32768 11214.105735', '65536 11232.123507', '131072 12896.766776', '262144 11224.352189', '524288 12536.278957', '1048576 11307.918769', '2097152 11163.912794', '4194304 11277.577081', '8388608 9962.971459', '16777216 8529.168066', '33554432 8206.258491', '67108864 8358.510095', '134217728 8190.063092', '268435456 8213.087726', '536870912 8181.766531', '1073741824 8258.037657', '2147483648 8244.699675', '4294967296 8243.412786', '']",
1660101619-0,i-01281cef4d878bc0a,m5d.large,53.910943031311,1660101937.77751,1660101991.68845, -w -m32 -e1 -x0 -d2,10651.129076,14999.907291,8308.259447,8198.418199,"['256 11830.140880', '512 14149.989416', '1024 10651.129076', '2048 12981.957489', '4096 12946.750097', '8192 11480.952781', '16384 12068.590875', '32768 11183.060099', '65536 12629.293578', '131072 14170.524121', '262144 15679.800134', '524288 14696.761781', '1048576 14999.907291', '2097152 13486.329723', '4194304 11501.095445', '8388608 9741.056969', '16777216 8315.591571', '33554432 8467.425858', '67108864 8451.633733', '134217728 8643.498743', '268435456 8085.959105', '536870912 8122.297426', '1073741824 8308.259447', '2147483648 8223.237451', '4294967296 8198.418199', '']",
1660101619-0,i-0c4e42c4087be1765,m5d.large,53.6321747303009,1660101721.97002,1660101775.60219, -w -m32 -e1 -x0 -d2,10688.091356,11230.448737,8475.057424,8243.421913,"['256 16688.144852', '512 13775.921845', '1024 10688.091356', '2048 11343.868583', '4096 11384.347771', '8192 12953.622059', '16384 11469.872276', '32768 12452.356784', '65536 11645.481043', '131072 11313.203729', '262144 11745.279330', '524288 11276.974457', '1048576 11230.448737', '2097152 11428.662115', '4194304 12538.876619', '8388608 14568.295051', '16777216 14071.457140', '33554432 8597.214933', '67108864 8290.377908', '134217728 8017.351365', '268435456 8171.427416', '536870912 8181.385300', '1073741824 8475.057424', '2147483648 8182.523528', '4294967296 8243.421913', '']",
