experimentID,instanceID,instanceType,wallTime,testOption,Average Page Latency,Output
1660103604-0,i-006657d1b39db8881,m5d.large,69.09487414360046, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1660103604-0,i-006657d1b39db8881,m5d.large,67.52668166160583, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1404,"['Average: 0.1404', '']"
1660103604-0,i-006657d1b39db8881,m5d.large,67.5404884815216, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1399,"['Average: 0.1399', '']"
1660103604-0,i-006657d1b39db8881,m5d.large,67.53367161750793, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1398,"['Average: 0.1398', '']"
1660103604-0,i-006657d1b39db8881,m5d.large,67.54294681549072, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1660103604-0,i-00b9e9036e7cd43dc,m5d.large,69.25813508033752, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1393,"['Average: 0.1393', '']"
1660103604-0,i-00b9e9036e7cd43dc,m5d.large,67.47443628311157, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1391,"['Average: 0.1391', '']"
1660103604-0,i-00b9e9036e7cd43dc,m5d.large,67.45349955558777, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1396,"['Average: 0.1396', '']"
1660103604-0,i-00b9e9036e7cd43dc,m5d.large,67.45712637901306, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1391,"['Average: 0.1391', '']"
1660103604-0,i-00b9e9036e7cd43dc,m5d.large,67.47594046592712, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1392,"['Average: 0.1392', '']"
1660103604-0,i-01281cef4d878bc0a,m5d.large,68.92311406135559, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1660103604-0,i-01281cef4d878bc0a,m5d.large,67.40220618247986, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1408,"['Average: 0.1408', '']"
1660103604-0,i-01281cef4d878bc0a,m5d.large,67.41363477706909, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1405,"['Average: 0.1405', '']"
1660103604-0,i-01281cef4d878bc0a,m5d.large,67.36452841758728, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1409,"['Average: 0.1409', '']"
1660103604-0,i-01281cef4d878bc0a,m5d.large,67.35607862472534, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1405,"['Average: 0.1405', '']"
1660103604-0,i-0c4e42c4087be1765,m5d.large,69.2254536151886, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1396,"['Average: 0.1396', '']"
1660103604-0,i-0c4e42c4087be1765,m5d.large,67.49715685844421, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1389,"['Average: 0.1389', '']"
1660103604-0,i-0c4e42c4087be1765,m5d.large,67.57843065261841, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1391,"['Average: 0.1391', '']"
1660103604-0,i-0c4e42c4087be1765,m5d.large,67.48673582077026, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1389,"['Average: 0.1389', '']"
1660103604-0,i-0c4e42c4087be1765,m5d.large,67.56206154823303, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1396,"['Average: 0.1396', '']"
1660103604-0,i-051bdf2c903e79f66,m5d.large,69.17963933944702, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1405,"['Average: 0.1405', '']"
1660103604-0,i-051bdf2c903e79f66,m5d.large,67.41494035720825, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1405,"['Average: 0.1405', '']"
1660103604-0,i-051bdf2c903e79f66,m5d.large,67.35956597328186, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1407,"['Average: 0.1407', '']"
1660103604-0,i-051bdf2c903e79f66,m5d.large,67.51519775390625, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1660103604-0,i-051bdf2c903e79f66,m5d.large,68.24236059188843, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1660103604-0,i-0d7735c8c3631a77a,m5d.large,69.27911853790283, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1311,"['Average: 0.1311', '']"
1660103604-0,i-0d7735c8c3631a77a,m5d.large,67.3427517414093, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1313,"['Average: 0.1313', '']"
1660103604-0,i-0d7735c8c3631a77a,m5d.large,67.35837507247925, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1314,"['Average: 0.1314', '']"
1660103604-0,i-0d7735c8c3631a77a,m5d.large,67.35070610046387, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1341,"['Average: 0.1341', '']"
1660103604-0,i-0d7735c8c3631a77a,m5d.large,67.41985559463501, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1353,"['Average: 0.1353', '']"
1660103604-0,i-0bd81489f84c36238,m5d.large,69.22354435920715, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1405,"['Average: 0.1405', '']"
1660103604-0,i-0bd81489f84c36238,m5d.large,67.55941224098206, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1418,"['Average: 0.1418', '']"
1660103604-0,i-0bd81489f84c36238,m5d.large,67.58821821212769, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.141,"['Average: 0.141', '']"
1660103604-0,i-0bd81489f84c36238,m5d.large,67.59537053108215, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1660103604-0,i-0bd81489f84c36238,m5d.large,67.60449624061584, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.141,"['Average: 0.141', '']"
1660103604-0,i-062e7172a36d3b88d,m5d.large,69.46220970153809, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1388,"['Average: 0.1388', '']"
1660103604-0,i-062e7172a36d3b88d,m5d.large,67.39822196960449, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1393,"['Average: 0.1393', '']"
1660103604-0,i-062e7172a36d3b88d,m5d.large,67.51927709579468, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1393,"['Average: 0.1393', '']"
1660103604-0,i-062e7172a36d3b88d,m5d.large,67.38027906417847, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1397,"['Average: 0.1397', '']"
1660103604-0,i-062e7172a36d3b88d,m5d.large,67.4650821685791, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1394,"['Average: 0.1394', '']"
1660103604-0,i-00d9767bbfdd01c49,m5d.large,69.4973783493042, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1396,"['Average: 0.1396', '']"
1660103604-0,i-00d9767bbfdd01c49,m5d.large,67.42653679847717, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1382,"['Average: 0.1382', '']"
1660103604-0,i-00d9767bbfdd01c49,m5d.large,67.41544222831726, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1383,"['Average: 0.1383', '']"
1660103604-0,i-00d9767bbfdd01c49,m5d.large,67.4856116771698, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1385,"['Average: 0.1385', '']"
