experimentID,instanceID,instanceType,wallTime,startTime,endTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1660106011-0,i-0e5df9ae0cb23859c,m5d.large,52.97597599029541,1660106162.0908523,1660106215.0668283, -w -m32 -e1 -x0 -d2,20294.372402,19863.722616,9631.179312,9600.513182,"['256 22154.429344', '512 22821.307934', '1024 20294.372402', '2048 21821.114581', '4096 22673.362969', '8192 23121.185775', '16384 23351.649400', '32768 22550.906589', '65536 20945.030977', '131072 20951.546501', '262144 20953.910307', '524288 20948.818472', '1048576 19863.722616', '2097152 18750.277901', '4194304 18731.732798', '8388608 18101.591306', '16777216 15982.981500', '33554432 10581.827505', '67108864 9663.055518', '134217728 9437.930503', '268435456 9404.927904', '536870912 9490.168179', '1073741824 9631.179312', '2147483648 9607.651404', '4294967296 9600.513182', '']",
1660106011-0,i-0e5df9ae0cb23859c,m5d.large,52.95187306404114,1660106215.31698,1660106268.268853, -w -m32 -e1 -x0 -d2,20299.898191,19699.813784,9666.060827,9601.381463,"['256 22149.225215', '512 22817.007339', '1024 20299.898191', '2048 21822.087912', '4096 22672.778142', '8192 23119.288046', '16384 23353.552225', '32768 22550.028250', '65536 20946.176586', '131072 20951.916739', '262144 20949.984034', '524288 20949.247946', '1048576 19699.813784', '2097152 18762.128360', '4194304 18728.380260', '8388608 18090.437628', '16777216 15662.170594', '33554432 10871.480929', '67108864 9703.661931', '134217728 9483.434246', '268435456 9432.327647', '536870912 9493.498037', '1073741824 9666.060827', '2147483648 9598.382453', '4294967296 9601.381463', '']",
1660106011-0,i-0e5df9ae0cb23859c,m5d.large,52.991295337677,1660106268.522657,1660106321.5139523, -w -m32 -e1 -x0 -d2,20266.490571,20231.878905,9514.841344,9591.620584,"['256 22067.587128', '512 22819.927274', '1024 20266.490571', '2048 21821.702882', '4096 22667.629849', '8192 23022.316068', '16384 23350.095698', '32768 22550.394041', '65536 20943.205685', '131072 20944.141538', '262144 20953.895280', '524288 20945.539274', '1048576 20231.878905', '2097152 18754.980584', '4194304 18728.072459', '8388608 18085.196414', '16777216 16295.661184', '33554432 10709.486736', '67108864 9777.899556', '134217728 9436.181290', '268435456 9438.093586', '536870912 9508.486155', '1073741824 9514.841344', '2147483648 9566.823964', '4294967296 9591.620584', '']",
1660106011-0,i-0e5df9ae0cb23859c,m5d.large,52.97995972633362,1660106321.7413607,1660106374.7213204, -w -m32 -e1 -x0 -d2,20299.671858,19497.531674,9551.546951,9614.921050,"['256 22153.159379', '512 22820.686430', '1024 20299.671858', '2048 21783.315410', '4096 22630.150038', '8192 23084.590460', '16384 23352.844878', '32768 22501.818985', '65536 20895.117997', '131072 20949.148661', '262144 20951.579271', '524288 20947.591455', '1048576 19497.531674', '2097152 18737.207778', '4194304 18742.740039', '8388608 18028.962104', '16777216 16258.223911', '33554432 10447.398044', '67108864 9640.850439', '134217728 9418.182989', '268435456 9417.565148', '536870912 9482.313721', '1073741824 9551.546951', '2147483648 9604.380520', '4294967296 9614.921050', '']",
1660106011-0,i-0e5df9ae0cb23859c,m5d.large,52.919883012771606,1660106374.9254625,1660106427.8453455, -w -m32 -e1 -x0 -d2,20303.009106,19921.266050,9615.882712,9612.007510,"['256 22150.937019', '512 22822.613568', '1024 20303.009106', '2048 21822.111567', '4096 22675.460217', '8192 23123.202235', '16384 23355.301255', '32768 22415.070343', '65536 20942.768896', '131072 20913.463646', '262144 20952.746088', '524288 20416.277117', '1048576 19921.266050', '2097152 18773.809510', '4194304 18721.827626', '8388608 18067.276434', '16777216 16132.388730', '33554432 10600.198770', '67108864 9609.616355', '134217728 9408.035636', '268435456 9408.612588', '536870912 9452.786135', '1073741824 9615.882712', '2147483648 9596.856344', '4294967296 9612.007510', '']",
1660106011-0,i-0f03dd8d53d124d45,m5d.large,52.87902283668518,1660106162.3699677,1660106215.2489905, -w -m32 -e1 -x0 -d2,20268.980790,19836.183074,9670.661367,9667.299694,"['256 22136.889204', '512 22805.610158', '1024 20268.980790', '2048 21813.413911', '4096 22661.626322', '8192 23108.805436', '16384 23338.406162', '32768 22554.182374', '65536 20873.122463', '131072 20916.066286', '262144 20956.612709', '524288 20880.254493', '1048576 19836.183074', '2097152 18820.194966', '4194304 18796.331971', '8388608 18193.360559', '16777216 16486.573710', '33554432 10915.654356', '67108864 9861.717412', '134217728 9570.702365', '268435456 9582.793473', '536870912 9627.300788', '1073741824 9670.661367', '2147483648 9684.183020', '4294967296 9667.299694', '']",
1660106011-0,i-0f03dd8d53d124d45,m5d.large,52.86399507522583,1660106215.4765215,1660106268.3405166, -w -m32 -e1 -x0 -d2,20281.489397,20163.533816,9726.764586,9686.161397,"['256 22139.113258', '512 22807.192179', '1024 20281.489397', '2048 21811.586753', '4096 22300.201706', '8192 23109.236128', '16384 23337.222684', '32768 22551.637586', '65536 20941.725914', '131072 20950.428345', '262144 20954.995023', '524288 20953.235192', '1048576 20163.533816', '2097152 18775.444055', '4194304 18791.799642', '8388608 18088.810027', '16777216 16745.662255', '33554432 11179.794410', '67108864 9839.990451', '134217728 9620.413756', '268435456 9582.797853', '536870912 9612.321742', '1073741824 9726.764586', '2147483648 9685.824420', '4294967296 9686.161397', '']",
1660106011-0,i-0f03dd8d53d124d45,m5d.large,52.92836284637451,1660106268.6081994,1660106321.5365622, -w -m32 -e1 -x0 -d2,20293.460389,20042.106347,9765.251675,9715.739381,"['256 22141.991131', '512 22807.897521', '1024 20293.460389', '2048 21815.585971', '4096 22660.003396', '8192 23103.168583', '16384 23340.287231', '32768 22502.930728', '65536 20944.802646', '131072 20928.524939', '262144 20957.025629', '524288 20955.726308', '1048576 20042.106347', '2097152 18832.646308', '4194304 18813.661132', '8388608 18153.044488', '16777216 17251.402881', '33554432 11865.666957', '67108864 10135.963324', '134217728 9682.020065', '268435456 9646.370584', '536870912 9682.731136', '1073741824 9765.251675', '2147483648 9765.944862', '4294967296 9715.739381', '']",
1660106011-0,i-0f03dd8d53d124d45,m5d.large,52.867287397384644,1660106321.7599761,1660106374.6272635, -w -m32 -e1 -x0 -d2,20294.421956,20301.369244,9861.458092,9756.615381,"['256 22143.333583', '512 22813.583019', '1024 20294.421956', '2048 21813.334769', '4096 22658.341716', '8192 23109.216121', '16384 23342.447932', '32768 22509.195243', '65536 20900.895676', '131072 20947.822080', '262144 20956.509866', '524288 20361.701591', '1048576 20301.369244', '2097152 18826.902086', '4194304 18808.100330', '8388608 18157.844514', '16777216 17224.211166', '33554432 11803.632774', '67108864 10145.723260', '134217728 9784.897485', '268435456 9682.830097', '536870912 9699.111608', '1073741824 9861.458092', '2147483648 9804.089224', '4294967296 9756.615381', '']",
1660106011-0,i-0f03dd8d53d124d45,m5d.large,52.879886865615845,1660106374.8702133,1660106427.7501001, -w -m32 -e1 -x0 -d2,20294.739917,19934.965674,9840.441934,9770.418537,"['256 22143.002534', '512 22812.091251', '1024 20294.739917', '2048 21815.474553', '4096 22662.870455', '8192 23112.985963', '16384 23342.386621', '32768 22506.847260', '65536 20950.172240', '131072 20956.036085', '262144 20956.980054', '524288 20948.753065', '1048576 19934.965674', '2097152 18815.539087', '4194304 18812.750819', '8388608 18173.257559', '16777216 17272.538065', '33554432 11656.901974', '67108864 10235.884354', '134217728 9818.999946', '268435456 9682.049227', '536870912 9706.490032', '1073741824 9840.441934', '2147483648 9780.450396', '4294967296 9770.418537', '']",
1660106011-0,i-06be662154fab27e7,m5d.large,53.03409004211426,1660106162.198465,1660106215.2325552, -w -m32 -e1 -x0 -d2,19618.129404,19220.464654,9112.930018,9098.221471,"['256 21444.872052', '512 22022.989595', '1024 19618.129404', '2048 21083.526840', '4096 21796.164660', '8192 22333.070480', '16384 22589.055562', '32768 21772.034476', '65536 20279.604757', '131072 20217.248023', '262144 20259.789677', '524288 20278.587385', '1048576 19220.464654', '2097152 18084.289489', '4194304 18079.453248', '8388608 17261.072245', '16777216 13412.097212', '33554432 9455.523106', '67108864 8817.654864', '134217728 9028.023726', '268435456 9115.238521', '536870912 9070.358775', '1073741824 9112.930018', '2147483648 9194.633737', '4294967296 9098.221471', '']",
1660106011-0,i-06be662154fab27e7,m5d.large,53.06835174560547,1660106215.472354,1660106268.5407057, -w -m32 -e1 -x0 -d2,19645.046064,19496.770980,9222.986367,9172.697423,"['256 21398.120538', '512 22054.915903', '1024 19645.046064', '2048 21085.260099', '4096 21904.443207', '8192 22298.062753', '16384 22554.485055', '32768 21730.706044', '65536 20246.022547', '131072 20287.189437', '262144 20279.991119', '524288 20187.238299', '1048576 19496.770980', '2097152 18186.849731', '4194304 18166.424204', '8388608 17486.709542', '16777216 15180.195264', '33554432 10025.730727', '67108864 9422.240142', '134217728 9186.276341', '268435456 9197.530986', '536870912 9207.204003', '1073741824 9222.986367', '2147483648 9097.728659', '4294967296 9172.697423', '']",
1660106011-0,i-06be662154fab27e7,m5d.large,53.00250458717346,1660106268.8379762,1660106321.8404808, -w -m32 -e1 -x0 -d2,19641.837829,19301.457439,9138.320876,9206.468433,"['256 21342.573244', '512 22024.127169', '1024 19641.837829', '2048 21083.922418', '4096 21868.755499', '8192 22324.786973', '16384 22524.156722', '32768 21770.195050', '65536 20265.858189', '131072 20279.603872', '262144 20275.703105', '524288 19981.784031', '1048576 19301.457439', '2097152 18125.251798', '4194304 18094.062561', '8388608 16492.234064', '16777216 13152.423526', '33554432 9794.409703', '67108864 9167.129156', '134217728 9153.838004', '268435456 9111.348582', '536870912 9071.716491', '1073741824 9138.320876', '2147483648 9176.682165', '4294967296 9206.468433', '']",
1660106011-0,i-06be662154fab27e7,m5d.large,53.18634080886841,1660106322.0915265,1660106375.2778673, -w -m32 -e1 -x0 -d2,19575.212881,19359.514123,9400.693658,9372.476942,"['256 21343.164617', '512 22060.119701', '1024 19575.212881', '2048 21022.461217', '4096 21844.407553', '8192 22304.672011', '16384 22554.070523', '32768 21741.151934', '65536 20205.663092', '131072 20270.026957', '262144 20279.040750', '524288 20270.809281', '1048576 19359.514123', '2097152 18210.769150', '4194304 18128.697052', '8388608 16902.951082', '16777216 14501.389094', '33554432 10352.688464', '67108864 9485.196712', '134217728 9253.290272', '268435456 9213.763003', '536870912 9248.679503', '1073741824 9400.693658', '2147483648 9382.108664', '4294967296 9372.476942', '']",
1660106011-0,i-06be662154fab27e7,m5d.large,53.20128560066223,1660106375.5752666,1660106428.7765522, -w -m32 -e1 -x0 -d2,19643.721358,19266.534525,9370.949664,9362.405680,"['256 21403.224690', '512 22038.972855', '1024 19643.721358', '2048 21114.843814', '4096 21863.033786', '8192 22239.819803', '16384 22496.680411', '32768 21826.903473', '65536 20300.370838', '131072 20278.106876', '262144 20286.941778', '524288 20259.134437', '1048576 19266.534525', '2097152 18127.772633', '4194304 18101.561457', '8388608 17365.604265', '16777216 14763.589360', '33554432 9902.906591', '67108864 9345.503669', '134217728 9211.322602', '268435456 9178.028413', '536870912 9265.787270', '1073741824 9370.949664', '2147483648 9332.662736', '4294967296 9362.405680', '']",
1660106011-0,i-069946eb2d6b8328a,m5d.large,53.225921869277954,1660106161.3293023,1660106214.5552242, -w -m32 -e1 -x0 -d2,13794.933683,11460.142779,8157.953201,8082.288847,"['256 11918.430976', '512 14759.803621', '1024 13794.933683', '2048 11827.227955', '4096 11224.114256', '8192 12500.283852', '16384 11731.879117', '32768 11738.164606', '65536 12389.787142', '131072 10921.650656', '262144 12011.465029', '524288 12163.214966', '1048576 11460.142779', '2097152 11169.880591', '4194304 11523.720463', '8388608 11587.368399', '16777216 11311.645110', '33554432 9497.457056', '67108864 8332.929225', '134217728 8194.015508', '268435456 8076.917537', '536870912 8047.418502', '1073741824 8157.953201', '2147483648 8041.296924', '4294967296 8082.288847', '']",
1660106011-0,i-069946eb2d6b8328a,m5d.large,53.18175911903381,1660106214.7794795,1660106267.9612386, -w -m32 -e1 -x0 -d2,12352.089952,12462.854489,8324.243890,8106.766183,"['256 19045.801598', '512 18175.597302', '1024 12352.089952', '2048 11305.076911', '4096 10735.404384', '8192 13410.974989', '16384 12941.757529', '32768 11854.237026', '65536 12526.621876', '131072 12038.376830', '262144 11548.261583', '524288 11582.655045', '1048576 12462.854489', '2097152 11909.529187', '4194304 11029.000515', '8388608 10879.041061', '16777216 10998.852068', '33554432 9672.170854', '67108864 8594.494760', '134217728 8454.807202', '268435456 8170.157585', '536870912 8092.824212', '1073741824 8324.243890', '2147483648 8105.045134', '4294967296 8106.766183', '']",
1660106011-0,i-069946eb2d6b8328a,m5d.large,53.31115651130676,1660106268.159804,1660106321.4709606, -w -m32 -e1 -x0 -d2,13358.792905,13436.575158,8692.065298,8021.269429,"['256 11814.379575', '512 12935.094737', '1024 13358.792905', '2048 12220.704863', '4096 11704.138969', '8192 12755.163193', '16384 13105.982837', '32768 11402.809433', '65536 11961.770208', '131072 11753.443746', '262144 12505.793202', '524288 14042.404433', '1048576 13436.575158', '2097152 11650.369111', '4194304 11668.193230', '8388608 11239.127006', '16777216 13300.387840', '33554432 10224.966057', '67108864 9362.454824', '134217728 8801.494562', '268435456 8737.389377', '536870912 9103.501209', '1073741824 8692.065298', '2147483648 8212.231778', '4294967296 8021.269429', '']",
1660106011-0,i-069946eb2d6b8328a,m5d.large,53.3862419128418,1660106321.8108447,1660106375.1970866, -w -m32 -e1 -x0 -d2,13032.852962,11364.924413,9850.701586,9765.087767,"['256 11202.562373', '512 13234.633160', '1024 13032.852962', '2048 12374.187439', '4096 12153.574071', '8192 16301.649705', '16384 12685.017608', '32768 11124.816699', '65536 11313.458080', '131072 11336.390636', '262144 11857.941608', '524288 11668.912083', '1048576 11364.924413', '2097152 13274.199276', '4194304 11565.892580', '8388608 11264.115755', '16777216 11160.646241', '33554432 12351.847507', '67108864 10517.820256', '134217728 9920.781384', '268435456 9846.482453', '536870912 9792.652014', '1073741824 9850.701586', '2147483648 9854.342911', '4294967296 9765.087767', '']",
1660106011-0,i-069946eb2d6b8328a,m5d.large,52.8668098449707,1660106375.3561366,1660106428.2229464, -w -m32 -e1 -x0 -d2,20613.177997,20290.933917,9892.924016,9747.863790,"['256 22489.075905', '512 23168.963200', '1024 20613.177997', '2048 22161.523967', '4096 22945.373184', '8192 23469.636715', '16384 23704.774770', '32768 22895.029188', '65536 21279.745927', '131072 21282.953210', '262144 21284.677276', '524288 21273.039227', '1048576 20290.933917', '2097152 19120.287623', '4194304 19112.331160', '8388608 18498.673366', '16777216 17716.707491', '33554432 12244.576806', '67108864 10401.297112', '134217728 9921.981012', '268435456 9886.657091', '536870912 9799.373685', '1073741824 9892.924016', '2147483648 9828.087562', '4294967296 9747.863790', '']",
1660106011-0,i-089905f6fe0148f45,m5d.large,52.79130268096924,1660106162.1240954,1660106214.9153981, -w -m32 -e1 -x0 -d2,20291.873337,20046.676323,10050.478957,10008.303251,"['256 22140.137573', '512 22808.883376', '1024 20291.873337', '2048 21727.712344', '4096 22662.906957', '8192 23113.389713', '16384 23342.244072', '32768 22553.577560', '65536 20909.539041', '131072 20954.929007', '262144 20957.600500', '524288 20955.209788', '1048576 20046.676323', '2097152 18830.937281', '4194304 18776.365802', '8388608 18222.684209', '16777216 17141.340918', '33554432 12049.557626', '67108864 10457.541973', '134217728 9945.683023', '268435456 9817.296242', '536870912 9920.885048', '1073741824 10050.478957', '2147483648 10022.590038', '4294967296 10008.303251', '']",
1660106011-0,i-089905f6fe0148f45,m5d.large,52.762027978897095,1660106215.1405385,1660106267.9025664, -w -m32 -e1 -x0 -d2,20287.894852,20204.510477,10110.030965,9983.275778,"['256 22138.549545', '512 22807.350286', '1024 20287.894852', '2048 21814.053453', '4096 22660.324155', '8192 23107.201231', '16384 23333.871400', '32768 22469.962303', '65536 20947.856052', '131072 20883.620323', '262144 20955.994033', '524288 20911.504778', '1048576 20204.510477', '2097152 18805.780885', '4194304 18795.218443', '8388608 18170.414474', '16777216 16956.711498', '33554432 12427.729092', '67108864 10517.632782', '134217728 9905.633912', '268435456 9816.137791', '536870912 9902.646922', '1073741824 10110.030965', '2147483648 10043.289389', '4294967296 9983.275778', '']",
1660106011-0,i-089905f6fe0148f45,m5d.large,52.724326372146606,1660106268.1792343,1660106320.9035606, -w -m32 -e1 -x0 -d2,20295.801307,20091.332150,10170.006126,10004.320733,"['256 22144.766337', '512 22813.853088', '1024 20295.801307', '2048 21815.715536', '4096 22662.893672', '8192 23106.007606', '16384 23338.218417', '32768 22506.951495', '65536 20951.793193', '131072 20943.420827', '262144 20879.619298', '524288 20956.574338', '1048576 20091.332150', '2097152 18798.323360', '4194304 18786.867703', '8388608 18138.152943', '16777216 17019.936305', '33554432 12362.974355', '67108864 10520.973049', '134217728 9898.505401', '268435456 9817.321898', '536870912 9972.074000', '1073741824 10170.006126', '2147483648 10085.199441', '4294967296 10004.320733', '']",
1660106011-0,i-089905f6fe0148f45,m5d.large,52.72134804725647,1660106321.1841807,1660106373.9055288, -w -m32 -e1 -x0 -d2,20294.661061,20294.390981,10172.574720,10015.821560,"['256 22145.602721', '512 22812.233072', '1024 20294.661061', '2048 21813.424247', '4096 22661.380644', '8192 23116.740881', '16384 23341.057225', '32768 22554.684951', '65536 20948.072853', '131072 20907.308119', '262144 20958.294712', '524288 20949.056307', '1048576 20294.390981', '2097152 18808.387211', '4194304 18720.266727', '8388608 18188.480432', '16777216 17445.891952', '33554432 12469.056985', '67108864 10414.400567', '134217728 10023.134120', '268435456 9978.585500', '536870912 9993.892866', '1073741824 10172.574720', '2147483648 10058.167080', '4294967296 10015.821560', '']",
1660106011-0,i-089905f6fe0148f45,m5d.large,52.740586042404175,1660106374.1683779,1660106426.908964, -w -m32 -e1 -x0 -d2,20292.395562,20088.769602,10157.596252,10060.762968,"['256 22143.054745', '512 22809.362411', '1024 20292.395562', '2048 21814.584837', '4096 22665.338657', '8192 23114.316613', '16384 23340.312818', '32768 22557.800500', '65536 20949.914689', '131072 20958.150450', '262144 20959.031315', '524288 20956.824800', '1048576 20088.769602', '2097152 18812.737643', '4194304 18796.909278', '8388608 18190.360948', '16777216 17292.603320', '33554432 12479.103202', '67108864 10537.939731', '134217728 10035.860099', '268435456 9908.188626', '536870912 9916.865636', '1073741824 10157.596252', '2147483648 10098.622982', '4294967296 10060.762968', '']",
1660106011-0,i-026421ba72467cdc2,m5d.large,53.16618800163269,1660106161.9332995,1660106215.0994875, -w -m32 -e1 -x0 -d2,11230.519924,11425.331134,7999.848420,7674.888969,"['256 11004.133379', '512 14621.641214', '1024 11230.519924', '2048 11631.123793', '4096 14540.048375', '8192 11329.090402', '16384 11789.121766', '32768 11584.810193', '65536 11523.983883', '131072 11392.202408', '262144 11401.561772', '524288 11276.932654', '1048576 11425.331134', '2097152 11682.121798', '4194304 10706.948491', '8388608 11086.202104', '16777216 10924.842709', '33554432 8927.454940', '67108864 8235.707612', '134217728 8189.524362', '268435456 7976.402006', '536870912 8025.200307', '1073741824 7999.848420', '2147483648 8140.703633', '4294967296 7674.888969', '']",
1660106011-0,i-026421ba72467cdc2,m5d.large,53.88053894042969,1660106215.2609832,1660106269.1415222, -w -m32 -e1 -x0 -d2,12626.781433,11275.805621,8058.151943,8808.458589,"['256 13512.157196', '512 12043.000826', '1024 12626.781433', '2048 11150.881351', '4096 11125.300252', '8192 11871.069335', '16384 10812.115190', '32768 11214.210383', '65536 12123.013739', '131072 11026.345677', '262144 11148.691742', '524288 11312.420102', '1048576 11275.805621', '2097152 11315.083826', '4194304 11382.403484', '8388608 11406.783635', '16777216 10742.114277', '33554432 8683.450823', '67108864 8256.291461', '134217728 8056.499111', '268435456 7958.098243', '536870912 8060.440025', '1073741824 8058.151943', '2147483648 8495.715073', '4294967296 8808.458589', '']",
1660106011-0,i-026421ba72467cdc2,m5d.large,53.26462721824646,1660106269.3201065,1660106322.5847337, -w -m32 -e1 -x0 -d2,15245.853203,11648.590995,8040.995262,7951.123768,"['256 11026.155630', '512 11138.528676', '1024 15245.853203', '2048 12988.912301', '4096 11647.362053', '8192 14420.753199', '16384 12097.091965', '32768 11456.956237', '65536 11281.152209', '131072 11668.983018', '262144 12213.209608', '524288 11187.677633', '1048576 11648.590995', '2097152 10715.379772', '4194304 11030.582242', '8388608 11130.235626', '16777216 11258.425783', '33554432 9019.860877', '67108864 8170.833752', '134217728 8087.754189', '268435456 8372.751664', '536870912 8005.759915', '1073741824 8040.995262', '2147483648 8098.362090', '4294967296 7951.123768', '']",
1660106011-0,i-026421ba72467cdc2,m5d.large,53.33825492858887,1660106322.793943,1660106376.1321979, -w -m32 -e1 -x0 -d2,11859.559548,11326.378421,8173.985969,7718.024705,"['256 15401.457036', '512 13766.980949', '1024 11859.559548', '2048 11439.390288', '4096 12325.374840', '8192 12687.773861', '16384 11305.568737', '32768 11429.631126', '65536 11610.083281', '131072 11466.620661', '262144 14854.692157', '524288 14586.910968', '1048576 11326.378421', '2097152 11273.798931', '4194304 11398.405078', '8388608 11671.778011', '16777216 12384.596721', '33554432 10220.238286', '67108864 8389.620996', '134217728 8190.429560', '268435456 8705.582978', '536870912 8456.608579', '1073741824 8173.985969', '2147483648 8007.193989', '4294967296 7718.024705', '']",
