experimentID,instanceID,instanceType,wallTime,testOption,Average Page Latency,Output
1658529848-0,i-08a7fc8a8e1162117,m5d.large,69.0601749420166, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0642,"['Average: 0.0642', '']"
1658529848-0,i-08a7fc8a8e1162117,m5d.large,67.4586353302002, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0614,"['Average: 0.0614', '']"
1658529848-0,i-08a7fc8a8e1162117,m5d.large,67.39365911483765, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0608,"['Average: 0.0608', '']"
1658529848-0,i-08a7fc8a8e1162117,m5d.large,67.4057970046997, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0619,"['Average: 0.0619', '']"
1658529848-0,i-08a7fc8a8e1162117,m5d.large,67.4528820514679, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0609,"['Average: 0.0609', '']"
1658529848-0,i-09097d85f168fe34c,m5d.large,68.75909566879272, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0623,"['Average: 0.0623', '']"
1658529848-0,i-09097d85f168fe34c,m5d.large,67.56635046005249, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0615,"['Average: 0.0615', '']"
1658529848-0,i-09097d85f168fe34c,m5d.large,67.52607727050781, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0617,"['Average: 0.0617', '']"
1658529848-0,i-09097d85f168fe34c,m5d.large,67.54330468177795, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0617,"['Average: 0.0617', '']"
1658529848-0,i-09097d85f168fe34c,m5d.large,67.57055521011353, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0654,"['Average: 0.0654', '']"
1658529848-0,i-00938f522d1cd10ee,m5d.large,69.06929779052734, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0617,"['Average: 0.0617', '']"
1658529848-0,i-00938f522d1cd10ee,m5d.large,67.4286105632782, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.061,"['Average: 0.061', '']"
1658529848-0,i-00938f522d1cd10ee,m5d.large,67.38865184783936, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0609,"['Average: 0.0609', '']"
1658529848-0,i-00938f522d1cd10ee,m5d.large,67.40524339675903, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0615,"['Average: 0.0615', '']"
1658529848-0,i-00938f522d1cd10ee,m5d.large,67.42286086082458, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0616,"['Average: 0.0616', '']"
1658529848-0,i-0ff4a3477dd20148f,m5d.large,69.06871390342712, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0611,"['Average: 0.0611', '']"
1658529848-0,i-0ff4a3477dd20148f,m5d.large,67.4664978981018, /home/ubuntu/SCRIPT/scripts/remote/pmbench.sh, 0.0611,"['Average: 0.0611', '']"
