experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1658506916-0,i-071a98382c8f5781b,m5d.large,52.869839906692505, -w -m32 -e1 -x0 -d2,20258.761401,19888.473055,9935.135024,9830.595003,"['256 22141.071985', '512 22819.853276', '1024 20258.761401', '2048 21822.890492', '4096 22670.760205', '8192 23045.885029', '16384 23343.511748', '32768 22515.946623', '65536 20956.458241', '131072 20959.915808', '262144 20963.867320', '524288 20958.339551', '1048576 19888.473055', '2097152 18823.572675', '4194304 18803.810010', '8388608 18261.563592', '16777216 17667.006621', '33554432 12663.324812', '67108864 10261.261884', '134217728 9557.108926', '268435456 9592.949107', '536870912 9642.568956', '1073741824 9935.135024', '2147483648 9884.738046', '4294967296 9830.595003', '']",
1658506916-0,i-071a98382c8f5781b,m5d.large,52.964275598526, -w -m32 -e1 -x0 -d2,20294.741939,20169.501650,9833.372363,9586.006211,"['256 22145.672848', '512 22821.197491', '1024 20294.741939', '2048 21819.073024', '4096 22671.096437', '8192 23117.862722', '16384 23303.697017', '32768 22530.648118', '65536 20954.541279', '131072 20874.559243', '262144 20958.560168', '524288 20890.870223', '1048576 20169.501650', '2097152 18810.412996', '4194304 18804.486109', '8388608 18174.089290', '16777216 17415.227522', '33554432 12701.713879', '67108864 10492.881318', '134217728 9919.706721', '268435456 9563.966538', '536870912 9298.972354', '1073741824 9833.372363', '2147483648 9809.781123', '4294967296 9586.006211', '']",
1658506916-0,i-071a98382c8f5781b,m5d.large,53.10619521141052, -w -m32 -e1 -x0 -d2,20302.842381,20025.271848,9394.520803,9316.423537,"['256 22153.483147', '512 22821.694489', '1024 20302.842381', '2048 21821.653459', '4096 22669.573004', '8192 23110.233718', '16384 23349.172536', '32768 22562.797005', '65536 20952.822481', '131072 20854.650991', '262144 20895.693637', '524288 20940.576075', '1048576 20025.271848', '2097152 18701.855346', '4194304 18663.997070', '8388608 17940.583087', '16777216 14106.692181', '33554432 10184.093061', '67108864 9430.758568', '134217728 9122.262557', '268435456 9292.246502', '536870912 9344.318844', '1073741824 9394.520803', '2147483648 9428.190514', '4294967296 9316.423537', '']",
1658506916-0,i-071a98382c8f5781b,m5d.large,53.14173769950867, -w -m32 -e1 -x0 -d2,20292.081151,19864.906584,9390.861490,9363.672163,"['256 22140.428153', '512 22814.580267', '1024 20292.081151', '2048 21808.828276', '4096 22661.647143', '8192 23112.122728', '16384 23340.866947', '32768 22546.326499', '65536 20932.621612', '131072 20943.366401', '262144 20945.990970', '524288 20951.840400', '1048576 19864.906584', '2097152 18668.576746', '4194304 18656.998523', '8388608 17828.601469', '16777216 14535.178590', '33554432 10032.340498', '67108864 9194.286432', '134217728 9300.311870', '268435456 9315.797746', '536870912 9307.851649', '1073741824 9390.861490', '2147483648 9309.714620', '4294967296 9363.672163', '']",
1658506916-0,i-071a98382c8f5781b,m5d.large,53.102357387542725, -w -m32 -e1 -x0 -d2,20293.146534,20063.112315,9393.860463,9410.740064,"['256 22142.801142', '512 22807.984169', '1024 20293.146534', '2048 21811.584259', '4096 22662.526372', '8192 23114.681349', '16384 23340.829258', '32768 22553.768714', '65536 20944.401498', '131072 20951.611908', '262144 20954.292442', '524288 20941.086384', '1048576 20063.112315', '2097152 18670.033136', '4194304 18636.394724', '8388608 17929.228791', '16777216 13820.699189', '33554432 10057.877215', '67108864 9414.230231', '134217728 9189.636806', '268435456 9319.839921', '536870912 9252.351349', '1073741824 9393.860463', '2147483648 9416.368761', '4294967296 9410.740064', '']",
1658506916-0,i-0f69706fe9c482c92,m5d.large,53.17931652069092, -w -m32 -e1 -x0 -d2,20249.127059,19806.520817,7376.934170,7190.367219,"['256 22103.922116', '512 22766.798851', '1024 20249.127059', '2048 21771.237328', '4096 22618.548347', '8192 22972.559503', '16384 23296.138597', '32768 22425.354598', '65536 20898.354266', '131072 20903.909259', '262144 20862.584598', '524288 20899.159996', '1048576 19806.520817', '2097152 18634.047283', '4194304 18618.126118', '8388608 16996.059537', '16777216 8780.781540', '33554432 7494.063494', '67108864 7352.874164', '134217728 7171.522047', '268435456 7269.656861', '536870912 7425.514542', '1073741824 7376.934170', '2147483648 7730.649503', '4294967296 7190.367219', '']",
1658506916-0,i-0f69706fe9c482c92,m5d.large,53.35061240196228, -w -m32 -e1 -x0 -d2,20254.288420,19907.271346,7379.277468,7092.299906,"['256 22088.839878', '512 22762.661041', '1024 20254.288420', '2048 21777.946188', '4096 22618.986510', '8192 23065.418071', '16384 23296.958418', '32768 22451.740891', '65536 20900.977155', '131072 20816.164273', '262144 20893.649864', '524288 20826.013770', '1048576 19907.271346', '2097152 18611.570746', '4194304 18610.012277', '8388608 17200.375990', '16777216 8650.266543', '33554432 7795.284480', '67108864 7287.267348', '134217728 7082.167896', '268435456 7107.625012', '536870912 7206.280007', '1073741824 7379.277468', '2147483648 7493.337115', '4294967296 7092.299906', '']",
1658506916-0,i-0f69706fe9c482c92,m5d.large,53.206398248672485, -w -m32 -e1 -x0 -d2,20262.528094,19957.973062,7323.798836,7488.159476,"['256 22094.632335', '512 22756.849909', '1024 20262.528094', '2048 21780.926183', '4096 22622.595653', '8192 23059.082101', '16384 23276.469498', '32768 22482.323330', '65536 20888.564693', '131072 20894.657466', '262144 20901.771788', '524288 20887.391773', '1048576 19957.973062', '2097152 18653.656854', '4194304 18630.385325', '8388608 17271.641932', '16777216 8486.236722', '33554432 7181.173394', '67108864 7372.740865', '134217728 7613.357948', '268435456 7203.440662', '536870912 7260.703217', '1073741824 7323.798836', '2147483648 7603.022519', '4294967296 7488.159476', '']",
1658506916-0,i-0f69706fe9c482c92,m5d.large,53.08717107772827, -w -m32 -e1 -x0 -d2,20250.141850,19816.629507,7528.128004,7249.424905,"['256 22093.169535', '512 22756.726408', '1024 20250.141850', '2048 21764.915965', '4096 22615.247399', '8192 23062.803180', '16384 23283.341969', '32768 22486.653474', '65536 20879.774419', '131072 20893.546111', '262144 20904.803715', '524288 20898.977159', '1048576 19816.629507', '2097152 18661.691368', '4194304 18601.978359', '8388608 16960.455776', '16777216 8456.641608', '33554432 7575.320754', '67108864 7581.267966', '134217728 7545.233508', '268435456 7170.839635', '536870912 7221.338364', '1073741824 7528.128004', '2147483648 7115.851132', '4294967296 7249.424905', '']",
1658506916-0,i-0f69706fe9c482c92,m5d.large,53.22056484222412, -w -m32 -e1 -x0 -d2,20238.667571,20097.371915,6880.978797,7039.189547,"['256 22097.010223', '512 22750.030459', '1024 20238.667571', '2048 21762.767266', '4096 22613.008922', '8192 23066.862101', '16384 23295.545968', '32768 22481.089716', '65536 20889.865618', '131072 20897.826143', '262144 20901.153082', '524288 20895.137301', '1048576 20097.371915', '2097152 18648.072471', '4194304 18611.215398', '8388608 17217.489558', '16777216 8707.517930', '33554432 7055.459072', '67108864 7108.155562', '134217728 7373.790324', '268435456 7440.916806', '536870912 7339.169233', '1073741824 6880.978797', '2147483648 6994.172127', '4294967296 7039.189547', '']",
