experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1658511842-0,i-02f4214f2c180aafb,m5d.large,53.0644369125366, -w -m32 -e1 -x0 -d2,20606.521144,20275.85831,9385.233684,9468.86005,"['256 22484.940840', '512 23163.379887', '1024 20606.521144', '2048 22151.867583', '4096 23013.391726', '8192 23468.008919', '16384 23699.046901', '32768 22886.571329', '65536 21256.308909', '131072 21256.229436', '262144 21239.299128', '524288 21256.809388', '1048576 20275.858310', '2097152 19000.487334', '4194304 18864.773263', '8388608 16513.133281', '16777216 10936.605143', '33554432 9662.199918', '67108864 9387.039503', '134217728 9328.815797', '268435456 9321.702129', '536870912 9339.325057', '1073741824 9385.233684', '2147483648 9434.073996', '4294967296 9468.860050', '']",
1658511842-0,i-02f4214f2c180aafb,m5d.large,53.0435750484467, -w -m32 -e1 -x0 -d2,20599.78116,20325.37492,9408.718598,9476.542883,"['256 22318.078167', '512 23156.477493', '1024 20599.781160', '2048 22068.460831', '4096 23007.108319', '8192 23467.095482', '16384 23704.231250', '32768 22893.062003', '65536 21258.078461', '131072 21259.625553', '262144 21259.436260', '524288 21259.396879', '1048576 20325.374920', '2097152 18944.615029', '4194304 18849.362139', '8388608 16848.358130', '16777216 11084.900517', '33554432 9846.668595', '67108864 9468.357854', '134217728 9307.888302', '268435456 9343.228768', '536870912 9350.018031', '1073741824 9408.718598', '2147483648 9414.269907', '4294967296 9476.542883', '']",
1658511842-0,i-02f4214f2c180aafb,m5d.large,53.0348269939423, -w -m32 -e1 -x0 -d2,20604.126656,20148.550661,9406.04442,9479.630309,"['256 22480.744257', '512 23163.007461', '1024 20604.126656', '2048 22072.303401', '4096 23006.699248', '8192 23458.345666', '16384 23695.568341', '32768 22893.354389', '65536 21255.830372', '131072 21259.373916', '262144 21266.833687', '524288 21261.161992', '1048576 20148.550661', '2097152 18929.270922', '4194304 18794.256268', '8388608 17221.013878', '16777216 11837.202579', '33554432 9824.877599', '67108864 9411.790353', '134217728 9318.708674', '268435456 9334.935523', '536870912 9336.771549', '1073741824 9406.044420', '2147483648 9449.155070', '4294967296 9479.630309', '']",
1658511842-0,i-02f4214f2c180aafb,m5d.large,53.0599720478058, -w -m32 -e1 -x0 -d2,20601.828895,20529.267708,9343.287432,9473.460502,"['256 22483.630006', '512 23157.596785', '1024 20601.828895', '2048 22147.800866', '4096 23010.705866', '8192 23470.169776', '16384 23698.821752', '32768 22786.392419', '65536 21249.724879', '131072 21259.396454', '262144 21192.073872', '524288 21264.124242', '1048576 20529.267708', '2097152 18951.867129', '4194304 18762.539520', '8388608 17231.935781', '16777216 11578.519613', '33554432 9837.767383', '67108864 9422.952116', '134217728 9352.230438', '268435456 9323.125346', '536870912 9316.836598', '1073741824 9343.287432', '2147483648 9414.609262', '4294967296 9473.460502', '']",
1658511842-0,i-02f4214f2c180aafb,m5d.large,53.0850903987885, -w -m32 -e1 -x0 -d2,20607.584031,20105.206046,9391.466352,9405.316538,"['256 22486.010881', '512 23160.167012', '1024 20607.584031', '2048 22151.157636', '4096 23013.403893', '8192 23468.122832', '16384 23704.378504', '32768 22839.895124', '65536 21259.719497', '131072 21264.354630', '262144 21182.673330', '524288 21254.336540', '1048576 20105.206046', '2097152 18883.601849', '4194304 18804.245448', '8388608 16939.048045', '16777216 11641.252815', '33554432 9803.874937', '67108864 9397.712640', '134217728 9260.586620', '268435456 9322.965766', '536870912 9335.186688', '1073741824 9391.466352', '2147483648 9366.270677', '4294967296 9405.316538', '']",
1658511842-0,i-0ad1c9f1cc384030c,m5d.large,52.9118132591248, -w -m32 -e1 -x0 -d2,20617.376338,20050.790383,9630.52146,9660.990082,"['256 22502.123232', '512 23175.875449', '1024 20617.376338', '2048 22168.929949', '4096 23035.851893', '8192 23489.588467', '16384 23653.909319', '32768 22921.834366', '65536 21284.067668', '131072 21287.681761', '262144 21286.047134', '524288 21279.172788', '1048576 20050.790383', '2097152 19128.796471', '4194304 19054.972107', '8388608 18276.785637', '16777216 13563.505911', '33554432 10275.939224', '67108864 9860.855692', '134217728 9654.188519', '268435456 9489.936545', '536870912 9526.097836', '1073741824 9630.521460', '2147483648 9625.973496', '4294967296 9660.990082', '']",
1658511842-0,i-0ad1c9f1cc384030c,m5d.large,52.8762550354004, -w -m32 -e1 -x0 -d2,20590.690616,20087.455474,9648.322607,9654.020904,"['256 22492.860264', '512 23109.083814', '1024 20590.690616', '2048 22170.328690', '4096 22946.828981', '8192 23486.051722', '16384 23721.337537', '32768 22924.654856', '65536 21287.192068', '131072 21260.302492', '262144 21292.345987', '524288 21293.688224', '1048576 20087.455474', '2097152 19200.007730', '4194304 19114.802953', '8388608 18321.103545', '16777216 14713.895752', '33554432 10800.130284', '67108864 10139.437468', '134217728 9857.521881', '268435456 9709.019046', '536870912 9599.000651', '1073741824 9648.322607', '2147483648 9638.234798', '4294967296 9654.020904', '']",
1658511842-0,i-0ad1c9f1cc384030c,m5d.large,52.9943008422852, -w -m32 -e1 -x0 -d2,20617.544626,20328.287348,9508.963941,9537.045736,"['256 22499.167809', '512 23177.285851', '1024 20617.544626', '2048 22160.099591', '4096 22939.591744', '8192 23474.961550', '16384 23717.959140', '32768 22917.242816', '65536 21281.224417', '131072 21288.692493', '262144 21289.563335', '524288 21287.926636', '1048576 20328.287348', '2097152 19099.840821', '4194304 19089.250802', '8388608 18185.055086', '16777216 14021.484531', '33554432 10510.901378', '67108864 10143.161129', '134217728 9874.300652', '268435456 9660.702016', '536870912 9517.297808', '1073741824 9508.963941', '2147483648 9538.584515', '4294967296 9537.045736', '']",
1658511842-0,i-0ad1c9f1cc384030c,m5d.large,52.9563548564911, -w -m32 -e1 -x0 -d2,20618.109577,20392.664309,9481.150677,9534.781977,"['256 22499.056186', '512 23175.540147', '1024 20618.109577', '2048 22163.121647', '4096 23025.112386', '8192 23480.688748', '16384 23715.777742', '32768 22784.361789', '65536 21273.500240', '131072 21256.827798', '262144 21283.945513', '524288 21208.896981', '1048576 20392.664309', '2097152 19055.275759', '4194304 19051.153455', '8388608 18203.118306', '16777216 13962.675589', '33554432 10580.447776', '67108864 10037.921439', '134217728 9710.376054', '268435456 9467.627150', '536870912 9440.806992', '1073741824 9481.150677', '2147483648 9526.623269', '4294967296 9534.781977', '']",
1658511842-0,i-0ad1c9f1cc384030c,m5d.large,52.9257643222809, -w -m32 -e1 -x0 -d2,20612.458774,20588.988134,9541.597859,9546.55533,"['256 22498.138230', '512 23175.532425', '1024 20612.458774', '2048 22161.545322', '4096 23024.642596', '8192 23481.221043', '16384 23712.097530', '32768 22915.228559', '65536 21275.839082', '131072 21284.233281', '262144 21284.925398', '524288 21207.597752', '1048576 20588.988134', '2097152 19089.846123', '4194304 19070.820841', '8388608 17973.648637', '16777216 13601.646978', '33554432 10290.023663', '67108864 9673.982914', '134217728 9425.825732', '268435456 9430.869024', '536870912 9452.967580', '1073741824 9541.597859', '2147483648 9620.007001', '4294967296 9546.555330', '']",
