experimentID,instanceID,instanceType,wallTime,startTime,endTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1659889167-0,i-054b5ee3e6f5b1309,m5d.large,52.986278772354126,1659889561.7379556,1659889614.7242343, -w -m32 -e1 -x0 -d2,20294.421706,19884.138647,7565.999529,7683.257822,"['256 22142.488652', '512 22811.284530', '1024 20294.421706', '2048 21812.745789', '4096 22659.842931', '8192 23112.241516', '16384 23343.707342', '32768 22557.010514', '65536 20943.221284', '131072 20946.798596', '262144 20957.731967', '524288 20953.409795', '1048576 19884.138647', '2097152 18812.136461', '4194304 18183.348096', '8388608 12179.187937', '16777216 9703.220834', '33554432 8471.694191', '67108864 7967.804926', '134217728 7793.813446', '268435456 7681.894604', '536870912 7685.889577', '1073741824 7565.999529', '2147483648 7427.421079', '4294967296 7683.257822', '']",
1659889167-0,i-054b5ee3e6f5b1309,m5d.large,53.016029596328735,1659889614.9928045,1659889668.0088341, -w -m32 -e1 -x0 -d2,20291.202854,20074.085204,7578.022592,7727.277279,"['256 22140.745462', '512 22805.743382', '1024 20291.202854', '2048 21810.323814', '4096 22663.888521', '8192 23112.195147', '16384 23341.599739', '32768 22555.901930', '65536 20946.611730', '131072 20955.327172', '262144 20955.822374', '524288 20949.368939', '1048576 20074.085204', '2097152 18815.334793', '4194304 18035.948877', '8388608 12591.412055', '16777216 9656.469699', '33554432 8428.861930', '67108864 7998.076555', '134217728 7737.848519', '268435456 7642.245710', '536870912 7685.976937', '1073741824 7578.022592', '2147483648 7501.315570', '4294967296 7727.277279', '']",
1659889167-0,i-054b5ee3e6f5b1309,m5d.large,53.088804721832275,1659889668.276334,1659889721.3651388, -w -m32 -e1 -x0 -d2,20293.781610,20157.842301,7456.583392,7659.790310,"['256 22145.292655', '512 22727.143752', '1024 20293.781610', '2048 21816.165440', '4096 22579.657048', '8192 23101.962376', '16384 23343.782057', '32768 22508.752879', '65536 20951.167535', '131072 20955.920460', '262144 20955.846385', '524288 20957.787819', '1048576 20157.842301', '2097152 18818.634690', '4194304 18063.823678', '8388608 12078.554321', '16777216 9607.637054', '33554432 8316.686020', '67108864 7724.670048', '134217728 7722.617192', '268435456 7664.555995', '536870912 7712.806160', '1073741824 7456.583392', '2147483648 7419.285064', '4294967296 7659.790310', '']",
1659889167-0,i-054b5ee3e6f5b1309,m5d.large,52.956949949264526,1659889721.6042802,1659889774.5612302, -w -m32 -e1 -x0 -d2,20294.315867,20253.899412,7586.058518,7672.573725,"['256 22144.170727', '512 22814.751234', '1024 20294.315867', '2048 21810.864523', '4096 22619.065604', '8192 23071.754816', '16384 23341.795522', '32768 22556.972980', '65536 20938.103948', '131072 20954.867639', '262144 20955.827104', '524288 20956.032011', '1048576 20253.899412', '2097152 18820.597630', '4194304 18210.601029', '8388608 12237.299190', '16777216 9618.692563', '33554432 8322.696351', '67108864 7853.305244', '134217728 7736.685130', '268435456 7665.476749', '536870912 7679.458537', '1073741824 7586.058518', '2147483648 7504.758037', '4294967296 7672.573725', '']",
1659889167-0,i-054b5ee3e6f5b1309,m5d.large,53.015580892562866,1659889774.8325274,1659889827.8481083, -w -m32 -e1 -x0 -d2,20268.762674,20102.069175,7570.008324,7615.096472,"['256 22144.061360', '512 22811.609866', '1024 20268.762674', '2048 21813.765532', '4096 22663.729577', '8192 23115.192088', '16384 23342.654368', '32768 22505.746001', '65536 20878.625275', '131072 20954.245569', '262144 20959.147667', '524288 20882.022420', '1048576 20102.069175', '2097152 18807.717469', '4194304 18153.240485', '8388608 11748.678415', '16777216 9620.295144', '33554432 8390.415112', '67108864 7999.259205', '134217728 7777.578161', '268435456 7670.865251', '536870912 7618.221225', '1073741824 7570.008324', '2147483648 7450.590692', '4294967296 7615.096472', '']",
1659889167-0,i-02462252bbedccde1,m5d.large,52.89340400695801,1659889562.0733385,1659889614.9667425, -w -m32 -e1 -x0 -d2,20617.833356,20363.163966,9589.664623,9737.832492,"['256 22498.662667', '512 23179.133330', '1024 20617.833356', '2048 22165.403815', '4096 23028.487744', '8192 23483.004918', '16384 23717.948550', '32768 22917.115993', '65536 21287.477724', '131072 21293.090045', '262144 21296.379057', '524288 21293.828864', '1048576 20363.163966', '2097152 19127.307151', '4194304 19057.984854', '8388608 18392.219943', '16777216 14469.284524', '33554432 10730.771969', '67108864 10121.851959', '134217728 9874.369478', '268435456 9714.884298', '536870912 9606.201859', '1073741824 9589.664623', '2147483648 9635.570234', '4294967296 9737.832492', '']",
1659889167-0,i-02462252bbedccde1,m5d.large,52.8244194984436,1659889615.2093768,1659889668.0337963, -w -m32 -e1 -x0 -d2,20615.120530,20546.391784,9683.637214,9769.702634,"['256 22493.486428', '512 23180.977942', '1024 20615.120530', '2048 22168.070402', '4096 23030.509589', '8192 23481.435538', '16384 23718.217539', '32768 22923.367287', '65536 21287.347708', '131072 21293.474045', '262144 21293.184993', '524288 21293.630650', '1048576 20546.391784', '2097152 19114.462220', '4194304 19105.566304', '8388608 18242.278626', '16777216 14324.013691', '33554432 10721.568565', '67108864 10110.998381', '134217728 9859.782253', '268435456 9703.337465', '536870912 9579.889860', '1073741824 9683.637214', '2147483648 9731.294697', '4294967296 9769.702634', '']",
1659889167-0,i-02462252bbedccde1,m5d.large,52.863471031188965,1659889668.2917442,1659889721.1552153, -w -m32 -e1 -x0 -d2,20622.979604,20305.891536,9656.127048,9729.191357,"['256 22503.048467', '512 23183.282679', '1024 20622.979604', '2048 22166.386408', '4096 23024.963445', '8192 23476.477198', '16384 23721.522016', '32768 22928.427280', '65536 21289.658938', '131072 21292.543077', '262144 21298.245762', '524288 21076.160465', '1048576 20305.891536', '2097152 19151.598208', '4194304 18903.027577', '8388608 18329.522660', '16777216 14213.178321', '33554432 10738.327372', '67108864 10071.106865', '134217728 9821.679920', '268435456 9661.548956', '536870912 9567.615354', '1073741824 9656.127048', '2147483648 9714.415843', '4294967296 9729.191357', '']",
1659889167-0,i-02462252bbedccde1,m5d.large,52.85419487953186,1659889721.391347,1659889774.2455418, -w -m32 -e1 -x0 -d2,20619.927659,20545.398586,9675.398193,9717.347199,"['256 22498.772123', '512 23181.551412', '1024 20619.927659', '2048 22165.910546', '4096 23031.310336', '8192 23487.551890', '16384 23723.268236', '32768 22924.380851', '65536 21281.556308', '131072 21290.912321', '262144 21297.481638', '524288 21287.300162', '1048576 20545.398586', '2097152 19121.776716', '4194304 19118.239050', '8388608 18364.811865', '16777216 14394.634785', '33554432 10721.817396', '67108864 10090.540184', '134217728 9827.576396', '268435456 9692.362916', '536870912 9594.658803', '1073741824 9675.398193', '2147483648 9696.945773', '4294967296 9717.347199', '']",
1659889167-0,i-02462252bbedccde1,m5d.large,52.850072622299194,1659889774.4463246,1659889827.2963972, -w -m32 -e1 -x0 -d2,20585.297331,20349.342576,9699.673201,9727.660930,"['256 22499.514418', '512 23138.374453', '1024 20585.297331', '2048 22166.920148', '4096 22941.621386', '8192 23490.098167', '16384 23719.049914', '32768 22876.000988', '65536 21290.006620', '131072 21296.990438', '262144 21297.647954', '524288 21297.580704', '1048576 20349.342576', '2097152 19122.956834', '4194304 19119.560119', '8388608 18289.431038', '16777216 14534.196320', '33554432 10681.096698', '67108864 10044.131514', '134217728 9770.880704', '268435456 9638.212681', '536870912 9599.714359', '1073741824 9699.673201', '2147483648 9719.166023', '4294967296 9727.660930', '']",
