experimentID,instanceID,instanceType,wallTime,startTime,endTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1660437010-0,i-00cf8b83d58fa3681,m5d.large,53.222633838653564,1660437121.600362,1660437174.822996, -w -m32 -e1 -x0 -d2,14906.647610,11261.765908,9595.525777,9693.195759,"['256 11788.596149', '512 12191.422692', '1024 14906.647610', '2048 14139.446466', '4096 11798.821250', '8192 11532.130529', '16384 11662.091887', '32768 12306.458584', '65536 11779.200804', '131072 11433.798381', '262144 13581.734011', '524288 12769.146355', '1048576 11261.765908', '2097152 11569.029125', '4194304 15813.276824', '8388608 18008.189809', '16777216 12849.688717', '33554432 10396.838728', '67108864 9895.331655', '134217728 9650.599686', '268435456 9539.603377', '536870912 9555.137938', '1073741824 9595.525777', '2147483648 9687.139252', '4294967296 9693.195759', '']",
1660437010-0,i-046cf96efd2d89889,m5d.large,53.19930291175842,1660437122.2615914,1660437175.4608943, -w -m32 -e1 -x0 -d2,11192.770033,19820.756638,9993.730519,10096.982890,"['256 11614.700175', '512 11351.563807', '1024 11192.770033', '2048 12552.182902', '4096 11398.731059', '8192 15051.656738', '16384 15215.664072', '32768 11352.367203', '65536 11847.559789', '131072 12670.374552', '262144 20953.175978', '524288 20936.229456', '1048576 19820.756638', '2097152 18777.648423', '4194304 18758.453464', '8388608 18029.421113', '16777216 15703.279547', '33554432 11072.779757', '67108864 9869.518385', '134217728 9801.559591', '268435456 9727.195778', '536870912 9916.175037', '1073741824 9993.730519', '2147483648 10092.485223', '4294967296 10096.982890', '']",
1660437010-0,i-0af062bb38b369a30,m5d.large,52.929914236068726,1660437122.3625762,1660437175.2924905, -w -m32 -e1 -x0 -d2,20566.874121,20336.915703,9488.387344,9613.696758,"['256 22442.074006', '512 23123.731625', '1024 20566.874121', '2048 22111.844648', '4096 22977.752091', '8192 23348.661526', '16384 23659.712357', '32768 22815.523726', '65536 21236.037455', '131072 21247.255788', '262144 21236.757170', '524288 21240.755413', '1048576 20336.915703', '2097152 19089.821327', '4194304 19051.254554', '8388608 17807.131408', '16777216 12758.260069', '33554432 10328.320283', '67108864 9776.125196', '134217728 9509.706388', '268435456 9448.881089', '536870912 9424.204186', '1073741824 9488.387344', '2147483648 9545.042031', '4294967296 9613.696758', '']",
1660437010-0,i-047c8734a993baf73,m5d.large,53.3319730758667,1660437121.5603538,1660437174.8923268, -w -m32 -e1 -x0 -d2,15191.532468,19967.162008,9624.029319,9669.051125,"['256 14117.344568', '512 11587.947596', '1024 15191.532468', '2048 21796.170718', '4096 22642.049596', '8192 23045.337849', '16384 23301.025245', '32768 22481.618653', '65536 20934.334552', '131072 20935.587478', '262144 20937.850284', '524288 20924.643303', '1048576 19967.162008', '2097152 18770.567974', '4194304 18778.239358', '8388608 18091.552131', '16777216 15977.068236', '33554432 10564.811845', '67108864 9591.391913', '134217728 9412.937134', '268435456 9436.473536', '536870912 9522.711347', '1073741824 9624.029319', '2147483648 9661.680988', '4294967296 9669.051125', '']",
1660437010-0,i-08abb0b01eb86cce0,m5d.large,52.918516635894775,1660437121.7268176,1660437174.6453342, -w -m32 -e1 -x0 -d2,20290.506271,20112.995401,9846.305883,9821.844368,"['256 22141.149859', '512 22813.645907', '1024 20290.506271', '2048 21804.005831', '4096 22659.903073', '8192 23114.214190', '16384 23341.127083', '32768 22501.723932', '65536 20949.238161', '131072 20891.083458', '262144 20957.912483', '524288 20958.210805', '1048576 20112.995401', '2097152 18826.519794', '4194304 18790.195386', '8388608 18238.456225', '16777216 17623.405216', '33554432 12503.076390', '67108864 10261.804258', '134217728 9612.528422', '268435456 9647.909324', '536870912 9684.857630', '1073741824 9846.305883', '2147483648 9835.264505', '4294967296 9821.844368', '']",
1660437010-0,i-063682e911c73b356,m5d.large,53.374757051467896,1660437122.1005857,1660437175.4753428, -w -m32 -e1 -x0 -d2,20602.345942,20242.181488,9516.327886,9548.320721,"['256 22479.662720', '512 23164.908747', '1024 20602.345942', '2048 22101.380181', '4096 22992.786483', '8192 23466.902149', '16384 23695.858579', '32768 22846.932922', '65536 21266.812178', '131072 21272.819173', '262144 21274.058762', '524288 21273.754155', '1048576 20242.181488', '2097152 19137.226132', '4194304 19078.764371', '8388608 18209.905186', '16777216 16687.440185', '33554432 11293.940579', '67108864 9949.013037', '134217728 9567.086888', '268435456 9417.863740', '536870912 9448.303010', '1073741824 9516.327886', '2147483648 9553.222289', '4294967296 9548.320721', '']",
1660437010-0,i-03ccad021a1c8a7b3,m5d.large,52.91244029998779,1660437122.2236898,1660437175.13613, -w -m32 -e1 -x0 -d2,20571.580507,20225.228968,9512.765801,9640.744610,"['256 22444.304128', '512 23131.432116', '1024 20571.580507', '2048 22118.048339', '4096 22952.885183', '8192 23335.672589', '16384 23664.232782', '32768 22873.187723', '65536 21239.895319', '131072 21248.099250', '262144 21248.586671', '524288 21251.967511', '1048576 20225.228968', '2097152 19088.089406', '4194304 19060.524611', '8388608 17772.695409', '16777216 12675.141603', '33554432 10296.081970', '67108864 9748.878231', '134217728 9527.377570', '268435456 9465.523192', '536870912 9443.990525', '1073741824 9512.765801', '2147483648 9566.623115', '4294967296 9640.744610', '']",
1660437010-0,i-0262a58f461f8c4d9,m5d.large,53.448142528533936,1660437122.055325,1660437175.5034676, -w -m32 -e1 -x0 -d2,11254.263910,11287.418119,9503.217810,9536.196432,"['256 17563.833759', '512 15209.732698', '1024 11254.263910', '2048 10842.192035', '4096 11898.616060', '8192 11259.448802', '16384 11876.845835', '32768 12626.336506', '65536 11214.239037', '131072 14172.996985', '262144 12452.519486', '524288 11061.526773', '1048576 11287.418119', '2097152 15150.846539', '4194304 18780.147579', '8388608 18119.024799', '16777216 15816.589473', '33554432 10682.050875', '67108864 9619.593720', '134217728 9368.298378', '268435456 9330.787993', '536870912 9395.274471', '1073741824 9503.217810', '2147483648 9499.307167', '4294967296 9536.196432', '']",
1660437010-0,i-0b77a37835f56f396,m5d.large,53.4033420085907,1660437121.744759,1660437175.148101, -w -m32 -e1 -x0 -d2,12440.359441,11311.770910,9511.482031,9497.310805,"['256 13227.018533', '512 16492.730299', '1024 12440.359441', '2048 10892.180372', '4096 11368.954806', '8192 11626.303043', '16384 11709.523397', '32768 11686.652954', '65536 11192.384520', '131072 13090.728657', '262144 12780.581546', '524288 11032.714367', '1048576 11311.770910', '2097152 13986.437227', '4194304 18801.080674', '8388608 18124.981948', '16777216 16509.958619', '33554432 10753.215692', '67108864 9786.318357', '134217728 9449.627485', '268435456 9447.679836', '536870912 9492.090233', '1073741824 9511.482031', '2147483648 9506.628253', '4294967296 9497.310805', '']",
1660437010-0,i-0c89a4167029eab16,m5d.large,52.77693748474121,1660437121.5215175,1660437174.298455, -w -m32 -e1 -x0 -d2,20301.163515,19934.039370,9981.614974,10113.715304,"['256 22056.562118', '512 22814.298386', '1024 20301.163515', '2048 21817.854803', '4096 22669.697749', '8192 23121.006441', '16384 23350.914134', '32768 22466.078109', '65536 20952.692256', '131072 20893.859487', '262144 20963.012544', '524288 20959.450027', '1048576 19934.039370', '2097152 18813.587416', '4194304 18790.259864', '8388608 18070.332558', '16777216 16201.770031', '33554432 12091.988656', '67108864 10427.042704', '134217728 9802.934657', '268435456 9525.127664', '536870912 9847.017045', '1073741824 9981.614974', '2147483648 10088.145763', '4294967296 10113.715304', '']",
