experimentID,instanceID,instanceType,wallTime,startTime,endTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1659813221-0,i-0e5f77c8321b03d36,m5d.large,54.137173652648926,1659813662.3697014,1659813716.506875, -w -m32 -e1 -x0 -d2,20297.325533,19554.233811,1964.147371,2706.152159,"['256 22143.650241', '512 22811.659605', '1024 20297.325533', '2048 21815.872963', '4096 22665.069420', '8192 23115.614383', '16384 23344.755032', '32768 22560.529667', '65536 20951.488059', '131072 20957.184694', '262144 20956.788004', '524288 20944.848416', '1048576 19554.233811', '2097152 12100.234906', '4194304 3064.823077', '8388608 2307.156039', '16777216 2089.688821', '33554432 2006.985880', '67108864 1967.024928', '134217728 1979.597321', '268435456 1979.325110', '536870912 1975.394818', '1073741824 1964.147371', '2147483648 1934.053838', '4294967296 2706.152159', '']",
1659813221-0,i-0a71a74446edd630a,m5d.large,54.21235013008118,1659813662.2826967,1659813716.4950469, -w -m32 -e1 -x0 -d2,20294.049013,19764.873841,1964.896675,2662.568515,"['256 22140.907209', '512 22814.068416', '1024 20294.049013', '2048 21811.079918', '4096 22664.459165', '8192 23113.030413', '16384 23345.354456', '32768 22509.226047', '65536 20951.623743', '131072 20957.990364', '262144 20957.083597', '524288 20950.609783', '1048576 19764.873841', '2097152 12553.065143', '4194304 3067.814895', '8388608 2309.910614', '16777216 2088.502096', '33554432 2005.610008', '67108864 1965.750117', '134217728 1978.191380', '268435456 1979.891146', '536870912 1975.477716', '1073741824 1964.896675', '2147483648 1935.379887', '4294967296 2662.568515', '']",
1659813221-0,i-046ed014ad7c7d090,m5d.large,53.77693200111389,1659813662.2294295,1659813716.0063615, -w -m32 -e1 -x0 -d2,20291.178637,19488.307559,1973.413535,3079.170015,"['256 22142.716863', '512 22818.208727', '1024 20291.178637', '2048 21813.614587', '4096 22669.702584', '8192 23115.883908', '16384 23349.635531', '32768 22561.718112', '65536 20951.899178', '131072 20959.745742', '262144 20938.387688', '524288 20950.490901', '1048576 19488.307559', '2097152 11808.030961', '4194304 3044.814549', '8388608 2308.130981', '16777216 2094.717146', '33554432 2013.799970', '67108864 1980.115240', '134217728 1990.808424', '268435456 1987.580544', '536870912 1985.096198', '1073741824 1973.413535', '2147483648 1940.707527', '4294967296 3079.170015', '']",
1659813221-0,i-03ceb98508787c544,m5d.large,53.22248387336731,1659813661.617618,1659813714.840102, -w -m32 -e1 -x0 -d2,20242.830140,20114.650946,1965.858939,1951.632938,"['256 22146.101107', '512 22791.452628', '1024 20242.830140', '2048 21818.353416', '4096 22665.157491', '8192 23116.849109', '16384 23345.056765', '32768 22559.828189', '65536 20948.948613', '131072 20952.922849', '262144 20959.541260', '524288 20953.557786', '1048576 20114.650946', '2097152 13973.168327', '4194304 3700.813708', '8388608 2471.560843', '16777216 2143.937864', '33554432 2024.212624', '67108864 1984.632594', '134217728 1977.688262', '268435456 1976.598651', '536870912 1975.576731', '1073741824 1965.858939', '2147483648 1941.520836', '4294967296 1951.632938', '']",
1659813221-0,i-02be93b6f054c7c23,m5d.large,53.15225172042847,1659813661.8427324,1659813714.9949841, -w -m32 -e1 -x0 -d2,20296.769727,20134.611416,1949.413691,2041.812017,"['256 22148.848205', '512 22814.633887', '1024 20296.769727', '2048 21816.911180', '4096 22670.303175', '8192 23115.510415', '16384 23349.691804', '32768 22564.245470', '65536 20954.798741', '131072 20960.570358', '262144 20961.658428', '524288 20956.275864', '1048576 20134.611416', '2097152 12840.040754', '4194304 3175.132357', '8388608 2360.117367', '16777216 2109.056282', '33554432 2012.369037', '67108864 1981.947397', '134217728 1965.474029', '268435456 1979.882371', '536870912 1979.585684', '1073741824 1949.413691', '2147483648 1933.606852', '4294967296 2041.812017', '']",
1659813221-0,i-0546e5ee0f8dec9fb,m5d.large,53.79156947135925,1659813662.2093294,1659813716.0008988, -w -m32 -e1 -x0 -d2,20301.091917,19709.925930,1970.300743,3055.870394,"['256 22148.648678', '512 22736.821557', '1024 20301.091917', '2048 21818.547457', '4096 22671.841420', '8192 23117.451030', '16384 23350.732339', '32768 22564.503877', '65536 20953.767230', '131072 20961.039834', '262144 20961.654261', '524288 20950.169668', '1048576 19709.925930', '2097152 12343.590868', '4194304 3046.657604', '8388608 2310.994642', '16777216 2091.437315', '33554432 2010.274547', '67108864 1987.385377', '134217728 1972.737532', '268435456 1984.438382', '536870912 1981.836121', '1073741824 1970.300743', '2147483648 1935.133547', '4294967296 3055.870394', '']",
1659813221-0,i-0ca64e69c068e8660,m5d.large,53.295599937438965,1659813661.3745189,1659813714.6701188, -w -m32 -e1 -x0 -d2,20296.432100,20060.832126,1977.688934,1943.935918,"['256 22059.702649', '512 22737.919870', '1024 20296.432100', '2048 21814.344449', '4096 22664.898260', '8192 23116.570564', '16384 23348.430016', '32768 22564.656428', '65536 20951.773991', '131072 20957.755631', '262144 20959.547700', '524288 20956.438447', '1048576 20060.832126', '2097152 13858.345749', '4194304 4043.994123', '8388608 2491.649290', '16777216 2159.801551', '33554432 2035.103548', '67108864 1996.402318', '134217728 1986.751478', '268435456 1987.147313', '536870912 1986.971629', '1073741824 1977.688934', '2147483648 1948.404190', '4294967296 1943.935918', '']",
1659813221-0,i-02630493f9d65168f,m5d.large,53.277037143707275,1659813661.4564896,1659813714.7335267, -w -m32 -e1 -x0 -d2,20220.811114,20052.338912,1956.872518,1940.274452,"['256 22148.822903', '512 22809.878682', '1024 20220.811114', '2048 21817.848841', '4096 22665.974334', '8192 23117.412456', '16384 23346.132127', '32768 22562.549061', '65536 20952.834506', '131072 20954.965428', '262144 20938.867136', '524288 20954.500932', '1048576 20052.338912', '2097152 14077.618452', '4194304 3845.401938', '8388608 2467.535875', '16777216 2146.001169', '33554432 2025.627702', '67108864 1986.078621', '134217728 1979.923395', '268435456 1979.311796', '536870912 1977.558238', '1073741824 1956.872518', '2147483648 1938.975643', '4294967296 1940.274452', '']",
1659813221-0,i-0388fe46f70ff99eb,m5d.large,53.869734048843384,1659813662.110689,1659813715.980423, -w -m32 -e1 -x0 -d2,20303.788432,19717.075424,1975.311335,2975.445579,"['256 22079.609442', '512 22824.678510', '1024 20303.788432', '2048 21823.580666', '4096 22675.566904', '8192 23124.547577', '16384 23354.706755', '32768 22520.546850', '65536 20960.035139', '131072 20965.051809', '262144 20964.853509', '524288 20957.074072', '1048576 19717.075424', '2097152 12469.722881', '4194304 3080.108579', '8388608 2324.555488', '16777216 2102.441828', '33554432 2016.915534', '67108864 1993.535968', '134217728 1990.526442', '268435456 1989.943871', '536870912 1988.223205', '1073741824 1975.311335', '2147483648 1940.113890', '4294967296 2975.445579', '']",
1659813221-0,i-0902c41409ed51bb9,m5d.large,54.201704263687134,1659813662.2860718,1659813716.487776, -w -m32 -e1 -x0 -d2,20293.806096,19839.106704,1968.261787,2650.391005,"['256 22145.968382', '512 22815.976359', '1024 20293.806096', '2048 21814.277385', '4096 22667.962663', '8192 23115.238074', '16384 23348.826735', '32768 22560.420681', '65536 20949.754924', '131072 20959.612475', '262144 20960.088415', '524288 20953.980439', '1048576 19839.106704', '2097152 12411.828472', '4194304 3080.068769', '8388608 2314.867670', '16777216 2093.173225', '33554432 2006.828243', '67108864 1973.002563', '134217728 1985.355642', '268435456 1984.345600', '536870912 1979.424414', '1073741824 1968.261787', '2147483648 1936.070312', '4294967296 2650.391005', '']",
