experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1652233425-0,i-0c2423f7696e6f058,m5d.large,54.24323868751526, -w -m32 -e1 -x0 -d2,19734.621775,19154.746753,1798.819647,3285.669713,"['256 21529.610383', '512 22148.940206', '1024 19734.621775', '2048 21188.590542', '4096 22005.807068', '8192 22419.260475', '16384 22645.278634', '32768 21876.306279', '65536 20361.912193', '131072 20366.217774', '262144 20366.980373', '524288 20347.209601', '1048576 19154.746753', '2097152 9800.962041', '4194304 2655.759877', '8388608 2077.631409', '16777216 1899.914798', '33554432 1836.557669', '67108864 1828.969656', '134217728 1833.509649', '268435456 1822.534561', '536870912 1807.842140', '1073741824 1798.819647', '2147483648 1806.312571', '4294967296 3285.669713', '']",
1652233425-1,i-0c2423f7696e6f058,m5d.large,54.008841037750244, -w -m32 -e1 -x0 -d2,19728.699183,18959.108308,1783.054229,3721.525149,"['256 21453.637147', '512 22144.006041', '1024 19728.699183', '2048 21190.250346', '4096 21999.486717', '8192 22429.113741', '16384 22638.077570', '32768 21831.017137', '65536 20366.881982', '131072 20381.189380', '262144 20360.581547', '524288 20353.660402', '1048576 18959.108308', '2097152 10011.974523', '4194304 2682.369932', '8388608 2090.093469', '16777216 1906.632186', '33554432 1840.325646', '67108864 1832.212989', '134217728 1834.568022', '268435456 1828.540250', '536870912 1794.253891', '1073741824 1783.054229', '2147483648 1785.514972', '4294967296 3721.525149', '']",
1652233425-0,i-09f6b6179f8546962,m5d.large,53.55019927024841, -w -m32 -e1 -x0 -d2,20283.408510,19747.307050,1884.078513,1851.398647,"['256 22131.699777', '512 22793.524182', '1024 20283.408510', '2048 21801.801195', '4096 22650.834436', '8192 23102.180700', '16384 23331.123835', '32768 22545.521074', '65536 20936.069084', '131072 20942.101631', '262144 20946.811301', '524288 20939.146752', '1048576 19747.307050', '2097152 12818.232719', '4194304 3324.802863', '8388608 2309.411621', '16777216 2034.906375', '33554432 1941.879150', '67108864 1920.990519', '134217728 1890.496253', '268435456 1919.951074', '536870912 1886.544266', '1073741824 1884.078513', '2147483648 1860.764152', '4294967296 1851.398647', '']",
1652233425-1,i-09f6b6179f8546962,m5d.large,53.183756589889526, -w -m32 -e1 -x0 -d2,20288.160483,19915.825460,1923.976135,1949.220798,"['256 22134.285783', '512 22805.677723', '1024 20288.160483', '2048 21805.125915', '4096 22624.983708', '8192 23102.377173', '16384 23332.836487', '32768 22499.761134', '65536 20938.333582', '131072 20943.852128', '262144 20945.548976', '524288 20946.641909', '1048576 19915.825460', '2097152 12724.350504', '4194304 3240.931034', '8388608 2381.732387', '16777216 2122.951815', '33554432 2030.284993', '67108864 2006.059870', '134217728 1975.699455', '268435456 1999.139406', '536870912 1977.415594', '1073741824 1923.976135', '2147483648 1951.390604', '4294967296 1949.220798', '']",
1652233425-2,i-09f6b6179f8546962,m5d.large,53.19142985343933, -w -m32 -e1 -x0 -d2,20288.840998,19973.078702,1948.897039,1993.539430,"['256 22136.780749', '512 22806.099394', '1024 20288.840998', '2048 21805.012070', '4096 22657.115272', '8192 23101.683538', '16384 23332.991134', '32768 22500.979031', '65536 20939.767155', '131072 20947.608170', '262144 20934.544118', '524288 20948.415025', '1048576 19973.078702', '2097152 12220.967134', '4194304 3098.953251', '8388608 2341.259653', '16777216 2109.882681', '33554432 2026.274341', '67108864 1994.341014', '134217728 1987.942447', '268435456 1999.941618', '536870912 1963.817292', '1073741824 1948.897039', '2147483648 1937.620681', '4294967296 1993.539430', '']",
1652233425-3,i-09f6b6179f8546962,m5d.large,54.376749992370605, -w -m32 -e1 -x0 -d2,20286.532455,20079.678070,2036.143726,2337.966970,"['256 22132.202322', '512 22806.116349', '1024 20286.532455', '2048 21806.085258', '4096 22631.166194', '8192 23103.736770', '16384 23330.120828', '32768 22501.207653', '65536 20940.133356', '131072 20946.873364', '262144 20950.259143', '524288 20937.190481', '1048576 20079.678070', '2097152 13089.231864', '4194304 3320.732990', '8388608 2476.377955', '16777216 2226.211081', '33554432 2129.137533', '67108864 2096.632697', '134217728 2054.166196', '268435456 1974.742188', '536870912 2045.029914', '1073741824 2036.143726', '2147483648 2035.627930', '4294967296 2337.966970', '']",
1652233425-4,i-09f6b6179f8546962,m5d.large,53.79401898384094, -w -m32 -e1 -x0 -d2,20286.435108,19133.558843,2030.313252,3019.166965,"['256 22135.077471', '512 22803.574120', '1024 20286.435108', '2048 21804.454124', '4096 22653.244163', '8192 23104.679104', '16384 23331.193363', '32768 22550.347052', '65536 20937.481365', '131072 20946.931168', '262144 20948.374744', '524288 20768.912778', '1048576 19133.558843', '2097152 10286.297324', '4194304 3134.887965', '8388608 2416.684962', '16777216 2197.945740', '33554432 2118.254588', '67108864 2067.608623', '134217728 2094.689279', '268435456 2082.671484', '536870912 2050.546283', '1073741824 2030.313252', '2147483648 2029.092357', '4294967296 3019.166965', '']",
1652233425-5,i-09f6b6179f8546962,m5d.large,55.28002619743347, -w -m32 -e1 -x0 -d2,20287.859560,20168.579623,2045.621671,2539.896420,"['256 22138.127601', '512 22809.929938', '1024 20287.859560', '2048 21809.857202', '4096 22634.436811', '8192 23110.594297', '16384 23339.212539', '32768 22503.110062', '65536 20943.065491', '131072 20949.153814', '262144 20951.715959', '524288 20950.726417', '1048576 20168.579623', '2097152 15051.714362', '4194304 4327.529845', '8388608 2683.108394', '16777216 2293.530422', '33554432 2152.620110', '67108864 2105.067773', '134217728 2065.294273', '268435456 2086.978977', '536870912 2061.977981', '1073741824 2045.621671', '2147483648 2046.808529', '4294967296 2539.896420', '']",
1652233425-6,i-09f6b6179f8546962,m5d.large,54.13594150543213, -w -m32 -e1 -x0 -d2,20287.005262,19831.247121,2018.831168,2636.347815,"['256 22142.541347', '512 22811.104977', '1024 20287.005262', '2048 21809.486986', '4096 22658.280214', '8192 23109.020839', '16384 23339.740687', '32768 22502.514980', '65536 20943.440951', '131072 20948.146541', '262144 20951.103192', '524288 20933.662352', '1048576 19831.247121', '2097152 12345.577073', '4194304 3295.488751', '8388608 2469.821233', '16777216 2223.362826', '33554432 2129.113447', '67108864 2097.530685', '134217728 2068.860223', '268435456 2042.933546', '536870912 2054.678347', '1073741824 2018.831168', '2147483648 2041.044451', '4294967296 2636.347815', '']",
1652233425-7,i-09f6b6179f8546962,m5d.large,54.66517400741577, -w -m32 -e1 -x0 -d2,20289.012478,20125.974495,2048.659455,2279.957335,"['256 22134.505581', '512 22806.791674', '1024 20289.012478', '2048 21804.226951', '4096 22630.432464', '8192 23105.559370', '16384 23329.803312', '32768 22500.046313', '65536 20937.296623', '131072 20941.228168', '262144 20950.955907', '524288 20945.832610', '1048576 20125.974495', '2097152 13894.736983', '4194304 3679.503836', '8388608 2592.135100', '16777216 2267.188140', '33554432 2142.635559', '67108864 2102.290292', '134217728 2066.665359', '268435456 2087.577951', '536870912 2061.278869', '1073741824 2048.659455', '2147483648 2046.723155', '4294967296 2279.957335', '']",
