experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1660499025-0,i-0d1fc897445cde542,m5d.large,54.88675045967102, -r -m32 -e1 -x0 -d2,2617.513311,2600.886202,2563.565205,2568.550573,"['256 2620.117956', '512 2620.552254', '1024 2617.513311', '2048 2619.226717', '4096 2620.165256', '8192 2620.455570', '16384 2620.742757', '32768 2620.376217', '65536 2614.434539', '131072 2613.934018', '262144 2613.474767', '524288 2612.344439', '1048576 2600.886202', '2097152 2486.909352', '4194304 2510.468472', '8388608 2549.646000', '16777216 2565.022405', '33554432 2567.908868', '67108864 2567.596611', '134217728 2565.373873', '268435456 2562.427257', '536870912 2563.981582', '1073741824 2563.565205', '2147483648 2562.680631', '4294967296 2568.550573', '']",
1660499025-0,i-0cc5a113f580fc26b,m5d.large,54.77163529396057, -r -m32 -e1 -x0 -d2,2617.456406,2611.284768,2565.328421,2566.460561,"['256 2620.854524', '512 2620.730284', '1024 2617.456406', '2048 2619.025209', '4096 2620.130365', '8192 2620.459476', '16384 2620.704573', '32768 2620.288946', '65536 2614.618087', '131072 2614.242169', '262144 2614.221917', '524288 2614.232630', '1048576 2611.284768', '2097152 2596.915048', '4194304 2579.032563', '8388608 2557.245933', '16777216 2561.875429', '33554432 2569.638611', '67108864 2568.745428', '134217728 2568.105527', '268435456 2564.784513', '536870912 2562.439018', '1073741824 2565.328421', '2147483648 2564.964117', '4294967296 2566.460561', '']",
1660499025-0,i-03a8176ab7155f935,m5d.large,54.418527126312256, -r -m32 -e1 -x0 -d2,2616.580220,2609.171775,2562.138576,2563.056127,"['256 2619.859883', '512 2619.956570', '1024 2616.580220', '2048 2618.445240', '4096 2619.293225', '8192 2619.633671', '16384 2620.069272', '32768 2620.109833', '65536 2614.441250', '131072 2614.089694', '262144 2590.263099', '524288 2549.192142', '1048576 2609.171775', '2097152 2589.611016', '4194304 2570.529667', '8388608 2556.084542', '16777216 2562.626691', '33554432 2567.004317', '67108864 2566.721260', '134217728 2564.880870', '268435456 2564.882275', '536870912 2561.785844', '1073741824 2562.138576', '2147483648 2563.217515', '4294967296 2563.056127', '']",
1660499025-0,i-0fab2d896fb562b72,m5d.large,54.99978685379028, -r -m32 -e1 -x0 -d2,2616.202213,2609.562742,2563.116894,2561.865577,"['256 2620.664747', '512 2619.869018', '1024 2616.202213', '2048 2618.201146', '4096 2619.178850', '8192 2619.338465', '16384 2620.055636', '32768 2619.356474', '65536 2614.471411', '131072 2607.074594', '262144 2539.696723', '524288 2612.722274', '1048576 2609.562742', '2097152 2591.008658', '4194304 2563.380364', '8388608 2554.152111', '16777216 2558.415610', '33554432 2566.430724', '67108864 2564.148625', '134217728 2565.380016', '268435456 2564.081595', '536870912 2563.625219', '1073741824 2563.116894', '2147483648 2562.966010', '4294967296 2561.865577', '']",
1660499025-0,i-09a9b20e336a01eb6,m5d.large,55.07007670402527, -r -m32 -e1 -x0 -d2,2562.011024,2610.823278,2566.749070,2502.756515,"['256 2619.506485', '512 2620.316102', '1024 2616.036660', '2048 2618.181036', '4096 2619.614397', '8192 2620.065892', '16384 2620.319815', '32768 2619.777677', '65536 2614.046910', '131072 2613.964954', '262144 2613.728776', '524288 2613.346829', '1048576 2610.823278', '2097152 2597.884016', '4194304 2580.360738', '8388608 2562.011024', '16777216 2564.310510', '33554432 2567.610086', '67108864 2566.834344', '134217728 2566.851272', '268435456 2564.524991', '536870912 2566.955768', '1073741824 2566.749070', '2147483648 2566.382314', '4294967296 2502.756515', '']",
1660499025-0,i-0be557e63fd43a135,m5d.large,55.01166033744812, -r -m32 -e1 -x0 -d2,2616.678861,2609.097396,2564.179713,2565.363915,"['256 2620.378178', '512 2620.085913', '1024 2616.678861', '2048 2618.708140', '4096 2619.714293', '8192 2619.988333', '16384 2620.424976', '32768 2619.925098', '65536 2614.218106', '131072 2614.026936', '262144 2613.228475', '524288 2612.873550', '1048576 2609.097396', '2097152 2589.877493', '4194304 2563.720840', '8388608 2511.829482', '16777216 2491.767126', '33554432 2564.366550', '67108864 2567.327357', '134217728 2566.446599', '268435456 2563.729598', '536870912 2563.411784', '1073741824 2564.179713', '2147483648 2562.672774', '4294967296 2565.363915', '']",
1660499025-0,i-057818612a7c59a9a,m5d.large,54.980884075164795, -r -m32 -e1 -x0 -d2,2617.685388,2607.900201,2564.286581,2568.775043,"['256 2620.959374', '512 2620.612048', '1024 2617.685388', '2048 2619.699821', '4096 2620.378969', '8192 2620.793450', '16384 2620.855586', '32768 2617.869471', '65536 2615.364213', '131072 2615.035314', '262144 2614.724644', '524288 2614.320047', '1048576 2607.900201', '2097152 2591.046977', '4194304 2573.952465', '8388608 2552.625011', '16777216 2566.367623', '33554432 2565.284490', '67108864 2567.466145', '134217728 2565.534175', '268435456 2565.088039', '536870912 2564.588152', '1073741824 2564.286581', '2147483648 2564.248698', '4294967296 2568.775043', '']",
1660499025-0,i-0b0795f21702cc03c,m5d.large,55.00860238075256, -r -m32 -e1 -x0 -d2,2618.762996,2607.224251,2565.580049,2564.928595,"['256 2620.951153', '512 2620.908855', '1024 2618.762996', '2048 2619.519931', '4096 2620.610681', '8192 2620.544848', '16384 2620.649889', '32768 2620.665809', '65536 2612.326774', '131072 2613.688593', '262144 2613.263819', '524288 2613.424299', '1048576 2607.224251', '2097152 2593.970556', '4194304 2569.064184', '8388608 2555.168685', '16777216 2560.074939', '33554432 2569.491619', '67108864 2566.949164', '134217728 2566.009643', '268435456 2565.551406', '536870912 2565.452271', '1073741824 2565.580049', '2147483648 2565.361679', '4294967296 2564.928595', '']",
1660499025-0,i-074c32131232bda93,m5d.large,54.97248196601868, -r -m32 -e1 -x0 -d2,2617.041634,2611.674388,2563.501867,2566.594228,"['256 2620.771642', '512 2620.558823', '1024 2617.041634', '2048 2619.145005', '4096 2619.973285', '8192 2620.905144', '16384 2621.127891', '32768 2620.910357', '65536 2615.700975', '131072 2614.977987', '262144 2614.089147', '524288 2614.630975', '1048576 2611.674388', '2097152 2596.404292', '4194304 2570.729747', '8388608 2557.186569', '16777216 2561.255790', '33554432 2566.228339', '67108864 2569.570876', '134217728 2568.091124', '268435456 2567.136990', '536870912 2564.691714', '1073741824 2563.501867', '2147483648 2566.642282', '4294967296 2566.594228', '']",
1660499025-0,i-05ca8d35e658bc2aa,m5d.large,54.722386598587036, -r -m32 -e1 -x0 -d2,2617.504958,2609.900675,2563.953351,2565.072969,"['256 2620.806367', '512 2620.817161', '1024 2617.504958', '2048 2618.589267', '4096 2616.424291', '8192 2542.958443', '16384 2620.613201', '32768 2620.403198', '65536 2614.649986', '131072 2613.635162', '262144 2613.515210', '524288 2613.750130', '1048576 2609.900675', '2097152 2590.532031', '4194304 2570.639192', '8388608 2548.224816', '16777216 2560.297672', '33554432 2568.279913', '67108864 2567.207096', '134217728 2566.334857', '268435456 2559.559133', '536870912 2562.337898', '1073741824 2563.953351', '2147483648 2564.275637', '4294967296 2565.072969', '']",
