experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1660498150-0,i-0d1fc897445cde542,m5d.large,53.325785636901855, -b -m32 -e1 -x0 -d2,21884.692402,23418.258433,3836.474670,4032.719002,"['256 22857.310397', '512 20409.402361', '1024 21884.692402', '2048 22687.992562', '4096 23128.476527', '8192 23344.865996', '16384 23457.934039', '32768 23509.742226', '65536 23535.540503', '131072 23549.581561', '262144 23558.701095', '524288 23552.485534', '1048576 23418.258433', '2097152 20110.183473', '4194304 5933.404978', '8388608 4404.050886', '16777216 4053.888028', '33554432 3951.882523', '67108864 3934.013823', '134217728 3925.396787', '268435456 3877.339900', '536870912 3874.707994', '1073741824 3836.474670', '2147483648 3780.905265', '4294967296 4032.719002', '']",
1660498150-0,i-0cc5a113f580fc26b,m5d.large,53.4382905960083, -b -m32 -e1 -x0 -d2,21915.667629,23509.294454,3842.946585,3876.292507,"['256 22859.064264', '512 20488.741918', '1024 21915.667629', '2048 22679.799590', '4096 23136.651465', '8192 23349.523655', '16384 23456.933091', '32768 23508.211308', '65536 23538.377061', '131072 23548.769400', '262144 23555.860805', '524288 23556.580368', '1048576 23509.294454', '2097152 20092.679539', '4194304 6225.755104', '8388608 4526.608267', '16777216 4083.469768', '33554432 3962.151409', '67108864 3937.836935', '134217728 3924.923790', '268435456 3841.988833', '536870912 3844.374279', '1073741824 3842.946585', '2147483648 3752.039061', '4294967296 3876.292507', '']",
1660498150-0,i-03a8176ab7155f935,m5d.large,54.23663592338562, -b -m32 -e1 -x0 -d2,21945.885900,23489.557867,3846.982392,5576.197681,"['256 22859.282993', '512 20588.518440', '1024 21945.885900', '2048 22729.298576', '4096 23142.731043', '8192 23358.390764', '16384 23459.147445', '32768 23510.949097', '65536 23538.776185', '131072 23546.184927', '262144 23533.153915', '524288 23554.632512', '1048576 23489.557867', '2097152 19819.657408', '4194304 5868.887418', '8388608 4445.314161', '16777216 4076.080261', '33554432 3974.067127', '67108864 3955.579927', '134217728 3935.248411', '268435456 3880.865737', '536870912 3840.904180', '1073741824 3846.982392', '2147483648 3786.763772', '4294967296 5576.197681', '']",
1660498150-0,i-0fab2d896fb562b72,m5d.large,53.38656497001648, -b -m32 -e1 -x0 -d2,21911.962604,23497.683342,3837.285834,3876.970238,"['256 22847.263849', '512 20459.933281', '1024 21911.962604', '2048 22704.227777', '4096 23135.271704', '8192 23352.030366', '16384 23458.567164', '32768 23508.399714', '65536 23538.760674', '131072 23552.885284', '262144 23558.093506', '524288 23554.805770', '1048576 23497.683342', '2097152 20161.928017', '4194304 6138.685193', '8388608 4521.930788', '16777216 4080.926836', '33554432 3962.943636', '67108864 3940.703739', '134217728 3928.857740', '268435456 3879.142747', '536870912 3878.339710', '1073741824 3837.285834', '2147483648 3786.716475', '4294967296 3876.970238', '']",
1660498150-0,i-09a9b20e336a01eb6,m5d.large,54.19709253311157, -b -m32 -e1 -x0 -d2,21862.911876,23452.939253,3825.064940,5761.792382,"['256 22854.083675', '512 20396.765665', '1024 21862.911876', '2048 22680.587744', '4096 23119.439469', '8192 23344.103693', '16384 23454.243362', '32768 23506.515184', '65536 23526.519554', '131072 23549.933616', '262144 23539.969332', '524288 23551.386929', '1048576 23452.939253', '2097152 19799.900478', '4194304 5772.586607', '8388608 4388.015993', '16777216 4035.728157', '33554432 3944.132281', '67108864 3924.224210', '134217728 3871.702407', '268435456 3863.239104', '536870912 3860.910603', '1073741824 3825.064940', '2147483648 3763.804691', '4294967296 5761.792382', '']",
1660498150-0,i-0be557e63fd43a135,m5d.large,53.436216831207275, -b -m32 -e1 -x0 -d2,21866.506816,23504.918937,3851.655461,3821.044644,"['256 22858.638413', '512 20386.632470', '1024 21866.506816', '2048 22685.775735', '4096 23120.874872', '8192 23347.861413', '16384 23459.528755', '32768 23512.693694', '65536 23537.087686', '131072 23548.522848', '262144 23559.112819', '524288 23554.142882', '1048576 23504.918937', '2097152 20820.225098', '4194304 7479.854631', '8388608 4660.430986', '16777216 4133.604650', '33554432 3964.403737', '67108864 3947.540016', '134217728 3933.015583', '268435456 3887.925896', '536870912 3883.603888', '1073741824 3851.655461', '2147483648 3799.062454', '4294967296 3821.044644', '']",
1660498150-0,i-057818612a7c59a9a,m5d.large,53.45701241493225, -b -m32 -e1 -x0 -d2,21938.550169,23522.118273,3824.349363,3820.297340,"['256 22855.234824', '512 20527.680631', '1024 21938.550169', '2048 22725.822715', '4096 23121.429691', '8192 23357.891241', '16384 23466.042882', '32768 23441.956729', '65536 23543.645148', '131072 23555.562661', '262144 23558.993123', '524288 23563.043724', '1048576 23522.118273', '2097152 20985.585143', '4194304 7136.655099', '8388608 4635.846442', '16777216 4091.788223', '33554432 3901.342159', '67108864 3901.314743', '134217728 3894.237986', '268435456 3864.247102', '536870912 3861.489112', '1073741824 3824.349363', '2147483648 3784.323436', '4294967296 3820.297340', '']",
1660498150-0,i-0b0795f21702cc03c,m5d.large,53.73618698120117, -b -m32 -e1 -x0 -d2,21912.751146,23461.571421,3823.520032,6796.413820,"['256 22854.263023', '512 20509.297800', '1024 21912.751146', '2048 22709.746791', '4096 23144.076702', '8192 23357.756791', '16384 23460.882735', '32768 23512.133422', '65536 23441.344271', '131072 23555.672396', '262144 23554.513635', '524288 23437.797470', '1048576 23461.571421', '2097152 18814.265272', '4194304 5668.837055', '8388608 4368.464919', '16777216 4011.485233', '33554432 3909.232091', '67108864 3895.627110', '134217728 3885.854654', '268435456 3857.143567', '536870912 3858.173508', '1073741824 3823.520032', '2147483648 3794.382506', '4294967296 6796.413820', '']",
1660498150-0,i-074c32131232bda93,m5d.large,53.48434257507324, -b -m32 -e1 -x0 -d2,21940.410274,23523.797137,3846.241119,3731.702491,"['256 22861.342698', '512 20519.807938', '1024 21940.410274', '2048 22727.773417', '4096 23144.883532', '8192 23362.017485', '16384 23466.353435', '32768 23513.818369', '65536 23541.882575', '131072 23524.679651', '262144 23561.054079', '524288 23558.990224', '1048576 23523.797137', '2097152 20786.765011', '4194304 7242.675264', '8388608 4666.224903', '16777216 4090.026301', '33554432 3954.132108', '67108864 3923.326522', '134217728 3922.030856', '268435456 3899.264824', '536870912 3844.470899', '1073741824 3846.241119', '2147483648 3812.723578', '4294967296 3731.702491', '']",
1660498150-0,i-05ca8d35e658bc2aa,m5d.large,54.143396615982056, -b -m32 -e1 -x0 -d2,21954.027131,23442.663859,3863.726003,5629.001972,"['256 22855.047055', '512 20612.229644', '1024 21954.027131', '2048 22733.097864', '4096 23148.755579', '8192 23356.494194', '16384 23457.152802', '32768 23509.373663', '65536 23532.161408', '131072 23546.253489', '262144 23554.958922', '524288 23548.806317', '1048576 23442.663859', '2097152 19307.492722', '4194304 5772.605989', '8388608 4353.188260', '16777216 4048.741487', '33554432 3958.315036', '67108864 3946.951059', '134217728 3912.507807', '268435456 3889.757107', '536870912 3893.331065', '1073741824 3863.726003', '2147483648 3823.962120', '4294967296 5629.001972', '']",
