experimentID,instanceID,instanceType,wallTime,startTime,endTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1660438411-0,i-014ea96deabc7a1db,m5d.large,55.249988079071045,1660438442.3115385,1660438497.5615265, -w -m32 -e1 -x0 -d2,12581.102435,12841.735224,1679.521331,2988.914294,"['256 11186.086872', '512 11282.556708', '1024 10594.207302', '2048 10991.309662', '4096 11180.557740', '8192 11277.289838', '16384 11314.669444', '32768 11305.248726', '65536 16037.685054', '131072 20521.489221', '262144 19181.832856', '524288 12581.102435', '1048576 12841.735224', '2097152 7180.461938', '4194304 2573.884477', '8388608 2010.481693', '16777216 1927.804184', '33554432 1866.231847', '67108864 1802.234139', '134217728 1630.505546', '268435456 1691.327121', '536870912 1635.652005', '1073741824 1679.521331', '2147483648 1695.011208', '4294967296 2988.914294', '']",
1660438411-0,i-04ac6083e7e382189,m5d.large,54.16403245925903,1660438442.0218527,1660438496.1858852, -w -m32 -e1 -x0 -d2,10206.025693,11239.545291,1869.877090,1981.226400,"['256 10714.381191', '512 10856.734825', '1024 10206.025693', '2048 10568.263036', '4096 10854.394393', '8192 10911.376034', '16384 10920.717671', '32768 10919.222158', '65536 12335.026706', '131072 13335.405194', '262144 11352.457431', '524288 11278.322403', '1048576 11239.545291', '2097152 7929.533319', '4194304 2705.501840', '8388608 2112.501632', '16777216 1948.980951', '33554432 1903.821987', '67108864 1924.291177', '134217728 1838.361608', '268435456 1923.208123', '536870912 1841.104847', '1073741824 1869.877090', '2147483648 1884.808645', '4294967296 1981.226400', '']",
1660438411-0,i-05a5e158872b03671,m5d.large,54.28127598762512,1660438442.0689578,1660438496.3502338, -w -m32 -e1 -x0 -d2,10366.435398,10800.803249,1814.728283,2047.455607,"['256 10968.866324', '512 11091.117038', '1024 10366.435398', '2048 10700.863993', '4096 10882.133791', '8192 10961.273461', '16384 11010.740160', '32768 10973.706991', '65536 10903.496089', '131072 10929.471913', '262144 10919.720343', '524288 11038.868496', '1048576 10800.803249', '2097152 7716.430541', '4194304 2598.622244', '8388608 2034.878676', '16777216 1882.630675', '33554432 1825.399723', '67108864 1824.690200', '134217728 1795.442846', '268435456 1828.302364', '536870912 1820.074805', '1073741824 1814.728283', '2147483648 1781.024759', '4294967296 2047.455607', '']",
1660438411-0,i-0b0cdc7c7123ca114,m5d.large,54.22900366783142,1660438441.469846,1660438495.6988497, -w -m32 -e1 -x0 -d2,10131.097288,11237.092695,1875.800762,1861.734195,"['256 10889.348609', '512 10850.834809', '1024 10131.097288', '2048 10557.964530', '4096 10720.000125', '8192 10823.203149', '16384 10967.531601', '32768 10889.139507', '65536 10883.431526', '131072 10868.090467', '262144 11961.597278', '524288 11588.210652', '1048576 11237.092695', '2097152 8860.352832', '4194304 3067.617482', '8388608 2200.870139', '16777216 1931.555049', '33554432 1933.346342', '67108864 1889.286870', '134217728 1878.661037', '268435456 1889.213832', '536870912 1894.530549', '1073741824 1875.800762', '2147483648 1862.342704', '4294967296 1861.734195', '']",
1660438411-0,i-03d90970fe4b9e3d8,m5d.large,55.16611361503601,1660438442.2460253,1660438497.412139, -w -m32 -e1 -x0 -d2,10296.573144,10756.896342,1790.498059,2805.809303,"['256 11043.229752', '512 11021.931253', '1024 10296.573144', '2048 10706.629204', '4096 11057.830395', '8192 11091.934471', '16384 11057.980194', '32768 11050.308126', '65536 11009.053836', '131072 10978.743032', '262144 10973.668544', '524288 10872.360003', '1048576 10756.896342', '2097152 7046.827073', '4194304 2511.670515', '8388608 1993.700074', '16777216 1859.356244', '33554432 1821.761153', '67108864 1817.653544', '134217728 1851.902625', '268435456 1821.479332', '536870912 1815.423283', '1073741824 1790.498059', '2147483648 1763.546151', '4294967296 2805.809303', '']",
1660438411-0,i-08bc0e0727daa3b1a,m5d.large,54.55433130264282,1660438441.4256713,1660438495.9800026, -w -m32 -e1 -x0 -d2,10200.049875,10799.153905,1771.482669,1799.524401,"['256 10894.177471', '512 10908.544922', '1024 10200.049875', '2048 10604.324303', '4096 10755.056477', '8192 10860.463016', '16384 10811.349509', '32768 10828.238856', '65536 10823.434711', '131072 10986.739340', '262144 10888.193291', '524288 10889.810432', '1048576 10799.153905', '2097152 8865.192980', '4194304 3108.036395', '8388608 2154.363615', '16777216 1915.339823', '33554432 1820.204482', '67108864 1816.037245', '134217728 1815.428642', '268435456 1773.921990', '536870912 1810.713418', '1073741824 1771.482669', '2147483648 1803.318177', '4294967296 1799.524401', '']",
1660438411-0,i-08228320545462418,m5d.large,54.09419059753418,1660438442.1261404,1660438496.220331, -w -m32 -e1 -x0 -d2,10292.144255,13330.886900,1871.994273,1989.427927,"['256 10648.126785', '512 10926.129143', '1024 10292.144255', '2048 10567.415506', '4096 10694.593054', '8192 10874.963272', '16384 10875.350040', '32768 10940.169647', '65536 10939.740313', '131072 10921.941719', '262144 10899.144255', '524288 10826.792818', '1048576 13330.886900', '2097152 7804.934694', '4194304 2581.396209', '8388608 2041.687423', '16777216 1921.176202', '33554432 1898.170717', '67108864 1894.634361', '134217728 1906.924543', '268435456 1892.715129', '536870912 1909.354540', '1073741824 1871.994273', '2147483648 1863.215631', '4294967296 1989.427927', '']",
1660438411-0,i-09fe3ef60bcb416b9,m5d.large,54.2935209274292,1660438441.5366251,1660438495.830146, -w -m32 -e1 -x0 -d2,10161.476261,11229.189333,1858.255301,1859.308546,"['256 10871.576715', '512 10825.422997', '1024 10161.476261', '2048 10522.543709', '4096 10741.481454', '8192 10839.041190', '16384 10970.384145', '32768 10898.179377', '65536 10893.615208', '131072 10858.499087', '262144 12143.009905', '524288 11820.684964', '1048576 11229.189333', '2097152 9246.004635', '4194304 3082.531235', '8388608 2248.130797', '16777216 1954.152612', '33554432 1894.747787', '67108864 1911.192114', '134217728 1890.948424', '268435456 1832.160758', '536870912 1907.616061', '1073741824 1858.255301', '2147483648 1839.939369', '4294967296 1859.308546', '']",
1660438411-0,i-0ab40356d8b3c9cf4,m5d.large,54.23370885848999,1660438441.8525693,1660438496.0862782, -w -m32 -e1 -x0 -d2,10187.398420,11245.678724,1862.984577,1883.309306,"['256 10749.676151', '512 10883.563525', '1024 10187.398420', '2048 10651.929300', '4096 10801.410536', '8192 10887.346641', '16384 10891.148867', '32768 12365.836543', '65536 11858.372464', '131072 11355.367380', '262144 11363.205258', '524288 11357.149790', '1048576 11245.678724', '2097152 8525.727351', '4194304 2740.572461', '8388608 2135.555825', '16777216 1931.870128', '33554432 1920.376418', '67108864 1893.455706', '134217728 1896.961477', '268435456 1890.098227', '536870912 1853.493485', '1073741824 1862.984577', '2147483648 1842.095161', '4294967296 1883.309306', '']",
1660438411-0,i-05d48dbd9b69497c2,m5d.large,54.16922211647034,1660438441.637175,1660438495.8063972, -w -m32 -e1 -x0 -d2,10122.649295,11188.170776,1877.522507,1851.082867,"['256 10745.919312', '512 10869.697014', '1024 10122.649295', '2048 10573.753381', '4096 10729.500855', '8192 10893.607706', '16384 10924.913366', '32768 10914.610365', '65536 10898.474917', '131072 10926.955871', '262144 13291.681137', '524288 11309.694350', '1048576 11188.170776', '2097152 8380.734321', '4194304 2960.690077', '8388608 2139.214528', '16777216 1986.417961', '33554432 1907.922108', '67108864 1837.358673', '134217728 1921.385240', '268435456 1894.542678', '536870912 1884.436856', '1073741824 1877.522507', '2147483648 1877.633998', '4294967296 1851.082867', '']",
1660438411-0,i-05ce46aad119767cb,m5d.large,54.26736235618591,1660438442.0836332,1660438496.3509955, -w -m32 -e1 -x0 -d2,10608.660910,14233.521582,1792.523559,1954.249700,"['256 11176.263032', '512 11293.010945', '1024 10608.660910', '2048 10985.893774', '4096 11188.262930', '8192 11297.579175', '16384 11324.799147', '32768 11333.396100', '65536 11353.392706', '131072 15255.651049', '262144 20495.362305', '524288 19707.448991', '1048576 14233.521582', '2097152 8201.421638', '4194304 2664.697231', '8388608 1958.398143', '16777216 1895.928529', '33554432 1868.375491', '67108864 1784.510268', '134217728 1884.439150', '268435456 1817.609894', '536870912 1867.720250', '1073741824 1792.523559', '2147483648 1813.935761', '4294967296 1954.249700', '']",
1660438411-0,i-0454a42a5865065e5,m5d.large,54.756775856018066,1660438442.7536457,1660438497.5104215, -w -m32 -e1 -x0 -d2,10485.238681,10473.702261,1789.678090,3232.712603,"['256 10921.172948', '512 11147.372501', '1024 10485.238681', '2048 10729.557000', '4096 10944.383386', '8192 11012.219731', '16384 11050.903198', '32768 10989.126522', '65536 10988.297451', '131072 10989.132898', '262144 10926.512323', '524288 10830.651709', '1048576 10473.702261', '2097152 6719.223472', '4194304 2428.601050', '8388608 1981.809967', '16777216 1849.308762', '33554432 1837.152579', '67108864 1823.141827', '134217728 1904.151404', '268435456 1773.037491', '536870912 1806.702617', '1073741824 1789.678090', '2147483648 1771.551941', '4294967296 3232.712603', '']",
1660438411-0,i-04a13cd6e870a4423,m5d.large,54.055606842041016,1660438442.1279173,1660438496.1835241, -w -m32 -e1 -x0 -d2,10573.211851,11158.844665,1826.080706,1968.362780,"['256 11159.386783', '512 11252.657308', '1024 10573.211851', '2048 10932.484393', '4096 11149.193454', '8192 11253.621322', '16384 11299.095369', '32768 11286.598092', '65536 11302.962160', '131072 11306.933923', '262144 11312.683883', '524288 11291.470619', '1048576 11158.844665', '2097152 7833.380842', '4194304 2655.452588', '8388608 2122.451646', '16777216 1877.942633', '33554432 1896.767312', '67108864 1904.051057', '134217728 1891.251863', '268435456 1880.558612', '536870912 1885.883354', '1073741824 1826.080706', '2147483648 1838.383742', '4294967296 1968.362780', '']",
1660438411-0,i-07afd281efcc352bc,m5d.large,54.7898108959198,1660438442.7555995,1660438497.5454104, -w -m32 -e1 -x0 -d2,10497.504411,10632.499862,1794.001948,3160.718247,"['256 18750.081784', '512 12180.029144', '1024 10497.504411', '2048 10745.850126', '4096 10874.693200', '8192 11017.979136', '16384 11199.143470', '32768 11145.666981', '65536 11067.531767', '131072 11068.160728', '262144 11051.856501', '524288 10924.064200', '1048576 10632.499862', '2097152 6405.710485', '4194304 2442.952992', '8388608 1968.223620', '16777216 1858.077078', '33554432 1884.638027', '67108864 1830.253676', '134217728 1853.041616', '268435456 1832.357638', '536870912 1808.550299', '1073741824 1794.001948', '2147483648 1753.109937', '4294967296 3160.718247', '']",
1660438411-0,i-0426765027164200b,m5d.large,54.95292830467224,1660438442.4402962,1660438497.3932245, -w -m32 -e1 -x0 -d2,10333.367049,10753.248572,1774.963398,2798.489464,"['256 10958.015028', '512 11075.673061', '1024 10333.367049', '2048 10693.606810', '4096 10889.714620', '8192 10956.155665', '16384 11007.986550', '32768 10923.968423', '65536 10934.670196', '131072 10946.167714', '262144 11034.978827', '524288 10943.752853', '1048576 10753.248572', '2097152 7019.465816', '4194304 2445.941966', '8388608 2002.713499', '16777216 1860.240107', '33554432 1826.069458', '67108864 1820.562191', '134217728 1823.931657', '268435456 1819.494956', '536870912 1787.569669', '1073741824 1774.963398', '2147483648 1812.926843', '4294967296 2798.489464', '']",
1660438411-0,i-01b58350b5ff28000,m5d.large,54.57824754714966,1660438443.5850747,1660438498.1633222, -w -m32 -e1 -x0 -d2,10120.146533,10347.707849,1796.186575,5315.168966,"['256 10774.276837', '512 10810.174302', '1024 10120.146533', '2048 10516.103363', '4096 10862.674254', '8192 10887.779640', '16384 10903.178697', '32768 10887.991191', '65536 10926.355580', '131072 10902.744570', '262144 10994.884898', '524288 10824.850913', '1048576 10347.707849', '2097152 5352.869874', '4194304 2219.906524', '8388608 1895.933042', '16777216 1834.297022', '33554432 1774.202690', '67108864 1818.747544', '134217728 1809.695061', '268435456 1832.653198', '536870912 1796.040830', '1073741824 1796.186575', '2147483648 1811.634115', '4294967296 5315.168966', '']",
1660438411-0,i-056387275a1c0c5ff,m5d.large,54.522255659103394,1660438443.0818186,1660438497.6040742, -w -m32 -e1 -x0 -d2,10252.964448,10486.219168,1799.851357,3564.344752,"['256 10936.430169', '512 10989.238100', '1024 10252.964448', '2048 10632.277046', '4096 10812.218428', '8192 10903.641459', '16384 10885.937589', '32768 10873.327978', '65536 10891.241861', '131072 11014.160241', '262144 10924.425862', '524288 10880.947205', '1048576 10486.219168', '2097152 5474.742100', '4194304 2298.115496', '8388608 1927.757399', '16777216 1852.094395', '33554432 1812.017764', '67108864 1813.985457', '134217728 1825.929025', '268435456 1763.789155', '536870912 1795.714677', '1073741824 1799.851357', '2147483648 1790.191425', '4294967296 3564.344752', '']",
1660438411-0,i-0273145f22d4d14d9,m5d.large,54.289315938949585,1660438441.592063,1660438495.881379, -w -m32 -e1 -x0 -d2,10561.345149,11231.444361,1837.683868,1828.644289,"['256 11101.479859', '512 11278.062134', '1024 10561.345149', '2048 10980.115508', '4096 11189.855573', '8192 11284.025959', '16384 11304.706017', '32768 11313.513338', '65536 11336.725184', '131072 11342.128265', '262144 11348.571919', '524288 11329.615320', '1048576 11231.444361', '2097152 9299.442821', '4194304 3105.522744', '8388608 2236.576178', '16777216 1954.702974', '33554432 1898.076718', '67108864 1914.982335', '134217728 1892.561720', '268435456 1891.851030', '536870912 1860.622327', '1073741824 1837.683868', '2147483648 1755.944484', '4294967296 1828.644289', '']",
1660438411-0,i-014620d34f6f02be3,m5d.large,55.269362688064575,1660438442.1127849,1660438497.3821476, -w -m32 -e1 -x0 -d2,10174.015474,10817.296429,1789.911325,2809.626948,"['256 10798.304922', '512 10860.837396', '1024 10174.015474', '2048 10474.998420', '4096 10694.285042', '8192 10799.961190', '16384 10959.515960', '32768 10865.312046', '65536 10894.213074', '131072 10921.697355', '262144 10873.616970', '524288 10843.637510', '1048576 10817.296429', '2097152 7162.883660', '4194304 2511.148514', '8388608 1988.320031', '16777216 1839.491028', '33554432 1797.830697', '67108864 1815.254270', '134217728 1773.719276', '268435456 1804.106350', '536870912 1808.417889', '1073741824 1789.911325', '2147483648 1798.644612', '4294967296 2809.626948', '']",
1660438411-0,i-07eb2aeb4205de1b5,m5d.large,54.27319622039795,1660438441.5753064,1660438495.8485026, -w -m32 -e1 -x0 -d2,10516.526061,11233.640892,1823.876452,1855.159232,"['256 11157.579073', '512 11275.623660', '1024 10516.526061', '2048 10966.351209', '4096 11181.017049', '8192 11272.457623', '16384 11316.977931', '32768 11316.527388', '65536 11328.866721', '131072 11321.939210', '262144 11347.135028', '524288 11342.137382', '1048576 11233.640892', '2097152 9246.154256', '4194304 3122.096901', '8388608 2193.953592', '16777216 1990.901738', '33554432 1898.633884', '67108864 1875.961492', '134217728 1904.061101', '268435456 1818.564543', '536870912 1876.428818', '1073741824 1823.876452', '2147483648 1841.308676', '4294967296 1855.159232', '']",
