experimentID,instanceID,instanceType,wallTime,testOption,Average Page Latency,Output
1660438768-0,i-014ea96deabc7a1db,m5d.large,69.98048496246338, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1464,"['Average: 0.1464', '']"
1660438768-0,i-04ac6083e7e382189,m5d.large,70.6497733592987, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2227,"['Average: 0.2227', '']"
1660438768-0,i-05a5e158872b03671,m5d.large,70.52684736251831, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2461,"['Average: 0.2461', '']"
1660438768-0,i-0b0cdc7c7123ca114,m5d.large,69.75443005561829, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2337,"['Average: 0.2337', '']"
1660438768-0,i-03d90970fe4b9e3d8,m5d.large,70.89818263053894, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2616,"['Average: 0.2616', '']"
1660438768-0,i-08bc0e0727daa3b1a,m5d.large,70.0094199180603, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2293,"['Average: 0.2293', '']"
1660438768-0,i-08228320545462418,m5d.large,71.47458481788635, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2252,"['Average: 0.2252', '']"
1660438768-0,i-09fe3ef60bcb416b9,m5d.large,70.0262770652771, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2393,"['Average: 0.2393', '']"
1660438768-0,i-0ab40356d8b3c9cf4,m5d.large,69.61031746864319, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.234,"['Average: 0.234', '']"
1660438768-0,i-05d48dbd9b69497c2,m5d.large,69.96082472801208, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2468,"['Average: 0.2468', '']"
1660438768-0,i-05ce46aad119767cb,m5d.large,69.97565364837646, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1415,"['Average: 0.1415', '']"
1660438768-0,i-0454a42a5865065e5,m5d.large,70.44487977027893, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2447,"['Average: 0.2447', '']"
1660438768-0,i-04a13cd6e870a4423,m5d.large,70.89411664009094, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2402,"['Average: 0.2402', '']"
1660438768-0,i-07afd281efcc352bc,m5d.large,71.87866306304932, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.265,"['Average: 0.265', '']"
1660438768-0,i-0426765027164200b,m5d.large,70.31208157539368, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.235,"['Average: 0.235', '']"
1660438768-0,i-01b58350b5ff28000,m5d.large,70.24889755249023, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.232,"['Average: 0.232', '']"
1660438768-0,i-056387275a1c0c5ff,m5d.large,70.2764322757721, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2449,"['Average: 0.2449', '']"
1660438768-0,i-0273145f22d4d14d9,m5d.large,69.96218538284302, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1876,"['Average: 0.1876', '']"
1660438768-0,i-014620d34f6f02be3,m5d.large,69.69923686981201, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2473,"['Average: 0.2473', '']"
1660438768-0,i-07eb2aeb4205de1b5,m5d.large,71.3779788017273, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2068,"['Average: 0.2068', '']"
1660438768-0,i-008900422e8dae7ea,m5d.large,71.0380175113678, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2607,"['Average: 0.2607', '']"
1660438768-0,i-0f4f881b854f24b12,m5d.large,70.54104471206665, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2327,"['Average: 0.2327', '']"
1660438768-0,i-0c1c58de3563f14c0,m5d.large,70.93455481529236, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2089,"['Average: 0.2089', '']"
1660438768-0,i-09e3964b3f3ebccf5,m5d.large,70.82423758506775, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2258,"['Average: 0.2258', '']"
1660438768-0,i-0d8d3cf648af4a22a,m5d.large,72.1334936618805, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2627,"['Average: 0.2627', '']"
1660438768-0,i-03f4d9278862a778d,m5d.large,70.8915343284607, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2447,"['Average: 0.2447', '']"
1660438768-0,i-0eac9705025886977,m5d.large,70.63492345809937, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2493,"['Average: 0.2493', '']"
1660438768-0,i-09065edc6652b2180,m5d.large,70.1419587135315, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1341,"['Average: 0.1341', '']"
1660438768-0,i-008a0e784de1c89bb,m5d.large,70.50418162345886, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.228,"['Average: 0.228', '']"
1660438768-0,i-0868db69dcc1c0cc2,m5d.large,70.75801062583923, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2277,"['Average: 0.2277', '']"
1660438768-0,i-0f9f38613a7cacef0,m5d.large,70.25963377952576, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2314,"['Average: 0.2314', '']"
1660438768-0,i-04b5ec3dd295f3117,m5d.large,70.09169840812683, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2233,"['Average: 0.2233', '']"
1660438768-0,i-0574e55093852e883,m5d.large,70.69707036018372, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.2454,"['Average: 0.2454', '']"
1660438768-0,i-0bf5e2bd7380d619a,m5d.large,69.87550234794617, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1928,"['Average: 0.1928', '']"
