instanceID,instanceType,experimentID,interval,bandwidthUpload,bandwitdhDownload,setId,vmId,cmd
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,486 Mbits/sec,257 Mbits/sec,15,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,499 Mbits/sec,232 Mbits/sec,15,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,397 Mbits/sec,217 Mbits/sec,15,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,465 Mbits/sec,236 Mbits/sec,15,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,352 Mbits/sec,232 Mbits/sec,15,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,288 Mbits/sec,234 Mbits/sec,15,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,275 Mbits/sec,217 Mbits/sec,15,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,482 Mbits/sec,255 Mbits/sec,15,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,433 Mbits/sec,253 Mbits/sec,15,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,480 Mbits/sec,243 Mbits/sec,15,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,379 Mbits/sec,198 Mbits/sec,15,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,450 Mbits/sec,257 Mbits/sec,16,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,426 Mbits/sec,233 Mbits/sec,16,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,347 Mbits/sec,224 Mbits/sec,16,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,394 Mbits/sec,204 Mbits/sec,16,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,417 Mbits/sec,251 Mbits/sec,16,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,356 Mbits/sec,330 Mbits/sec,16,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,343 Mbits/sec,312 Mbits/sec,16,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,294 Mbits/sec,431 Mbits/sec,16,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,414 Mbits/sec,338 Mbits/sec,16,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,309 Mbits/sec,426 Mbits/sec,16,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0c8f9da6016fd7fb7,c4.large,1564714192,15.0 sec,444 Mbits/sec,420 Mbits/sec,16,15,iperf -c 54.89.222.151 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,585 Mbits/sec,581 Mbits/sec,4,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,584 Mbits/sec,587 Mbits/sec,4,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,582 Mbits/sec,598 Mbits/sec,4,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,596 Mbits/sec,614 Mbits/sec,4,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,591 Mbits/sec,613 Mbits/sec,4,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,658 Mbits/sec,603 Mbits/sec,4,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,601 Mbits/sec,597 Mbits/sec,4,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,576 Mbits/sec,579 Mbits/sec,4,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,579 Mbits/sec,584 Mbits/sec,4,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,583 Mbits/sec,584 Mbits/sec,4,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,581 Mbits/sec,588 Mbits/sec,4,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,664 Mbits/sec,552 Mbits/sec,5,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,601 Mbits/sec,543 Mbits/sec,5,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
i-0b9b102a98b7db1c0,c4.large,1564714192,15.0 sec,596 Mbits/sec,387 Mbits/sec,5,4,iperf -c 3.85.30.45 --dualtest --window 416k --time 15 
