instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-00e88d0a4ab318520,1567221104-0,m5d.large,60.4364058971405,10,10,1,TPC-B (sort of),simple,60 s,28563,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-0,m5d.large,60.41126847267151,10,10,1,TPC-B (sort of),simple,60 s,27557,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-0,m5d.large,60.38229727745056,10,10,1,TPC-B (sort of),simple,60 s,27534,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-1,m5d.large,60.42261052131653,10,10,1,TPC-B (sort of),simple,60 s,28954,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-1,m5d.large,60.29940438270569,10,10,1,TPC-B (sort of),simple,60 s,27534,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-1,m5d.large,60.26091551780701,10,10,1,TPC-B (sort of),simple,60 s,28360,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-2,m5d.large,60.35513615608215,10,10,1,TPC-B (sort of),simple,60 s,28184,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-2,m5d.large,60.293694496154785,10,10,1,TPC-B (sort of),simple,60 s,28299,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-2,m5d.large,60.263973236083984,10,10,1,TPC-B (sort of),simple,60 s,28287,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-3,m5d.large,60.323607444763184,10,10,1,TPC-B (sort of),simple,60 s,28139,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-3,m5d.large,60.335522413253784,10,10,1,TPC-B (sort of),simple,60 s,28319,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-3,m5d.large,60.234050989151,10,10,1,TPC-B (sort of),simple,60 s,28467,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-4,m5d.large,61.26821851730347,10,10,1,TPC-B (sort of),simple,60 s,28987,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-4,m5d.large,60.28872632980347,10,10,1,TPC-B (sort of),simple,60 s,28367,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-4,m5d.large,60.35149550437927,10,10,1,TPC-B (sort of),simple,60 s,28377,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-5,m5d.large,60.276368618011475,10,10,1,TPC-B (sort of),simple,60 s,28462,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-5,m5d.large,60.269864559173584,10,10,1,TPC-B (sort of),simple,60 s,28366,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-5,m5d.large,60.25543713569641,10,10,1,TPC-B (sort of),simple,60 s,27786,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-6,m5d.large,60.27860379219055,10,10,1,TPC-B (sort of),simple,60 s,28276,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-6,m5d.large,60.328367471694946,10,10,1,TPC-B (sort of),simple,60 s,28133,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-6,m5d.large,60.27301359176636,10,10,1,TPC-B (sort of),simple,60 s,28112,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-7,m5d.large,60.23403477668762,10,10,1,TPC-B (sort of),simple,60 s,29353,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-7,m5d.large,60.38524341583252,10,10,1,TPC-B (sort of),simple,60 s,28335,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-7,m5d.large,60.24790835380554,10,10,1,TPC-B (sort of),simple,60 s,28519,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-8,m5d.large,60.26363444328308,10,10,1,TPC-B (sort of),simple,60 s,29107,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-8,m5d.large,60.39012575149536,10,10,1,TPC-B (sort of),simple,60 s,28386,data_directory = '/var/lib/postgresql/9.5/main'
i-00e88d0a4ab318520,1567221104-8,m5d.large,60.40211057662964,10,10,1,TPC-B (sort of),simple,60 s,28534,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-0,m5d.large,60.267781496047974,10,10,1,TPC-B (sort of),simple,60 s,28060,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-0,m5d.large,60.24315571784973,10,10,1,TPC-B (sort of),simple,60 s,27260,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-0,m5d.large,60.23616409301758,10,10,1,TPC-B (sort of),simple,60 s,27666,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-1,m5d.large,60.20377445220947,10,10,1,TPC-B (sort of),simple,60 s,28434,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-1,m5d.large,60.23094654083252,10,10,1,TPC-B (sort of),simple,60 s,27658,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-1,m5d.large,60.225829124450684,10,10,1,TPC-B (sort of),simple,60 s,27653,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-2,m5d.large,60.2247519493103,10,10,1,TPC-B (sort of),simple,60 s,28047,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-2,m5d.large,60.196961402893066,10,10,1,TPC-B (sort of),simple,60 s,27617,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-2,m5d.large,60.226131439208984,10,10,1,TPC-B (sort of),simple,60 s,27700,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-3,m5d.large,60.19581913948059,10,10,1,TPC-B (sort of),simple,60 s,29233,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-3,m5d.large,60.19470167160034,10,10,1,TPC-B (sort of),simple,60 s,28308,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-3,m5d.large,60.210675954818726,10,10,1,TPC-B (sort of),simple,60 s,28500,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-4,m5d.large,60.20765471458435,10,10,1,TPC-B (sort of),simple,60 s,28824,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-4,m5d.large,60.2264723777771,10,10,1,TPC-B (sort of),simple,60 s,28507,data_directory = '/var/lib/postgresql/9.5/main'
i-02025c7743e410e56,1567221104-4,m5d.large,60.23222064971924,10,10,1,TPC-B (sort of),simple,60 s,28508,data_directory = '/var/lib/postgresql/9.5/main'
