instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-0e2f3174a206a8fd8,1526539765,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 17 06:53:01 2018,3.43 GiB,Push,197.01 %,98.51 %,7.746,7.916,8.443258047103882
i-0e2f3174a206a8fd8,1526539765,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 17 06:53:10 2018,3.42 GiB,Push,196.92 %,98.46 %,7.734,7.946,8.387401580810547
i-0e2f3174a206a8fd8,1526539765,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 17 06:53:19 2018,3.43 GiB,Push,196.41 %,98.21 %,7.724,7.978,8.419699430465698
i-0e2f3174a206a8fd8,1526539765,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 17 06:53:27 2018,3.43 GiB,Push,196.86 %,98.43 %,7.721,7.940,8.386590957641602
i-0e2f3174a206a8fd8,1526539765,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 17 06:53:36 2018,3.43 GiB,Push,197.00 %,98.50 %,7.731,7.943,8.387187719345093
i-0e2f3174a206a8fd8,1526539765,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 17 06:53:44 2018,3.43 GiB,Push,196.14 %,98.07 %,7.750,7.960,8.406741380691528
i-0e2f3174a206a8fd8,1526539765,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 17 06:53:53 2018,3.43 GiB,Push,196.76 %,98.38 %,7.720,7.939,8.382024049758911
i-0e2f3174a206a8fd8,1526539765,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 17 06:54:02 2018,3.43 GiB,Push,196.16 %,98.08 %,7.698,7.913,8.36135196685791
i-0e2f3174a206a8fd8,1526539765,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 17 06:54:10 2018,3.43 GiB,Push,196.54 %,98.27 %,7.693,7.905,8.34171748161316
i-0e2f3174a206a8fd8,1526539765,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 17 06:54:19 2018,3.43 GiB,Push,195.84 %,97.92 %,7.680,7.887,8.325356483459473
