instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:21:02 2018,3.43 GiB,Push,197.26 %,98.63 %,7.285,7.446,8.111499786376953
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:21:10 2018,3.43 GiB,Push,196.50 %,98.25 %,7.298,7.519,7.9471189975738525
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:21:18 2018,3.43 GiB,Push,195.95 %,97.97 %,7.318,7.539,7.969608306884766
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:21:26 2018,3.43 GiB,Push,196.63 %,98.32 %,7.293,7.541,7.96973991394043
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:21:35 2018,3.43 GiB,Push,196.99 %,98.49 %,7.305,7.511,7.9437501430511475
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:21:43 2018,3.43 GiB,Push,196.82 %,98.41 %,7.322,7.527,7.959312915802002
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:21:51 2018,3.43 GiB,Push,196.84 %,98.42 %,7.280,7.483,7.914117336273193
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:21:59 2018,3.43 GiB,Push,196.90 %,98.45 %,7.303,7.508,7.932762861251831
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:22:07 2018,3.43 GiB,Push,196.47 %,98.23 %,7.314,7.516,7.941314697265625
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:22:15 2018,3.43 GiB,Push,196.82 %,98.41 %,7.296,7.508,7.9389097690582275
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:24:01 2018,3.43 GiB,Push,196.98 %,98.49 %,7.366,7.527,7.963725805282593
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:24:10 2018,3.43 GiB,Push,197.00 %,98.50 %,7.386,7.598,8.034605026245117
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:24:18 2018,3.43 GiB,Push,196.06 %,98.03 %,7.335,7.540,7.973703145980835
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:24:26 2018,3.43 GiB,Push,196.81 %,98.40 %,7.332,7.541,7.97508692741394
i-0befb2db20fb8cca4,1527141688,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Thu May 24 06:24:34 2018,3.43 GiB,Push,196.16 %,98.08 %,7.367,7.574,8.007493495941162
