instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-0ac4bf647ab2911ec,1526951241,c4.xlarge,7.30 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,4 threads / 2 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 01:12:02 2018,6.99 GiB,Push,358.76 %,89.69 %,3.978,4.145,5.281500339508057
i-0ac4bf647ab2911ec,1526951241,c4.xlarge,7.30 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,4 threads / 2 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 01:12:07 2018,6.98 GiB,Push,358.60 %,89.65 %,3.990,4.357,4.811561584472656
i-0ac4bf647ab2911ec,1526951241,c4.xlarge,7.30 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,4 threads / 2 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 01:12:12 2018,6.99 GiB,Push,360.48 %,90.12 %,3.986,4.407,4.8584020137786865
i-0ac4bf647ab2911ec,1526951241,c4.xlarge,7.30 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,4 threads / 2 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 01:12:17 2018,6.99 GiB,Push,357.08 %,89.27 %,4.041,4.270,4.722746133804321
i-0ac4bf647ab2911ec,1526951241,c4.xlarge,7.30 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,4 threads / 2 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 01:12:22 2018,6.99 GiB,Push,358.57 %,89.64 %,4.008,4.342,4.790058374404907
i-0ac4bf647ab2911ec,1526951241,c4.xlarge,7.30 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,4 threads / 2 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 01:12:27 2018,6.99 GiB,Push,361.93 %,90.48 %,4.001,4.228,4.675275087356567
i-0ac4bf647ab2911ec,1526951241,c4.xlarge,7.30 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,4 threads / 2 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 01:12:32 2018,6.99 GiB,Push,361.12 %,90.28 %,4.013,4.243,4.692784786224365
i-0ac4bf647ab2911ec,1526951241,c4.xlarge,7.30 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,4 threads / 2 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 01:12:36 2018,6.99 GiB,Push,359.24 %,89.81 %,4.053,4.289,4.737701892852783
i-0ac4bf647ab2911ec,1526951241,c4.xlarge,7.30 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,4 threads / 2 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 01:12:41 2018,6.99 GiB,Push,360.86 %,90.21 %,4.040,4.374,4.819895505905151
i-0ac4bf647ab2911ec,1526951241,c4.xlarge,7.30 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,4 threads / 2 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 01:12:47 2018,6.99 GiB,Push,363.57 %,90.89 %,4.035,4.266,4.858400821685791
