"","instanceID","testStartTime","computationTime","benchmarkTime","wallTime","set","vmID"
"1081","i-0317aa54ab6a293d9","Thu May 17 06:53:01 2018",7.549,7.716,8.24181151390076,1,1
"1082","i-0317aa54ab6a293d9","Thu May 17 06:53:09 2018",7.566,7.847,8.29180383682251,1,1
"1083","i-0317aa54ab6a293d9","Thu May 17 06:53:18 2018",7.543,7.808,8.25920033454895,1,1
"1084","i-0317aa54ab6a293d9","Thu May 17 06:53:27 2018",7.525,7.796,8.2785165309906,1,1
"1085","i-0317aa54ab6a293d9","Thu May 17 06:53:35 2018",7.554,7.771,8.2238175868988,1,1
"1086","i-0317aa54ab6a293d9","Thu May 17 06:53:43 2018",7.583,7.799,8.24473023414612,1,1
"1087","i-0317aa54ab6a293d9","Thu May 17 06:53:52 2018",7.537,7.745,8.19070506095886,1,1
"1088","i-0317aa54ab6a293d9","Thu May 17 06:54:00 2018",7.525,7.737,8.18164896965027,1,1
"1089","i-0317aa54ab6a293d9","Thu May 17 06:54:09 2018",7.518,7.733,8.17493987083435,1,1
"1090","i-0317aa54ab6a293d9","Thu May 17 06:54:17 2018",7.529,7.741,8.18232369422913,1,1
"111","i-0660afc63b4ed7acc","Thu May 17 06:53:01 2018",7.593,7.764,8.28412079811096,1,2
"112","i-0660afc63b4ed7acc","Thu May 17 06:53:10 2018",7.61,7.895,8.34510445594788,1,2
"113","i-0660afc63b4ed7acc","Thu May 17 06:53:18 2018",7.587,7.855,8.31385040283203,1,2
"114","i-0660afc63b4ed7acc","Thu May 17 06:53:27 2018",7.56,7.819,8.27029395103455,1,2
"115","i-0660afc63b4ed7acc","Thu May 17 06:53:35 2018",7.602,7.804,8.26273441314697,1,2
"116","i-0660afc63b4ed7acc","Thu May 17 06:53:44 2018",7.64,7.846,8.29335427284241,1,2
"117","i-0660afc63b4ed7acc","Thu May 17 06:53:52 2018",7.572,7.777,8.22178554534912,1,2
"118","i-0660afc63b4ed7acc","Thu May 17 06:54:01 2018",7.574,7.776,8.22755360603333,1,2
"119","i-0660afc63b4ed7acc","Thu May 17 06:54:09 2018",7.57,7.773,8.2114405632019,1,2
"120","i-0660afc63b4ed7acc","Thu May 17 06:54:18 2018",7.556,7.764,8.20451879501343,1,2
"221","i-0c33e91978fb82eb9","Thu May 17 06:53:01 2018",7.577,7.738,8.26745104789734,1,3
"222","i-0c33e91978fb82eb9","Thu May 17 06:53:10 2018",7.611,7.837,8.27661871910095,1,3
"223","i-0c33e91978fb82eb9","Thu May 17 06:53:18 2018",7.583,7.859,8.30828857421875,1,3
"224","i-0c33e91978fb82eb9","Thu May 17 06:53:27 2018",7.57,7.848,8.33121943473816,1,3
"225","i-0c33e91978fb82eb9","Thu May 17 06:53:35 2018",7.565,7.794,8.24423480033875,1,3
"226","i-0c33e91978fb82eb9","Thu May 17 06:53:44 2018",9.594,9.804,10.2703659534454,1,3
"227","i-0c33e91978fb82eb9","Thu May 17 06:53:54 2018",7.555,7.765,8.20257711410522,1,3
"228","i-0c33e91978fb82eb9","Thu May 17 06:54:02 2018",7.55,7.76,8.19598841667175,1,3
"229","i-0c33e91978fb82eb9","Thu May 17 06:54:11 2018",7.522,7.729,8.16423487663269,1,3
"230","i-0c33e91978fb82eb9","Thu May 17 06:54:19 2018",7.483,7.685,8.12488722801208,1,3
"891","i-09cc246792e9684ad","Thu May 17 06:53:01 2018",7.877,8.082,8.65463399887085,1,4
"892","i-09cc246792e9684ad","Thu May 17 06:53:10 2018",7.882,8.13,8.58441138267517,1,4
"893","i-09cc246792e9684ad","Thu May 17 06:53:19 2018",7.805,8.096,8.54951238632202,1,4
"894","i-09cc246792e9684ad","Thu May 17 06:53:28 2018",7.832,8.067,8.52007651329041,1,4
"895","i-09cc246792e9684ad","Thu May 17 06:53:36 2018",7.848,8.082,8.53292179107666,1,4
"896","i-09cc246792e9684ad","Thu May 17 06:53:45 2018",7.896,8.129,8.58186054229736,1,4
"897","i-09cc246792e9684ad","Thu May 17 06:53:54 2018",7.84,8.075,8.5273015499115,1,4
"898","i-09cc246792e9684ad","Thu May 17 06:54:03 2018",7.835,8.071,8.52243661880493,1,4
"899","i-09cc246792e9684ad","Thu May 17 06:54:12 2018",7.815,8.049,8.49920582771301,1,4
"900","i-09cc246792e9684ad","Thu May 17 06:54:20 2018",7.662,7.889,8.3300347328186,1,4
"1031","i-03db1fbbbb0d01b41","Thu May 17 06:53:01 2018",7.614,7.78,8.31450963020325,1,5
"1032","i-03db1fbbbb0d01b41","Thu May 17 06:53:10 2018",7.622,7.925,8.38637113571167,1,5
"1033","i-03db1fbbbb0d01b41","Thu May 17 06:53:19 2018",7.591,7.88,8.34429049491882,1,5
"1034","i-03db1fbbbb0d01b41","Thu May 17 06:53:27 2018",7.575,7.823,8.28798294067383,1,5
"1035","i-03db1fbbbb0d01b41","Thu May 17 06:53:36 2018",7.61,7.844,8.30706906318665,1,5
"1036","i-03db1fbbbb0d01b41","Thu May 17 06:53:44 2018",7.618,7.86,8.32327222824097,1,5
"1037","i-03db1fbbbb0d01b41","Thu May 17 06:53:53 2018",7.574,7.81,8.26871752738953,1,5
"1038","i-03db1fbbbb0d01b41","Thu May 17 06:54:01 2018",7.575,7.815,8.27276515960693,1,5
"1039","i-03db1fbbbb0d01b41","Thu May 17 06:54:10 2018",7.553,7.787,8.2436351776123,1,5
"1040","i-03db1fbbbb0d01b41","Thu May 17 06:54:18 2018",7.512,7.747,8.19761729240417,1,5
"411","i-065b552453939011e","Thu May 17 06:53:01 2018",7.726,7.9,8.4416835308075,1,6
