"","instanceID","testStartTime","computationTime","benchmarkTime","wallTime","set","vmID"
"691","i-0db07fe843fe06fd3","Thu May 24 06:06:01 2018",7.197,7.352,8.05509281158447,1,16
"692","i-0db07fe843fe06fd3","Thu May 24 06:06:10 2018",7.193,7.396,7.82548260688782,1,16
"693","i-0db07fe843fe06fd3","Thu May 24 06:06:18 2018",7.203,7.404,7.83082914352417,1,16
"694","i-0db07fe843fe06fd3","Thu May 24 06:06:26 2018",7.198,7.4,7.81829023361206,1,16
"695","i-0db07fe843fe06fd3","Thu May 24 06:06:34 2018",7.212,7.412,7.83715391159058,1,16
"696","i-0db07fe843fe06fd3","Thu May 24 06:06:42 2018",7.211,7.416,7.83802223205566,1,16
"697","i-0db07fe843fe06fd3","Thu May 24 06:06:50 2018",7.196,7.399,7.82942700386047,1,16
"698","i-0db07fe843fe06fd3","Thu May 24 06:06:58 2018",7.188,7.39,7.81479907035828,1,16
"699","i-0db07fe843fe06fd3","Thu May 24 06:07:06 2018",7.189,7.391,7.82171559333801,1,16
"700","i-0db07fe843fe06fd3","Thu May 24 06:07:14 2018",7.215,7.415,7.838210105896,1,16
"701","i-0db07fe843fe06fd3","Thu May 24 06:09:01 2018",7.23,7.384,7.82057619094849,2,16
"702","i-0db07fe843fe06fd3","Thu May 24 06:09:09 2018",7.219,7.429,7.86175894737244,2,16
"703","i-0db07fe843fe06fd3","Thu May 24 06:09:17 2018",7.239,7.451,7.88410568237305,2,16
"704","i-0db07fe843fe06fd3","Thu May 24 06:09:25 2018",7.212,7.418,7.85284447669983,2,16
"705","i-0db07fe843fe06fd3","Thu May 24 06:09:33 2018",7.219,7.425,7.8619430065155,2,16
"706","i-0db07fe843fe06fd3","Thu May 24 06:09:41 2018",7.226,7.428,7.86281609535217,2,16
"707","i-0db07fe843fe06fd3","Thu May 24 06:09:49 2018",7.222,7.432,7.86672902107239,2,16
"708","i-0db07fe843fe06fd3","Thu May 24 06:09:57 2018",7.238,7.442,7.87603616714478,2,16
"709","i-0db07fe843fe06fd3","Thu May 24 06:10:05 2018",7.238,7.442,7.87967967987061,2,16
"710","i-0db07fe843fe06fd3","Thu May 24 06:10:13 2018",7.219,7.423,7.85685157775879,2,16
"711","i-0db07fe843fe06fd3","Thu May 24 06:12:02 2018",7.262,7.42,7.89304780960083,3,16
"712","i-0db07fe843fe06fd3","Thu May 24 06:12:10 2018",7.266,7.476,7.90700030326843,3,16
"713","i-0db07fe843fe06fd3","Thu May 24 06:12:18 2018",7.267,7.472,7.90561366081238,3,16
"714","i-0db07fe843fe06fd3","Thu May 24 06:12:26 2018",7.252,7.457,7.88574290275574,3,16
"715","i-0db07fe843fe06fd3","Thu May 24 06:12:34 2018",7.283,7.488,7.92157125473022,3,16
"716","i-0db07fe843fe06fd3","Thu May 24 06:12:42 2018",7.23,7.436,7.86952137947083,3,16
"717","i-0db07fe843fe06fd3","Thu May 24 06:12:50 2018",7.27,7.476,7.90674042701721,3,16
"718","i-0db07fe843fe06fd3","Thu May 24 06:12:58 2018",7.293,7.499,7.93177366256714,3,16
"719","i-0db07fe843fe06fd3","Thu May 24 06:13:06 2018",7.259,7.465,7.89417600631714,3,16
"720","i-0db07fe843fe06fd3","Thu May 24 06:13:14 2018",7.261,7.466,7.89505314826965,3,16
"721","i-0db07fe843fe06fd3","Thu May 24 06:15:02 2018",7.24,7.401,7.83030223846436,4,16
"722","i-0db07fe843fe06fd3","Thu May 24 06:15:10 2018",7.262,7.471,7.89727878570557,4,16
"723","i-0db07fe843fe06fd3","Thu May 24 06:15:18 2018",7.257,7.463,7.88903522491455,4,16
"724","i-0db07fe843fe06fd3","Thu May 24 06:15:26 2018",7.247,7.454,7.88017249107361,4,16
"725","i-0db07fe843fe06fd3","Thu May 24 06:15:34 2018",7.246,7.458,7.88638830184937,4,16
"726","i-0db07fe843fe06fd3","Thu May 24 06:15:42 2018",7.277,7.482,7.91314959526062,4,16
"727","i-0db07fe843fe06fd3","Thu May 24 06:15:50 2018",7.263,7.466,7.91999077796936,4,16
"728","i-0db07fe843fe06fd3","Thu May 24 06:15:58 2018",7.287,7.49,7.92186236381531,4,16
"729","i-0db07fe843fe06fd3","Thu May 24 06:16:06 2018",7.247,7.453,7.8832790851593,4,16
"730","i-0db07fe843fe06fd3","Thu May 24 06:16:14 2018",7.251,7.456,7.88549304008484,4,16
"731","i-0db07fe843fe06fd3","Thu May 24 06:18:02 2018",7.302,7.464,7.9998767375946,5,16
"732","i-0db07fe843fe06fd3","Thu May 24 06:18:10 2018",7.284,7.495,7.92650675773621,5,16
