instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-0c36037ab20fe29d6,1526965093,c4.2xlarge,14.7 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,8 threads / 4 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 05:03:02 2018,14.3 GiB,Push,586.62 %,73.33 %,2.380,2.530,3.3261687755584717
i-0c36037ab20fe29d6,1526965093,c4.2xlarge,14.7 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,8 threads / 4 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 05:13:01 2018,14.3 GiB,Push,589.19 %,73.65 %,2.398,2.549,3.049233913421631
i-04d959449d3964558,1526965093,c4.2xlarge,14.7 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,8 threads / 4 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 05:03:02 2018,14.3 GiB,Push,584.66 %,73.08 %,2.395,2.549,3.212310314178467
i-04d959449d3964558,1526965093,c4.2xlarge,14.7 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,8 threads / 4 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 05:13:01 2018,14.3 GiB,Push,587.93 %,73.49 %,2.354,2.505,3.024146556854248
i-04d959449d3964558,1526965093,c4.2xlarge,14.7 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,8 threads / 4 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 05:23:01 2018,14.3 GiB,Push,584.50 %,73.06 %,2.371,2.520,3.033571481704712
i-04d959449d3964558,1526965093,c4.2xlarge,14.7 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,8 threads / 4 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 05:33:02 2018,14.3 GiB,Push,579.06 %,72.38 %,2.378,2.527,3.0508744716644287
i-04f616f29f718b76f,1526965093,c4.2xlarge,14.7 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,8 threads / 4 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 05:03:01 2018,14.3 GiB,Push,578.86 %,72.36 %,2.424,2.576,3.121084213256836
i-08c3f6a9b0a2d0a6f,1526965093,c4.2xlarge,14.7 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,8 threads / 4 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 05:03:02 2018,14.3 GiB,Push,582.65 %,72.83 %,2.417,2.571,3.3376150131225586
i-08c3f6a9b0a2d0a6f,1526965093,c4.2xlarge,14.7 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,8 threads / 4 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 05:13:01 2018,14.3 GiB,Push,578.60 %,72.33 %,2.428,2.590,3.154808521270752
i-08c3f6a9b0a2d0a6f,1526965093,c4.2xlarge,14.7 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,8 threads / 4 cores / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May 22 05:23:01 2018,14.3 GiB,Push,589.01 %,73.63 %,2.358,2.507,3.0334832668304443
