experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1634312577-0,i-0ff5c709e2c10a62d,m5d.large,53.262052059173584, -b -m32 -e1 -x0 -d2,21789.275097,23488.575215,3955.511524,3921.555693,"['256 22896.058277', '512 20252.297429', '1024 21789.275097', '2048 22666.223909', '4096 23127.244678', '8192 23358.874253', '16384 23488.765248', '32768 23543.677172', '65536 23575.222473', '131072 23586.125321', '262144 23595.192702', '524288 23596.284927', '1048576 23488.575215', '2097152 21741.483506', '4194304 8223.161678', '8388608 5009.513377', '16777216 4336.693254', '33554432 4073.608490', '67108864 3991.198724', '134217728 3974.816967', '268435456 3939.919210', '536870912 3969.791655', '1073741824 3955.511524', '2147483648 3890.801019', '4294967296 3921.555693', '']",
1634312577-1,i-0ff5c709e2c10a62d,m5d.large,53.20446062088013, -b -m32 -e1 -x0 -d2,21791.205684,23508.702060,3948.519919,3959.645662,"['256 22880.064200', '512 20270.500033', '1024 21791.205684', '2048 22669.068042', '4096 23132.637199', '8192 23368.077436', '16384 23483.905774', '32768 23539.437354', '65536 23575.130773', '131072 23584.113874', '262144 23582.646629', '524288 23593.530952', '1048576 23508.702060', '2097152 21720.445677', '4194304 7261.991512', '8388608 4881.781748', '16777216 4285.661028', '33554432 4061.848526', '67108864 3989.936449', '134217728 3977.816947', '268435456 3939.067197', '536870912 3972.644918', '1073741824 3948.519919', '2147483648 3898.444464', '4294967296 3959.645662', '']",
1634312577-2,i-0ff5c709e2c10a62d,m5d.large,53.83834505081177, -b -m32 -e1 -x0 -d2,21807.271383,23451.225062,3925.486181,6087.323657,"['256 22889.208315', '512 20310.278855', '1024 21807.271383', '2048 22671.982947', '4096 23139.176718', '8192 23371.941911', '16384 23482.766216', '32768 23546.555304', '65536 23576.734134', '131072 23590.286381', '262144 23596.523253', '524288 23596.832181', '1048576 23451.225062', '2097152 20622.889205', '4194304 6234.813315', '8388608 4648.650910', '16777216 4203.141295', '33554432 4027.532823', '67108864 3983.852147', '134217728 3975.372715', '268435456 3937.252637', '536870912 3966.792497', '1073741824 3925.486181', '2147483648 3874.892450', '4294967296 6087.323657', '']",
1634312577-3,i-0ff5c709e2c10a62d,m5d.large,53.162189245224, -b -m32 -e1 -x0 -d2,21812.891582,23498.301637,3943.216304,4026.066834,"['256 22896.944565', '512 20261.765833', '1024 21812.891582', '2048 22691.151864', '4096 23137.035590', '8192 23370.929166', '16384 23488.159320', '32768 23543.983655', '65536 23578.148857', '131072 23586.330139', '262144 23596.081388', '524288 23591.844574', '1048576 23498.301637', '2097152 21754.691928', '4194304 6933.069535', '8388608 4893.625894', '16777216 4288.879651', '33554432 4066.390507', '67108864 3995.052616', '134217728 3979.782268', '268435456 3941.035604', '536870912 3966.294075', '1073741824 3943.216304', '2147483648 3898.146149', '4294967296 4026.066834', '']",
1634312577-4,i-0ff5c709e2c10a62d,m5d.large,53.79157090187073, -b -m32 -e1 -x0 -d2,21818.854996,23415.444374,3921.683685,6219.440944,"['256 22894.258717', '512 20328.449429', '1024 21818.854996', '2048 22682.541409', '4096 23135.610077', '8192 23371.598211', '16384 23490.730169', '32768 23546.195877', '65536 23579.973235', '131072 23589.608817', '262144 23596.886858', '524288 23593.170933', '1048576 23415.444374', '2097152 20186.084683', '4194304 6149.741994', '8388608 4633.678555', '16777216 4193.086411', '33554432 4022.127384', '67108864 3982.429235', '134217728 3976.294674', '268435456 3938.568001', '536870912 3961.769883', '1073741824 3921.683685', '2147483648 3862.194366', '4294967296 6219.440944', '']",
1634312577-5,i-0ff5c709e2c10a62d,m5d.large,53.127843379974365, -b -m32 -e1 -x0 -d2,21789.778267,23505.264122,3942.435497,4074.214527,"['256 22894.264189', '512 20206.830512', '1024 21789.778267', '2048 22657.835430', '4096 23129.761535', '8192 23369.116433', '16384 23488.524840', '32768 23542.456864', '65536 23574.399666', '131072 23589.506926', '262144 23595.772149', '524288 23597.195409', '1048576 23505.264122', '2097152 21468.769864', '4194304 6992.027916', '8388608 4900.371020', '16777216 4294.164948', '33554432 4066.263108', '67108864 3994.232849', '134217728 3983.722547', '268435456 3940.758845', '536870912 3975.261167', '1073741824 3942.435497', '2147483648 3902.765935', '4294967296 4074.214527', '']",
1634312577-6,i-0ff5c709e2c10a62d,m5d.large,53.25337791442871, -b -m32 -e1 -x0 -d2,21822.823957,23510.700738,3943.041396,3922.492478,"['256 22897.268971', '512 20288.538776', '1024 21822.823957', '2048 22677.205515', '4096 23124.634535', '8192 23368.007861', '16384 23488.434675', '32768 23546.468444', '65536 23574.305091', '131072 23589.551607', '262144 23587.381961', '524288 23593.670202', '1048576 23510.700738', '2097152 21777.277569', '4194304 7223.766525', '8388608 4921.402546', '16777216 4299.130520', '33554432 4071.109208', '67108864 3985.085492', '134217728 3977.785184', '268435456 3960.696104', '536870912 3952.340617', '1073741824 3943.041396', '2147483648 3895.925608', '4294967296 3922.492478', '']",
1634312577-7,i-0ff5c709e2c10a62d,m5d.large,53.65190386772156, -b -m32 -e1 -x0 -d2,21790.005645,23426.570023,3929.569770,6487.624599,"['256 22892.419893', '512 20251.795462', '1024 21790.005645', '2048 22657.685575', '4096 23122.974483', '8192 23367.193357', '16384 23489.780444', '32768 23543.709559', '65536 23570.270607', '131072 23587.748790', '262144 23580.954138', '524288 23593.677474', '1048576 23426.570023', '2097152 20208.231697', '4194304 6173.005601', '8388608 4635.436374', '16777216 4190.435611', '33554432 4028.009622', '67108864 3986.508053', '134217728 3974.778134', '268435456 3936.577104', '536870912 3967.881532', '1073741824 3929.569770', '2147483648 3890.922896', '4294967296 6487.624599', '']",
1634312577-8,i-0ff5c709e2c10a62d,m5d.large,53.26272940635681, -b -m32 -e1 -x0 -d2,21777.955270,23512.603495,3946.039684,3871.265069,"['256 22893.265131', '512 20231.436406', '1024 21777.955270', '2048 22641.891261', '4096 23118.650029', '8192 23369.438107', '16384 23491.553177', '32768 23545.861572', '65536 23573.541922', '131072 23585.590680', '262144 23594.324054', '524288 23595.614342', '1048576 23512.603495', '2097152 22216.792273', '4194304 9698.130670', '8388608 5150.052132', '16777216 4382.530964', '33554432 4100.135306', '67108864 3996.980393', '134217728 3978.016296', '268435456 3962.061762', '536870912 3950.659932', '1073741824 3946.039684', '2147483648 3899.906530', '4294967296 3871.265069', '']",
1634312577-9,i-0ff5c709e2c10a62d,m5d.large,53.9943962097168, -b -m32 -e1 -x0 -d2,21811.537415,23455.405037,3936.648355,5699.231378,"['256 22891.849962', '512 20331.580961', '1024 21811.537415', '2048 22676.728558', '4096 23131.267720', '8192 23368.457153', '16384 23490.725591', '32768 23543.317733', '65536 23575.087978', '131072 23584.981755', '262144 23593.188177', '524288 23590.693740', '1048576 23455.405037', '2097152 20315.959300', '4194304 6172.324688', '8388608 4660.024841', '16777216 4200.915352', '33554432 4034.006580', '67108864 3983.059331', '134217728 3974.255005', '268435456 3937.879272', '536870912 3970.237122', '1073741824 3936.648355', '2147483648 3887.615849', '4294967296 5699.231378', '']",
