experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1634316373-0,i-0a109386e80e0e417,m5d.large,54.36936140060425, -w -m32 -e1 -x0 -d2,20313.320744,19798.205509,1908.406510,2585.847416,"['256 22167.189265', '512 22831.140513', '1024 20313.320744', '2048 21831.956236', '4096 22684.474086', '8192 23137.552087', '16384 23337.757837', '32768 22580.614034', '65536 20967.517111', '131072 20974.102299', '262144 20976.974748', '524288 20973.538334', '1048576 19798.205509', '2097152 12870.613731', '4194304 3232.888311', '8388608 2379.501489', '16777216 2116.687139', '33554432 2011.541620', '67108864 1978.880516', '134217728 1979.917423', '268435456 1973.531193', '536870912 1942.775859', '1073741824 1908.406510', '2147483648 1937.614585', '4294967296 2585.847416', '']",
1634316373-1,i-0a109386e80e0e417,m5d.large,53.24812865257263, -w -m32 -e1 -x0 -d2,20309.899925,19934.077590,1913.926017,1993.032339,"['256 22166.550100', '512 22837.774555', '1024 20309.899925', '2048 21834.675985', '4096 22679.970792', '8192 23134.424374', '16384 23366.589224', '32768 22578.778010', '65536 20970.783131', '131072 20970.978953', '262144 20977.477113', '524288 20974.588345', '1048576 19934.077590', '2097152 13358.015740', '4194304 3416.122558', '8388608 2429.483400', '16777216 2138.638197', '33554432 2022.451107', '67108864 1987.944259', '134217728 1979.516261', '268435456 1975.686489', '536870912 1940.752475', '1073741824 1913.926017', '2147483648 1963.034544', '4294967296 1993.032339', '']",
1634316373-2,i-0a109386e80e0e417,m5d.large,54.35296368598938, -w -m32 -e1 -x0 -d2,20316.180439,19812.494647,1905.350437,2568.978251,"['256 22166.961583', '512 22835.163382', '1024 20316.180439', '2048 21838.487988', '4096 22683.653434', '8192 23138.524049', '16384 23340.124613', '32768 22534.154079', '65536 20973.411837', '131072 20975.560489', '262144 20978.463938', '524288 20974.738724', '1048576 19812.494647', '2097152 12187.339655', '4194304 3124.722591', '8388608 2338.203703', '16777216 2104.109130', '33554432 2011.611376', '67108864 1984.168317', '134217728 1980.692357', '268435456 1975.275097', '536870912 1938.892114', '1073741824 1905.350437', '2147483648 1953.768491', '4294967296 2568.978251', '']",
1634316373-3,i-0a109386e80e0e417,m5d.large,53.20042586326599, -w -m32 -e1 -x0 -d2,20314.727968,19838.255276,1910.873355,2014.995751,"['256 22164.875869', '512 22835.734378', '1024 20314.727968', '2048 21837.615593', '4096 22686.525892', '8192 23134.818562', '16384 23368.035923', '32768 22532.766206', '65536 20973.328587', '131072 20976.161727', '262144 20977.417154', '524288 20962.346844', '1048576 19838.255276', '2097152 12115.586630', '4194304 3181.227338', '8388608 2274.168422', '16777216 2110.066343', '33554432 2012.548768', '67108864 1989.741592', '134217728 1981.413608', '268435456 1979.362355', '536870912 1947.611555', '1073741824 1910.873355', '2147483648 1963.734972', '4294967296 2014.995751', '']",
1634316373-4,i-0a109386e80e0e417,m5d.large,54.29034900665283, -w -m32 -e1 -x0 -d2,20312.894585,19842.427659,1985.225893,2488.556700,"['256 22167.879668', '512 22839.882140', '1024 20312.894585', '2048 21840.898233', '4096 22687.674746', '8192 23139.546815', '16384 23369.055351', '32768 22555.827879', '65536 20972.643584', '131072 20977.093519', '262144 20980.132680', '524288 20825.331027', '1048576 19842.427659', '2097152 14180.107178', '4194304 3645.770761', '8388608 2586.319560', '16777216 2258.192136', '33554432 2129.060040', '67108864 2023.682082', '134217728 2003.107877', '268435456 2064.533916', '536870912 2029.730413', '1073741824 1985.225893', '2147483648 2037.227801', '4294967296 2488.556700', '']",
1634316373-5,i-0a109386e80e0e417,m5d.large,55.814446449279785, -w -m32 -e1 -x0 -d2,20315.888470,20055.299233,2111.224500,2273.724768,"['256 22168.823406', '512 22835.298399', '1024 20315.888470', '2048 21839.975674', '4096 22688.102086', '8192 23139.505886', '16384 23365.710070', '32768 22585.547634', '65536 20970.839225', '131072 20977.891822', '262144 20978.421763', '524288 20959.562985', '1048576 20055.299233', '2097152 13888.981138', '4194304 3673.421791', '8388608 2620.511206', '16777216 2332.181835', '33554432 2222.463648', '67108864 2175.881797', '134217728 2165.405909', '268435456 2152.447710', '536870912 2114.970562', '1073741824 2111.224500', '2147483648 2139.002952', '4294967296 2273.724768', '']",
1634316373-6,i-0a109386e80e0e417,m5d.large,55.51697397232056, -w -m32 -e1 -x0 -d2,20316.142214,19839.023073,2182.309653,2310.341072,"['256 22168.764981', '512 22837.837208', '1024 20316.142214', '2048 21840.543002', '4096 22688.942582', '8192 23140.044039', '16384 23368.133318', '32768 22555.750783', '65536 20970.804748', '131072 20977.155436', '262144 20981.519348', '524288 20979.187592', '1048576 19839.023073', '2097152 14463.383533', '4194304 3946.919104', '8388608 2791.477487', '16777216 2469.201275', '33554432 2341.572256', '67108864 2289.844995', '134217728 2272.822831', '268435456 2261.784035', '536870912 2216.190715', '1073741824 2182.309653', '2147483648 2225.321831', '4294967296 2310.341072', '']",
1634316373-7,i-0a109386e80e0e417,m5d.large,55.2643301486969, -w -m32 -e1 -x0 -d2,20476.464173,20449.124643,2319.084838,2392.546762,"['256 22334.500617', '512 23027.948667', '1024 20476.464173', '2048 21908.002747', '4096 22853.672860', '8192 23326.575249', '16384 23545.067188', '32768 22759.425729', '65536 21137.012655', '131072 21145.246794', '262144 21145.932969', '524288 21145.042179', '1048576 20449.124643', '2097152 15134.595265', '4194304 4332.174785', '8388608 2971.802134', '16777216 2612.901583', '33554432 2468.416600', '67108864 2407.443469', '134217728 2383.844383', '268435456 2369.735934', '536870912 2320.641884', '1073741824 2319.084838', '2147483648 2355.341559', '4294967296 2392.546762', '']",
1634316373-8,i-0a109386e80e0e417,m5d.large,54.88839673995972, -w -m32 -e1 -x0 -d2,20836.091343,20706.686557,2412.173399,2491.469456,"['256 22736.045785', '512 23422.744946', '1024 20836.091343', '2048 22397.922436', '4096 23269.242391', '8192 23731.746416', '16384 23969.463033', '32768 23083.965982', '65536 21508.434431', '131072 21516.212256', '262144 21519.135579', '524288 21516.395935', '1048576 20706.686557', '2097152 15531.605996', '4194304 4721.995132', '8388608 3188.602053', '16777216 2778.633670', '33554432 2615.370649', '67108864 2547.519973', '134217728 2519.434310', '268435456 2502.657719', '536870912 2450.365511', '1073741824 2412.173399', '2147483648 2339.930185', '4294967296 2491.469456', '']",
1634316373-9,i-0a109386e80e0e417,m5d.large,54.690162897109985, -w -m32 -e1 -x0 -d2,20838.881054,20404.424330,2593.167452,2640.593279,"['256 22740.290023', '512 23428.849769', '1024 20838.881054', '2048 22400.469588', '4096 23268.747887', '8192 23736.184061', '16384 23973.742070', '32768 23166.214595', '65536 21513.940083', '131072 21516.083491', '262144 21520.881619', '524288 21503.038532', '1048576 20404.424330', '2097152 16353.950456', '4194304 4980.011692', '8388608 3404.175511', '16777216 2955.098941', '33554432 2778.521803', '67108864 2584.979836', '134217728 2617.085054', '268435456 2645.042471', '536870912 2583.204792', '1073741824 2593.167452', '2147483648 2621.957892', '4294967296 2640.593279', '']",
