experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1631584887-24,i-0086ef66fc6d1c000,m5d.large,54.84666156768799, -r -m32 -e1 -x0 -d2,2620.637840,2616.375016,2593.859901,2594.429965,"['256 2624.361945', '512 2624.461076', '1024 2620.637840', '2048 2622.520627', '4096 2623.329542', '8192 2623.590332', '16384 2624.482465', '32768 2623.858057', '65536 2618.650561', '131072 2618.834869', '262144 2615.500768', '524288 2618.752708', '1048576 2616.375016', '2097152 2611.907831', '4194304 2598.052330', '8388608 2569.834883', '16777216 2587.299391', '33554432 2595.609625', '67108864 2594.805151', '134217728 2594.212775', '268435456 2593.741748', '536870912 2593.838084', '1073741824 2593.859901', '2147483648 2593.783360', '4294967296 2594.429965', '']",
1631584887-25,i-0086ef66fc6d1c000,m5d.large,54.792065382003784, -r -m32 -e1 -x0 -d2,2622.153195,2615.789407,2592.255202,2592.301164,"['256 2624.113970', '512 2624.397939', '1024 2622.153195', '2048 2623.368012', '4096 2624.014678', '8192 2624.053756', '16384 2624.187967', '32768 2623.796245', '65536 2618.224057', '131072 2617.945001', '262144 2614.839563', '524288 2617.646029', '1048576 2615.789407', '2097152 2614.328705', '4194304 2600.806862', '8388608 2565.592749', '16777216 2580.009318', '33554432 2592.784535', '67108864 2593.270514', '134217728 2593.276512', '268435456 2592.136647', '536870912 2591.870209', '1073741824 2592.255202', '2147483648 2592.261080', '4294967296 2592.301164', '']",
1631584887-26,i-0086ef66fc6d1c000,m5d.large,54.80475044250488, -r -m32 -e1 -x0 -d2,2620.892264,2615.897653,2592.390076,2592.572767,"['256 2624.366239', '512 2624.613041', '1024 2620.892264', '2048 2622.299746', '4096 2623.466544', '8192 2623.929465', '16384 2623.786081', '32768 2623.903784', '65536 2618.304012', '131072 2618.202532', '262144 2614.702682', '524288 2617.844360', '1048576 2615.897653', '2097152 2612.553827', '4194304 2592.543354', '8388608 2566.185789', '16777216 2579.649288', '33554432 2591.294251', '67108864 2592.102749', '134217728 2592.174029', '268435456 2591.765650', '536870912 2591.710149', '1073741824 2592.390076', '2147483648 2592.497627', '4294967296 2592.572767', '']",
1631584887-27,i-0086ef66fc6d1c000,m5d.large,54.80305767059326, -r -m32 -e1 -x0 -d2,2620.556785,2616.226835,2592.393735,2592.879109,"['256 2624.603040', '512 2624.388860', '1024 2620.556785', '2048 2622.490109', '4096 2623.548202', '8192 2623.926640', '16384 2624.127252', '32768 2623.678357', '65536 2618.213227', '131072 2617.867854', '262144 2614.413592', '524288 2617.657402', '1048576 2616.226835', '2097152 2612.419706', '4194304 2592.374120', '8388608 2563.342378', '16777216 2581.114067', '33554432 2592.267729', '67108864 2592.581623', '134217728 2592.153285', '268435456 2592.602560', '536870912 2592.357617', '1073741824 2592.393735', '2147483648 2592.969296', '4294967296 2592.879109', '']",
1631584887-28,i-0086ef66fc6d1c000,m5d.large,54.808510303497314, -r -m32 -e1 -x0 -d2,2620.557620,2615.505933,2591.276249,2591.771988,"['256 2624.581863', '512 2624.546573', '1024 2620.557620', '2048 2622.510937', '4096 2623.366527', '8192 2624.081668', '16384 2623.755851', '32768 2623.725565', '65536 2618.008077', '131072 2617.690496', '262144 2614.065143', '524288 2617.627155', '1048576 2615.505933', '2097152 2609.771671', '4194304 2587.077392', '8388608 2571.889483', '16777216 2585.023816', '33554432 2590.732359', '67108864 2591.201806', '134217728 2591.440751', '268435456 2591.333932', '536870912 2591.484611', '1073741824 2591.276249', '2147483648 2591.590084', '4294967296 2591.771988', '']",
1631584887-29,i-0086ef66fc6d1c000,m5d.large,54.831724405288696, -r -m32 -e1 -x0 -d2,2621.110247,2616.518433,2590.853605,2591.016591,"['256 2624.622792', '512 2624.800211', '1024 2621.110247', '2048 2622.741694', '4096 2623.868285', '8192 2624.264075', '16384 2624.506637', '32768 2624.015608', '65536 2619.013368', '131072 2618.745003', '262144 2615.658551', '524288 2618.586341', '1048576 2616.518433', '2097152 2608.247052', '4194304 2586.481227', '8388608 2571.111047', '16777216 2583.890139', '33554432 2589.901936', '67108864 2590.401787', '134217728 2510.373659', '268435456 2590.688602', '536870912 2590.395290', '1073741824 2590.853605', '2147483648 2590.618736', '4294967296 2591.016591', '']",
1631584887-30,i-0086ef66fc6d1c000,m5d.large,54.81851243972778, -r -m32 -e1 -x0 -d2,2621.434023,2616.143560,2591.060154,2591.918038,"['256 2624.931432', '512 2624.955956', '1024 2621.434023', '2048 2622.938599', '4096 2624.144491', '8192 2624.509917', '16384 2624.197510', '32768 2624.039606', '65536 2618.394605', '131072 2618.207196', '262144 2615.883342', '524288 2617.770562', '1048576 2616.143560', '2097152 2606.787600', '4194304 2585.623820', '8388608 2562.918814', '16777216 2580.211815', '33554432 2590.353219', '67108864 2590.932695', '134217728 2590.851921', '268435456 2590.848295', '536870912 2590.966057', '1073741824 2591.060154', '2147483648 2591.294308', '4294967296 2591.918038', '']",
1631584887-31,i-0086ef66fc6d1c000,m5d.large,54.839173316955566, -r -m32 -e1 -x0 -d2,2621.772946,2615.879487,2590.398235,2591.189059,"['256 2624.751043', '512 2624.745968', '1024 2621.772946', '2048 2622.515795', '4096 2623.394928', '8192 2624.332555', '16384 2624.434260', '32768 2623.833717', '65536 2618.400122', '131072 2618.076684', '262144 2615.485813', '524288 2617.587526', '1048576 2615.879487', '2097152 2605.113689', '4194304 2585.912899', '8388608 2571.303377', '16777216 2583.554468', '33554432 2589.575356', '67108864 2590.018435', '134217728 2589.792419', '268435456 2590.139952', '536870912 2589.768667', '1073741824 2590.398235', '2147483648 2590.139456', '4294967296 2591.189059', '']",
1631584887-32,i-0086ef66fc6d1c000,m5d.large,54.84341764450073, -r -m32 -e1 -x0 -d2,2621.620705,2615.959247,2588.278927,2588.813192,"['256 2624.754807', '512 2624.998815', '1024 2621.620705', '2048 2622.301487', '4096 2623.605281', '8192 2624.052094', '16384 2624.457026', '32768 2623.405564', '65536 2617.885299', '131072 2617.940188', '262144 2617.197715', '524288 2613.542296', '1048576 2615.959247', '2097152 2610.242360', '4194304 2586.561253', '8388608 2563.303175', '16777216 2576.274926', '33554432 2586.785476', '67108864 2587.976383', '134217728 2588.500947', '268435456 2588.062910', '536870912 2588.076401', '1073741824 2588.278927', '2147483648 2588.462779', '4294967296 2588.813192', '']",
1631584887-33,i-0086ef66fc6d1c000,m5d.large,54.843050479888916, -r -m32 -e1 -x0 -d2,2620.717914,2615.330703,2587.441617,2588.130141,"['256 2624.648977', '512 2624.515821', '1024 2620.717914', '2048 2622.745940', '4096 2623.589347', '8192 2624.029403', '16384 2624.287040', '32768 2623.848780', '65536 2618.529823', '131072 2618.111359', '262144 2617.787657', '524288 2615.240577', '1048576 2615.330703', '2097152 2607.825829', '4194304 2582.956912', '8388608 2566.979430', '16777216 2575.783164', '33554432 2585.932453', '67108864 2587.554933', '134217728 2587.974053', '268435456 2587.916626', '536870912 2587.174778', '1073741824 2587.441617', '2147483648 2588.045344', '4294967296 2588.130141', '']",
