experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1632800220-0,i-0695e3ac9dbe60966,m5d.large,53.21132946014404, -b -m32 -e1 -x0 -d2,21816.069091,23553.552020,3920.927686,3944.717838,"['256 22895.524803', '512 20354.159821', '1024 21816.069091', '2048 22686.857992', '4096 23140.247140', '8192 23374.931304', '16384 23491.264205', '32768 23547.040888', '65536 23573.805525', '131072 23589.803655', '262144 23595.766125', '524288 23598.894461', '1048576 23553.552020', '2097152 20638.535504', '4194304 6746.989045', '8388608 4834.977319', '16777216 4260.354348', '33554432 4038.012097', '67108864 3968.519612', '134217728 3957.543577', '268435456 3951.981972', '536870912 3948.841550', '1073741824 3920.927686', '2147483648 3856.768858', '4294967296 3944.717838', '']",
1632800220-0,i-0ed18be8cc6d72548,m5d.large,54.02168536186218, -b -m32 -e1 -x0 -d2,23129.102438,23503.690196,3927.141869,5655.923026,"['256 22894.321613', '512 20274.914212', '1024 21765.016523', '2048 22668.034811', '4096 23129.102438', '8192 23368.061656', '16384 23490.027439', '32768 23543.962671', '65536 23465.208115', '131072 23587.621342', '262144 23594.850247', '524288 23593.735487', '1048576 23503.690196', '2097152 20257.339529', '4194304 6188.241994', '8388608 4642.128702', '16777216 4200.568200', '33554432 4028.298842', '67108864 3964.585754', '134217728 3978.067170', '268435456 3978.121176', '536870912 3970.259190', '1073741824 3927.141869', '2147483648 3885.108828', '4294967296 5655.923026', '']",
1632800220-0,i-0a581000456aab249,m5d.large,53.79815220832825, -b -m32 -e1 -x0 -d2,21797.679999,23439.642687,3913.312863,6115.273216,"['256 22896.553051', '512 20261.549176', '1024 21797.679999', '2048 22667.021336', '4096 23132.847595', '8192 23368.264228', '16384 23488.262885', '32768 23547.395020', '65536 23574.101432', '131072 23479.697305', '262144 23596.121655', '524288 23597.496494', '1048576 23439.642687', '2097152 20140.161398', '4194304 6232.248045', '8388608 4656.946372', '16777216 4203.082643', '33554432 4030.418478', '67108864 3983.516454', '134217728 3970.365464', '268435456 3971.584033', '536870912 3963.425306', '1073741824 3913.312863', '2147483648 3878.184813', '4294967296 6115.273216', '']",
1632800220-0,i-09042d7a966178a01,m5d.large,53.23479700088501, -b -m32 -e1 -x0 -d2,21737.993697,23559.839019,3934.895560,3934.822836,"['256 22888.404530', '512 20245.347182', '1024 21737.993697', '2048 22679.200284', '4096 23133.580846', '8192 23333.401067', '16384 23486.466220', '32768 23544.414862', '65536 23572.911910', '131072 23586.543757', '262144 23595.551788', '524288 22832.699861', '1048576 23559.839019', '2097152 20758.780914', '4194304 7057.393133', '8388608 4881.945708', '16777216 4290.909562', '33554432 4062.587227', '67108864 3989.986531', '134217728 3974.030332', '268435456 3969.696619', '536870912 3964.014727', '1073741824 3934.895560', '2147483648 3881.089670', '4294967296 3934.822836', '']",
1632800220-0,i-0e02367cd7624dfc9,m5d.large,53.65585994720459, -b -m32 -e1 -x0 -d2,21757.502524,23311.380655,3906.224500,6663.083665,"['256 22892.613836', '512 20254.747439', '1024 21757.502524', '2048 22663.485197', '4096 23131.534034', '8192 23369.899464', '16384 23487.138069', '32768 23542.647697', '65536 23573.760763', '131072 23588.287183', '262144 23598.326243', '524288 23595.333487', '1048576 23311.380655', '2097152 19803.646081', '4194304 6152.450056', '8388608 4615.168293', '16777216 4179.340503', '33554432 4021.683286', '67108864 3972.761241', '134217728 3964.268713', '268435456 3961.199002', '536870912 3951.395113', '1073741824 3906.224500', '2147483648 3833.079270', '4294967296 6663.083665', '']",
1632800220-0,i-0d9501e865d70b256,m5d.large,53.2573356628418, -b -m32 -e1 -x0 -d2,21830.114723,23571.824163,3945.291675,3913.661193,"['256 22898.386743', '512 20395.643624', '1024 21830.114723', '2048 22700.997707', '4096 23142.100409', '8192 23374.111339', '16384 23489.482294', '32768 23544.558238', '65536 23572.393871', '131072 23589.254232', '262144 23596.225883', '524288 23593.708528', '1048576 23571.824163', '2097152 21431.105321', '4194304 7440.602877', '8388608 4964.518128', '16777216 4316.251174', '33554432 4074.624738', '67108864 3992.486509', '134217728 3981.541609', '268435456 3979.860158', '536870912 3972.168272', '1073741824 3945.291675', '2147483648 3884.399699', '4294967296 3913.661193', '']",
1632800220-0,i-051b7568899463c5d,m5d.large,53.12219858169556, -b -m32 -e1 -x0 -d2,21798.311980,23520.107192,3936.665847,4066.457480,"['256 22891.735997', '512 20343.624456', '1024 21798.311980', '2048 22676.561939', '4096 23132.840866', '8192 23369.027282', '16384 23488.271139', '32768 23543.392199', '65536 23571.812413', '131072 23477.331391', '262144 23594.477268', '524288 23596.362284', '1048576 23520.107192', '2097152 20469.733173', '4194304 6363.397030', '8388608 4760.425130', '16777216 4244.142630', '33554432 4048.913724', '67108864 3983.346707', '134217728 3955.339484', '268435456 3973.025791', '536870912 3970.055505', '1073741824 3936.665847', '2147483648 3893.937641', '4294967296 4066.457480', '']",
1632800220-0,i-0513e9f266fdf26b1,m5d.large,54.122183084487915, -b -m32 -e1 -x0 -d2,21826.897866,23534.579437,3930.550855,5529.218297,"['256 22889.220263', '512 20322.690345', '1024 21826.897866', '2048 22684.014930', '4096 23137.530203', '8192 23372.397420', '16384 23487.394606', '32768 23545.871712', '65536 23575.002952', '131072 23588.476139', '262144 23592.767859', '524288 23591.600750', '1048576 23534.579437', '2097152 20553.191640', '4194304 6274.793295', '8388608 4678.248286', '16777216 4213.008932', '33554432 4038.687396', '67108864 3987.315821', '134217728 3981.770549', '268435456 3979.324093', '536870912 3931.338258', '1073741824 3930.550855', '2147483648 3886.118672', '4294967296 5529.218297', '']",
1632800220-0,i-08b78701d5f7613f4,m5d.large,53.822203636169434, -b -m32 -e1 -x0 -d2,21806.267124,23431.198786,3912.111031,6070.241104,"['256 22895.080177', '512 20253.596418', '1024 21806.267124', '2048 22654.652167', '4096 23128.580628', '8192 23366.211437', '16384 23487.547683', '32768 23436.659790', '65536 23577.731500', '131072 23591.461314', '262144 23599.007377', '524288 23596.755979', '1048576 23431.198786', '2097152 20530.904427', '4194304 6178.074635', '8388608 4653.708801', '16777216 4194.609408', '33554432 4013.424486', '67108864 3962.198424', '134217728 3955.383013', '268435456 3949.579752', '536870912 3943.181907', '1073741824 3912.111031', '2147483648 3859.067445', '4294967296 6070.241104', '']",
1632800220-0,i-0a4b80fd67a94edb9,m5d.large,54.1407995223999, -b -m32 -e1 -x0 -d2,21782.897743,23544.517153,3924.084413,5504.562929,"['256 22895.273565', '512 20270.236537', '1024 21782.897743', '2048 22593.871888', '4096 23130.271185', '8192 23368.284441', '16384 23488.386525', '32768 23547.111349', '65536 23580.229820', '131072 23534.768262', '262144 23595.885109', '524288 23594.243595', '1048576 23544.517153', '2097152 20912.206151', '4194304 6259.384019', '8388608 4677.468352', '16777216 4211.033261', '33554432 4029.379243', '67108864 3978.880557', '134217728 3972.391716', '268435456 3970.032469', '536870912 3964.662212', '1073741824 3924.084413', '2147483648 3879.950377', '4294967296 5504.562929', '']",
