experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1631737203-0,i-0e9d3a332af9b9f5c,m5d.large,55.85729765892029, -b -m32 -e1 -x0 -d2,21784.304330,23561.063551,4289.845794,4442.064468,"['256 22894.461182', '512 20293.470203', '1024 21784.304330', '2048 22670.476529', '4096 23132.446488', '8192 23368.801728', '16384 23488.244237', '32768 23542.642150', '65536 23571.238976', '131072 23585.592229', '262144 23594.400237', '524288 23530.557760', '1048576 23561.063551', '2097152 21713.918277', '4194304 7552.270133', '8388608 5353.528518', '16777216 4716.512920', '33554432 4465.742366', '67108864 4338.147567', '134217728 4347.812202', '268435456 4336.261727', '536870912 4331.403496', '1073741824 4289.845794', '2147483648 4225.489849', '4294967296 4442.064468', '']",
1631737203-0,i-031b81aec70e9a649,m5d.large,55.724525451660156, -b -m32 -e1 -x0 -d2,21755.883725,23536.500908,4297.385468,4589.445645,"['256 22816.905905', '512 20176.260099', '1024 21755.883725', '2048 22644.805535', '4096 23114.647236', '8192 23356.170501', '16384 23480.697977', '32768 23439.794734', '65536 23571.580233', '131072 23584.603230', '262144 23591.842995', '524288 23591.367979', '1048576 23536.500908', '2097152 21711.738326', '4194304 7351.437828', '8388608 5269.291239', '16777216 4696.934099', '33554432 4465.389447', '67108864 4375.923138', '134217728 4355.744344', '268435456 4349.221515', '536870912 4340.018992', '1073741824 4297.385468', '2147483648 4245.252504', '4294967296 4589.445645', '']",
1631737203-0,i-0eff1dc15747a3451,m5d.large,55.874242544174194, -b -m32 -e1 -x0 -d2,21789.851414,23562.938194,4282.677319,4448.862899,"['256 22897.596117', '512 20349.375930', '1024 21789.851414', '2048 22687.491403', '4096 23134.082505', '8192 23302.409608', '16384 23488.313672', '32768 23458.917912', '65536 23572.140604', '131072 23586.999516', '262144 23593.919909', '524288 23596.237671', '1048576 23562.938194', '2097152 21780.251663', '4194304 7632.146766', '8388608 5374.590538', '16777216 4722.114388', '33554432 4466.059093', '67108864 4370.744723', '134217728 4339.040027', '268435456 4329.836099', '536870912 4324.636818', '1073741824 4282.677319', '2147483648 4224.068117', '4294967296 4448.862899', '']",
1631737203-0,i-002aef723b6e2463f,m5d.large,55.289501428604126, -b -m32 -e1 -x0 -d2,21357.752332,22857.192864,4128.258896,4383.779566,"['256 22286.126700', '512 19962.665889', '1024 21357.752332', '2048 22230.989078', '4096 22653.288384', '8192 22866.896916', '16384 22974.672161', '32768 22949.413916', '65536 22979.869878', '131072 22977.255109', '262144 23002.674006', '524288 22972.205687', '1048576 22857.192864', '2097152 21057.430563', '4194304 7000.914274', '8388608 5011.790421', '16777216 4489.084993', '33554432 4282.985432', '67108864 4214.345521', '134217728 4195.869715', '268435456 4199.929851', '536870912 4180.878465', '1073741824 4128.258896', '2147483648 4089.946725', '4294967296 4383.779566', '']",
1631737203-0,i-0a2f78dbc86057c2e,m5d.large,53.5799298286438, -b -m32 -e1 -x0 -d2,21337.315740,22871.132987,4144.008308,4080.785654,"['256 22878.115885', '512 20076.804094', '1024 21337.315740', '2048 22152.180041', '4096 22584.846707', '8192 22812.469490', '16384 22919.825418', '32768 22928.138723', '65536 22986.249047', '131072 22968.247908', '262144 22991.651860', '524288 22931.990850', '1048576 22871.132987', '2097152 21540.023945', '4194304 8548.921505', '8388608 5401.946795', '16777216 4593.124098', '33554432 4334.655395', '67108864 4222.457379', '134217728 4189.952092', '268435456 4181.110974', '536870912 4167.501725', '1073741824 4144.008308', '2147483648 4089.662987', '4294967296 4080.785654', '']",
1631737203-0,i-0312757296b366592,m5d.large,55.81539559364319, -b -m32 -e1 -x0 -d2,21791.249527,23488.306212,4294.416046,4486.235912,"['256 22899.934509', '512 20275.898354', '1024 21791.249527', '2048 22645.881034', '4096 23128.027247', '8192 23372.666480', '16384 23488.882911', '32768 23545.941970', '65536 23572.551295', '131072 23466.231889', '262144 23597.984061', '524288 23596.369798', '1048576 23488.306212', '2097152 22073.275753', '4194304 7835.466246', '8388608 5452.409626', '16777216 4756.902898', '33554432 4488.292387', '67108864 4380.968387', '134217728 4350.363044', '268435456 4343.711806', '536870912 4337.436491', '1073741824 4294.416046', '2147483648 4245.839071', '4294967296 4486.235912', '']",
1628737625-0,i-0be05f69a8d22431a,m5d.large,53.21307396888733, -b -m32 -e1 -x0 -d2,22288.122816,24185.926351,16940.106438,16890.868067,"['256 23487.143685', '512 20902.428861', '1024 22288.122816', '2048 23263.360889', '4096 23722.177942', '8192 23974.157470', '16384 24096.762596', '32768 24150.924576', '65536 24182.393434', '131072 24196.725130', '262144 24201.999350', '524288 24204.806057', '1048576 24185.926351', '2097152 24180.727218', '4194304 24163.075379', '8388608 24133.630440', '16777216 23616.998573', '33554432 19246.724404', '67108864 17162.788643', '134217728 16886.923023', '268435456 16812.963460', '536870912 16959.128822', '1073741824 16940.106438', '2147483648 16924.540872', '4294967296 16890.868067', '']",
1628737625-1,i-0be05f69a8d22431a,m5d.large,53.21134161949158, -b -m32 -e1 -x0 -d2,22399.178703,24186.077678,16952.995887,16929.029514,"['256 23481.996892', '512 20897.915889', '1024 22399.178703', '2048 23283.289563', '4096 23733.973418', '8192 23974.234033', '16384 24091.852812', '32768 24153.027496', '65536 24181.812271', '131072 24199.976418', '262144 24201.579324', '524288 24201.901759', '1048576 24186.077678', '2097152 24174.822504', '4194304 24156.634359', '8388608 24129.607843', '16777216 23243.257528', '33554432 18366.022101', '67108864 15457.700278', '134217728 16726.142546', '268435456 16832.699767', '536870912 16960.300856', '1073741824 16952.995887', '2147483648 16952.652547', '4294967296 16929.029514', '']",
1628737625-2,i-0be05f69a8d22431a,m5d.large,53.206825494766235, -b -m32 -e1 -x0 -d2,22377.799022,24182.097169,16950.759161,16896.766689,"['256 23480.561952', '512 20953.506309', '1024 22377.799022', '2048 23290.592918', '4096 23742.548614', '8192 23978.953543', '16384 24097.279718', '32768 24152.687782', '65536 24178.277227', '131072 24198.223309', '262144 24202.982531', '524288 24206.707134', '1048576 24182.097169', '2097152 24169.487244', '4194304 24158.838519', '8388608 24112.239103', '16777216 23306.182544', '33554432 18438.396423', '67108864 17141.441920', '134217728 16890.914226', '268435456 16844.142959', '536870912 16984.491201', '1073741824 16950.759161', '2147483648 16930.880221', '4294967296 16896.766689', '']",
1631737203-0,i-037eaee827094b6e5,m5d.large,55.87279486656189, -b -m32 -e1 -x0 -d2,21794.015370,23563.716959,4276.836566,4492.001167,"['256 22893.194556', '512 20330.523849', '1024 21794.015370', '2048 22635.973369', '4096 23129.210155', '8192 23369.123033', '16384 23491.593271', '32768 23520.372681', '65536 23575.962933', '131072 23488.674415', '262144 23595.125940', '524288 23519.071501', '1048576 23563.716959', '2097152 21948.884735', '4194304 7489.640390', '8388608 5348.911065', '16777216 4709.459691', '33554432 4458.707438', '67108864 4360.803631', '134217728 4332.023388', '268435456 4330.718922', '536870912 4320.848010', '1073741824 4276.836566', '2147483648 4222.496570', '4294967296 4492.001167', '']",
