experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1633487970-30,i-03b51e6677435b677,m5d.large,52.99963903427124, -b -m32 -e1 -x0 -d2,21828.254684,23579.904171,11478.796072,12181.374811,"['256 22893.748811', '512 20346.208669', '1024 21828.254684', '2048 22686.253059', '4096 23137.613966', '8192 23371.266695', '16384 23489.092012', '32768 23517.887549', '65536 23571.718785', '131072 23588.211877', '262144 23594.255748', '524288 23598.386511', '1048576 23579.904171', '2097152 23567.326131', '4194304 22682.829099', '8388608 18167.159007', '16777216 14306.239721', '33554432 12655.512459', '67108864 12032.827856', '134217728 11762.607616', '268435456 11710.405784', '536870912 11625.652516', '1073741824 11478.796072', '2147483648 11324.631054', '4294967296 12181.374811', '']",
1633487970-31,i-03b51e6677435b677,m5d.large,53.348299980163574, -b -m32 -e1 -x0 -d2,21840.834972,23581.207076,10315.294511,11914.575501,"['256 22895.308133', '512 20353.649932', '1024 21840.834972', '2048 22686.010432', '4096 23130.065924', '8192 23373.503334', '16384 23490.331723', '32768 23544.624250', '65536 23576.700712', '131072 23591.250769', '262144 23596.073285', '524288 23597.287984', '1048576 23581.207076', '2097152 23538.877307', '4194304 21954.172810', '8388608 17334.059678', '16777216 12665.600807', '33554432 11394.631956', '67108864 10883.561825', '134217728 10593.098543', '268435456 10532.711110', '536870912 10466.452379', '1073741824 10315.294511', '2147483648 10262.455816', '4294967296 11914.575501', '']",
1633487970-32,i-03b51e6677435b677,m5d.large,53.55741214752197, -b -m32 -e1 -x0 -d2,21845.218645,23571.979660,9468.041241,9843.451299,"['256 22895.493796', '512 20342.317044', '1024 21845.218645', '2048 22687.895866', '4096 23143.852184', '8192 23377.678583', '16384 23491.671905', '32768 23517.822761', '65536 23574.035728', '131072 23587.879288', '262144 23506.057884', '524288 23596.125296', '1048576 23571.979660', '2097152 23551.219112', '4194304 21335.189917', '8388608 14453.791052', '16777216 11082.633353', '33554432 10166.575669', '67108864 9802.679485', '134217728 9575.727908', '268435456 9610.033837', '536870912 9513.284908', '1073741824 9468.041241', '2147483648 9310.650763', '4294967296 9843.451299', '']",
1633487970-33,i-03b51e6677435b677,m5d.large,54.08472275733948, -b -m32 -e1 -x0 -d2,21815.069496,23577.930681,8668.139574,8764.361346,"['256 22889.874293', '512 20330.551393', '1024 21815.069496', '2048 22673.826418', '4096 23132.504166', '8192 23310.373759', '16384 23486.444707', '32768 23541.759278', '65536 23567.791413', '131072 23586.242503', '262144 23593.668102', '524288 23596.554986', '1048576 23577.930681', '2097152 23521.158794', '4194304 20685.950420', '8388608 12698.135362', '16777216 10095.643410', '33554432 9320.846977', '67108864 9021.753460', '134217728 8893.683053', '268435456 8744.614724', '536870912 8817.083621', '1073741824 8668.139574', '2147483648 8595.968699', '4294967296 8764.361346', '']",
1633487970-34,i-03b51e6677435b677,m5d.large,53.35649228096008, -b -m32 -e1 -x0 -d2,21833.613169,23577.586652,8078.969189,9484.619502,"['256 22894.183588', '512 20321.335108', '1024 21833.613169', '2048 22680.103501', '4096 23136.723208', '8192 23372.613761', '16384 23489.350857', '32768 23520.424118', '65536 23573.446252', '131072 23587.581813', '262144 23598.222777', '524288 23590.568044', '1048576 23577.586652', '2097152 23482.087934', '4194304 20236.846044', '8388608 11032.015643', '16777216 9175.100597', '33554432 8611.236887', '67108864 8344.539449', '134217728 8263.402237', '268435456 8244.411632', '536870912 8150.562837', '1073741824 8078.969189', '2147483648 8046.487481', '4294967296 9484.619502', '']",
1633487970-35,i-03b51e6677435b677,m5d.large,53.147619009017944, -b -m32 -e1 -x0 -d2,21836.422624,23580.887814,7635.408582,7773.530210,"['256 22892.721347', '512 20313.122519', '1024 21836.422624', '2048 22688.972383', '4096 23132.059865', '8192 23370.121466', '16384 23488.555703', '32768 23542.142180', '65536 23568.849062', '131072 23584.579483', '262144 23596.280711', '524288 23600.063427', '1048576 23580.887814', '2097152 23475.171587', '4194304 18884.960126', '8388608 9941.753161', '16777216 8521.468602', '33554432 8057.454654', '67108864 7779.067288', '134217728 7712.483475', '268435456 7696.769944', '536870912 7672.650153', '1073741824 7635.408582', '2147483648 7544.133359', '4294967296 7773.530210', '']",
1633487970-36,i-03b51e6677435b677,m5d.large,53.64405059814453, -b -m32 -e1 -x0 -d2,21833.913812,23579.324518,7180.774059,7350.093943,"['256 22889.502698', '512 20308.364266', '1024 21833.913812', '2048 22684.422745', '4096 23135.564222', '8192 23361.056339', '16384 23489.308391', '32768 23543.333136', '65536 23547.259384', '131072 23588.026953', '262144 23593.183770', '524288 23593.360709', '1048576 23579.324518', '2097152 23439.070649', '4194304 17811.531131', '8388608 9823.544485', '16777216 8178.284906', '33554432 7622.241588', '67108864 7379.045706', '134217728 7292.823227', '268435456 7228.594244', '536870912 7215.210856', '1073741824 7180.774059', '2147483648 7060.049119', '4294967296 7350.093943', '']",
1633487970-37,i-03b51e6677435b677,m5d.large,53.68167281150818, -b -m32 -e1 -x0 -d2,21860.204877,23579.749957,6672.463587,7252.929343,"['256 22894.730160', '512 20341.879989', '1024 21860.204877', '2048 22693.202240', '4096 23138.341603', '8192 23368.613716', '16384 23489.934871', '32768 23541.525539', '65536 23569.392676', '131072 23524.570393', '262144 23560.879020', '524288 23588.759298', '1048576 23579.749957', '2097152 23324.362138', '4194304 15549.064669', '8388608 9055.297607', '16777216 7501.391014', '33554432 7056.008709', '67108864 6862.267644', '134217728 6785.519792', '268435456 6782.383796', '536870912 6756.836616', '1073741824 6672.463587', '2147483648 6632.564957', '4294967296 7252.929343', '']",
1633487970-38,i-03b51e6677435b677,m5d.large,54.03503370285034, -b -m32 -e1 -x0 -d2,21830.836560,23575.287512,6254.634113,6995.529637,"['256 22889.889765', '512 20324.993372', '1024 21830.836560', '2048 22686.335383', '4096 23050.548441', '8192 23369.524034', '16384 23484.216583', '32768 23518.290273', '65536 23566.552372', '131072 23586.322776', '262144 23594.130259', '524288 23594.830444', '1048576 23575.287512', '2097152 23265.187733', '4194304 15205.700177', '8388608 8026.601584', '16777216 7070.340886', '33554432 6670.102664', '67108864 6480.778263', '134217728 6385.692153', '268435456 6372.214916', '536870912 6351.719542', '1073741824 6254.634113', '2147483648 6193.909323', '4294967296 6995.529637', '']",
1633487970-39,i-03b51e6677435b677,m5d.large,53.72765874862671, -b -m32 -e1 -x0 -d2,21811.678983,23556.638617,5900.419978,5921.473823,"['256 22889.650870', '512 20296.182384', '1024 21811.678983', '2048 22668.247321', '4096 23131.498950', '8192 23368.343322', '16384 23483.882532', '32768 23538.444721', '65536 23569.757770', '131072 23587.547314', '262144 23590.873589', '524288 23593.829217', '1048576 23556.638617', '2097152 23245.918708', '4194304 12191.828633', '8388608 7708.087594', '16777216 6687.094225', '33554432 6293.558601', '67108864 6090.400054', '134217728 6008.396467', '268435456 5985.654084', '536870912 5983.461684', '1073741824 5900.419978', '2147483648 5826.236999', '4294967296 5921.473823', '']",
