experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1632800814-0,i-0695e3ac9dbe60966,m5d.large,53.22777009010315, -w -m32 -e1 -x0 -d2,20317.161284,19918.415568,1958.983870,1942.282499,"['256 22165.715465', '512 22840.593856', '1024 20317.161284', '2048 21837.616877', '4096 22687.405945', '8192 23138.283049', '16384 23369.628773', '32768 22533.186480', '65536 20970.665426', '131072 20978.347540', '262144 20982.053124', '524288 20980.336719', '1048576 19918.415568', '2097152 13465.702189', '4194304 3413.775214', '8388608 2420.717797', '16777216 2132.586919', '33554432 2022.342760', '67108864 1985.445400', '134217728 1979.666244', '268435456 1977.691102', '536870912 1976.908242', '1073741824 1958.983870', '2147483648 1938.622428', '4294967296 1942.282499', '']",
1632800814-0,i-0ed18be8cc6d72548,m5d.large,53.865535736083984, -w -m32 -e1 -x0 -d2,20318.060409,19859.940210,1961.686975,2961.559137,"['256 22163.818172', '512 22839.910889', '1024 20318.060409', '2048 21837.329624', '4096 22686.959671', '8192 23141.180762', '16384 23371.576072', '32768 22539.186002', '65536 20973.399767', '131072 20910.780318', '262144 20981.597853', '524288 20975.885897', '1048576 19859.940210', '2097152 12129.713449', '4194304 3096.964874', '8388608 2336.310313', '16777216 2108.509357', '33554432 2020.097413', '67108864 1992.939142', '134217728 1979.134710', '268435456 1988.901780', '536870912 1985.259399', '1073741824 1961.686975', '2147483648 1943.834053', '4294967296 2961.559137', '']",
1632800814-0,i-0a581000456aab249,m5d.large,53.74744915962219, -w -m32 -e1 -x0 -d2,20317.107787,19717.042733,1947.013817,3106.097298,"['256 22163.732731', '512 22839.261436', '1024 20317.107787', '2048 21838.687036', '4096 22688.647244', '8192 23139.814772', '16384 23369.785200', '32768 22535.851893', '65536 20972.409347', '131072 20900.988393', '262144 20979.693475', '524288 20979.678112', '1048576 19717.042733', '2097152 13228.632800', '4194304 3180.940111', '8388608 2361.078691', '16777216 2116.294929', '33554432 2020.119112', '67108864 1990.253685', '134217728 1985.205545', '268435456 1983.044513', '536870912 1980.982344', '1073741824 1947.013817', '2147483648 1949.436715', '4294967296 3106.097298', '']",
1632800814-0,i-09042d7a966178a01,m5d.large,53.241339445114136, -w -m32 -e1 -x0 -d2,20315.181754,19903.471802,1962.491513,1952.654210,"['256 22006.073827', '512 22835.423129', '1024 20315.181754', '2048 21755.983521', '4096 22685.192110', '8192 23131.478482', '16384 23321.965585', '32768 22535.294555', '65536 20971.094865', '131072 20977.145716', '262144 20978.509240', '524288 20979.342739', '1048576 19903.471802', '2097152 13471.513854', '4194304 3381.214481', '8388608 2415.192718', '16777216 2135.458624', '33554432 2027.930590', '67108864 1992.231195', '134217728 1986.461921', '268435456 1984.863836', '536870912 1982.594053', '1073741824 1962.491513', '2147483648 1953.878329', '4294967296 1952.654210', '']",
1632800814-0,i-0e02367cd7624dfc9,m5d.large,53.69033479690552, -w -m32 -e1 -x0 -d2,20298.656796,19318.722101,1955.163388,3190.289712,"['256 22166.860825', '512 22837.916209', '1024 20298.656796', '2048 21802.740412', '4096 22689.181834', '8192 23137.123172', '16384 23368.237260', '32768 22532.402781', '65536 20974.524574', '131072 20977.817101', '262144 20980.418306', '524288 20977.954548', '1048576 19318.722101', '2097152 11750.141705', '4194304 3145.449556', '8388608 2342.837715', '16777216 2108.005067', '33554432 2015.285936', '67108864 1987.400735', '134217728 1983.792237', '268435456 1982.196713', '536870912 1979.507458', '1073741824 1955.163388', '2147483648 1937.827343', '4294967296 3190.289712', '']",
1632800814-0,i-0d9501e865d70b256,m5d.large,53.2445502281189, -w -m32 -e1 -x0 -d2,20320.154926,20136.690766,1966.534182,1973.372437,"['256 22169.692507', '512 22840.208431', '1024 20320.154926', '2048 21837.266219', '4096 22686.917556', '8192 23141.228557', '16384 23372.612160', '32768 22539.480069', '65536 20972.573354', '131072 20980.844458', '262144 20983.082218', '524288 20979.627602', '1048576 20136.690766', '2097152 13924.022358', '4194304 3510.513972', '8388608 2435.978891', '16777216 2143.878431', '33554432 2034.352220', '67108864 1996.761334', '134217728 1990.746172', '268435456 1988.731250', '536870912 1988.769815', '1073741824 1966.534182', '2147483648 1933.343103', '4294967296 1973.372437', '']",
1632800814-0,i-051b7568899463c5d,m5d.large,53.15075421333313, -w -m32 -e1 -x0 -d2,20315.130808,19971.874834,1965.011023,1978.405742,"['256 22165.710571', '512 22830.880524', '1024 20315.130808', '2048 21834.835384', '4096 22686.483962', '8192 23136.900902', '16384 23368.617137', '32768 22582.320543', '65536 20968.044366', '131072 20899.397678', '262144 20961.919599', '524288 20975.877519', '1048576 19971.874834', '2097152 13256.530318', '4194304 3207.608655', '8388608 2377.644482', '16777216 2125.573729', '33554432 2025.334483', '67108864 1992.552074', '134217728 1976.832941', '268435456 1988.139661', '536870912 1985.537456', '1073741824 1965.011023', '2147483648 1956.269833', '4294967296 1978.405742', '']",
1632800814-0,i-0513e9f266fdf26b1,m5d.large,53.89738702774048, -w -m32 -e1 -x0 -d2,22690.102442,19828.380831,1962.641088,2981.814739,"['256 22162.577272', '512 22834.322774', '1024 20315.859006', '2048 21835.723764', '4096 22690.102442', '8192 23139.483626', '16384 23369.924715', '32768 22534.774244', '65536 20974.104209', '131072 20979.685270', '262144 20981.077287', '524288 20979.581791', '1048576 19828.380831', '2097152 12390.823949', '4194304 3123.466242', '8388608 2343.390665', '16777216 2111.402395', '33554432 2019.984185', '67108864 1993.134441', '134217728 1990.937063', '268435456 1992.255361', '536870912 1962.554899', '1073741824 1962.641088', '2147483648 1943.355580', '4294967296 2981.814739', '']",
1632800814-0,i-08b78701d5f7613f4,m5d.large,53.22459292411804, -w -m32 -e1 -x0 -d2,20317.197553,19901.354222,1955.194347,1951.559157,"['256 22160.267474', '512 22838.827258', '1024 20317.197553', '2048 21838.272690', '4096 22688.372188', '8192 23139.284795', '16384 23367.770478', '32768 22472.773309', '65536 20965.937832', '131072 20975.390227', '262144 20976.887191', '524288 20975.151594', '1048576 19901.354222', '2097152 12931.967941', '4194304 3333.126382', '8388608 2396.108484', '16777216 2128.488723', '33554432 2021.371527', '67108864 1987.274244', '134217728 1980.221584', '268435456 1977.399691', '536870912 1974.544418', '1073741824 1955.194347', '2147483648 1949.049766', '4294967296 1951.559157', '']",
1632800814-0,i-0a4b80fd67a94edb9,m5d.large,53.966224908828735, -w -m32 -e1 -x0 -d2,20316.600676,19856.033401,1961.977761,2905.173357,"['256 22168.415069', '512 22755.740217', '1024 20316.600676', '2048 21836.622759', '4096 22593.736895', '8192 23140.811062', '16384 23368.101182', '32768 22587.644488', '65536 20974.255651', '131072 20942.967009', '262144 20982.359765', '524288 20977.813900', '1048576 19856.033401', '2097152 12885.666610', '4194304 3150.022645', '8388608 2354.270962', '16777216 2113.879365', '33554432 2019.141316', '67108864 1991.797685', '134217728 1987.341376', '268435456 1987.753826', '536870912 1984.667438', '1073741824 1961.977761', '2147483648 1945.612860', '4294967296 2905.173357', '']",
1632800814-0,i-0ad282dc836d0ab39,m5d.large,53.218090295791626, -w -m32 -e1 -x0 -d2,20270.049706,20045.403791,1956.754804,1947.063025,"['256 22160.173170', '512 22834.603703', '1024 20270.049706', '2048 21833.619181', '4096 22682.327719', '8192 23136.097723', '16384 23366.004292', '32768 22581.072851', '65536 20968.644563', '131072 20975.122480', '262144 20977.447904', '524288 20975.797687', '1048576 20045.403791', '2097152 12893.572717', '4194304 3384.504080', '8388608 2412.897235', '16777216 2133.410817', '33554432 2022.933905', '67108864 1985.573937', '134217728 1981.584442', '268435456 1979.925586', '536870912 1976.908833', '1073741824 1956.754804', '2147483648 1929.752444', '4294967296 1947.063025', '']",
1632800814-0,i-0356d8099fab76192,m5d.large,53.16538143157959, -w -m32 -e1 -x0 -d2,20317.155756,19889.541045,1955.059872,1980.944633,"['256 22167.121298', '512 22830.960022', '1024 20317.155756', '2048 21837.735901', '4096 22688.293848', '8192 23138.223351', '16384 23366.996897', '32768 22534.015182', '65536 20971.773326', '131072 20975.624732', '262144 20979.430290', '524288 20974.841429', '1048576 19889.541045', '2097152 12796.064709', '4194304 3204.915566', '8388608 2365.866622', '16777216 2104.770720', '33554432 2019.144805', '67108864 1984.305457', '134217728 1979.185471', '268435456 1977.970848', '536870912 1976.782737', '1073741824 1955.059872', '2147483648 1950.199674', '4294967296 1980.944633', '']",
1632800814-0,i-0f66b07ef0422e4f8,m5d.large,53.2524893283844, -w -m32 -e1 -x0 -d2,20314.701261,19403.415571,1936.270620,3797.671737,"['256 22166.376434', '512 22833.067981', '1024 20314.701261', '2048 21837.568814', '4096 22690.124514', '8192 23140.082650', '16384 23369.138330', '32768 22535.905191', '65536 20973.256554', '131072 20979.144810', '262144 20982.375691', '524288 20964.180992', '1048576 19403.415571', '2097152 10843.244434', '4194304 2972.587513', '8388608 2290.810654', '16777216 2086.284236', '33554432 2009.912514', '67108864 1988.570306', '134217728 1983.955704', '268435456 1983.452466', '536870912 1978.951762', '1073741824 1936.270620', '2147483648 1952.289349', '4294967296 3797.671737', '']",
1632800814-0,i-0f43766fe1262fe23,m5d.large,53.28689408302307, -w -m32 -e1 -x0 -d2,20317.684526,20002.699978,1966.366391,1950.695838,"['256 22164.733112', '512 22832.246386', '1024 20317.684526', '2048 21838.380039', '4096 22685.297943', '8192 23138.310030', '16384 23370.698820', '32768 22533.726112', '65536 20974.145372', '131072 20974.791085', '262144 20978.319641', '524288 20976.530991', '1048576 20002.699978', '2097152 13540.058988', '4194304 3831.584973', '8388608 2468.908689', '16777216 2153.244795', '33554432 2035.033111', '67108864 1997.889038', '134217728 1988.908695', '268435456 1967.547203', '536870912 1987.279771', '1073741824 1966.366391', '2147483648 1938.751624', '4294967296 1950.695838', '']",
1632800814-0,i-0a5ce992a69ecc9b9,m5d.large,53.21681833267212, -w -m32 -e1 -x0 -d2,20316.915774,19888.164012,1954.202859,1948.187659,"['256 22165.120428', '512 22835.787478', '1024 20316.915774', '2048 21838.987620', '4096 22687.028387', '8192 23138.431273', '16384 23366.345759', '32768 22534.241893', '65536 20972.710176', '131072 20976.153012', '262144 20980.360591', '524288 20976.898051', '1048576 19888.164012', '2097152 13041.685130', '4194304 3317.486039', '8388608 2399.759872', '16777216 2098.299660', '33554432 2017.813034', '67108864 1982.601241', '134217728 1977.925851', '268435456 1976.095080', '536870912 1971.747424', '1073741824 1954.202859', '2147483648 1946.275313', '4294967296 1948.187659', '']",
1632800814-0,i-02bedf9bde327d2ba,m5d.large,53.163636207580566, -w -m32 -e1 -x0 -d2,20319.590297,19667.462741,1955.798640,2043.329965,"['256 22165.197859', '512 22839.523657', '1024 20319.590297', '2048 21837.984743', '4096 22688.415673', '8192 23140.586306', '16384 23370.298222', '32768 22538.842956', '65536 20974.908597', '131072 20978.162428', '262144 20982.325410', '524288 20978.849712', '1048576 19667.462741', '2097152 12234.190650', '4194304 3199.776761', '8388608 2372.670703', '16777216 2122.402800', '33554432 2025.256072', '67108864 1994.095614', '134217728 1990.274584', '268435456 1988.894586', '536870912 1989.229077', '1073741824 1955.798640', '2147483648 1936.306332', '4294967296 2043.329965', '']",
1632800814-0,i-0b387d9e59fc168dd,m5d.large,53.959768295288086, -w -m32 -e1 -x0 -d2,20316.617261,19905.643866,1962.849649,2899.805524,"['256 22166.247701', '512 22834.534567', '1024 20316.617261', '2048 21835.351783', '4096 22686.944462', '8192 23137.132662', '16384 23369.520323', '32768 22534.134279', '65536 20967.924135', '131072 20974.482030', '262144 20978.876840', '524288 20975.489009', '1048576 19905.643866', '2097152 13029.980905', '4194304 3156.699251', '8388608 2333.779061', '16777216 2115.100757', '33554432 2021.130012', '67108864 1992.133182', '134217728 1988.325398', '268435456 1989.924885', '536870912 1986.160224', '1073741824 1962.849649', '2147483648 1944.992243', '4294967296 2899.805524', '']",
1632800814-0,i-0c773a9ea2c6cd2b9,m5d.large,53.15087556838989, -w -m32 -e1 -x0 -d2,20320.528148,19935.735821,1964.382329,2040.351531,"['256 22167.564349', '512 22841.981197', '1024 20320.528148', '2048 21838.652382', '4096 22688.671392', '8192 23140.038451', '16384 23371.785396', '32768 22539.580435', '65536 20975.823054', '131072 20980.617105', '262144 20982.131411', '524288 20978.301101', '1048576 19935.735821', '2097152 12763.657113', '4194304 3178.592276', '8388608 2338.664451', '16777216 2119.021195', '33554432 2025.358693', '67108864 1994.862527', '134217728 1991.161617', '268435456 1992.364682', '536870912 1988.982194', '1073741824 1964.382329', '2147483648 1944.844317', '4294967296 2040.351531', '']",
