experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1633491937-9,i-01bf0f6f0ad83c755,m5d.large,52.94085144996643, -w -m32 -e1 -x0 -d2,20317.610230,19925.875202,9658.081273,9682.609248,"['256 22157.521201', '512 22840.524629', '1024 20317.610230', '2048 21839.167500', '4096 22686.681762', '8192 23136.848858', '16384 23335.455171', '32768 22503.236414', '65536 20974.162564', '131072 20916.499430', '262144 20980.911309', '524288 20978.231168', '1048576 19925.875202', '2097152 18844.896308', '4194304 18820.755755', '8388608 18111.392014', '16777216 14488.345929', '33554432 10786.379085', '67108864 10103.603209', '134217728 9816.415421', '268435456 9632.568384', '536870912 9583.752568', '1073741824 9658.081273', '2147483648 9669.753197', '4294967296 9682.609248', '']",
1633491937-10,i-01bf0f6f0ad83c755,m5d.large,53.089558601379395, -w -m32 -e1 -x0 -d2,20315.112969,20270.543917,9369.283329,9403.139841,"['256 22168.259498', '512 22841.752814', '1024 20315.112969', '2048 21837.529907', '4096 22690.638370', '8192 23136.510175', '16384 23372.701063', '32768 22508.531925', '65536 20936.347158', '131072 20980.039679', '262144 20981.069381', '524288 20982.050089', '1048576 20270.543917', '2097152 18827.455215', '4194304 18732.367037', '8388608 16877.524470', '16777216 11642.232139', '33554432 10011.740915', '67108864 9659.178218', '134217728 9499.351488', '268435456 9414.925659', '536870912 9362.605498', '1073741824 9369.283329', '2147483648 9399.396123', '4294967296 9403.139841', '']",
1633491937-11,i-01bf0f6f0ad83c755,m5d.large,53.170063972473145, -w -m32 -e1 -x0 -d2,20315.520486,20044.047609,8822.526615,8854.699282,"['256 22167.765219', '512 22835.916179', '1024 20315.520486', '2048 21842.034573', '4096 22691.212588', '8192 23142.682194', '16384 23339.498984', '32768 22453.975110', '65536 20974.394803', '131072 20978.638430', '262144 20912.420352', '524288 20981.705852', '1048576 20044.047609', '2097152 18798.546979', '4194304 18663.999252', '8388608 14535.389703', '16777216 10506.837339', '33554432 9538.439947', '67108864 9174.867823', '134217728 8994.129502', '268435456 8903.482273', '536870912 8866.526075', '1073741824 8822.526615', '2147483648 8725.191672', '4294967296 8854.699282', '']",
1633491937-12,i-01bf0f6f0ad83c755,m5d.large,53.19419455528259, -w -m32 -e1 -x0 -d2,20308.468575,20222.863941,8815.757761,8752.334350,"['256 22169.201923', '512 22841.632280', '1024 20308.468575', '2048 21840.777081', '4096 22693.473014', '8192 23141.647918', '16384 23374.606604', '32768 22533.721593', '65536 20900.299841', '131072 20979.850483', '262144 20978.768098', '524288 20979.162398', '1048576 20222.863941', '2097152 18797.507126', '4194304 18618.242759', '8388608 14087.613248', '16777216 10505.383641', '33554432 9495.567794', '67108864 9142.156806', '134217728 8968.221031', '268435456 8895.035120', '536870912 8870.173934', '1073741824 8815.757761', '2147483648 8716.742457', '4294967296 8752.334350', '']",
1633491937-13,i-01bf0f6f0ad83c755,m5d.large,53.13546633720398, -w -m32 -e1 -x0 -d2,20315.382223,19962.260099,8816.938157,8942.791899,"['256 22168.228134', '512 22838.859172', '1024 20315.382223', '2048 21834.607619', '4096 22687.830847', '8192 23138.290887', '16384 23338.402233', '32768 22496.824092', '65536 20969.583653', '131072 20980.870491', '262144 20900.077709', '524288 20978.236144', '1048576 19962.260099', '2097152 18801.559312', '4194304 18673.392398', '8388608 14680.389404', '16777216 10663.404657', '33554432 9611.359765', '67108864 9217.204397', '134217728 9008.991161', '268435456 8915.264091', '536870912 8876.978162', '1073741824 8816.938157', '2147483648 8738.177958', '4294967296 8942.791899', '']",
1633491937-14,i-01bf0f6f0ad83c755,m5d.large,53.11822462081909, -w -m32 -e1 -x0 -d2,20314.169680,20106.205083,8825.782790,8943.797751,"['256 22162.244876', '512 22838.641212', '1024 20314.169680', '2048 21839.971209', '4096 22688.643773', '8192 23139.588317', '16384 23368.514426', '32768 22452.682220', '65536 20975.584359', '131072 20976.375682', '262144 20981.388247', '524288 20973.937458', '1048576 20106.205083', '2097152 18794.071543', '4194304 18670.118555', '8388608 14008.880576', '16777216 10961.916513', '33554432 9668.282433', '67108864 9304.926766', '134217728 9079.139950', '268435456 8967.329313', '536870912 8902.232393', '1073741824 8825.782790', '2147483648 8725.898306', '4294967296 8943.797751', '']",
1633491937-15,i-01bf0f6f0ad83c755,m5d.large,53.19503450393677, -w -m32 -e1 -x0 -d2,20316.292842,20061.109445,8821.110353,8807.706171,"['256 22169.132494', '512 22839.933799', '1024 20316.292842', '2048 21839.899989', '4096 22691.174830', '8192 23139.495446', '16384 23371.187787', '32768 22494.747672', '65536 20913.822206', '131072 20979.891502', '262144 20909.563267', '524288 20980.523567', '1048576 20061.109445', '2097152 18800.925682', '4194304 18616.387410', '8388608 14329.782236', '16777216 10423.287047', '33554432 9488.521777', '67108864 9137.500408', '134217728 8972.791244', '268435456 8894.885658', '536870912 8865.007253', '1073741824 8821.110353', '2147483648 8729.878294', '4294967296 8807.706171', '']",
1633491937-16,i-01bf0f6f0ad83c755,m5d.large,53.12527322769165, -w -m32 -e1 -x0 -d2,20314.527957,20131.952145,8819.010604,9060.752700,"['256 22161.440541', '512 22838.999980', '1024 20314.527957', '2048 21841.661871', '4096 22688.079816', '8192 23137.961497', '16384 23369.520883', '32768 22452.861298', '65536 20971.570674', '131072 20977.011815', '262144 20979.972988', '524288 20977.654525', '1048576 20131.952145', '2097152 18784.064202', '4194304 18679.115716', '8388608 14381.617472', '16777216 11398.361218', '33554432 9771.071060', '67108864 9347.631086', '134217728 9111.808064', '268435456 8980.058330', '536870912 8896.966128', '1073741824 8819.010604', '2147483648 8717.821588', '4294967296 9060.752700', '']",
1633491937-17,i-01bf0f6f0ad83c755,m5d.large,53.17820930480957, -w -m32 -e1 -x0 -d2,20315.846826,20122.123310,8821.785946,8828.758277,"['256 22169.939010', '512 22840.615440', '1024 20315.846826', '2048 21838.287374', '4096 22690.089206', '8192 23138.796776', '16384 23370.999792', '32768 22517.651556', '65536 20906.595439', '131072 20977.085496', '262144 20908.805583', '524288 20979.849746', '1048576 20122.123310', '2097152 18796.185925', '4194304 18680.888168', '8388608 14092.210574', '16777216 10474.891431', '33554432 9525.050224', '67108864 9155.991394', '134217728 8978.680052', '268435456 8899.257476', '536870912 8865.279047', '1073741824 8821.785946', '2147483648 8744.195741', '4294967296 8828.758277', '']",
1633491937-18,i-01bf0f6f0ad83c755,m5d.large,53.098416328430176, -w -m32 -e1 -x0 -d2,20314.761538,20217.568988,8823.605877,9013.813266,"['256 22164.286073', '512 22836.264321', '1024 20314.761538', '2048 21840.172937', '4096 22686.084182', '8192 23137.437567', '16384 23367.182989', '32768 22499.778681', '65536 20970.403209', '131072 20977.745779', '262144 20970.248863', '524288 20978.453741', '1048576 20217.568988', '2097152 18805.266626', '4194304 18649.319211', '8388608 14007.872928', '16777216 10969.714636', '33554432 9683.945973', '67108864 9310.458059', '134217728 9085.663896', '268435456 8961.882454', '536870912 8892.588774', '1073741824 8823.605877', '2147483648 8726.622277', '4294967296 9013.813266', '']",
1633491937-19,i-01bf0f6f0ad83c755,m5d.large,53.213470220565796, -w -m32 -e1 -x0 -d2,20311.380926,19811.873516,8819.953160,8774.042407,"['256 22164.643542', '512 22837.122614', '1024 20311.380926', '2048 21840.146839', '4096 22692.752615', '8192 23140.714911', '16384 23371.134410', '32768 22504.340518', '65536 20899.627277', '131072 20976.724959', '262144 20978.792224', '524288 20903.067580', '1048576 19811.873516', '2097152 18825.961235', '4194304 18644.983769', '8388608 13951.675107', '16777216 10408.689823', '33554432 9506.538309', '67108864 9137.360238', '134217728 8977.996496', '268435456 8896.130686', '536870912 8867.034414', '1073741824 8819.953160', '2147483648 8723.345119', '4294967296 8774.042407', '']",
1633491937-20,i-01bf0f6f0ad83c755,m5d.large,53.15497589111328, -w -m32 -e1 -x0 -d2,20315.829945,20007.878601,8814.954557,8925.254183,"['256 22170.459561', '512 22839.609331', '1024 20315.829945', '2048 21841.313734', '4096 22691.583835', '8192 23140.086601', '16384 23362.700474', '32768 22542.177285', '65536 20936.899648', '131072 20979.670307', '262144 20972.947980', '524288 20976.424018', '1048576 20007.878601', '2097152 18803.526186', '4194304 18580.370033', '8388608 13940.463907', '16777216 10669.325259', '33554432 9631.563128', '67108864 9244.535038', '134217728 9042.510912', '268435456 8939.179277', '536870912 8884.193609', '1073741824 8814.954557', '2147483648 8729.146577', '4294967296 8925.254183', '']",
1633491937-21,i-01bf0f6f0ad83c755,m5d.large,53.185871839523315, -w -m32 -e1 -x0 -d2,20314.031596,20167.498154,8822.041621,8812.224718,"['256 22166.038244', '512 22837.483648', '1024 20314.031596', '2048 21839.232126', '4096 22691.205360', '8192 23141.253444', '16384 23373.444297', '32768 22506.091092', '65536 20899.873624', '131072 20978.929029', '262144 20979.827691', '524288 20905.180815', '1048576 20167.498154', '2097152 18805.668305', '4194304 18652.073622', '8388608 13649.176441', '16777216 10401.509371', '33554432 9540.922432', '67108864 9150.472784', '134217728 8982.870031', '268435456 8892.497904', '536870912 8868.943380', '1073741824 8822.041621', '2147483648 8716.702214', '4294967296 8812.224718', '']",
1633491937-22,i-01bf0f6f0ad83c755,m5d.large,53.14312791824341, -w -m32 -e1 -x0 -d2,20314.384149,19947.833358,8817.076886,8927.428974,"['256 22167.754510', '512 22839.050894', '1024 20314.384149', '2048 21838.229599', '4096 22688.422870', '8192 23139.703574', '16384 23365.112480', '32768 22585.579489', '65536 20900.422454', '131072 20881.729092', '262144 20979.490536', '524288 20976.887122', '1048576 19947.833358', '2097152 18810.190651', '4194304 18593.789286', '8388608 13554.757461', '16777216 10501.086665', '33554432 9600.960205', '67108864 9198.349049', '134217728 8996.839297', '268435456 8916.958246', '536870912 8876.976232', '1073741824 8817.076886', '2147483648 8744.410425', '4294967296 8927.428974', '']",
