experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1631589048-0,i-061b19da101e343e4,m5d.large,54.9503569602966, -r -m32 -e1 -x0 -d2,2620.601389,2614.665127,2572.556689,2575.353509,"['256 2624.454016', '512 2624.521656', '1024 2620.601389', '2048 2622.270217', '4096 2623.591947', '8192 2624.021893', '16384 2624.243606', '32768 2623.787479', '65536 2618.381232', '131072 2618.497100', '262144 2618.482087', '524288 2615.329608', '1048576 2614.665127', '2097152 2596.051675', '4194304 2575.590595', '8388608 2560.656162', '16777216 2567.437319', '33554432 2573.554370', '67108864 2575.854804', '134217728 2574.182343', '268435456 2573.525631', '536870912 2572.632927', '1073741824 2572.556689', '2147483648 2573.963891', '4294967296 2575.353509', '']",
1631589048-0,i-0dc726d29ec2328fd,m5d.large,54.9225451946259, -r -m32 -e1 -x0 -d2,2618.866948,2615.861555,2575.384701,2576.892645,"['256 2624.751150', '512 2624.718694', '1024 2618.866948', '2048 2622.732628', '4096 2623.968200', '8192 2624.484027', '16384 2624.438356', '32768 2539.023140', '65536 2618.380174', '131072 2618.068093', '262144 2618.090942', '524288 2617.893103', '1048576 2615.861555', '2097152 2601.528616', '4194304 2578.387691', '8388608 2555.142329', '16777216 2560.611003', '33554432 2577.640328', '67108864 2577.622227', '134217728 2577.523333', '268435456 2575.616156', '536870912 2575.889139', '1073741824 2575.384701', '2147483648 2576.194410', '4294967296 2576.892645', '']",
1631589048-0,i-0170926a18807016a,m5d.large,54.9437098503113, -r -m32 -e1 -x0 -d2,2621.100604,2615.529619,2572.845769,2573.198871,"['256 2623.957574', '512 2624.202603', '1024 2621.100604', '2048 2622.248991', '4096 2620.322052', '8192 2623.646265', '16384 2623.977184', '32768 2623.441873', '65536 2618.151288', '131072 2618.237488', '262144 2618.043729', '524288 2617.988282', '1048576 2615.529619', '2097152 2600.588545', '4194304 2575.871017', '8388608 2560.703280', '16777216 2564.333653', '33554432 2574.893549', '67108864 2575.872592', '134217728 2573.912400', '268435456 2571.978333', '536870912 2572.758371', '1073741824 2572.845769', '2147483648 2573.069576', '4294967296 2573.198871', '']",
1631589048-0,i-0712daa7ea6e1b7a2,m5d.large,54.9449622631073, -r -m32 -e1 -x0 -d2,2621.122748,2614.019422,2572.767076,2576.085544,"['256 2624.776315', '512 2624.488204', '1024 2621.122748', '2048 2622.859940', '4096 2624.006930', '8192 2624.351758', '16384 2624.335577', '32768 2623.782778', '65536 2618.379831', '131072 2618.085294', '262144 2615.293329', '524288 2617.238625', '1048576 2614.019422', '2097152 2595.615039', '4194304 2574.761680', '8388608 2560.942087', '16777216 2565.694605', '33554432 2575.923634', '67108864 2575.376266', '134217728 2574.470930', '268435456 2573.496233', '536870912 2572.849780', '1073741824 2572.767076', '2147483648 2575.396566', '4294967296 2576.085544', '']",
1631589048-0,i-0fc862dfd3da2035c,m5d.large,54.9528224468231, -r -m32 -e1 -x0 -d2,2621.296593,2614.522706,2572.792008,2575.63052,"['256 2624.774041', '512 2624.669634', '1024 2621.296593', '2048 2619.604113', '4096 2624.087384', '8192 2624.419773', '16384 2624.531889', '32768 2623.389681', '65536 2617.801468', '131072 2617.706905', '262144 2617.403354', '524288 2617.358256', '1048576 2614.522706', '2097152 2598.403700', '4194304 2574.585066', '8388608 2559.984709', '16777216 2565.570671', '33554432 2576.323760', '67108864 2577.079300', '134217728 2575.149713', '268435456 2575.073981', '536870912 2574.100887', '1073741824 2572.792008', '2147483648 2575.136000', '4294967296 2575.630520', '']",
1631589048-0,i-0e9d50813196848b7,m5d.large,54.9518632888794, -r -m32 -e1 -x0 -d2,2620.509843,2616.29391,2574.365313,2573.968467,"['256 2624.593459', '512 2624.424446', '1024 2620.509843', '2048 2622.218215', '4096 2621.168476', '8192 2624.193890', '16384 2624.322476', '32768 2623.409588', '65536 2618.447565', '131072 2618.683189', '262144 2618.563813', '524288 2618.576758', '1048576 2616.293910', '2097152 2602.307033', '4194304 2578.513022', '8388608 2557.883253', '16777216 2564.451905', '33554432 2575.233828', '67108864 2576.392097', '134217728 2574.566623', '268435456 2572.971457', '536870912 2574.214884', '1073741824 2574.365313', '2147483648 2573.858106', '4294967296 2573.968467', '']",
1631589048-0,i-001eec5b792c9bb3e,m5d.large,54.9499518871307, -r -m32 -e1 -x0 -d2,2622.110227,2615.679451,2572.183493,2576.263724,"['256 2624.884881', '512 2621.762536', '1024 2622.110227', '2048 2623.482403', '4096 2623.884218', '8192 2624.455389', '16384 2624.510206', '32768 2623.679672', '65536 2617.999175', '131072 2618.007210', '262144 2617.941410', '524288 2617.653966', '1048576 2615.679451', '2097152 2598.608234', '4194304 2576.415014', '8388608 2554.132669', '16777216 2564.335454', '33554432 2575.790336', '67108864 2576.798601', '134217728 2574.350158', '268435456 2573.507474', '536870912 2572.702327', '1073741824 2572.183493', '2147483648 2575.671198', '4294967296 2576.263724', '']",
1631589048-0,i-09cd8b5f60217a660,m5d.large,54.9552958011627, -r -m32 -e1 -x0 -d2,2620.750966,2613.303247,2573.496646,2576.537758,"['256 2624.403873', '512 2624.324600', '1024 2620.750966', '2048 2622.997310', '4096 2623.570940', '8192 2624.187575', '16384 2624.169550', '32768 2623.442217', '65536 2617.873859', '131072 2617.518910', '262144 2617.417604', '524288 2612.910908', '1048576 2613.303247', '2097152 2593.195431', '4194304 2574.531499', '8388608 2561.562089', '16777216 2569.250708', '33554432 2574.219561', '67108864 2575.679272', '134217728 2573.939759', '268435456 2573.639322', '536870912 2572.714880', '1073741824 2573.496646', '2147483648 2573.982072', '4294967296 2576.537758', '']",
1631589048-0,i-028ee148ae5f9dcd3,m5d.large,54.949871301651, -r -m32 -e1 -x0 -d2,2620.42127,2614.361554,2572.837205,2574.652633,"['256 2624.344938', '512 2624.280900', '1024 2620.421270', '2048 2622.008966', '4096 2623.185909', '8192 2623.948171', '16384 2623.953514', '32768 2620.338459', '65536 2618.170086', '131072 2618.085544', '262144 2617.450484', '524288 2616.907208', '1048576 2614.361554', '2097152 2598.843894', '4194304 2575.620486', '8388608 2549.127880', '16777216 2562.369887', '33554432 2577.302682', '67108864 2576.440370', '134217728 2576.128499', '268435456 2574.615130', '536870912 2572.961744', '1073741824 2572.837205', '2147483648 2573.278767', '4294967296 2574.652633', '']",
1631589048-0,i-0086ef66fc6d1c000,m5d.large,54.9591400623322, -r -m32 -e1 -x0 -d2,2621.236712,2613.903917,2573.11147,2576.260983,"['256 2624.627107', '512 2624.715080', '1024 2621.236712', '2048 2623.240051', '4096 2623.911706', '8192 2624.131323', '16384 2624.115274', '32768 2623.497896', '65536 2617.658673', '131072 2617.719624', '262144 2617.186204', '524288 2612.437022', '1048576 2613.903917', '2097152 2593.765086', '4194304 2575.266770', '8388608 2559.294520', '16777216 2565.365996', '33554432 2577.112213', '67108864 2575.356882', '134217728 2573.988343', '268435456 2573.775105', '536870912 2572.890485', '1073741824 2573.111470', '2147483648 2573.887342', '4294967296 2576.260983', '']",
1631589048-0,i-04afd02ae60398822,m5d.large,54.9525890350342, -r -m32 -e1 -x0 -d2,2620.798645,2614.871272,2574.186889,2576.196757,"['256 2621.468661', '512 2624.329374', '1024 2620.798645', '2048 2622.196444', '4096 2623.598167', '8192 2623.944444', '16384 2624.142650', '32768 2623.796084', '65536 2617.843146', '131072 2617.881020', '262144 2617.666552', '524288 2617.321570', '1048576 2614.871272', '2097152 2595.695337', '4194304 2576.514378', '8388608 2553.819282', '16777216 2562.868832', '33554432 2578.010328', '67108864 2577.216722', '134217728 2574.675529', '268435456 2574.777694', '536870912 2574.476239', '1073741824 2574.186889', '2147483648 2574.271905', '4294967296 2576.196757', '']",
1631589048-0,i-074dfddddd94a79e6,m5d.large,54.9446816444397, -r -m32 -e1 -x0 -d2,2620.255271,2614.05089,2573.017146,2577.112761,"['256 2624.182546', '512 2624.200634', '1024 2620.255271', '2048 2622.125906', '4096 2623.170118', '8192 2623.627487', '16384 2623.906043', '32768 2623.483020', '65536 2617.684655', '131072 2617.930982', '262144 2616.655430', '524288 2615.391001', '1048576 2614.050890', '2097152 2595.770030', '4194304 2578.040648', '8388608 2555.778002', '16777216 2567.010836', '33554432 2576.331581', '67108864 2577.509133', '134217728 2575.965271', '268435456 2573.309073', '536870912 2573.353963', '1073741824 2573.017146', '2147483648 2572.500508', '4294967296 2577.112761', '']",
