experimentID,instanceID,instanceType,wallTime,startTime,endTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1660109344-0,i-0c93e1e54cfe7f85d,m5d.large,53.37537956237793,1660109462.0347722,1660109515.4101517, -w -m32 -e1 -x0 -d2,10945.546804,11178.010278,7615.404081,7733.062963,"['256 15298.858454', '512 12913.537579', '1024 10945.546804', '2048 11667.113069', '4096 11324.808707', '8192 11553.911113', '16384 11483.484785', '32768 11638.430221', '65536 11580.467100', '131072 10657.316086', '262144 11338.930655', '524288 11459.279827', '1048576 11178.010278', '2097152 10953.820329', '4194304 10804.929652', '8388608 11080.145443', '16777216 8516.277471', '33554432 7988.715753', '67108864 7635.705187', '134217728 8129.313579', '268435456 6754.206825', '536870912 7622.362944', '1073741824 7615.404081', '2147483648 7918.915133', '4294967296 7733.062963', '']",
1660109344-0,i-0c93e1e54cfe7f85d,m5d.large,53.842113971710205,1660109515.6261017,1660109569.4682157, -w -m32 -e1 -x0 -d2,14853.104811,11610.493034,8462.321889,8612.197735,"['256 11784.210394', '512 12131.532660', '1024 14853.104811', '2048 11596.977915', '4096 10859.774692', '8192 10859.884296', '16384 13294.767636', '32768 10691.915874', '65536 10600.810210', '131072 10835.798148', '262144 10916.688347', '524288 12770.386199', '1048576 11610.493034', '2097152 13802.485215', '4194304 11111.525790', '8388608 10940.606857', '16777216 9588.360819', '33554432 8235.508537', '67108864 7985.418691', '134217728 7984.555506', '268435456 7986.931088', '536870912 7991.990819', '1073741824 8462.321889', '2147483648 8808.587070', '4294967296 8612.197735', '']",
1660109344-0,i-0c93e1e54cfe7f85d,m5d.large,53.4923357963562,1660109569.830268,1660109623.3226037, -w -m32 -e1 -x0 -d2,11660.162971,11719.242630,7842.271548,7618.064467,"['256 11971.447002', '512 11072.317018', '1024 11660.162971', '2048 13879.367903', '4096 13519.338256', '8192 11970.348549', '16384 17782.608026', '32768 12322.723154', '65536 11152.894043', '131072 10979.826967', '262144 11445.806487', '524288 11144.215919', '1048576 11719.242630', '2097152 10806.130763', '4194304 11577.254203', '8388608 10073.046812', '16777216 8611.981721', '33554432 8419.071901', '67108864 8332.122113', '134217728 8751.978485', '268435456 7841.860947', '536870912 7925.706202', '1073741824 7842.271548', '2147483648 8082.386137', '4294967296 7618.064467', '']",
1660109344-0,i-0c93e1e54cfe7f85d,m5d.large,53.79685163497925,1660109623.5705748,1660109677.3674264, -w -m32 -e1 -x0 -d2,10671.813466,11491.648393,8335.124667,8618.629770,"['256 15050.972367', '512 15814.398159', '1024 10671.813466', '2048 13630.053203', '4096 19515.360984', '8192 13756.666248', '16384 12195.385138', '32768 11089.599992', '65536 11121.687742', '131072 12906.330889', '262144 10972.636845', '524288 10965.097333', '1048576 11491.648393', '2097152 11080.451220', '4194304 11221.210189', '8388608 13012.729275', '16777216 9696.289624', '33554432 8240.313050', '67108864 7769.166297', '134217728 7687.159023', '268435456 7948.960558', '536870912 7670.130222', '1073741824 8335.124667', '2147483648 8387.831651', '4294967296 8618.629770', '']",
1660109344-0,i-0c93e1e54cfe7f85d,m5d.large,53.20744514465332,1660109677.6361408,1660109730.843586, -w -m32 -e1 -x0 -d2,13173.819739,14002.774328,7879.691876,7919.634486,"['256 17962.374388', '512 18105.240176', '1024 13173.819739', '2048 16350.647461', '4096 13541.964752', '8192 11901.965511', '16384 11394.157599', '32768 11185.506595', '65536 13613.324559', '131072 12794.785950', '262144 13008.352426', '524288 11965.182208', '1048576 14002.774328', '2097152 15290.150143', '4194304 12660.395290', '8388608 10612.473108', '16777216 8404.176561', '33554432 7660.269158', '67108864 7759.193122', '134217728 7583.109755', '268435456 7525.152694', '536870912 7568.782260', '1073741824 7879.691876', '2147483648 7727.156791', '4294967296 7919.634486', '']",
1660109344-0,i-0bb3e59cd5fa36e0d,m5d.large,53.93605327606201,1660109461.4472854,1660109515.3833387, -w -m32 -e1 -x0 -d2,11836.054286,11616.666511,9855.686625,8589.105884,"['256 11790.349388', '512 13127.970370', '1024 11836.054286', '2048 11432.860188', '4096 11696.827877', '8192 11588.983793', '16384 11211.927929', '32768 11446.771790', '65536 12488.490313', '131072 11102.541550', '262144 11214.199130', '524288 11482.271690', '1048576 11616.666511', '2097152 11514.138293', '4194304 11333.673813', '8388608 11270.734773', '16777216 11302.552160', '33554432 9611.823908', '67108864 8732.937509', '134217728 8564.083248', '268435456 8637.257053', '536870912 8784.694181', '1073741824 9855.686625', '2147483648 9289.123548', '4294967296 8589.105884', '']",
1660109344-0,i-0bb3e59cd5fa36e0d,m5d.large,53.747798681259155,1660109515.6079013,1660109569.3557, -w -m32 -e1 -x0 -d2,12577.175929,11580.885412,8583.403618,8431.893331,"['256 11025.792574', '512 16356.193170', '1024 12577.175929', '2048 11416.405120', '4096 15627.536842', '8192 12252.534519', '16384 11336.895245', '32768 11369.443452', '65536 11305.708738', '131072 12444.615093', '262144 11255.805460', '524288 12002.724829', '1048576 11580.885412', '2097152 11113.099639', '4194304 11214.050625', '8388608 11967.326822', '16777216 11226.695003', '33554432 9587.983193', '67108864 9105.908071', '134217728 8526.618879', '268435456 8558.738144', '536870912 8588.036792', '1073741824 8583.403618', '2147483648 8591.119753', '4294967296 8431.893331', '']",
1660109344-0,i-0bb3e59cd5fa36e0d,m5d.large,53.95965600013733,1660109569.5694993,1660109623.5291553, -w -m32 -e1 -x0 -d2,13062.617318,11418.150932,8222.541849,8465.073975,"['256 13776.680434', '512 11841.379854', '1024 13062.617318', '2048 12097.579297', '4096 11213.149092', '8192 11743.241554', '16384 11760.781447', '32768 11714.664051', '65536 15635.660264', '131072 13964.485306', '262144 11390.267823', '524288 11673.780421', '1048576 11418.150932', '2097152 12376.880339', '4194304 13609.384435', '8388608 14493.619155', '16777216 14978.223055', '33554432 11381.245400', '67108864 10063.645909', '134217728 9616.116260', '268435456 8413.342442', '536870912 8986.729768', '1073741824 8222.541849', '2147483648 8266.878925', '4294967296 8465.073975', '']",
1660109344-0,i-0bb3e59cd5fa36e0d,m5d.large,53.616453647613525,1660109623.8865018,1660109677.5029554, -w -m32 -e1 -x0 -d2,11125.080431,14035.464977,10544.222784,10582.488902,"['256 12473.071324', '512 14967.996273', '1024 11125.080431', '2048 14527.837950', '4096 14368.418969', '8192 11737.350262', '16384 11179.977825', '32768 11627.914881', '65536 11741.599284', '131072 11730.069865', '262144 11201.863239', '524288 11753.418058', '1048576 14035.464977', '2097152 11009.638056', '4194304 11182.788180', '8388608 11901.500020', '16777216 17812.030213', '33554432 13812.917588', '67108864 11148.155144', '134217728 10541.294147', '268435456 10366.364147', '536870912 10411.361911', '1073741824 10544.222784', '2147483648 10645.604013', '4294967296 10582.488902', '']",
1660109344-0,i-0bb3e59cd5fa36e0d,m5d.large,53.098775148391724,1660109677.6668875,1660109730.7656627, -w -m32 -e1 -x0 -d2,20305.510578,19957.745833,10625.052930,10574.548005,"['256 22150.906403', '512 22825.303255', '1024 20305.510578', '2048 21747.714743', '4096 22674.273068', '8192 23103.196141', '16384 23351.760343', '32768 22516.911424', '65536 20954.865670', '131072 20962.225244', '262144 20911.492592', '524288 20962.336769', '1048576 19957.745833', '2097152 18834.246397', '4194304 18735.369278', '8388608 18222.412816', '16777216 17721.891764', '33554432 13950.266819', '67108864 11201.161874', '134217728 10548.325556', '268435456 10467.305318', '536870912 10407.716060', '1073741824 10625.052930', '2147483648 10612.169380', '4294967296 10574.548005', '']",
1660109344-0,i-034ee27e1ead07f3f,m5d.large,53.460301876068115,1660109462.3383224,1660109515.7986243, -w -m32 -e1 -x0 -d2,10429.050561,11104.806280,8175.296983,7395.586653,"['256 11767.647004', '512 12746.301357', '1024 10429.050561', '2048 11302.883932', '4096 11270.008999', '8192 13581.749492', '16384 11088.683229', '32768 11421.402073', '65536 11655.121194', '131072 11384.012237', '262144 11218.116416', '524288 11977.016477', '1048576 11104.806280', '2097152 11283.174434', '4194304 13392.108383', '8388608 9912.829972', '16777216 10199.278166', '33554432 8462.875099', '67108864 8258.533768', '134217728 8047.935989', '268435456 7973.653458', '536870912 7993.840997', '1073741824 8175.296983', '2147483648 8039.091455', '4294967296 7395.586653', '']",
1660109344-0,i-034ee27e1ead07f3f,m5d.large,53.258121490478516,1660109516.0510178,1660109569.3091393, -w -m32 -e1 -x0 -d2,10559.571067,11628.819962,8126.031447,8098.112103,"['256 12006.156462', '512 15917.324682', '1024 10559.571067', '2048 11178.381885', '4096 11555.741232', '8192 12057.439203', '16384 11316.106642', '32768 12001.031918', '65536 11502.000512', '131072 11935.930275', '262144 11229.319810', '524288 11470.189127', '1048576 11628.819962', '2097152 11789.294154', '4194304 16541.639043', '8388608 15278.202842', '16777216 11612.854887', '33554432 8639.633424', '67108864 8314.453457', '134217728 8201.883744', '268435456 8129.789356', '536870912 8743.680442', '1073741824 8126.031447', '2147483648 8116.593413', '4294967296 8098.112103', '']",
1660109344-0,i-034ee27e1ead07f3f,m5d.large,53.565789461135864,1660109569.530633,1660109623.0964224, -w -m32 -e1 -x0 -d2,11011.726750,13583.673517,8112.618561,8308.938488,"['256 12262.916710', '512 11975.142012', '1024 11011.726750', '2048 11123.757088', '4096 13592.263543', '8192 11445.240234', '16384 13061.625739', '32768 11537.779507', '65536 11255.107964', '131072 11281.824777', '262144 13399.205040', '524288 11159.117846', '1048576 13583.673517', '2097152 11360.875480', '4194304 11224.524302', '8388608 11217.409684', '16777216 10546.820161', '33554432 8549.586332', '67108864 8340.907824', '134217728 8506.521505', '268435456 7979.763319', '536870912 7941.147133', '1073741824 8112.618561', '2147483648 8106.175120', '4294967296 8308.938488', '']",
1660109344-0,i-034ee27e1ead07f3f,m5d.large,53.76289677619934,1660109623.3408284,1660109677.1037252, -w -m32 -e1 -x0 -d2,10531.679077,16396.230133,8002.959845,8222.763660,"['256 11652.659291', '512 15023.138543', '1024 10531.679077', '2048 11058.919659', '4096 16130.610117', '8192 14574.019428', '16384 11975.089900', '32768 11454.409045', '65536 11837.358605', '131072 14619.830552', '262144 15541.660971', '524288 16315.616812', '1048576 16396.230133', '2097152 14712.476301', '4194304 15855.384969', '8388608 13726.828985', '16777216 12729.786786', '33554432 8320.808538', '67108864 7808.545279', '134217728 7795.714051', '268435456 7940.422339', '536870912 7962.293996', '1073741824 8002.959845', '2147483648 8074.920933', '4294967296 8222.763660', '']",
1660109344-0,i-034ee27e1ead07f3f,m5d.large,53.31785535812378,1660109677.4850285,1660109730.8028839, -w -m32 -e1 -x0 -d2,10707.634193,15319.048816,9663.695057,9735.625412,"['256 15059.321113', '512 13832.929004', '1024 10707.634193', '2048 10909.455074', '4096 11181.342427', '8192 11777.843182', '16384 12986.697416', '32768 11375.946862', '65536 12935.313934', '131072 13167.481044', '262144 11031.831434', '524288 11412.188537', '1048576 15319.048816', '2097152 18809.013458', '4194304 18693.876739', '8388608 18094.673186', '16777216 16270.727707', '33554432 11099.491641', '67108864 10046.202597', '134217728 9650.447660', '268435456 9524.712319', '536870912 9574.076104', '1073741824 9663.695057', '2147483648 9781.909874', '4294967296 9735.625412', '']",
1660109344-0,i-050ad58987c11436f,m5d.large,53.23592138290405,1660109462.1333528,1660109515.3692741, -w -m32 -e1 -x0 -d2,10873.162013,11810.249740,9169.900124,8179.328878,"['256 12330.670907', '512 15449.119138', '1024 10873.162013', '2048 11482.709117', '4096 13017.214576', '8192 11281.228177', '16384 11602.338145', '32768 12724.469568', '65536 11196.026472', '131072 11416.591140', '262144 11384.327662', '524288 11434.523016', '1048576 11810.249740', '2097152 11645.502505', '4194304 12004.147441', '8388608 11333.501323', '16777216 11634.762481', '33554432 9245.263536', '67108864 8346.811820', '134217728 8173.864581', '268435456 8131.692752', '536870912 8412.195961', '1073741824 9169.900124', '2147483648 8773.328689', '4294967296 8179.328878', '']",
1660109344-0,i-050ad58987c11436f,m5d.large,53.44119882583618,1660109515.6076977,1660109569.0488966, -w -m32 -e1 -x0 -d2,12953.939965,11506.106449,8038.024400,8106.220656,"['256 11245.676672', '512 15460.621300', '1024 12953.939965', '2048 11592.244257', '4096 16730.423123', '8192 13260.148093', '16384 11701.552498', '32768 11503.722082', '65536 11703.936408', '131072 12876.760532', '262144 11191.533339', '524288 12511.176354', '1048576 11506.106449', '2097152 11286.575757', '4194304 11421.114816', '8388608 13995.550881', '16777216 11006.060606', '33554432 9004.274164', '67108864 8723.175601', '134217728 8151.750258', '268435456 8133.248892', '536870912 8156.330225', '1073741824 8038.024400', '2147483648 8212.895019', '4294967296 8106.220656', '']",
1660109344-0,i-050ad58987c11436f,m5d.large,53.162081241607666,1660109569.2599506,1660109622.4220319, -w -m32 -e1 -x0 -d2,11369.669627,11589.597886,9031.207180,9129.714671,"['256 12476.208535', '512 13390.494849', '1024 11369.669627', '2048 13732.116008', '4096 11775.601096', '8192 11689.200679', '16384 12448.991492', '32768 11637.306462', '65536 17435.338801', '131072 14985.842445', '262144 19049.209291', '524288 15265.595975', '1048576 11589.597886', '2097152 11597.013336', '4194304 11561.148484', '8388608 13549.123270', '16777216 14037.302934', '33554432 11121.260104', '67108864 9527.668021', '134217728 9366.559496', '268435456 9282.889114', '536870912 9127.521883', '1073741824 9031.207180', '2147483648 9123.396648', '4294967296 9129.714671', '']",
