instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-0bd67ac8bc51bb7ed,1565151986,c3.large,60.4177188873291,10,10,1,TPC-B (sort of),simple,60 s,67309,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,60.22665095329285,10,10,1,TPC-B (sort of),simple,60 s,68750,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,61.1413049697876,10,10,1,TPC-B (sort of),simple,60 s,35687,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,65.25395631790161,10,10,1,TPC-B (sort of),simple,60 s,34789,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,65.2360053062439,10,10,1,TPC-B (sort of),simple,60 s,66391,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,65.29258131980896,10,10,1,TPC-B (sort of),simple,60 s,35921,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,65.27736735343933,10,10,1,TPC-B (sort of),simple,60 s,36002,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,65.28968262672424,10,10,1,TPC-B (sort of),simple,60 s,62493,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,65.32007813453674,10,10,1,TPC-B (sort of),simple,60 s,38600,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,70.30316090583801,10,10,1,TPC-B (sort of),simple,60 s,38324,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,70.32280707359314,10,10,1,TPC-B (sort of),simple,60 s,57449,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,70.33639621734619,10,10,1,TPC-B (sort of),simple,60 s,37049,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,70.30651497840881,10,10,1,TPC-B (sort of),simple,60 s,34062,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,65.29880666732788,10,10,1,TPC-B (sort of),simple,60 s,54863,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,70.36526083946228,10,10,1,TPC-B (sort of),simple,60 s,36259,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,70.3287091255188,10,10,1,TPC-B (sort of),simple,60 s,36861,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,70.4823899269104,10,10,1,TPC-B (sort of),simple,60 s,52382,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,65.38207387924194,10,10,1,TPC-B (sort of),simple,60 s,33352,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,65.32235956192017,10,10,1,TPC-B (sort of),simple,60 s,32904,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,65.27813601493835,10,10,1,TPC-B (sort of),simple,60 s,53226,data_directory = '/var/lib/postgresql/9.5/main'
i-0bd67ac8bc51bb7ed,1565151986,c3.large,60.22651124000549,10,10,1,TPC-B (sort of),simple,60 s,62238,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,60.308472633361816,10,10,1,TPC-B (sort of),simple,60 s,73046,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,60.219605445861816,10,10,1,TPC-B (sort of),simple,60 s,69152,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,60.906595945358276,10,10,1,TPC-B (sort of),simple,60 s,29267,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,65.3364679813385,10,10,1,TPC-B (sort of),simple,60 s,32131,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,65.28933620452881,10,10,1,TPC-B (sort of),simple,60 s,72676,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,67.46320581436157,10,10,1,TPC-B (sort of),simple,60 s,38069,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,66.26342701911926,10,10,1,TPC-B (sort of),simple,60 s,37107,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,65.33395743370056,10,10,1,TPC-B (sort of),simple,60 s,65528,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,70.33505415916443,10,10,1,TPC-B (sort of),simple,60 s,42897,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,71.29601407051086,10,10,1,TPC-B (sort of),simple,60 s,38045,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,65.3579752445221,10,10,1,TPC-B (sort of),simple,60 s,59157,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,65.3190507888794,10,10,1,TPC-B (sort of),simple,60 s,37684,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,65.27085494995117,10,10,1,TPC-B (sort of),simple,60 s,40778,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,70.32194232940674,10,10,1,TPC-B (sort of),simple,60 s,63717,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,70.35065984725952,10,10,1,TPC-B (sort of),simple,60 s,39450,data_directory = '/var/lib/postgresql/9.5/main'
i-0a030b06a0b57d86e,1565151986,c3.large,71.29074048995972,10,10,1,TPC-B (sort of),simple,60 s,39354,data_directory = '/var/lib/postgresql/9.5/main'
