instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-0b501f00acfb63f76,1565314123-10,c4.large,60.72079825401306,10,10,1,TPC-B (sort of),simple,60 s,52862,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-10,c4.large,60.210169076919556,10,10,1,TPC-B (sort of),simple,60 s,53047,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-10,c4.large,60.40277695655823,10,10,1,TPC-B (sort of),simple,60 s,52242,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-11,c4.large,60.316272020339966,10,10,1,TPC-B (sort of),simple,60 s,51597,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-11,c4.large,60.24797344207764,10,10,1,TPC-B (sort of),simple,60 s,52898,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-11,c4.large,60.916374921798706,10,10,1,TPC-B (sort of),simple,60 s,53405,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-12,c4.large,60.351004123687744,10,10,1,TPC-B (sort of),simple,60 s,53160,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-12,c4.large,60.30466866493225,10,10,1,TPC-B (sort of),simple,60 s,54180,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-12,c4.large,60.23403000831604,10,10,1,TPC-B (sort of),simple,60 s,53402,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-13,c4.large,60.32429552078247,10,10,1,TPC-B (sort of),simple,60 s,53257,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-13,c4.large,60.37502360343933,10,10,1,TPC-B (sort of),simple,60 s,54502,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-13,c4.large,60.832900524139404,10,10,1,TPC-B (sort of),simple,60 s,54320,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-14,c4.large,60.273805141448975,10,10,1,TPC-B (sort of),simple,60 s,54101,data_directory = '/var/lib/postgresql/9.5/main'
i-0b501f00acfb63f76,1565314123-14,c4.large,60.20002055168152,10,10,1,TPC-B (sort of),simple,60 s,54563,data_directory = '/var/lib/postgresql/9.5/main'
