instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-0ba00cb337103acaf,1565130069,z1d.large,0.236952543258667,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,0.12146401405334473,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,0.11155271530151367,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,0.2491168975830078,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,0.28501224517822266,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,0.12048840522766113,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,0.3041532039642334,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,0.14831805229187012,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,0.11950898170471191,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,0.3162534236907959,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,0.11322236061096191,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,0.1215505599975586,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,60.411701679229736,10,10,1,TPC-B (sort of),simple,60 s,27395,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,60.37163686752319,10,10,1,TPC-B (sort of),simple,60 s,27254,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,61.10303997993469,10,10,1,TPC-B (sort of),simple,60 s,14934,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,65.1823513507843,10,10,1,TPC-B (sort of),simple,60 s,14601,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,66.1183271408081,10,10,1,TPC-B (sort of),simple,60 s,27193,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565130069,z1d.large,65.35997748374939,10,10,1,TPC-B (sort of),simple,60 s,15224,data_directory = '/var/lib/postgresql/9.5/main'
