instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-0ba00cb337103acaf,1565134651,z1d.large,60.23927354812622,10,10,1,TPC-B (sort of),simple,60 s,27265,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565134651,z1d.large,60.25424265861511,10,10,1,TPC-B (sort of),simple,60 s,27116,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565134651,z1d.large,60.67854118347168,10,10,1,TPC-B (sort of),simple,60 s,14555,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565134651,z1d.large,65.18117165565491,10,10,1,TPC-B (sort of),simple,60 s,14563,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565134651,z1d.large,65.2174346446991,10,10,1,TPC-B (sort of),simple,60 s,26900,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565134651,z1d.large,65.35542893409729,10,10,1,TPC-B (sort of),simple,60 s,14744,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565134651,z1d.large,65.21016502380371,10,10,1,TPC-B (sort of),simple,60 s,15110,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565134651,z1d.large,65.33874702453613,10,10,1,TPC-B (sort of),simple,60 s,25958,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565134651,z1d.large,65.35095167160034,10,10,1,TPC-B (sort of),simple,60 s,14756,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565134651,z1d.large,65.22549557685852,10,10,1,TPC-B (sort of),simple,60 s,14707,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565134651,z1d.large,65.28494501113892,10,10,1,TPC-B (sort of),simple,60 s,24370,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba00cb337103acaf,1565134651,z1d.large,65.47031760215759,10,10,1,TPC-B (sort of),simple,60 s,16083,data_directory = '/var/lib/postgresql/9.5/main'
