experimentID,instanceID,instanceType,wallTime,testOption,Average Page Latency,Output
1652284508-0,i-0a396468a52ec84c9,m5d.large,67.93787932395935, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1427,"['Average: 0.1427', '']"
1652284508-1,i-0a396468a52ec84c9,m5d.large,67.40666484832764, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1421,"['Average: 0.1421', '']"
1652284508-2,i-0a396468a52ec84c9,m5d.large,68.04751801490784, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1418,"['Average: 0.1418', '']"
1652284508-3,i-0a396468a52ec84c9,m5d.large,67.36829495429993, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1427,"['Average: 0.1427', '']"
1652284508-4,i-0a396468a52ec84c9,m5d.large,67.44422674179077, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1418,"['Average: 0.1418', '']"
1652284508-5,i-0a396468a52ec84c9,m5d.large,67.43737053871155, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1413,"['Average: 0.1413', '']"
1652284508-6,i-0a396468a52ec84c9,m5d.large,67.37596893310547, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1416,"['Average: 0.1416', '']"
1652284508-7,i-0a396468a52ec84c9,m5d.large,67.40748453140259, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1414,"['Average: 0.1414', '']"
1652284508-8,i-0a396468a52ec84c9,m5d.large,67.40867877006531, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1426,"['Average: 0.1426', '']"
1652284508-9,i-0a396468a52ec84c9,m5d.large,67.36660027503967, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1408,"['Average: 0.1408', '']"
1652284508-10,i-0a396468a52ec84c9,m5d.large,67.40826153755188, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.14,"['Average: 0.14', '']"
1652284508-11,i-0a396468a52ec84c9,m5d.large,67.3768904209137, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1404,"['Average: 0.1404', '']"
1652284508-12,i-0a396468a52ec84c9,m5d.large,67.3871808052063, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1395,"['Average: 0.1395', '']"
1652284508-13,i-0a396468a52ec84c9,m5d.large,67.32584619522095, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1394,"['Average: 0.1394', '']"
1652284508-14,i-0a396468a52ec84c9,m5d.large,67.43773865699768, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1397,"['Average: 0.1397', '']"
1652284508-15,i-0a396468a52ec84c9,m5d.large,67.32915592193604, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1399,"['Average: 0.1399', '']"
1652284508-16,i-0a396468a52ec84c9,m5d.large,67.35264682769775, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.14,"['Average: 0.14', '']"
1652284508-0,i-0915409c920976e16,m5d.large,67.67428612709045, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1439,"['Average: 0.1439', '']"
1652284508-1,i-0915409c920976e16,m5d.large,67.33932399749756, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1433,"['Average: 0.1433', '']"
1652284508-2,i-0915409c920976e16,m5d.large,67.45949268341064, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1429,"['Average: 0.1429', '']"
1652284508-3,i-0915409c920976e16,m5d.large,67.4485182762146, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1433,"['Average: 0.1433', '']"
1652284508-4,i-0915409c920976e16,m5d.large,67.50171399116516, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1427,"['Average: 0.1427', '']"
1652284508-5,i-0915409c920976e16,m5d.large,67.41077065467834, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1426,"['Average: 0.1426', '']"
1652284508-6,i-0915409c920976e16,m5d.large,67.51868152618408, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1422,"['Average: 0.1422', '']"
1652284508-7,i-0915409c920976e16,m5d.large,67.5124249458313, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1426,"['Average: 0.1426', '']"
1652284508-8,i-0915409c920976e16,m5d.large,67.446692943573, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1427,"['Average: 0.1427', '']"
1652284508-9,i-0915409c920976e16,m5d.large,67.36432147026062, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1416,"['Average: 0.1416', '']"
1652284508-10,i-0915409c920976e16,m5d.large,67.41145992279053, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1413,"['Average: 0.1413', '']"
1652284508-11,i-0915409c920976e16,m5d.large,67.35277581214905, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1419,"['Average: 0.1419', '']"
1652284508-12,i-0915409c920976e16,m5d.large,67.28883767127991, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.141,"['Average: 0.141', '']"
1652284508-13,i-0915409c920976e16,m5d.large,67.33340454101562, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1408,"['Average: 0.1408', '']"
1652284508-14,i-0915409c920976e16,m5d.large,67.26102900505066, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1411,"['Average: 0.1411', '']"
1652284508-15,i-0915409c920976e16,m5d.large,67.36457777023315, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.141,"['Average: 0.141', '']"
1652284508-16,i-0915409c920976e16,m5d.large,67.39146327972412, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1405,"['Average: 0.1405', '']"
1652284508-17,i-0915409c920976e16,m5d.large,67.32072377204895, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1401,"['Average: 0.1401', '']"
1652284508-18,i-0915409c920976e16,m5d.large,67.31967306137085, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1397,"['Average: 0.1397', '']"
1652284508-19,i-0915409c920976e16,m5d.large,67.28708815574646, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1652284508-20,i-0915409c920976e16,m5d.large,67.29330778121948, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1407,"['Average: 0.1407', '']"
1652284508-21,i-0915409c920976e16,m5d.large,67.31191325187683, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1398,"['Average: 0.1398', '']"
1652284508-22,i-0915409c920976e16,m5d.large,67.2614529132843, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1398,"['Average: 0.1398', '']"
1652284508-23,i-0915409c920976e16,m5d.large,67.33019495010376, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1399,"['Average: 0.1399', '']"
1652284508-24,i-0915409c920976e16,m5d.large,67.27511262893677, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1395,"['Average: 0.1395', '']"
1652284508-25,i-0915409c920976e16,m5d.large,67.26855993270874, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.14,"['Average: 0.14', '']"
1652284508-26,i-0915409c920976e16,m5d.large,67.2511100769043, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1401,"['Average: 0.1401', '']"
1652284508-27,i-0915409c920976e16,m5d.large,67.24836325645447, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1387,"['Average: 0.1387', '']"
1652284508-28,i-0915409c920976e16,m5d.large,67.24287271499634, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1388,"['Average: 0.1388', '']"
1652284508-29,i-0915409c920976e16,m5d.large,67.30029940605164, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1392,"['Average: 0.1392', '']"
1652284508-30,i-0915409c920976e16,m5d.large,67.24105525016785, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1389,"['Average: 0.1389', '']"
1652284508-31,i-0915409c920976e16,m5d.large,67.23388266563416, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1391,"['Average: 0.1391', '']"
1652284508-32,i-0915409c920976e16,m5d.large,67.28018498420715, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1379,"['Average: 0.1379', '']"
1652284508-33,i-0915409c920976e16,m5d.large,67.26922273635864, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.137,"['Average: 0.137', '']"
1652284508-34,i-0915409c920976e16,m5d.large,67.25434184074402, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1373,"['Average: 0.1373', '']"
1652284508-0,i-0664f30edd7785714,m5d.large,67.7347252368927, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.144,"['Average: 0.144', '']"
1652284508-1,i-0664f30edd7785714,m5d.large,67.32458877563477, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1435,"['Average: 0.1435', '']"
1652284508-2,i-0664f30edd7785714,m5d.large,67.37380766868591, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1439,"['Average: 0.1439', '']"
1652284508-3,i-0664f30edd7785714,m5d.large,67.44754362106323, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1434,"['Average: 0.1434', '']"
1652284508-4,i-0664f30edd7785714,m5d.large,67.37664031982422, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1429,"['Average: 0.1429', '']"
1652284508-5,i-0664f30edd7785714,m5d.large,67.33867359161377, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1425,"['Average: 0.1425', '']"
1652284508-6,i-0664f30edd7785714,m5d.large,67.35261416435242, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1428,"['Average: 0.1428', '']"
1652284508-7,i-0664f30edd7785714,m5d.large,67.32357096672058, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1423,"['Average: 0.1423', '']"
1652284508-8,i-0664f30edd7785714,m5d.large,67.33130550384521, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1427,"['Average: 0.1427', '']"
1652284508-9,i-0664f30edd7785714,m5d.large,67.37180805206299, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1421,"['Average: 0.1421', '']"
1652284508-10,i-0664f30edd7785714,m5d.large,67.3604826927185, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1414,"['Average: 0.1414', '']"
1652284508-11,i-0664f30edd7785714,m5d.large,67.33076333999634, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1414,"['Average: 0.1414', '']"
1652284508-12,i-0664f30edd7785714,m5d.large,67.3152449131012, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1409,"['Average: 0.1409', '']"
1652284508-13,i-0664f30edd7785714,m5d.large,67.30939865112305, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1416,"['Average: 0.1416', '']"
1652284508-14,i-0664f30edd7785714,m5d.large,67.28706669807434, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1406,"['Average: 0.1406', '']"
1652284508-15,i-0664f30edd7785714,m5d.large,67.28739643096924, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.141,"['Average: 0.141', '']"
1652284508-16,i-0664f30edd7785714,m5d.large,67.30881333351135, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1412,"['Average: 0.1412', '']"
1652284508-17,i-0664f30edd7785714,m5d.large,67.28472971916199, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1405,"['Average: 0.1405', '']"
1652284508-18,i-0664f30edd7785714,m5d.large,67.30873107910156, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1406,"['Average: 0.1406', '']"
1652284508-19,i-0664f30edd7785714,m5d.large,67.24716925621033, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1403,"['Average: 0.1403', '']"
1652284508-20,i-0664f30edd7785714,m5d.large,67.30131697654724, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1401,"['Average: 0.1401', '']"
1652284508-21,i-0664f30edd7785714,m5d.large,67.25245809555054, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.14,"['Average: 0.14', '']"
1652284508-22,i-0664f30edd7785714,m5d.large,67.30209016799927, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.14,"['Average: 0.14', '']"
1652284508-23,i-0664f30edd7785714,m5d.large,67.2902512550354, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1402,"['Average: 0.1402', '']"
1652284508-24,i-0664f30edd7785714,m5d.large,67.31758117675781, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.14,"['Average: 0.14', '']"
1652284508-0,i-092f47f9f77d0ba3b,m5d.large,67.74568581581116, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.145,"['Average: 0.145', '']"
1652284508-1,i-092f47f9f77d0ba3b,m5d.large,67.38106179237366, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1439,"['Average: 0.1439', '']"
1652284508-2,i-092f47f9f77d0ba3b,m5d.large,67.3770523071289, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1441,"['Average: 0.1441', '']"
1652284508-3,i-092f47f9f77d0ba3b,m5d.large,67.40890264511108, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1434,"['Average: 0.1434', '']"
1652284508-4,i-092f47f9f77d0ba3b,m5d.large,67.41262769699097, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1436,"['Average: 0.1436', '']"
