experimentID,instanceID,instanceType,wallTime,testOption,Average Page Latency,Output
1649729006-0,i-0a459b8eb11e5b7cd,m5d.large,77.57023429870605, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1405,"['Average: 0.1405', '']"
1649729006-1,i-0a459b8eb11e5b7cd,m5d.large,69.62428021430969, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1423,"['Average: 0.1423', '']"
1649729006-2,i-0a459b8eb11e5b7cd,m5d.large,67.75997614860535, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1427,"['Average: 0.1427', '']"
1649729006-3,i-0a459b8eb11e5b7cd,m5d.large,68.05042839050293, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1427,"['Average: 0.1427', '']"
1649729006-4,i-0a459b8eb11e5b7cd,m5d.large,68.16477084159851, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1428,"['Average: 0.1428', '']"
1649729006-5,i-0a459b8eb11e5b7cd,m5d.large,68.13808178901672, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1433,"['Average: 0.1433', '']"
1649729006-6,i-0a459b8eb11e5b7cd,m5d.large,67.7985372543335, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1431,"['Average: 0.1431', '']"
1649729006-7,i-0a459b8eb11e5b7cd,m5d.large,67.98169779777527, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1425,"['Average: 0.1425', '']"
1649729006-8,i-0a459b8eb11e5b7cd,m5d.large,68.1557993888855, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1431,"['Average: 0.1431', '']"
1649729006-9,i-0a459b8eb11e5b7cd,m5d.large,68.16175627708435, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1426,"['Average: 0.1426', '']"
1649729006-10,i-0a459b8eb11e5b7cd,m5d.large,67.797203540802, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1412,"['Average: 0.1412', '']"
1649729006-11,i-0a459b8eb11e5b7cd,m5d.large,68.26235461235046, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1411,"['Average: 0.1411', '']"
1649729006-12,i-0a459b8eb11e5b7cd,m5d.large,68.33740043640137, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.141,"['Average: 0.141', '']"
1649729006-13,i-0a459b8eb11e5b7cd,m5d.large,69.14320969581604, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1418,"['Average: 0.1418', '']"
1649729006-14,i-0a459b8eb11e5b7cd,m5d.large,68.09831023216248, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1421,"['Average: 0.1421', '']"
1649729006-15,i-0a459b8eb11e5b7cd,m5d.large,68.2786226272583, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1418,"['Average: 0.1418', '']"
1649729006-16,i-0a459b8eb11e5b7cd,m5d.large,67.8792052268982, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh, 0.1409,"['Average: 0.1409', '']"
