experimentID,instanceID,instanceType,wallTime,testOption,Average Page Latency,Output
1650483656-0,i-07a62df039d5f265c,m5d.large,69.677145242691, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1425,"['Average: 0.1425', '']"
1650483656-0,i-0f97905b465e86a56,m5d.large,69.0540871620178, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1419,"['Average: 0.1419', '']"
1650483656-0,i-04e61629c443e59c6,m5d.large,70.5031585693359, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1433,"['Average: 0.1433', '']"
1650483656-0,i-0af3b3e6f84b7536c,m5d.large,69.4725391864777, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1429,"['Average: 0.1429', '']"
1650483656-0,i-02fec8afa2fe85edc,m5d.large,69.0980248451233, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1438,"['Average: 0.1438', '']"
1650483656-0,i-0ea3144eaccecccc0,m5d.large,69.5061802864075, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1427,"['Average: 0.1427', '']"
1650483656-0,i-05d3d1adb373d76cb,m5d.large,69.1922311782837, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1424,"['Average: 0.1424', '']"
1650483656-0,i-0a66a612117b29cd5,m5d.large,69.0687534809113, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1417,"['Average: 0.1417', '']"
1650483656-0,i-0869d8ecca103204d,m5d.large,70.3309977054596, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1428,"['Average: 0.1428', '']"
1650483656-0,i-02184a302e714a07f,m5d.large,69.3651020526886, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1423,"['Average: 0.1423', '']"
1650483656-0,i-04daa1c79b20aeb88,m5d.large,69.7198212146759, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1552,"['Average: 0.1552', '']"
1650483656-0,i-0041d67587b960099,m5d.large,68.9898324012756, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1423,"['Average: 0.1423', '']"
1650483656-0,i-0f0fc064a03d631dc,m5d.large,69.3555448055267, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1429,"['Average: 0.1429', '']"
1650483656-0,i-050ee720270ede9e6,m5d.large,69.0892944335937, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1435,"['Average: 0.1435', '']"
1650483656-0,i-0dacf7f439b13f77a,m5d.large,69.8945796489716, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1429,"['Average: 0.1429', '']"
1650483656-0,i-09588e173bd8b2dc8,m5d.large,69.7333974838257, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1435,"['Average: 0.1435', '']"
1650483656-0,i-09b922e8967f12f9e,m5d.large,69.1233506202698, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1424,"['Average: 0.1424', '']"
1650483656-0,i-09e7131ab93400d5e,m5d.large,69.2224650382996, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.143,"['Average: 0.143', '']"
1650483656-0,i-0496f669e3cb3db7b,m5d.large,69.355984210968, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1427,"['Average: 0.1427', '']"
1650483656-0,i-0939c3f2b0b8cb750,m5d.large,69.6396265029907, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1427,"['Average: 0.1427', '']"
1650483656-0,i-087576b310b6bef18,m5d.large,70.0135946273804, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1428,"['Average: 0.1428', '']"
1650483656-0,i-04a6071ba3e78ad2a,m5d.large,69.3879039287567, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.144,"['Average: 0.144', '']"
1650483656-0,i-0dfb3791c7640570e,m5d.large,69.2443857192993, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1433,"['Average: 0.1433', '']"
1650483656-0,i-0dfecc2b6c8080b92,m5d.large,69.2369470596313, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1429,"['Average: 0.1429', '']"
1650483656-0,i-01474e8c570cfb420,m5d.large,69.3618743419647, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1428,"['Average: 0.1428', '']"
1650483656-0,i-00043c82d89899fa3,m5d.large,70.0712170600891, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1424,"['Average: 0.1424', '']"
1650483656-0,i-03d880463f7f72875,m5d.large,69.5007691383362, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1427,"['Average: 0.1427', '']"
1650483656-0,i-02207a409326d2858,m5d.large,69.6101894378662, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1428,"['Average: 0.1428', '']"
1650483656-0,i-0ae71d11d67478728,m5d.large,68.828432559967, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1432,"['Average: 0.1432', '']"
1650483656-0,i-0cafacf9b44c34b12,m5d.large,69.4900925159454, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1425,"['Average: 0.1425', '']"
1650483656-0,i-07dc966aecf514c3d,m5d.large,69.1812725067139, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1432,"['Average: 0.1432', '']"
1650483656-0,i-05d768b15c245d666,m5d.large,69.3335208892822, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1431,"['Average: 0.1431', '']"
1650483656-0,i-0e0b3404a3c33c1cd,m5d.large,70.1091136932373, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1433,"['Average: 0.1433', '']"
1650483656-0,i-018ba9579a6c19fa5,m5d.large,70.065413236618, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1427,"['Average: 0.1427', '']"
1650483656-0,i-0e1d9eb61e713e154,m5d.large,69.1380140781403, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1433,"['Average: 0.1433', '']"
1650483656-0,i-0943a50cd58cf788b,m5d.large,69.6955008506775, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1484,"['Average: 0.1484', '']"
1650483656-0,i-0c6b10c3e5e9b65a4,m5d.large,69.5619008541107, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1434,"['Average: 0.1434', '']"
1650483656-0,i-0ba7b44085e893de2,m5d.large,69.4285976886749, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1432,"['Average: 0.1432', '']"
1650483656-0,i-0daa1f86beb826f9a,m5d.large,69.0651109218597, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1447,"['Average: 0.1447', '']"
1650483656-0,i-0eaadf3734b11d5fa,m5d.large,69.040472984314, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1438,"['Average: 0.1438', '']"
1650483656-0,i-04b374e1114d77c85,m5d.large,69.2441930770874, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1432,"['Average: 0.1432', '']"
1650483656-0,i-015f80f23d33acc2e,m5d.large,69.7723789215088, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1435,"['Average: 0.1435', '']"
1650483656-0,i-066b5cd55ca4a13b1,m5d.large,69.8849444389343, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1424,"['Average: 0.1424', '']"
1650483656-0,i-008376524567e2392,m5d.large,69.3367216587067, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.144,"['Average: 0.144', '']"
1650483656-0,i-015fcf3b9fbdf9148,m5d.large,70.2185451984406, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1438,"['Average: 0.1438', '']"
1650483656-0,i-055cc26f5949bc092,m5d.large,69.1197261810303, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.143,"['Average: 0.143', '']"
1650483656-0,i-0344fbc0bef54e3af,m5d.large,69.5898032188416, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.144,"['Average: 0.144', '']"
1650483656-0,i-0cdbb71381f9e8b9b,m5d.large,69.313111782074, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1439,"['Average: 0.1439', '']"
,,,,,0.143410416666667,
,,,,,,
,Single VM,,,,,
,,,,,,
1650481837-0,i-040cf9505a848cd34,m5d.large,67.9917614459991, /home/ubuntu/SCRIPT/scripts/remote/pmbenchw20r80.sh,0.1214,"['Average: 0.1214', '']"
