experimentID,instanceID,instanceType,wallTime,testOption,Average-Copy best rate,Average-Copy avg time,Average-Copy min time,Average-Copy max time,Average-Scale best rate,Average-Scale avg time,Average-Scale min time,Average-Scale max time,Average-Add best rate,Average-Add avg time,Average-Add min time,Average-Add max time,Average-Triad best rate,Average-Triad avg time,Average-Triad min time,Average-Triad max time,Output-Stream
1649089415-0,i-06a31816b3a3ce166,m5d.large,14.3784313201904, ./stream_parser2.sh,10251.1266666,0.016579,0.0156082,0.0192424,19737.5666666,0.0347398,0.0324744,0.0409862,32806.1533333,0.0540529,0.0508396,0.0634338,45338.1866666,0.0744768,0.0699907,0.0869175,"['Copy: 10215.8 0.019740 0.015662 0.026016 Copy: 10304.6 0.015647 0.015527 0.015745 Copy: 10286.0 0.017377 0.015555 0.021119 Copy: 10271.7 0.016177 0.015577 0.020198 Copy: 10256.3 0.016199 0.015600 0.017779 Copy: 10291.5 0.016515 0.015547 0.020122 Copy: 10236.7 0.015746 0.015630 0.016075 Copy: 10254.4 0.016786 0.015603 0.021033 Copy: 10203.6 0.015777 0.015681 0.015872 Copy: 10255.0 0.015690 0.015602 0.015810 Copy: 10233.4 0.015753 0.015635 0.015864 Copy: 10255.2 0.016798 0.015602 0.020910 Copy: 10221.8 0.016258 0.015653 0.020453 Copy: 10215.8 0.017491 0.015662 0.021239 Copy: 10265.1 0.016731 0.015587 0.020402', 'Copy_Average_Best_Rate:10251.1266666', 'Copy_Average_Avg_time:.0165790', 'Copy_Average_Min_time:.0156082', 'Copy_Average_Max_time:.0192424', 'Scale: 9444.0 0.021516 0.016942 0.032195 Scale: 9501.2 0.018526 0.016840 0.022175 Scale: 9511.4 0.016909 0.016822 0.016954 Scale: 9483.7 0.017888 0.016871 0.021335 Scale: 9497.2 0.018442 0.016847 0.021619 Scale: 9491.7 0.018127 0.016857 0.021227 Scale: 9489.4 0.018553 0.016861 0.022015 Scale: 9492.7 0.017499 0.016855 0.022050 Scale: 9468.1 0.018588 0.016899 0.021936 Scale: 9485.5 0.017910 0.016868 0.021225 Scale: 9501.2 0.018594 0.016840 0.022138 Scale: 9479.9 0.017471 0.016878 0.021256 Scale: 9475.3 0.017934 0.016886 0.021236 Scale: 9487.1 0.017071 0.016865 0.017642 Scale: 9488.2 0.017385 0.016863 0.021154', 'Scale_Average_Best_Rate:19737.5666666', 'Scale_Average_Avg_time:.0347398', 'Scale_Average_Min_time:.0324744', 'Scale_Average_Max_time:.0409862', 'Add: 13125.5 0.021123 0.018285 0.028291 Add: 13153.6 0.018366 0.018246 0.018491 Add: 13213.7 0.020042 0.018163 0.023755 Add: 13004.6 0.019063 0.018455 0.023042 Add: 13117.6 0.019265 0.018296 0.023775 Add: 13167.9 0.019107 0.018226 0.022742 Add: 13081.1 0.018470 0.018347 0.018827 Add: 13023.8 0.019063 0.018428 0.023384 Add: 12975.8 0.018711 0.018496 0.018991 Add: 13021.4 0.019533 0.018431 0.023204 Add: 12955.5 0.018696 0.018525 0.019205 Add: 13063.3 0.019403 0.018372 0.023118 Add: 13027.1 0.019076 0.018423 0.023218 Add: 13007.4 0.020205 0.018451 0.023540 Add: 13090.5 0.019573 0.018334 0.023131', 'Add_Average_Best_Rate:32806.1533333', 'Add_Average_Avg_time:.0540529', 'Add_Average_Min_time:.0508396', 'Add_Average_Max_time:.0634338', 'Triad: 12583.2 0.021094 0.019073 0.025323 Triad: 12592.5 0.020754 0.019059 0.024135 Triad: 12585.7 0.019234 0.019069 0.019673 Triad: 12522.2 0.020204 0.019166 0.023480 Triad: 12535.3 0.021359 0.019146 0.024232 Triad: 12535.3 0.020466 0.019146 0.024544 Triad: 12558.1 0.020798 0.019111 0.024277 Triad: 12475.9 0.020311 0.019237 0.023937 Triad: 12514.4 0.020955 0.019178 0.024451 Triad: 12515.6 0.020228 0.019176 0.023495 Triad: 12496.1 0.020979 0.019206 0.024425 Triad: 12512.4 0.020234 0.019181 0.023659 Triad: 12475.3 0.020232 0.019238 0.023527 Triad: 12530.1 0.019305 0.019154 0.019451 Triad: 12548.4 0.020205 0.019126 0.023646', 'Triad_Average_Best_Rate:45338.1866666', 'Triad_Average_Avg_time:.0744768', 'Triad_Average_Min_time:.0699907', 'Triad_Average_Max_time:.0869175', '']"
1649089415-0,i-003e5415310e1153d,m5d.large,14.3522121906281, ./stream_parser2.sh,10308.68,0.0168531,0.015521,0.0209348,19815.7066666,0.034444,0.0323507,0.042017,32975.62,0.0541274,0.0505884,0.0655929,45519.54,0.074173,0.0697214,0.0892938,"['Copy: 10296.1 0.018542 0.015540 0.024730 Copy: 10350.6 0.016077 0.015458 0.020138 Copy: 10273.5 0.016638 0.015574 0.020155 Copy: 10253.8 0.016687 0.015604 0.020405 Copy: 10287.4 0.017657 0.015553 0.020837 Copy: 10303.4 0.017366 0.015529 0.021458 Copy: 10315.9 0.016158 0.015510 0.020228 Copy: 10369.4 0.016651 0.015430 0.021069 Copy: 10318.7 0.016748 0.015506 0.020989 Copy: 10275.4 0.016156 0.015571 0.020314 Copy: 10309.2 0.017341 0.015520 0.021043 Copy: 10335.3 0.016078 0.015481 0.020148 Copy: 10334.0 0.016628 0.015483 0.020727 Copy: 10324.0 0.017239 0.015498 0.020658 Copy: 10283.5 0.016831 0.015559 0.021123', 'Copy_Average_Best_Rate:10308.6800000', 'Copy_Average_Avg_time:.0168531', 'Copy_Average_Min_time:.0155210', 'Copy_Average_Max_time:.0209348', 'Scale: 9521.6 0.018345 0.016804 0.025171 Scale: 9521.0 0.018360 0.016805 0.021626 Scale: 9495.6 0.017424 0.016850 0.021250 Scale: 9505.6 0.017391 0.016832 0.021294 Scale: 9487.2 0.017861 0.016865 0.022165 Scale: 9480.9 0.018086 0.016876 0.021929 Scale: 9504.7 0.017815 0.016834 0.021139 Scale: 9518.6 0.017355 0.016809 0.021014 Scale: 9507.9 0.017425 0.016828 0.021556 Scale: 9507.9 0.017904 0.016828 0.021413 Scale: 9516.4 0.016921 0.016813 0.017182 Scale: 9505.6 0.017330 0.016832 0.021042 Scale: 9525.1 0.017358 0.016798 0.021167 Scale: 9499.4 0.016946 0.016843 0.017283 Scale: 9507.9 0.017343 0.016828 0.021003', 'Scale_Average_Best_Rate:19815.7066666', 'Scale_Average_Avg_time:.0344440', 'Scale_Average_Min_time:.0323507', 'Scale_Average_Max_time:.0420170', 'Add: 13064.0 0.021677 0.018371 0.027670 Add: 13280.1 0.018886 0.018072 0.022758 Add: 13042.7 0.019542 0.018401 0.023030 Add: 13121.9 0.019503 0.018290 0.022990 Add: 13081.1 0.020147 0.018347 0.023426 Add: 13091.9 0.019733 0.018332 0.022970 Add: 13164.3 0.019341 0.018231 0.022969 Add: 13296.3 0.019347 0.018050 0.023602 Add: 13220.1 0.019525 0.018154 0.023752 Add: 13116.9 0.018981 0.018297 0.022806 Add: 13170.8 0.020192 0.018222 0.023919 Add: 13221.0 0.019442 0.018153 0.023676 Add: 13224.6 0.019309 0.018148 0.022868 Add: 13171.7 0.020128 0.018221 0.023822 Add: 13131.3 0.019497 0.018277 0.023380', 'Add_Average_Best_Rate:32975.6200000', 'Add_Average_Avg_time:.0541274', 'Add_Average_Min_time:.0505884', 'Add_Average_Max_time:.0655929', 'Triad: 12552.3 0.021829 0.019120 0.028886 Triad: 12611.8 0.020094 0.019030 0.023348 Triad: 12477.3 0.020989 0.019235 0.030147 Triad: 12537.9 0.019766 0.019142 0.023512 Triad: 12510.4 0.019777 0.019184 0.021904 Triad: 12543.7 0.020198 0.019133 0.024075 Triad: 12565.5 0.019680 0.019100 0.023415 Triad: 12584.6 0.019628 0.019071 0.023410 Triad: 12549.0 0.020156 0.019125 0.023465 Triad: 12511.1 0.020256 0.019183 0.023509 Triad: 12564.9 0.019308 0.019101 0.019522 Triad: 12575.4 0.020134 0.019085 0.023503 Triad: 12526.1 0.019769 0.019160 0.023459 Triad: 12529.3 0.019324 0.019155 0.019730 Triad: 12519.5 0.019776 0.019170 0.023629', 'Triad_Average_Best_Rate:45519.5400000', 'Triad_Average_Avg_time:.0741730', 'Triad_Average_Min_time:.0697214', 'Triad_Average_Max_time:.0892938', '']"
1649089415-0,i-09565efb383878d3f,m5d.large,14.573260307312, ./stream_parser2.sh,10189.72,0.0167935,0.0157022,0.0199769,19643.0466666,0.0347462,0.0326274,0.0410445,32532.1133333,0.0547946,0.0512481,0.0649692,44946.26,0.0752406,0.070581,0.0880621,"['Copy: 10200.2 0.018869 0.015686 0.024147 Copy: 10202.2 0.016291 0.015683 0.020327 Copy: 10198.1 0.016847 0.015689 0.020205 Copy: 10191.2 0.017474 0.015700 0.020725 Copy: 10182.7 0.016448 0.015713 0.020080 Copy: 10224.4 0.015753 0.015649 0.015863 Copy: 10188.4 0.015860 0.015704 0.016446 Copy: 10169.1 0.016783 0.015734 0.020286 Copy: 10210.6 0.017557 0.015670 0.021371 Copy: 10210.7 0.016288 0.015670 0.020396 Copy: 10161.9 0.016308 0.015745 0.020548 Copy: 10196.3 0.016336 0.015692 0.020540 Copy: 10158.2 0.017666 0.015751 0.021374 Copy: 10169.1 0.015842 0.015734 0.015935 Copy: 10182.7 0.017581 0.015713 0.021411', 'Copy_Average_Best_Rate:10189.7200000', 'Copy_Average_Avg_time:.0167935', 'Copy_Average_Min_time:.0157022', 'Copy_Average_Max_time:.0199769', 'Scale: 9429.5 0.020864 0.016968 0.031802 Scale: 9455.1 0.017524 0.016922 0.021249 Scale: 9459.5 0.017442 0.016914 0.021223 Scale: 9461.8 0.018747 0.016910 0.022171 Scale: 9472.0 0.018085 0.016892 0.021692 Scale: 9469.7 0.018638 0.016896 0.022031 Scale: 9462.9 0.017907 0.016908 0.021200 Scale: 9466.9 0.016965 0.016901 0.017018 Scale: 9452.9 0.017003 0.016926 0.017180 Scale: 9433.4 0.017970 0.016961 0.021427 Scale: 9452.4 0.017938 0.016927 0.021362 Scale: 9437.9 0.017517 0.016953 0.021352 Scale: 9450.1 0.017044 0.016931 0.017185 Scale: 9447.3 0.018678 0.016936 0.022102 Scale: 9448.5 0.016969 0.016934 0.017020', 'Scale_Average_Best_Rate:19643.0466666', 'Scale_Average_Avg_time:.0347462', 'Scale_Average_Min_time:.0326274', 'Scale_Average_Max_time:.0410445', 'Add: 12952.7 0.022918 0.018529 0.035627 Add: 12902.6 0.019885 0.018601 0.024080 Add: 12872.9 0.019305 0.018644 0.024060 Add: 12879.8 0.020707 0.018634 0.023864 Add: 12887.2 0.018756 0.018623 0.018889 Add: 12968.7 0.018682 0.018506 0.018813 Add: 12953.4 0.019819 0.018528 0.023869 Add: 12954.0 0.019849 0.018527 0.023881 Add: 12851.3 0.020684 0.018675 0.024619 Add: 12837.6 0.019941 0.018695 0.024060 Add: 12861.0 0.019961 0.018661 0.024207 Add: 12835.6 0.019892 0.018698 0.023988 Add: 12839.7 0.020829 0.018692 0.024984 Add: 12830.1 0.018845 0.018706 0.018977 Add: 12909.4 0.020652 0.018591 0.024952', 'Add_Average_Best_Rate:32532.1133333', 'Add_Average_Avg_time:.0547946', 'Add_Average_Min_time:.0512481', 'Add_Average_Max_time:.0649692', 'Triad: 12442.9 0.021025 0.019288 0.024422 Triad: 12392.8 0.020360 0.019366 0.023642 Triad: 12423.6 0.020319 0.019318 0.023541 Triad: 12458.5 0.022019 0.019264 0.023708 Triad: 12442.3 0.020863 0.019289 0.024232 Triad: 12475.3 0.020976 0.019238 0.024520 Triad: 12382.0 0.020440 0.019383 0.023779 Triad: 12436.5 0.020377 0.019298 0.023891 Triad: 12439.9 0.019483 0.019293 0.019837 Triad: 12389.0 0.020425 0.019372 0.023880 Triad: 12406.3 0.019921 0.019345 0.023548 Triad: 12351.5 0.020401 0.019431 0.023636 Triad: 12387.8 0.019496 0.019374 0.019587 Triad: 12365.4 0.021148 0.019409 0.024405 Triad: 12418.4 0.019437 0.019326 0.019766', 'Triad_Average_Best_Rate:44946.2600000', 'Triad_Average_Avg_time:.0752406', 'Triad_Average_Min_time:.0705810', 'Triad_Average_Max_time:.0880621', '']"
,,,,,10249.8422222,0.016741866666667,0.015610466666667,0.020051366666667,19732.1066666,0.034643333333333,0.032484166666667,0.041349233333333,32771.2955555333,0.054324966666667,0.050892033333333,0.0646653,45267.9955555333,0.074630133333333,0.0700977,0.088091133333333,
,,,,,,,,,,,,,,,,,,,,,
1649089415-1,i-06a31816b3a3ce166,m5d.large,14.3621938228607, ./stream_parser2.sh,10214.6866666,0.016641,0.0156638,0.0204026,19688.2066666,0.0345087,0.0325531,0.0417884,32693.6466666,0.0542364,0.0510074,0.0653891,45177.6666666,0.0744284,0.0702322,0.0883742,"['Copy: 10193.6 0.018015 0.015696 0.024842 Copy: 10230.9 0.015792 0.015639 0.016344 Copy: 10229.4 0.016310 0.015641 0.020812 Copy: 10224.2 0.017422 0.015649 0.020763 Copy: 10194.9 0.016255 0.015694 0.020258 Copy: 10128.6 0.016355 0.015797 0.020440 Copy: 10242.5 0.016206 0.015621 0.020221 Copy: 10221.1 0.016247 0.015654 0.020281 Copy: 10173.6 0.016891 0.015727 0.021224 Copy: 10187.9 0.017496 0.015705 0.021118 Copy: 10215.7 0.016356 0.015662 0.021198 Copy: 10278.1 0.017438 0.015567 0.021039 Copy: 10232.7 0.015753 0.015636 0.015915 Copy: 10207.4 0.016866 0.015675 0.021044 Copy: 10259.7 0.016213 0.015595 0.020540', 'Copy_Average_Best_Rate:10214.6866666', 'Copy_Average_Avg_time:.0166410', 'Copy_Average_Min_time:.0156638', 'Copy_Average_Max_time:.0204026', 'Scale: 9439.1 0.021421 0.016951 0.033508 Scale: 9486.6 0.017909 0.016866 0.021292 Scale: 9488.3 0.017918 0.016863 0.021310 Scale: 9487.8 0.016973 0.016864 0.017204 Scale: 9474.2 0.017464 0.016888 0.021616 Scale: 9438.9 0.018116 0.016951 0.022060 Scale: 9484.3 0.017923 0.016870 0.021224 Scale: 9476.9 0.017427 0.016883 0.021124 Scale: 9466.9 0.017512 0.016901 0.021404 Scale: 9454.6 0.017051 0.016923 0.017405 Scale: 9464.8 0.018065 0.016905 0.021356 Scale: 9484.3 0.016948 0.016870 0.017068 Scale: 9474.6 0.018538 0.016887 0.021973 Scale: 9494.9 0.017397 0.016851 0.021084 Scale: 9486.6 0.017354 0.016866 0.021159', 'Scale_Average_Best_Rate:19688.2066666', 'Scale_Average_Avg_time:.0345087', 'Scale_Average_Min_time:.0325531', 'Scale_Average_Max_time:.0417884', 'Add: 12980.8 0.021510 0.018489 0.029639 Add: 12999.7 0.019572 0.018462 0.023210 Add: 13045.7 0.019004 0.018397 0.022915 Add: 13052.6 0.020110 0.018387 0.024097 Add: 12982.8 0.019581 0.018486 0.023143 Add: 12918.6 0.019728 0.018578 0.023458 Add: 13058.4 0.019547 0.018379 0.023196 Add: 13048.4 0.019537 0.018393 0.023121 Add: 12915.8 0.019695 0.018582 0.023530 Add: 12917.1 0.020376 0.018580 0.024103 Add: 12948.5 0.019214 0.018535 0.023525 Add: 13142.8 0.020167 0.018261 0.023891 Add: 13013.0 0.018689 0.018443 0.019024 Add: 13050.6 0.019603 0.018390 0.024005 Add: 13006.8 0.019583 0.018452 0.023154', 'Add_Average_Best_Rate:32693.6466666', 'Add_Average_Avg_time:.0542364', 'Add_Average_Min_time:.0510074', 'Add_Average_Max_time:.0653891', 'Triad: 12507.9 0.022199 0.019188 0.025563 Triad: 12510.4 0.020268 0.019184 0.023578 Triad: 12464.3 0.020225 0.019255 0.023568 Triad: 12523.0 0.019300 0.019165 0.019422 Triad: 12447.4 0.020272 0.019281 0.023542 Triad: 12401.8 0.019972 0.019352 0.024191 Triad: 12481.2 0.020235 0.019229 0.023663 Triad: 12490.2 0.020206 0.019215 0.023488 Triad: 12446.2 0.019859 0.019283 0.023651 Triad: 12424.3 0.019434 0.019317 0.019618 Triad: 12465.0 0.020311 0.019254 0.023784 Triad: 12552.9 0.019307 0.019119 0.019445 Triad: 12489.6 0.020899 0.019216 0.024211 Triad: 12526.1 0.020196 0.019160 0.023534 Triad: 12530.0 0.020197 0.019154 0.023519', 'Triad_Average_Best_Rate:45177.6666666', 'Triad_Average_Avg_time:.0744284', 'Triad_Average_Min_time:.0702322', 'Triad_Average_Max_time:.0883742', '']"
1649089415-1,i-003e5415310e1153d,m5d.large,14.3228695392609, ./stream_parser2.sh,10232.84,0.0168027,0.015644,0.0205724,19722.6466666,0.0343492,0.0325048,0.0413066,32791.28,0.0540456,0.0508741,0.0645402,45266.7066666,0.0741206,0.0701178,0.0879373,"['Copy: 9396.4 0.019669 0.017028 0.028605 Copy: 10262.2 0.016693 0.015591 0.020289 Copy: 10278.9 0.017299 0.015566 0.020682 Copy: 10269.6 0.015665 0.015580 0.015822 Copy: 10289.5 0.016634 0.015550 0.020188 Copy: 10309.8 0.016656 0.015519 0.020293 Copy: 10254.4 0.016655 0.015603 0.020224 Copy: 10303.4 0.016618 0.015529 0.020311 Copy: 10330.6 0.016620 0.015488 0.020193 Copy: 10287.4 0.017331 0.015553 0.021254 Copy: 10288.7 0.016628 0.015551 0.020137 Copy: 10301.9 0.016710 0.015531 0.020152 Copy: 10278.7 0.016150 0.015566 0.020133 Copy: 10315.9 0.016091 0.015510 0.020207 Copy: 10325.2 0.016622 0.015496 0.020096', 'Copy_Average_Best_Rate:10232.8400000', 'Copy_Average_Avg_time:.0168027', 'Copy_Average_Min_time:.0156440', 'Copy_Average_Max_time:.0205724', 'Scale: 9292.2 0.018389 0.017219 0.024443 Scale: 9491.1 0.017911 0.016858 0.021258 Scale: 9513.1 0.016992 0.016819 0.017332 Scale: 9480.4 0.018579 0.016877 0.021942 Scale: 9526.1 0.017427 0.016796 0.021207 Scale: 9487.1 0.017410 0.016865 0.021200 Scale: 9499.0 0.017461 0.016844 0.021939 Scale: 9515.9 0.017352 0.016814 0.021147 Scale: 9510.2 0.017387 0.016824 0.021338 Scale: 9509.1 0.016905 0.016826 0.017019 Scale: 9494.5 0.017351 0.016852 0.020945 Scale: 9521.0 0.016870 0.016805 0.016931 Scale: 9498.9 0.017939 0.016844 0.021596 Scale: 9517.5 0.017868 0.016811 0.021693 Scale: 9491.0 0.017357 0.016858 0.021024', 'Scale_Average_Best_Rate:19722.6466666', 'Scale_Average_Avg_time:.0343492', 'Scale_Average_Min_time:.0325048', 'Scale_Average_Max_time:.0413066', 'Add: 12343.1 0.022493 0.019444 0.029548 Add: 12975.8 0.019057 0.018496 0.022996 Add: 13086.9 0.020175 0.018339 0.023782 Add: 13141.3 0.018511 0.018263 0.018926 Add: 13129.8 0.019485 0.018279 0.022950 Add: 13088.3 0.019492 0.018337 0.022947 Add: 13068.2 0.019527 0.018365 0.023014 Add: 13186.9 0.019860 0.018200 0.023027 Add: 13160.0 0.019368 0.018237 0.023050 Add: 13059.8 0.020017 0.018377 0.023613 Add: 13114.0 0.019419 0.018301 0.023045 Add: 13236.3 0.019787 0.018132 0.022817 Add: 13078.3 0.019496 0.018351 0.023020 Add: 13213.0 0.019310 0.018164 0.022820 Add: 13147.8 0.019449 0.018254 0.022948', 'Add_Average_Best_Rate:32791.2800000', 'Add_Average_Avg_time:.0540456', 'Add_Average_Min_time:.0508741', 'Add_Average_Max_time:.0645402', 'Triad: 11695.2 0.023504 0.020521 0.029997 Triad: 12459.7 0.019938 0.019262 0.023523 Triad: 12566.1 0.019294 0.019099 0.019431 Triad: 12481.8 0.020870 0.019228 0.024203 Triad: 12511.8 0.020204 0.019182 0.023456 Triad: 12532.0 0.019706 0.019151 0.023411 Triad: 12511.0 0.019753 0.019183 0.023674 Triad: 12569.4 0.019748 0.019094 0.023314 Triad: 12512.4 0.019750 0.019181 0.023385 Triad: 12514.9 0.019366 0.019177 0.019827 Triad: 12552.3 0.020178 0.019120 0.023343 Triad: 12614.3 0.019655 0.019026 0.023261 Triad: 12520.9 0.019730 0.019168 0.023442 Triad: 12557.0 0.019688 0.019113 0.023297 Triad: 12532.6 0.019741 0.019150 0.023393', 'Triad_Average_Best_Rate:45266.7066666', 'Triad_Average_Avg_time:.0741206', 'Triad_Average_Min_time:.0701178', 'Triad_Average_Max_time:.0879373', '']"
,,,,,10223.7633333,0.01672185,0.0156539,0.0204875,19705.4266666,0.03442895,0.03252895,0.0415475,32742.4633333,0.054141,0.05094075,0.06496465,45222.1866666,0.0742745,0.070175,0.08815575,
,,,,,,,,,,,,,,,,,,,,,
1649089415-2,i-003e5415310e1153d,m5d.large,14.2410111427307, ./stream_parser2.sh,10324.9466666,0.0164119,0.0154966,0.0193029,19837.76,0.0341887,0.032316,0.0402369,33084.0733333,0.0534329,0.0504349,0.0632209,45662.14,0.0736002,0.069516,0.0863758,"['Copy: 10298.8 0.017758 0.015536 0.026801 Copy: 10366.9 0.015579 0.015434 0.015654 Copy: 10344.7 0.017129 0.015467 0.020743 Copy: 10314.0 0.015599 0.015513 0.015716 Copy: 10347.4 0.015553 0.015463 0.015704 Copy: 10304.6 0.017361 0.015527 0.020975 Copy: 10362.7 0.017141 0.015440 0.020746 Copy: 10310.0 0.015590 0.015519 0.015642 Copy: 10352.0 0.016108 0.015456 0.020007 Copy: 10288.7 0.016078 0.015551 0.020083 Copy: 10328.6 0.017278 0.015491 0.021019 Copy: 10292.0 0.016702 0.015546 0.020211 Copy: 10327.9 0.015626 0.015492 0.015995 Copy: 10309.4 0.016089 0.015520 0.019974 Copy: 10326.5 0.016588 0.015494 0.020274', 'Copy_Average_Best_Rate:10324.9466666', 'Copy_Average_Avg_time:.0164119', 'Copy_Average_Min_time:.0154966', 'Copy_Average_Max_time:.0193029', 'Scale: 9510.2 0.019226 0.016824 0.027006 Scale: 9539.1 0.018429 0.016773 0.021772 Scale: 9517.6 0.017820 0.016811 0.025228 Scale: 9515.3 0.018402 0.016815 0.022051 Scale: 9521.6 0.017780 0.016804 0.020974 Scale: 9509.7 0.016979 0.016825 0.017395 Scale: 9511.4 0.016931 0.016822 0.017368 Scale: 9507.9 0.018514 0.016828 0.021924 Scale: 9513.1 0.017383 0.016819 0.021278 Scale: 9526.7 0.017788 0.016795 0.021011 Scale: 9505.8 0.016891 0.016832 0.017021 Scale: 9503.5 0.016891 0.016836 0.016952 Scale: 9535.1 0.018317 0.016780 0.021894 Scale: 9480.9 0.017881 0.016876 0.021099 Scale: 9494.3 0.017420 0.016852 0.021037', 'Scale_Average_Best_Rate:19837.7600000', 'Scale_Average_Avg_time:.0341887', 'Scale_Average_Min_time:.0323160', 'Scale_Average_Max_time:.0402369', 'Add: 13300.1 0.020335 0.018045 0.029734 Add: 13269.1 0.018264 0.018087 0.018688 Add: 13214.4 0.019872 0.018162 0.023832 Add: 13147.1 0.018838 0.018255 0.022800 Add: 13331.8 0.018750 0.018002 0.023059 Add: 13221.7 0.020053 0.018152 0.023622 Add: 13331.1 0.019735 0.018003 0.023493 Add: 13287.7 0.018254 0.018062 0.018395 Add: 13363.7 0.019360 0.017959 0.023239 Add: 13281.7 0.018820 0.018070 0.022906 Add: 13217.2 0.019993 0.018158 0.023568 Add: 13066.9 0.019898 0.018367 0.022960 Add: 13289.8 0.018690 0.018059 0.022700 Add: 13187.6 0.018880 0.018199 0.022904 Add: 13184.8 0.018921 0.018203 0.022860', 'Add_Average_Best_Rate:33084.0733333', 'Add_Average_Avg_time:.0534329', 'Add_Average_Min_time:.0504349', 'Add_Average_Max_time:.0632209', 'Triad: 12587.8 0.022675 0.019066 0.029400 Triad: 12656.3 0.020776 0.018963 0.024425 Triad: 12566.7 0.019195 0.019098 0.019410 Triad: 12535.3 0.020228 0.019146 0.023846 Triad: 12533.4 0.020608 0.019149 0.023441 Triad: 12548.4 0.019249 0.019126 0.019409 Triad: 12618.2 0.019142 0.019020 0.019264 Triad: 12575.4 0.020511 0.019085 0.023961 Triad: 12560.1 0.020128 0.019108 0.023477 Triad: 12591.3 0.020088 0.019061 0.023331 Triad: 12631.1 0.019734 0.019001 0.023426 Triad: 12539.8 0.019750 0.019139 0.023384 Triad: 12648.8 0.020106 0.018974 0.023815 Triad: 12557.5 0.020148 0.019112 0.023376 Triad: 12520.9 0.020172 0.019168 0.023359', 'Triad_Average_Best_Rate:45662.1400000', 'Triad_Average_Avg_time:.0736002', 'Triad_Average_Min_time:.0695160', 'Triad_Average_Max_time:.0863758', '']"
