"","instanceID","wallTime","clients","threads","duration","transactions","set","vmID"
"319","i-0a45db427c0bea9b1",60.3073346614838,10,10,"60 s",84322,1,16
"320","i-0a45db427c0bea9b1",60.2110772132874,10,10,"60 s",84167,1,16
"321","i-0a45db427c0bea9b1",60.1959867477417,10,10,"60 s",83924,1,16
"322","i-0a45db427c0bea9b1",60.1964735984802,10,10,"60 s",84424,2,16
"323","i-0a45db427c0bea9b1",60.1995904445648,10,10,"60 s",85081,2,16
"324","i-0a45db427c0bea9b1",60.2144393920898,10,10,"60 s",85192,2,16
"325","i-0a45db427c0bea9b1",60.201758146286,10,10,"60 s",84050,3,16
"326","i-0a45db427c0bea9b1",60.1976747512817,10,10,"60 s",84692,3,16
"327","i-0a45db427c0bea9b1",60.1997511386871,10,10,"60 s",84705,3,16
"328","i-0a45db427c0bea9b1",60.2044141292572,10,10,"60 s",84300,4,16
"329","i-0a45db427c0bea9b1",60.2297213077545,10,10,"60 s",84340,4,16
"330","i-0a45db427c0bea9b1",60.2100086212158,10,10,"60 s",83221,4,16
"331","i-0a45db427c0bea9b1",60.2294642925262,10,10,"60 s",82720,5,16
"332","i-0a45db427c0bea9b1",60.229786157608,10,10,"60 s",81640,5,16
"333","i-0a45db427c0bea9b1",60.231832742691,10,10,"60 s",83533,5,16
"334","i-0a45db427c0bea9b1",60.213315486908,10,10,"60 s",82285,6,16
"335","i-0a45db427c0bea9b1",60.2418203353882,10,10,"60 s",82621,6,16
"336","i-0a45db427c0bea9b1",60.2068817615509,10,10,"60 s",82972,6,16
"337","i-0a45db427c0bea9b1",60.1945822238922,10,10,"60 s",81532,7,16
"338","i-0a45db427c0bea9b1",60.21058344841,10,10,"60 s",80390,7,16
"339","i-0a45db427c0bea9b1",60.2397918701172,10,10,"60 s",81198,7,16
"340","i-0a45db427c0bea9b1",60.2997343540192,10,10,"60 s",79883,8,16
"341","i-0a45db427c0bea9b1",60.2219886779785,10,10,"60 s",79900,8,16
"342","i-0a45db427c0bea9b1",60.2171447277069,10,10,"60 s",79749,8,16
"343","i-0a45db427c0bea9b1",60.3212358951569,10,10,"60 s",79521,9,16
"344","i-0a45db427c0bea9b1",60.2495646476746,10,10,"60 s",79376,9,16
"345","i-0a45db427c0bea9b1",60.2345621585846,10,10,"60 s",79662,9,16
"346","i-0a45db427c0bea9b1",60.3189270496368,10,10,"60 s",77274,10,16
"347","i-0a45db427c0bea9b1",60.2372982501984,10,10,"60 s",77153,10,16
"348","i-0a45db427c0bea9b1",60.218624830246,10,10,"60 s",77548,10,16
"349","i-0a45db427c0bea9b1",60.2436304092407,10,10,"60 s",75185,11,16
"350","i-0a45db427c0bea9b1",60.2905116081238,10,10,"60 s",74543,11,16
"351","i-0a45db427c0bea9b1",60.2693197727203,10,10,"60 s",77760,11,16
"352","i-0a45db427c0bea9b1",60.3363702297211,10,10,"60 s",74762,12,16
"353","i-0a45db427c0bea9b1",60.2559833526611,10,10,"60 s",74937,12,16
"354","i-0a45db427c0bea9b1",60.2526881694794,10,10,"60 s",74977,12,16
"355","i-0a45db427c0bea9b1",60.2590088844299,10,10,"60 s",74959,13,16
"356","i-0a45db427c0bea9b1",60.2920253276825,10,10,"60 s",73246,13,16
"357","i-0a45db427c0bea9b1",60.2427201271057,10,10,"60 s",74388,13,16
"358","i-0a45db427c0bea9b1",60.3014986515045,10,10,"60 s",71451,14,16
"359","i-0a45db427c0bea9b1",60.2555179595947,10,10,"60 s",73618,14,16
"360","i-0a45db427c0bea9b1",60.2385010719299,10,10,"60 s",72174,14,16
"361","i-0a45db427c0bea9b1",60.3527944087982,10,10,"60 s",70738,15,16
"362","i-0a45db427c0bea9b1",60.2503600120544,10,10,"60 s",67918,15,16
"363","i-0a45db427c0bea9b1",60.2937445640564,10,10,"60 s",71172,15,16
"364","i-0a45db427c0bea9b1",60.3688280582428,10,10,"60 s",69447,16,16
"365","i-0a45db427c0bea9b1",60.2860200405121,10,10,"60 s",69639,16,16
"366","i-0a45db427c0bea9b1",60.2854001522064,10,10,"60 s",67401,16,16
"121","i-02a04f65f356b190f",60.2842483520508,10,10,"60 s",83975,2,15
"122","i-02a04f65f356b190f",60.1814706325531,10,10,"60 s",84618,2,15
"123","i-02a04f65f356b190f",60.203382730484,10,10,"60 s",84716,2,15
"124","i-02a04f65f356b190f",60.2621793746948,10,10,"60 s",83334,3,15
"125","i-02a04f65f356b190f",60.199244260788,10,10,"60 s",84068,3,15
"126","i-02a04f65f356b190f",60.1837885379791,10,10,"60 s",84171,3,15
