instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.25398803,10,10,1,TPC-B (sort of),simple,60 s,61588,61588,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.1577425,10,10,1,TPC-B (sort of),simple,60 s,61541,61541,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.1585331,10,10,1,TPC-B (sort of),simple,60 s,61198,61198,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15514946,10,10,1,TPC-B (sort of),simple,60 s,61019,61019,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15404892,10,10,1,TPC-B (sort of),simple,60 s,61943,61943,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.169842,10,10,1,TPC-B (sort of),simple,60 s,61823,61823,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15636134,10,10,1,TPC-B (sort of),simple,60 s,61280,61280,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.344208,10,10,1,TPC-B (sort of),simple,60 s,59139,59139,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.16967177,10,10,1,TPC-B (sort of),simple,60 s,59092,59092,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.23268414,10,10,1,TPC-B (sort of),simple,60 s,58591,58591,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.30816865,10,10,1,TPC-B (sort of),simple,60 s,60248,60248,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.15665913,10,10,1,TPC-B (sort of),simple,60 s,60570,60570,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.15441823,10,10,1,TPC-B (sort of),simple,60 s,60118,60118,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.23737597,10,10,1,TPC-B (sort of),simple,60 s,59343,59343,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.21839547,10,10,1,TPC-B (sort of),simple,60 s,59914,59914,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.24655366,10,10,1,TPC-B (sort of),simple,60 s,59259,59259,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.23336148,10,10,1,TPC-B (sort of),simple,60 s,59328,59328,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.32124567,10,10,1,TPC-B (sort of),simple,60 s,60833,60833,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.32615328,10,10,1,TPC-B (sort of),simple,60 s,54168,54168,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.2023468,10,10,1,TPC-B (sort of),simple,60 s,53283,53283,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.17978215,10,10,1,TPC-B (sort of),simple,60 s,51672,51672,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.1978035,10,10,1,TPC-B (sort of),simple,60 s,53539,53539,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.23935509,10,10,1,TPC-B (sort of),simple,60 s,54045,54045,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18667722,10,10,1,TPC-B (sort of),simple,60 s,55971,55971,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.17796206,10,10,1,TPC-B (sort of),simple,60 s,55868,55868,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.1858623,10,10,1,TPC-B (sort of),simple,60 s,55722,55722,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18663621,10,10,1,TPC-B (sort of),simple,60 s,55523,55523,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18174362,10,10,1,TPC-B (sort of),simple,60 s,55206,55206,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18808484,10,10,1,TPC-B (sort of),simple,60 s,55011,55011,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18317723,10,10,1,TPC-B (sort of),simple,60 s,55081,55081,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.26477766,10,10,1,TPC-B (sort of),simple,60 s,55329,55329,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18372059,10,10,1,TPC-B (sort of),simple,60 s,55645,55645,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.1838119,10,10,1,TPC-B (sort of),simple,60 s,55496,55496,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18459558,10,10,1,TPC-B (sort of),simple,60 s,55126,55126,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.38921714,10,10,1,TPC-B (sort of),simple,60 s,48848,48848,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.18784547,10,10,1,TPC-B (sort of),simple,60 s,49144,49144,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.19344974,10,10,1,TPC-B (sort of),simple,60 s,50101,50101,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.25784206,10,10,1,TPC-B (sort of),simple,60 s,52691,52691,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.19231009,10,10,1,TPC-B (sort of),simple,60 s,53298,53298,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.1844821,10,10,1,TPC-B (sort of),simple,60 s,52710,52710,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.23544407,10,10,1,TPC-B (sort of),simple,60 s,52622,52622,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.20247817,10,10,1,TPC-B (sort of),simple,60 s,51259,51259,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.22476339,10,10,1,TPC-B (sort of),simple,60 s,53649,53649,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.32253408,10,10,1,TPC-B (sort of),simple,60 s,54782,54782,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.19023967,10,10,1,TPC-B (sort of),simple,60 s,53675,53675,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.18904114,10,10,1,TPC-B (sort of),simple,60 s,54306,54306,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.27294564,10,10,1,TPC-B (sort of),simple,60 s,54379,54379,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.19278169,10,10,1,TPC-B (sort of),simple,60 s,53962,53962,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.21692061,10,10,1,TPC-B (sort of),simple,60 s,54905,54905,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.22494411,10,10,1,TPC-B (sort of),simple,60 s,53872,53872,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.18921399,10,10,1,TPC-B (sort of),simple,60 s,53937,53937,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.18853664,10,10,1,TPC-B (sort of),simple,60 s,54881,54881,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.20041943,10,10,1,TPC-B (sort of),simple,60 s,53986,53986,,
i-0ac7501019866fc6f,1531185246,c4.large,60.46113348,10,10,1,TPC-B (sort of),simple,60 s,63156,63156,,
