instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-09f84c1d045ef0a30,1526262844,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 01:59:02 2018,3.38 GiB,Push,197.13 %,98.57 %,7.274,7.425,7.932396650314331
i-09f84c1d045ef0a30,1526262844,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 01:59:10 2018,3.38 GiB,Push,196.94 %,98.47 %,7.276,7.475,7.839315176010132
i-09f84c1d045ef0a30,1526262844,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 01:59:18 2018,3.38 GiB,Push,196.62 %,98.31 %,7.288,7.485,7.848942279815674
i-09f84c1d045ef0a30,1526262844,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 01:59:25 2018,3.38 GiB,Push,197.05 %,98.53 %,7.262,7.459,7.823117017745972
i-09f84c1d045ef0a30,1526262844,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 01:59:33 2018,3.38 GiB,Push,196.76 %,98.38 %,7.283,7.478,7.842998743057251
i-018e243e743b351f8,1526262844,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 01:59:02 2018,3.38 GiB,Push,197.11 %,98.56 %,7.224,7.372,7.8888866901397705
i-018e243e743b351f8,1526262844,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 01:59:10 2018,3.38 GiB,Push,196.73 %,98.37 %,7.198,7.385,7.7470176219940186
i-018e243e743b351f8,1526262844,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 01:59:17 2018,3.38 GiB,Push,197.18 %,98.59 %,7.207,7.395,7.75747537612915
i-018e243e743b351f8,1526262844,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 01:59:25 2018,3.38 GiB,Push,196.96 %,98.48 %,7.220,7.408,7.771263599395752
i-018e243e743b351f8,1526262844,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 01:59:33 2018,3.38 GiB,Push,197.03 %,98.51 %,7.207,7.394,7.7561163902282715
