instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 09:50:28 2018,3.37 GiB,Push,199.12%,99.56%,105.239,106.089,106.4631636
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 09:55:59 2018,3.37 GiB,Push,199.03%,99.52%,105.24,106.093,106.4652877
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 09:57:45 2018,3.37 GiB,Push,199.01%,99.51%,105.215,109.011,109.3766243
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 09:59:35 2018,3.37 GiB,Push,199.04%,99.52%,105.2,108.996,109.3604174
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:01:24 2018,3.37 GiB,Push,199.10%,99.55%,105.273,109.073,109.4388201
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:03:14 2018,3.37 GiB,Push,199.10%,99.55%,105.303,109.105,109.4694417
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:05:03 2018,3.37 GiB,Push,199.15%,99.57%,105.239,109.038,109.4029737
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:06:53 2018,3.37 GiB,Push,199.10%,99.55%,105.295,109.099,109.4638159
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:08:42 2018,3.37 GiB,Push,199.13%,99.56%,105.273,109.075,109.4399538
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:10:32 2018,3.37 GiB,Push,199.12%,99.56%,105.24,109.041,109.406281
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:13:59 2018,3.37 GiB,Push,196.96%,98.48%,7.215,7.36,7.730210066
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:14:06 2018,3.37 GiB,Push,196.98%,98.49%,7.224,7.421,7.785392284
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:14:14 2018,3.37 GiB,Push,196.85%,98.42%,7.224,7.42,7.782122612
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:14:22 2018,3.37 GiB,Push,196.91%,98.45%,7.206,7.399,7.763150454
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:14:30 2018,3.37 GiB,Push,197.09%,98.55%,7.2,7.397,7.759999037
i-06458e86171f0f2e4,0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Sun May 13 10:14:38 2018,3.37 GiB,Push,197.01%,98.50%,7.203,7.399,7.760869026
