instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-09f84c1d045ef0a30,1526272499,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 04:39:01 2018,3.37 GiB,Push,196.98 %,98.49 %,7.275,7.425,7.794281244277954
i-09f84c1d045ef0a30,1526272499,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 04:39:09 2018,3.37 GiB,Push,196.97 %,98.48 %,7.275,7.471,7.835093021392822
i-09f84c1d045ef0a30,1526272499,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 04:39:17 2018,3.37 GiB,Push,197.14 %,98.57 %,7.259,7.456,7.818563222885132
i-09f84c1d045ef0a30,1526272499,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 04:39:25 2018,3.37 GiB,Push,196.33 %,98.16 %,7.258,7.452,7.815249681472778
i-09f84c1d045ef0a30,1526272499,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 04:39:33 2018,3.37 GiB,Push,196.73 %,98.37 %,7.259,7.456,7.820082664489746
i-09f84c1d045ef0a30,1526272499,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 04:39:41 2018,3.37 GiB,Push,196.52 %,98.26 %,7.261,7.460,7.823899507522583
i-09f84c1d045ef0a30,1526272499,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 04:39:49 2018,3.37 GiB,Push,196.84 %,98.42 %,7.270,7.466,7.82988166809082
i-09f84c1d045ef0a30,1526272499,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 04:39:57 2018,3.37 GiB,Push,197.12 %,98.56 %,7.290,7.488,7.851622581481934
i-09f84c1d045ef0a30,1526272499,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 04:40:05 2018,3.37 GiB,Push,197.19 %,98.60 %,7.247,7.443,7.806952238082886
i-09f84c1d045ef0a30,1526272499,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Mon May 14 04:40:13 2018,3.37 GiB,Push,197.29 %,98.64 %,7.263,7.463,7.826943397521973
