instanceID,experimentID,instanceType,processorInfo,sysTopology,osVersion,testStartTime,cpuUtilization,multiCoreEfficiency,computationTime,wallTime
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:49:02 2018,196.13%,98.06%,7.327,7.492
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:49:10 2018,196.26%,98.13%,7.353,7.616
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:49:18 2018,196.38%,98.19%,7.333,7.667
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:49:26 2018,196.71%,98.36%,7.351,7.69
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:49:34 2018,196.72%,98.36%,7.34,7.658
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:49:42 2018,196.59%,98.30%,7.325,7.681
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:49:50 2018,196.34%,98.17%,7.329,7.668
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:49:58 2018,196.43%,98.21%,7.331,7.584
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:50:06 2018,196.25%,98.13%,7.353,7.673
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:50:14 2018,193.82%,96.91%,7.383,7.75
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:50:23 2018,196.79%,98.39%,7.333,7.671
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:50:31 2018,196.55%,98.28%,7.352,7.676
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:50:39 2018,196.59%,98.30%,7.335,7.7
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:50:47 2018,196.01%,98.00%,7.347,7.758
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:50:55 2018,196.64%,98.32%,7.349,7.782
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:51:03 2018,196.85%,98.43%,7.34,7.635
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:51:12 2018,196.79%,98.39%,7.338,7.748
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:51:20 2018,196.63%,98.32%,7.328,7.741
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:51:28 2018,194.95%,97.47%,7.407,7.949
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:51:36 2018,196.51%,98.25%,7.328,7.687
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:51:44 2018,196.42%,98.21%,7.336,7.756
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:51:53 2018,196.29%,98.14%,7.321,7.923
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:52:01 2018,196.61%,98.31%,7.349,8.016
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:52:10 2018,196.00%,98.00%,7.321,7.815
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:52:18 2018,196.24%,98.12%,7.358,8.022
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:52:26 2018,196.89%,98.45%,7.324,7.904
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:52:35 2018,196.59%,98.30%,7.33,7.985
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:52:43 2018,196.89%,98.45%,7.354,7.672
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:52:51 2018,196.83%,98.41%,7.331,7.758
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:52:59 2018,194.55%,97.28%,7.381,7.962
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:53:08 2018,196.75%,98.38%,7.339,8.057
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:53:16 2018,196.15%,98.08%,7.316,7.812
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:53:25 2018,196.60%,98.30%,7.319,7.847
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:53:33 2018,196.65%,98.33%,7.333,7.861
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:53:41 2018,196.27%,98.13%,7.347,7.874
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:53:50 2018,196.58%,98.29%,7.325,7.675
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:53:58 2018,196.09%,98.04%,7.354,7.875
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:54:06 2018,197.05%,98.52%,7.318,7.961
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:54:14 2018,196.47%,98.24%,7.339,7.855
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:54:23 2018,196.87%,98.44%,7.35,7.633
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:54:31 2018,197.03%,98.51%,7.349,7.819
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:54:39 2018,196.50%,98.25%,7.328,7.816
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:54:47 2018,196.85%,98.42%,7.336,7.894
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:54:56 2018,196.60%,98.30%,7.325,7.58
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:55:04 2018,196.89%,98.44%,7.344,7.689
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:55:12 2018,196.29%,98.15%,7.336,7.813
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:55:20 2018,196.64%,98.32%,7.328,7.793
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:55:28 2018,197.00%,98.50%,7.32,7.574
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:55:36 2018,196.34%,98.17%,7.355,7.907
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:55:45 2018,194.78%,97.39%,7.383,7.804
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:55:53 2018,196.35%,98.18%,7.329,7.885
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:56:01 2018,196.88%,98.44%,7.375,7.632
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:56:09 2018,196.28%,98.14%,7.342,7.606
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:56:17 2018,195.54%,97.77%,7.349,7.879
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:56:26 2018,196.02%,98.01%,7.372,7.976
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:56:34 2018,196.21%,98.11%,7.329,7.806
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:56:42 2018,196.82%,98.41%,7.347,7.968
i-0335b0f604ed19944,1525751074,c4.large,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Tue May  8 03:56:51 2018,195.34%,97.67%,7.387,7.924
