instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-03c27a88117ed88d5,1526504441,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed May 16 21:05:02 2018,3.43 GiB,Push,196.86%,98.43%,7.487,7.659,8.373844862
i-03c27a88117ed88d5,1526504441,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed May 16 21:05:10 2018,3.42 GiB,Push,196.56%,98.28%,7.468,7.761,8.223227978
i-03c27a88117ed88d5,1526504441,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed May 16 21:05:19 2018,3.43 GiB,Push,196.10%,98.05%,7.486,7.751,8.230573893
i-03c27a88117ed88d5,1526504441,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed May 16 21:05:27 2018,3.43 GiB,Push,197.15%,98.57%,7.593,7.812,8.270480633
i-03c27a88117ed88d5,1526504441,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed May 16 21:05:36 2018,3.43 GiB,Push,196.73%,98.37%,7.559,7.775,8.241037846
i-03c27a88117ed88d5,1526504441,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed May 16 21:05:44 2018,3.43 GiB,Push,196.22%,98.11%,7.599,7.815,8.276346207
i-03c27a88117ed88d5,1526504441,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed May 16 21:05:53 2018,3.43 GiB,Push,195.85%,97.92%,7.526,7.749,8.209632397
i-03c27a88117ed88d5,1526504441,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed May 16 21:06:01 2018,3.43 GiB,Push,196.37%,98.18%,7.532,7.757,8.216651201
i-03c27a88117ed88d5,1526504441,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed May 16 21:06:10 2018,3.43 GiB,Push,196.45%,98.23%,7.513,7.728,8.190945148
i-03c27a88117ed88d5,1526504441,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed May 16 21:06:18 2018,3.43 GiB,Push,196.70%,98.35%,7.544,7.759,8.222612858
