instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-0a49db3d0359b5e64,1566364987-0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:25:02 2019,3.42 GiB,Push,197.03 %,98.52 %,7.242,7.453,7.97100567817688
i-0a49db3d0359b5e64,1566364987-1,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:26:01 2019,3.42 GiB,Push,197.06 %,98.53 %,7.252,7.459,7.897348403930664
i-04b0257b3ac0e819e,1566364987-0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:25:01 2019,3.42 GiB,Push,196.89 %,98.44 %,7.278,7.471,8.039257526397705
i-04b0257b3ac0e819e,1566364987-1,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:26:01 2019,3.42 GiB,Push,197.24 %,98.62 %,7.260,7.454,8.146420001983643
i-04b0257b3ac0e819e,1566364987-2,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:27:01 2019,3.42 GiB,Push,196.51 %,98.25 %,7.282,7.706,8.30529236793518
i-04b0257b3ac0e819e,1566364987-3,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:28:02 2019,3.42 GiB,Push,196.76 %,98.38 %,7.263,7.457,8.003495216369629
i-04b0257b3ac0e819e,1566364987-4,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:29:01 2019,3.42 GiB,Push,196.81 %,98.41 %,7.296,7.487,8.002941846847534
i-04b0257b3ac0e819e,1566364987-5,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:30:01 2019,3.42 GiB,Push,196.88 %,98.44 %,7.263,7.452,8.023401498794556
i-0ffc51ff8386ab58c,1566364987-0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:25:01 2019,3.41 GiB,Push,196.74 %,98.37 %,7.325,7.546,8.065707206726074
i-0ffc51ff8386ab58c,1566364987-1,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:26:01 2019,3.41 GiB,Push,197.07 %,98.53 %,7.317,7.533,8.034709930419922
i-0ffc51ff8386ab58c,1566364987-2,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:27:02 2019,3.41 GiB,Push,196.36 %,98.18 %,7.328,7.550,8.118837594985962
i-0ffc51ff8386ab58c,1566364987-3,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:28:01 2019,3.41 GiB,Push,196.32 %,98.16 %,7.330,7.545,8.063981771469116
i-0ffc51ff8386ab58c,1566364987-4,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:29:02 2019,3.41 GiB,Push,196.59 %,98.30 %,7.365,7.675,8.21627402305603
i-09558f2080c2420a3,1566364987-0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:25:01 2019,3.41 GiB,Push,196.60 %,98.30 %,7.223,7.435,8.01636028289795
i-09558f2080c2420a3,1566364987-1,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:26:02 2019,3.41 GiB,Push,196.85 %,98.42 %,7.219,7.424,7.9306886196136475
i-09558f2080c2420a3,1566364987-2,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:27:01 2019,3.41 GiB,Push,196.47 %,98.24 %,7.233,7.438,7.93837571144104
i-050a6f3892b26fe67,1566364987-0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:25:01 2019,3.41 GiB,Push,196.71 %,98.36 %,7.239,7.670,8.250210285186768
i-07c64d2d744e3f1d7,1566364987-0,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:25:01 2019,3.41 GiB,Push,196.98 %,98.49 %,7.209,7.414,7.936864137649536
i-07c64d2d744e3f1d7,1566364987-1,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:26:02 2019,3.41 GiB,Push,196.80 %,98.40 %,7.221,7.426,7.988341808319092
i-07c64d2d744e3f1d7,1566364987-2,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:27:01 2019,3.41 GiB,Push,196.92 %,98.46 %,7.221,7.422,7.963912487030029
i-07c64d2d744e3f1d7,1566364987-3,c4.large,3.67 GiB,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/13-HSW ~ Airi),Wed Aug 21 05:28:01 2019,3.41 GiB,Push,195.81 %,97.90 %,7.211,7.406,7.8487067222595215
