instanceID,experimentID,instanceType,memoryInfo,processorInfo,sysTopology,osVersion,testStartTime,availableMemory,isMultiThread,cpuUtilization,multiCoreEfficiency,computationTime,benchmarkTime,wallTime
i-0861e5be8c16b1f70,1565740139-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:01 2019,7.09 GiB,Push,196.25 %,98.13 %,5.809,5.992,6.474123239517212
i-0861e5be8c16b1f70,1565740139-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:08 2019,7.08 GiB,Push,195.75 %,97.87 %,5.793,6.015,6.445051908493042
i-0861e5be8c16b1f70,1565740139-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:15 2019,7.09 GiB,Push,196.45 %,98.23 %,5.778,6.005,6.442929744720459
i-0861e5be8c16b1f70,1565740139-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:21 2019,7.09 GiB,Push,196.10 %,98.05 %,5.737,5.971,6.404096841812134
i-0861e5be8c16b1f70,1565740139-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:28 2019,7.09 GiB,Push,194.91 %,97.46 %,5.761,5.984,6.4206249713897705
i-0861e5be8c16b1f70,1565740139-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:35 2019,7.09 GiB,Push,195.72 %,97.86 %,5.733,5.956,6.398143768310547
i-0861e5be8c16b1f70,1565740139-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:41 2019,7.09 GiB,Push,195.70 %,97.85 %,5.703,5.932,6.366939306259155
i-0861e5be8c16b1f70,1565740139-0,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:51:48 2019,7.09 GiB,Push,196.26 %,98.13 %,5.722,6.062,6.501551389694214
i-0861e5be8c16b1f70,1565740139-1,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:52:02 2019,7.09 GiB,Push,195.71 %,97.85 %,5.840,6.059,6.487557411193848
i-0861e5be8c16b1f70,1565740139-1,m5d.large,7.51 GiB,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2 threads / 1 core / 1 socket / 1 NUMA node,0.7.5.9480 (Linux/17-SKX ~ Kotori),Tue Aug 13 23:52:08 2019,7.09 GiB,Push,195.67 %,97.84 %,5.841,6.072,6.518049001693726
