instanceID,instanceType,experimentID,interval,bandwidthUpload,bandwitdhDownload,setId,vmId,cmd
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,582 Mbits/sec,577 Mbits/sec,1,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,581 Mbits/sec,577 Mbits/sec,1,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,558 Mbits/sec,628 Mbits/sec,1,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,576 Mbits/sec,625 Mbits/sec,1,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,571 Mbits/sec,585 Mbits/sec,1,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,583 Mbits/sec,584 Mbits/sec,1,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,582 Mbits/sec,579 Mbits/sec,1,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,579 Mbits/sec,579 Mbits/sec,1,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,572 Mbits/sec,580 Mbits/sec,1,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,580 Mbits/sec,578 Mbits/sec,1,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,562 Mbits/sec,614 Mbits/sec,1,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,601 Mbits/sec,605 Mbits/sec,2,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,566 Mbits/sec,583 Mbits/sec,2,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,590 Mbits/sec,580 Mbits/sec,2,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,570 Mbits/sec,628 Mbits/sec,2,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,620 Mbits/sec,594 Mbits/sec,2,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,584 Mbits/sec,571 Mbits/sec,2,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,580 Mbits/sec,578 Mbits/sec,2,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,579 Mbits/sec,579 Mbits/sec,2,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,581 Mbits/sec,579 Mbits/sec,2,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,579 Mbits/sec,579 Mbits/sec,2,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,581 Mbits/sec,578 Mbits/sec,2,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,554 Mbits/sec,631 Mbits/sec,3,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,600 Mbits/sec,580 Mbits/sec,3,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,564 Mbits/sec,569 Mbits/sec,3,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,565 Mbits/sec,586 Mbits/sec,3,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,596 Mbits/sec,551 Mbits/sec,3,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,611 Mbits/sec,582 Mbits/sec,3,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,595 Mbits/sec,617 Mbits/sec,3,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,608 Mbits/sec,601 Mbits/sec,3,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,579 Mbits/sec,602 Mbits/sec,3,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,573 Mbits/sec,618 Mbits/sec,3,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,590 Mbits/sec,553 Mbits/sec,3,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
i-0b48f4ebf89e2defd,c4.large,1540409970,15.0 sec,611 Mbits/sec,597 Mbits/sec,4,1,iperf -c 34.201.166.149 --dualtest --window 416k --time 15 
