"iperf","setId","vmId"
1158,1,1
1186,1,1
1201,1,1
1156,1,1
1167,1,1
1161,1,1
1158,1,1
1152,1,1
1158,1,1
1176,1,1
1149,2,1
1170,2,1
1198,2,1
1214,2,1
1155,2,1
1158,2,1
1158,2,1
1160,2,1
1158,2,1
1159,2,1
1180,3,1
1133,3,1
1151,3,1
1147,3,1
1193,3,1
1212,3,1
1209,3,1
1181,3,1
1191,3,1
1143,3,1
1209,4,1
1219,4,1
1159,4,1
1168,4,1
1186,4,1
1164,4,1
1149,4,1
1175,4,1
1180,4,1
1150,4,1
1222,5,1
1204,5,1
1197,5,1
1210,5,1
1192,5,1
1175,5,1
1190,5,1
1170,5,1
1167,5,1
1181,5,1
1185,6,1
1219,6,1
1205,6,1
1191,6,1
1193,6,1
1185,6,1
1164,6,1
1124,6,1
1217,6,1
1189,6,1
1038,7,1
1036,7,1
993,7,1
1211,7,1
1214,7,1
1208,7,1
1183,7,1
1174,7,1
1199,7,1
1185,7,1
1047,8,1
1199,8,1
1183,8,1
1238,8,1
1202,8,1
1182,8,1
899,8,1
973,8,1
1215,8,1
1201,8,1
1246,9,1
1025,9,1
1050,9,1
913,9,1
886,9,1
1227,9,1
1206,9,1
1202,9,1
1186,9,1
942,9,1
888,10,1
908,10,1
1176,10,1
1233,10,1
1134,10,1
984,10,1
892,10,1
830,10,1
754,10,1
878,10,1
711,11,1
807,11,1
819,11,1
703,11,1
803,11,1
769,11,1
878,11,1
1075,11,1
849,11,1
831,11,1
1044,12,1
1119,12,1
916,12,1
403,12,1
1095,12,1
994,12,1
1026,12,1
1031,12,1
862,12,1
1187,12,1
623,13,1
1038,13,1
938,13,1
953,13,1
941,13,1
955,13,1
672,13,1
677,13,1
601,13,1
431,13,1
1078,14,1
881,14,1
924,14,1
931,14,1
916,14,1
955,14,1
818,14,1
805,14,1
965,14,1
660,14,1
575,15,1
371,15,1
653,15,1
936,15,1
716,15,1
474.8,15,1
524,15,1
367,15,1
605,15,1
601,15,1
697,16,1
665,16,1
516,16,1
460.6,16,1
606,16,1
641,16,1
883,16,1
753,16,1
758,16,1
577,16,1
1216,9,9
1002,9,9
972,9,9
1201,9,9
1185,9,9
1224,9,9
1132,9,9
1184,9,9
1219,9,9
1163,9,9
1208,10,9
720,10,9
1203,10,9
1043,10,9
1204,10,9
1119,10,9
1217,10,9
1155,10,9
1088,10,9
943,10,9
711,11,9
949,11,9
881,11,9
874,11,9
900,11,9
876,11,9
896,11,9
966,11,9
1189,11,9
1159,11,9
1102,12,9
794,12,9
930,12,9
924,12,9
642,12,9
590,12,9
654,12,9
731,12,9
1152,12,9
1096,12,9
609,13,9
626,13,9
537,13,9
699,13,9
765,13,9
1011,13,9
840,13,9
750,13,9
617,13,9
657,13,9
706,14,9
893,14,9
683,14,9
974,14,9
908,14,9
1061,14,9
886,14,9
851,14,9
939,14,9
551,14,9
908,15,9
974,15,9
916,15,9
807,15,9
782,15,9
548,15,9
590,15,9
916,15,9
917,15,9
595,15,9
614,16,9
694,16,9
657,16,9
614,16,9
771,16,9
772,16,9
815,16,9
772,16,9
734,16,9
602,16,9
1048,12,12
1168,12,12
938,12,12
788,12,12
645,12,12
608,12,12
1111,12,12
1063,12,12
1020,12,12
1177,12,12
628,13,12
586,13,12
605,13,12
965,13,12
902,13,12
931,13,12
660,13,12
774,13,12
621,13,12
429,13,12
829,14,12
885,14,12
999,14,12
930,14,12
897,14,12
934,14,12
808,14,12
822,14,12
945,14,12
883,14,12
809,15,12
830,15,12
829,15,12
782,15,12
1017,15,12
815,15,12
807,15,12
807,15,12
836,15,12
840,15,12
1002,16,12
1017,16,12
855,16,12
836,16,12
808,16,12
846,16,12
752,16,12
760,16,12
887,16,12
1030,16,12
744,14,14
698,14,14
711,14,14
959,14,14
898,14,14
663,14,14
623,14,14
510,14,14
319,14,14
390,14,14
826,15,14
842,15,14
869,15,14
846,15,14
916,15,14
898,15,14
818,15,14
744,15,14
668,15,14
717,15,14
614,16,14
545,16,14
565,16,14
723,16,14
739,16,14
786,16,14
1007,16,14
669,16,14
912,16,14
504,16,14
1080,11,11
1124,11,11
1122,11,11
1049,11,11
1138,11,11
1106,11,11
1115,11,11
961,11,11
1121,11,11
1144,11,11
794,12,11
1014,12,11
958,12,11
1148,12,11
633,12,11
583,12,11
688,12,11
657,12,11
798,12,11
976,12,11
1018,13,11
613,13,11
627,13,11
708,13,11
965,13,11
931,13,11
1104,13,11
1104,13,11
994,13,11
658,13,11
1005,14,11
892,14,11
825,14,11
985,14,11
946,14,11
550,14,11
955,14,11
888,14,11
985,14,11
951,14,11
596,15,11
406,15,11
486,15,11
730,15,11
721,15,11
561,15,11
584,15,11
605,15,11
642,15,11
643,15,11
744,16,11
787,16,11
786,16,11
811,16,11
703,16,11
927,16,11
933,16,11
859,16,11
741,16,11
817,16,11
1158,3,3
1158,3,3
1161,3,3
1158,3,3
1160,3,3
1188,3,3
1110,3,3
1160,3,3
1159,3,3
1161,3,3
1158,4,3
1159,4,3
1164,4,3
1166,4,3
1170,4,3
1173,4,3
1173,4,3
1160,4,3
1159,4,3
1161,4,3
1172,5,3
1171,5,3
1172,5,3
1172,5,3
1193,5,3
1249,5,3
1225,5,3
1167,5,3
1167,5,3
1164,5,3
1225,6,3
1206,6,3
1230,6,3
1166,6,3
1179,6,3
1179,6,3
1171,6,3
1184,6,3
1157,6,3
1103,6,3
1237,7,3
1042,7,3
1026,7,3
1154,7,3
1168,7,3
1121,7,3
1098,7,3
990,7,3
1079,7,3
1083,7,3
588,8,3
911,8,3
921,8,3
1243,8,3
1005,8,3
938,8,3
977,8,3
985,8,3
903,8,3
893,8,3
896,9,3
1127,9,3
1088,9,3
910,9,3
836,9,3
912,9,3
987,9,3
910,9,3
975,9,3
1204,9,3
1199,10,3
938,10,3
975,10,3
926,10,3
751,10,3
901,10,3
569,10,3
878,10,3
1245,10,3
918,10,3
947,11,3
880,11,3
824,11,3
764,11,3
812,11,3
1211,11,3
1062,11,3
929,11,3
931,11,3
917,11,3
696,12,3
740,12,3
1018,12,3
913,12,3
917,12,3
896,12,3
672.8,12,3
235.4,12,3
713,12,3
630,12,3
841,13,3
1005,13,3
742,13,3
744,13,3
637,13,3
966,13,3
928,13,3
952,13,3
796,13,3
888,13,3
756,14,3
733,14,3
695,14,3
571,14,3
930,14,3
886,14,3
814,14,3
814,14,3
605,14,3
436,14,3
837,15,3
580,15,3
765,15,3
863,15,3
819,15,3
886,15,3
867,15,3
845,15,3
868,15,3
694,15,3
893,16,3
869,16,3
703,16,3
847,16,3
740,16,3
786,16,3
662,16,3
672,16,3
666,16,3
638,16,3
813,13,13
791,13,13
842,13,13
860,13,13
897,13,13
936,13,13
676,13,13
409,13,13
872,13,13
841,13,13
736,14,13
926,14,13
816,14,13
925,14,13
865,14,13
592,14,13
814,14,13
792,14,13
993,14,13
918,14,13
974,15,13
950,15,13
946,15,13
853,15,13
714,15,13
567,15,13
875,15,13
804,15,13
1032,15,13
1016,15,13
744.6,16,13
579,16,13
593,16,13
621,16,13
614,16,13
554,16,13
376,16,13
749,16,13
672,16,13
576,16,13
821,15,15
896,15,15
929,15,15
815,15,15
794,15,15
848,15,15
615,15,15
822,15,15
550,15,15
959,15,15
637,16,15
563,16,15
654,16,15
805,16,15
775,16,15
794,16,15
673,16,15
693,16,15
626,16,15
596,16,15
1157,2,2
1160,2,2
1160,2,2
1158,2,2
1159,2,2
1160,2,2
1159,2,2
1158,2,2
1157,2,2
1160,2,2
1158,3,2
1158,3,2
1183,3,2
1085,3,2
1035,3,2
1193,3,2
1210,3,2
1141,3,2
1159,3,2
1160,3,2
1163,4,2
1162,4,2
1163,4,2
1218,4,2
1222,4,2
1199,4,2
1181,4,2
1154,4,2
1159,4,2
1159,4,2
1161,5,2
1178,5,2
1169,5,2
1180,5,2
1190,5,2
1205,5,2
1187,5,2
1163,5,2
1168,5,2
1176,5,2
1223,6,2
1215,6,2
1213,6,2
1189,6,2
1199,6,2
1199,6,2
1184,6,2
1182,6,2
1186,6,2
1129,6,2
1203,7,2
1192,7,2
1184,7,2
1213,7,2
1163,7,2
1234,7,2
986,7,2
1045,7,2
922,7,2
1032,7,2
895,8,2
1027,8,2
1136,8,2
