"pgbench","setId","vmId"
84322,1,1
84167,1,1
83924,1,1
84424,2,1
85081,2,1
85192,2,1
84050,3,1
84692,3,1
84705,3,1
84300,4,1
84340,4,1
83221,4,1
82720,5,1
81640,5,1
83533,5,1
82285,6,1
82621,6,1
82972,6,1
81532,7,1
80390,7,1
81198,7,1
79883,8,1
79900,8,1
79749,8,1
79521,9,1
79376,9,1
79662,9,1
77274,10,1
77153,10,1
77548,10,1
75185,11,1
74543,11,1
77760,11,1
74762,12,1
74937,12,1
74977,12,1
74959,13,1
73246,13,1
74388,13,1
71451,14,1
73618,14,1
72174,14,1
70738,15,1
67918,15,1
71172,15,1
69447,16,1
69639,16,1
67401,16,1
83975,2,2
84618,2,2
84716,2,2
83334,3,2
84068,3,2
84171,3,2
83448,4,2
83448,4,2
82504,4,2
82100,5,2
80947,5,2
82737,5,2
81263,6,2
81735,6,2
82175,6,2
80522,7,2
79456,7,2
80543,7,2
78850,8,2
78917,8,2
79066,8,2
78709,9,2
78572,9,2
78706,9,2
76310,10,2
76181,10,2
76665,10,2
74533,11,2
73766,11,2
76977,11,2
74142,12,2
74254,12,2
74320,12,2
74235,13,2
72824,13,2
73722,13,2
70774,14,2
72868,14,2
71839,14,2
70289,15,2
67339,15,2
70587,15,2
68872,16,2
69171,16,2
66946,16,2
81150,3,3
81654,3,3
81796,3,3
81422,4,3
81033,4,3
80778,4,3
81552,5,3
80953,5,3
82061,5,3
81844,6,3
81820,6,3
83197,6,3
82103,7,3
82273,7,3
82508,7,3
82474,8,3
82052,8,3
82406,8,3
81529,9,3
81406,9,3
82143,9,3
82399,10,3
81836,10,3
80670,10,3
80363,11,3
80347,11,3
80403,11,3
80145,12,3
79782,12,3
80192,12,3
76911,13,3
76729,13,3
77932,13,3
75013,14,3
72133,14,3
74686,14,3
75371,15,3
74448,15,3
74787,15,3
72337,16,3
72907,16,3
72302,16,3
83313,4,4
83404,4,4
82330,4,4
82144,5,4
80963,5,4
82878,5,4
81947,6,4
82293,6,4
82803,6,4
81091,7,4
80130,7,4
81142,7,4
80205,8,4
80112,8,4
80000,8,4
79902,9,4
79924,9,4
80197,9,4
78030,10,4
77977,10,4
78201,10,4
76000,11,4
75351,11,4
78962,11,4
75894,12,4
76072,12,4
76085,12,4
76030,13,4
74586,13,4
75477,13,4
73207,14,4
75749,14,4
74226,14,4
73092,15,4
70186,15,4
73451,15,4
71591,16,4
71710,16,4
69650,16,4
81212,5,5
80865,5,5
81874,5,5
81557,6,5
81469,6,5
82885,6,5
81699,7,5
81585,7,5
82090,7,5
81713,8,5
81170,8,5
81715,8,5
80301,9,5
80134,9,5
80958,9,5
80809,10,5
80040,10,5
79055,10,5
78690,11,5
78646,11,5
78258,11,5
78213,12,5
78148,12,5
78438,12,5
75094,13,5
75097,13,5
76068,13,5
72886,14,5
69679,14,5
72359,14,5
72491,15,5
71735,15,5
71910,15,5
69695,16,5
70414,16,5
69487,16,5
82452,6,6
82835,6,6
83290,6,6
81677,7,6
80787,7,6
81692,7,6
80534,8,6
80601,8,6
80591,8,6
80312,9,6
80396,9,6
80558,9,6
77797,10,6
77586,10,6
78072,10,6
75580,11,6
74847,11,6
78195,11,6
74625,12,6
74759,12,6
74763,12,6
73831,13,6
72333,13,6
73560,13,6
71737,14,6
74153,14,6
72291,14,6
72255,15,6
69351,15,6
72465,15,6
71881,16,6
71751,16,6
69693,16,6
82337,7,7
82473,7,7
82706,7,7
82620,8,7
82046,8,7
82694,8,7
81547,9,7
81321,9,7
82061,9,7
81990,10,7
81273,10,7
80067,10,7
79559,11,7
79442,11,7
79374,11,7
78390,12,7
78212,12,7
78573,12,7
74523,13,7
74462,13,7
75475,13,7
73521,14,7
70711,14,7
72879,14,7
74299,15,7
73590,15,7
73643,15,7
72163,16,7
72954,16,7
72090,16,7
79622,8,8
79922,8,8
79492,8,8
79333,9,8
79242,9,8
79139,9,8
76568,10,8
76687,10,8
76964,10,8
74220,11,8
73567,11,8
76690,11,8
73262,12,8
73338,12,8
73329,12,8
72457,13,8
70814,13,8
71974,13,8
69953,14,8
71630,14,8
70465,14,8
69989,15,8
67128,15,8
70225,15,8
69412,16,8
69407,16,8
67283,16,8
81195,9,9
81306,9,9
81788,9,9
82074,10,9
80990,10,9
80027,10,9
79437,11,9
79213,11,9
79068,11,9
77934,12,9
77864,12,9
78161,12,9
74236,13,9
74064,13,9
75139,13,9
73035,14,9
70318,14,9
72642,14,9
74134,15,9
73366,15,9
73318,15,9
72214,16,9
72497,16,9
71959,16,9
77277,10,10
77547,10,10
77734,10,10
75532,11,10
74630,11,10
77794,11,10
74382,12,10
74553,12,10
74501,12,10
73515,13,10
71969,13,10
73432,13,10
71713,14,10
74168,14,10
72304,14,10
72036,15,10
69311,15,10
72296,15,10
71876,16,10
71730,16,10
69637,16,10
79333,11,11
79412,11,11
79223,11,11
78311,12,11
78078,12,11
78531,12,11
74565,13,11
74452,13,11
75373,13,11
73266,14,11
70639,14,11
72801,14,11
74323,15,11
73606,15,11
73834,15,11
72346,16,11
72818,16,11
72097,16,11
74785,12,12
75001,12,12
74800,12,12
74112,13,12
72536,13,12
73727,13,12
71928,14,12
74473,14,12
72812,14,12
72363,15,12
69686,15,12
72824,15,12
72144,16,12
71985,16,12
70215,16,12
74937,13,13
74975,13,13
75981,13,13
74071,14,13
71287,14,13
73178,14,13
74890,15,13
73912,15,13
74219,15,13
72868,16,13
73468,16,13
72928,16,13
74195,14,14
71101,14,14
73636,14,14
74205,15,14
73462,15,14
73473,15,14
71287,16,14
71890,16,14
71170,16,14
72688,15,15
69852,15,15
73065,15,15
71640,16,15
71640,16,15
69364,16,15
72341,16,16
73029,16,16
72446,16,16
84137.6666666667,1,1
84137.6666666667,1,1
84137.6666666667,1,1
84137.6666666667,1,1
84137.6666666667,1,1
84137.6666666667,1,1
84137.6666666667,1,1
84899,2,1
84899,2,1
84899,2,1
84899,2,1
84899,2,1
84899,2,1
84899,2,1
84482.3333333333,3,1
84482.3333333333,3,1
84482.3333333333,3,1
84482.3333333333,3,1
84482.3333333333,3,1
84482.3333333333,3,1
84482.3333333333,3,1
83953.6666666667,4,1
83953.6666666667,4,1
83953.6666666667,4,1
83953.6666666667,4,1
83953.6666666667,4,1
83953.6666666667,4,1
83953.6666666667,4,1
82631,5,1
82631,5,1
82631,5,1
82631,5,1
82631,5,1
82631,5,1
82631,5,1
82626,6,1
82626,6,1
82626,6,1
82626,6,1
82626,6,1
82626,6,1
82626,6,1
81040,7,1
81040,7,1
81040,7,1
81040,7,1
81040,7,1
81040,7,1
