"ycruncher","setId","vmId"
7.197,1,1
7.193,1,1
7.203,1,1
7.198,1,1
7.212,1,1
7.211,1,1
7.196,1,1
7.188,1,1
7.189,1,1
7.215,1,1
7.23,2,1
7.219,2,1
7.239,2,1
7.212,2,1
7.219,2,1
7.226,2,1
7.222,2,1
7.238,2,1
7.238,2,1
7.219,2,1
7.262,3,1
7.266,3,1
7.267,3,1
7.252,3,1
7.283,3,1
7.23,3,1
7.27,3,1
7.293,3,1
7.259,3,1
7.261,3,1
7.24,4,1
7.262,4,1
7.257,4,1
7.247,4,1
7.246,4,1
7.277,4,1
7.263,4,1
7.287,4,1
7.247,4,1
7.251,4,1
7.302,5,1
7.284,5,1
7.302,5,1
7.281,5,1
7.3,5,1
7.283,5,1
7.292,5,1
7.293,5,1
7.277,5,1
7.277,5,1
7.322,6,1
7.313,6,1
7.307,6,1
7.333,6,1
7.341,6,1
7.347,6,1
7.31,6,1
7.347,6,1
7.329,6,1
7.363,6,1
7.384,7,1
7.396,7,1
7.371,7,1
7.371,7,1
7.364,7,1
7.38,7,1
7.371,7,1
7.712,7,1
8.165,7,1
7.374,7,1
7.526,8,1
7.516,8,1
7.533,8,1
7.553,8,1
7.535,8,1
7.524,8,1
7.548,8,1
7.562,8,1
7.544,8,1
7.527,8,1
7.502,9,1
7.505,9,1
7.554,9,1
7.605,9,1
7.546,9,1
7.558,9,1
7.54,9,1
7.588,9,1
7.563,9,1
7.568,9,1
7.492,10,1
7.616,10,1
7.543,10,1
7.565,10,1
7.541,10,1
7.541,10,1
7.561,10,1
7.622,10,1
7.607,10,1
7.558,10,1
7.535,11,1
7.597,11,1
7.563,11,1
7.566,11,1
7.603,11,1
7.614,11,1
7.577,11,1
7.617,11,1
7.573,11,1
7.614,11,1
7.796,12,1
7.848,12,1
7.854,12,1
7.835,12,1
7.867,12,1
7.84,12,1
7.914,12,1
7.908,12,1
7.903,12,1
7.869,12,1
7.847,13,1
7.863,13,1
7.888,13,1
7.91,13,1
7.899,13,1
7.895,13,1
7.928,13,1
7.959,13,1
7.937,13,1
7.896,13,1
7.8,14,1
7.88,14,1
7.877,14,1
7.868,14,1
7.905,14,1
7.931,14,1
7.894,14,1
7.895,14,1
7.923,14,1
7.866,14,1
7.776,15,1
7.827,15,1
7.837,15,1
7.871,15,1
7.806,15,1
7.863,15,1
7.855,15,1
7.892,15,1
7.866,15,1
7.857,15,1
7.884,16,1
7.857,16,1
7.891,16,1
7.873,16,1
7.908,16,1
7.878,16,1
7.922,16,1
7.928,16,1
7.957,16,1
7.913,16,1
7.218,2,2
7.223,2,2
7.232,2,2
7.226,2,2
7.249,2,2
7.223,2,2
7.237,2,2
7.223,2,2
7.217,2,2
7.233,2,2
7.248,3,2
7.271,3,2
7.28,3,2
7.257,3,2
7.256,3,2
7.249,3,2
7.236,3,2
7.273,3,2
7.276,3,2
7.26,3,2
7.28,4,2
7.27,4,2
7.277,4,2
7.26,4,2
7.282,4,2
7.291,4,2
7.257,4,2
7.271,4,2
7.283,4,2
7.273,4,2
7.297,5,2
7.279,5,2
7.297,5,2
7.273,5,2
7.292,5,2
7.293,5,2
7.279,5,2
7.291,5,2
7.281,5,2
7.305,5,2
7.303,6,2
7.358,6,2
7.328,6,2
7.327,6,2
7.344,6,2
7.339,6,2
7.332,6,2
7.33,6,2
7.334,6,2
7.343,6,2
7.397,7,2
7.387,7,2
7.381,7,2
7.377,7,2
7.354,7,2
7.378,7,2
7.352,7,2
7.738,7,2
8.114,7,2
7.362,7,2
7.52,8,2
7.52,8,2
7.535,8,2
7.541,8,2
7.536,8,2
7.527,8,2
7.551,8,2
7.555,8,2
7.545,8,2
7.547,8,2
7.533,9,2
7.537,9,2
7.531,9,2
7.607,9,2
7.543,9,2
7.569,9,2
7.572,9,2
7.618,9,2
7.564,9,2
7.574,9,2
7.494,10,2
7.619,10,2
7.531,10,2
7.546,10,2
7.536,10,2
7.529,10,2
7.561,10,2
7.594,10,2
7.585,10,2
7.561,10,2
7.531,11,2
7.595,11,2
7.572,11,2
7.546,11,2
7.621,11,2
7.639,11,2
7.588,11,2
7.608,11,2
7.596,11,2
7.638,11,2
7.785,12,2
7.81,12,2
7.871,12,2
7.826,12,2
7.865,12,2
7.837,12,2
7.912,12,2
7.9,12,2
7.888,12,2
7.839,12,2
7.88,13,2
7.846,13,2
7.897,13,2
7.924,13,2
7.893,13,2
7.916,13,2
7.933,13,2
7.958,13,2
7.928,13,2
7.878,13,2
7.816,14,2
7.871,14,2
7.882,14,2
7.881,14,2
7.877,14,2
