"iperf","sysbench","ycruncher","pgbench","set","vm"
1158,8.4582,7.197,52355,1,1
1186,8.4469,7.193,62181,1,1
1201,8.4542,7.203,62119,1,1
1156,8.4596,7.198,58885,1,1
1167,8.4463,7.212,58885,1,1
1161,8.4477,7.211,58885,1,1
1158,8.4493,7.196,58885,1,1
1152,8.4705,7.188,58885,1,1
1158,8.4544,7.189,58885,1,1
1176,8.4503,7.215,58885,1,1
1149,8.4644,7.23,64128,2,1
1170,8.4529,7.219,64387,2,1
1198,8.4488,7.239,64099,2,1
1214,8.4478,7.212,64204.6666666667,2,1
1155,8.4503,7.219,64204.6666666667,2,1
1158,8.4529,7.226,64204.6666666667,2,1
1158,8.4478,7.222,64204.6666666667,2,1
1160,8.4675,7.238,64204.6666666667,2,1
1158,8.4489,7.238,64204.6666666667,2,1
1159,8.4491,7.219,64204.6666666667,2,1
1157,8.4563,7.218,65035,2,2
1160,8.4463,7.223,64707,2,2
1160,8.4468,7.232,65208,2,2
1158,8.4558,7.226,64983.3333333333,2,2
1159,8.4577,7.249,64983.3333333333,2,2
1160,8.4517,7.223,64983.3333333333,2,2
1159,8.4572,7.237,64983.3333333333,2,2
1158,8.4632,7.223,64983.3333333333,2,2
1157,8.4551,7.217,64983.3333333333,2,2
1160,8.4504,7.233,64983.3333333333,2,2
1180,8.4588,7.262,64484,3,1
1133,8.4462,7.266,64496,3,1
1151,8.4536,7.267,46728,3,1
1147,8.4524,7.252,58569.3333333333,3,1
1193,8.4453,7.283,58569.3333333333,3,1
1212,8.449,7.23,58569.3333333333,3,1
1209,8.4517,7.27,58569.3333333333,3,1
1181,8.4663,7.293,58569.3333333333,3,1
1191,8.4452,7.259,58569.3333333333,3,1
1143,8.4478,7.261,58569.3333333333,3,1
1158,8.4609,7.248,64835,3,2
1158,8.4475,7.271,65062,3,2
1183,8.4507,7.28,45546,3,2
1085,8.4517,7.257,58481,3,2
1035,8.4496,7.256,58481,3,2
1193,8.45,7.249,58481,3,2
1210,8.4603,7.236,58481,3,2
1141,8.4641,7.273,58481,3,2
1159,8.4502,7.276,58481,3,2
1160,8.4466,7.26,58481,3,2
1158,8.4535,7.262,64577,3,3
1158,8.4468,7.271,63731,3,3
1161,8.4521,7.283,44385,3,3
1158,8.4536,7.274,57564.3333333333,3,3
1160,8.4514,7.276,57564.3333333333,3,3
1188,8.4542,7.256,57564.3333333333,3,3
1110,8.4592,7.266,57564.3333333333,3,3
1160,8.455,7.277,57564.3333333333,3,3
1159,8.4456,7.279,57564.3333333333,3,3
1161,8.4451,7.265,57564.3333333333,3,3
1209,8.4571,7.24,66545,4,1
1219,8.4455,7.262,66667,4,1
1159,8.4502,7.257,66706,4,1
1168,8.4539,7.247,66639.3333333333,4,1
1186,8.4589,7.246,66639.3333333333,4,1
1164,8.4537,7.277,66639.3333333333,4,1
1149,8.4515,7.263,66639.3333333333,4,1
1175,8.4705,7.287,66639.3333333333,4,1
1180,8.4486,7.247,66639.3333333333,4,1
1150,8.4452,7.251,66639.3333333333,4,1
1163,8.456,7.28,65649,4,2
1162,8.4519,7.27,65855,4,2
1163,8.4518,7.277,66397,4,2
1218,8.4588,7.26,65967,4,2
1222,8.4509,7.282,65967,4,2
1199,8.45,7.291,65967,4,2
1181,8.4585,7.257,65967,4,2
1154,8.4696,7.271,65967,4,2
1159,8.4482,7.283,65967,4,2
1159,8.451,7.273,65967,4,2
1158,8.4536,7.283,65177,4,3
1159,8.4462,7.275,65517,4,3
1164,8.446,7.28,65722,4,3
1166,8.4587,7.284,65472,4,3
1170,8.4465,7.284,65472,4,3
1173,8.452,7.278,65472,4,3
1173,8.4612,7.304,65472,4,3
1160,8.4617,7.284,65472,4,3
1159,8.4459,7.287,65472,4,3
1161,8.4401,7.268,65472,4,3
1162,8.4475,7.234,62795,4,4
1162,8.455,7.254,62308,4,4
1192,8.4501,7.237,62746,4,4
1164,8.4536,7.246,62616.3333333333,4,4
1179,8.4518,7.234,62616.3333333333,4,4
1193,8.4569,7.245,62616.3333333333,4,4
1174,8.4526,7.262,62616.3333333333,4,4
1161,8.4457,7.232,62616.3333333333,4,4
1161,8.4495,7.236,62616.3333333333,4,4
1161,8.4457,7.252,62616.3333333333,4,4
1222,8.454,7.302,67274,5,1
1204,8.4506,7.284,66557,5,1
1197,8.4543,7.302,66611,5,1
1210,8.4545,7.281,66814,5,1
1192,8.4537,7.3,66814,5,1
1175,8.4546,7.283,66814,5,1
1190,8.4564,7.292,66814,5,1
1170,8.4706,7.293,66814,5,1
1167,8.451,7.277,66814,5,1
1181,8.4538,7.277,66814,5,1
1161,8.4586,7.297,66691,5,2
1178,8.4515,7.279,66403,5,2
1169,8.4546,7.297,65890,5,2
1180,8.4517,7.273,66328,5,2
1190,8.4454,7.292,66328,5,2
1205,8.4512,7.293,66328,5,2
1187,8.4541,7.279,66328,5,2
