instanceID,sysbench,ycruncher,pgbench,iperf,setId,tenants
i-0009b7735dea24732,9.04635172411111,6.52665172677777,123377,1179.1,48,48
i-002f7e27ea3e0bc1c,9.04348537666666,6.53257081244444,123286,1075.2,48,48
i-007e12c9530b8cdea,9.52516418033333,6.52344634811111,122657.666666666,857.8,48,48
i-008e6f72c7403b5d3,9.04128413733333,6.48758445844444,123779.666666666,1077,48,48
i-00ba7a56c944e5a25,9.04279941977777,6.56898339577777,123144,1621.9,48,48
i-00d71d40b42658392,9.04251692033333,6.52293101944444,123051,1018,48,48
i-01f539b055c2a5d34,9.04438418788888,6.54147897833333,122862.666666666,1020.7,48,48
i-0243a74ede206f760,9.04150915155555,6.54712488911111,123389,1063.1,48,48
i-02765ba82e12781a4,9.04849976966666,6.52255241077777,123798.333333333,2118.8,48,48
i-02ca0e36a4acaf9fc,9.04408407211111,6.59277603355555,121889.666666666,962.9,48,48
i-040dfb2d2a1990b9d,9.04425181288889,6.56314773033333,123572.666666666,1629.2,48,48
i-048c3c6548c1a414a,9.04779712355555,6.44815741644444,122087.666666666,1290.8,48,48
i-0507566c757134fb6,9.04280037344444,6.50366348688888,123698.666666666,1166.1,48,48
i-05e473f8ff82c1527,9.04365099811111,6.50575937155555,122617.333333333,1914.7,48,48
i-067b2519b614c8f9d,9.04288906544444,6.46133489077777,123604.333333333,1079.1,48,48
i-06b96f53253b4cc2e,9.04348140288889,6.53239247522222,124621.333333333,968.3,48,48
i-071a48cf857bce94f,9.04071593288888,6.38072379422222,123231,1605.4,48,48
i-07379900fe80899d6,9.04360201633333,6.516331858,122560.666666666,1181.5,48,48
i-0763ab86e85627573,9.04464909755555,6.547708829,114626.666666666,2101.3,48,48
i-07998976f194caa97,9.04178735933333,6.55249404933333,124477.333333333,1018.9,48,48
i-07be1c77f6fdf8eda,9.04353920622222,6.55582804155555,124697.333333333,940.5,48,48
i-07c76ac1348426483,9.04217606111111,6.55022774822222,120987,1933.2,48,48
i-0837f0f6a7a42ac68,9.04436169722222,6.58341937599999,123209.666666666,1633.9,48,48
i-084caea7d9c000ba9,9.04413342466666,6.53500080111111,123095.333333333,1615.6,48,48
i-08559b79281547ef2,9.04287878688889,6.49428979566666,124267.666666666,1077.1,48,48
i-08e70b514c8c3cd5a,9.04389007877777,6.53525243866666,123006.666666666,917,48,48
i-08ff78a502245298a,9.04285362022222,6.54942798622222,123412.333333333,982.2,48,48
i-095d06d26dd29ecec,9.04504476644444,6.44794072055555,124327.666666666,1045.5,48,48
i-0977cb2af690d36fd,9.04597287722222,6.512336572,124736.333333333,949.3,48,48
i-09c658651b17c197e,9.04466499211111,6.53447053177777,121159.333333333,1105.4,48,48
i-0ab84c959b473605a,9.04355388222222,6.52153171444444,123040,1514.4,48,48
i-0aecb3d1daeccc874,9.04200201544444,6.55496623777777,124828.333333333,1088.3,48,48
i-0b138e3642a677559,9.04633193544444,6.51267454355555,123374.333333333,1053.9,48,48
i-0b3a38b18367faa71,9.04151882077777,6.42095541966666,122475.666666666,1843.6,48,48
i-0ba417327f988ba2b,9.05140060855555,6.56423322344444,122970.666666666,1546.6,48,48
i-0bfaa8f4e041c36fa,9.04282262588888,6.51071304744444,124206.666666666,1470.9,48,48
i-0c3e9f9e7b281edfe,9.04305028911111,6.53484225288889,125848.666666666,934.1,48,48
i-0cc4b604b837f69d9,9.04138543844444,6.53538987377777,123427,1053.2,48,48
i-0d136c81f43ce8a29,9.04190675411111,6.53093258566666,123526.666666666,1188,48,48
i-0d1c421d52c368b29,9.04502473933333,6.55123554344444,123335.666666666,1673.8,48,48
i-0d44050a4e6a71d7c,9.04312565588888,6.46117716366666,124210,818.2,48,48
i-0d6feb91baa545931,9.04287764744444,6.57872941777777,121454.666666666,1067.4,48,48
i-0d75b8bf3603b2040,9.04240488988889,6.476328929,122447,1057.2,48,48
i-0dcfa6d3bc470d28d,9.04413639177777,6.48754005966666,124719.666666666,1117,48,48
i-0e167bbfcd6a685f5,9.04340563877777,6.51909441411111,122529.666666666,1480.4,48,48
i-0ede59d8254436a40,9.04096158344444,6.53902109477777,123651.333333333,1079.6,48,48
